,review,stars
0,"Hotel adiwana jembawan lokasi di ubud tempatnya bagus, gardennya luas, ada dua kolam berenang, view tebing dan suasana jadi tenang cocok banget buat yang healing mumet di pekerjaan, semua staff sangat ramah dan membantu saya saat baru tiba di hotel adiwana jembawan ini🥰",5
1,"Suatu pengalaman yang tidak akan pernah terlupakan ketika menghabiskan waktu bersama seseorang di RESORT yg menawan dan indah ini, menginap saat Nyepi bersama oran terkasih mnjadi menyenangkan ketika berada di sebuah resort yang indah dengan ditemani bersama staff-staff yang sangat ramah dan siap membantu terimakasih juga untuk orang-orang yg membuat massage kami mnjadi menyenangkn, apalagi untuk makanan dan fasilitas yang cukup membuat saya takjup, terimakasih Untuk Semuanya🙏🏻",5
2,"Resort yang sangat tenang dengan pemandangan hutan, terdapat 2 kolam renang dan juga memiliki fasilitas yoga dan spa, restaurant terletak di pinggir jalan dengan menyajikan menu vegetarian tapi ada beberapa pilihan daging ayam dan juga ikan. Konsep resort yang sangat bagus,kamar sangat luas dan pelayanan yang sangat ramah. Salah satu resort terbaik yang pernah saya kunjungi ketika di Ubud. Saya akan kembali lagi setelah lebaran bersama keluarga.  Rekomendasi untuk breakfast mie ayam kampung mantap sekali 👍",5
3,"Pengalaman yang tidak akan pernah terlupakan ketika saya dan keluarga menginap di RESORT yg menawan dan indah ini, menginap saat Nyepi bersama suami dan anak mnjadi menyenangkan ketika berada di sebuah resort yang indah bersama staff-staff yang sangat ramah dan siap membantu terimakasih juga untuk Budi dan Nitria yg membuat massage kami mnjadi menyenangkn, apalagi untuk makanan dan fasilitas yang cukup membuat saya takjup, terimakasih ADIWANA RESORT JEMBAWAN 😊🙏🙏",5
4,"Proses check in sangat cepat, semua sudah menggunakan online form, kamar bersih dan full aminities. staff ramah dan sopan dan juga Letak hotel sangat strategis. Special untuk Ms. Lia, thank you so much for your excellence service.",5
5,"Kami menikmati liburan di Adiwana Resort Jembawan pada hari libur kami di bulan maret ini, suasana yg nyaman dengan konsep hotel yg unik membuat kami merasakan pengalaman baru yg indah dengan keluarga, kolam renang tepat ada di depan kamar kami dan itu sungguh luarbiasa, staff yg ramah membuat kami serasa dirumah, terimakasih Adiwana Resort Jembawan",5
6,"Kami menginap di Adiwana Jembawan bulan lalu. Resortnya asik, udaranya adem karena banyak pohon. Jalan masuk agak sempit, lumayan repot kalau bawa mobil keluarga. Stafnya ramah dan murah senyum. Waktu kami datang hujan deras dan kami dibantu dibawakan payung. Sangat puas stay di sini. Oiya makanannya juga enak banget, dengan konsep healthy food gitu deh.",5
7,"Saya sering menginap di ubud di berbagai hotel di ubud area, banyak yg menyajikan pelayanan yg baik, tetapi Adiwana jembawan salah satu yg terbaik, apalagi konsep restauran yg unik dengan menu-menu yg menarik dan enak, saya menikmati liburan dengan keluarga dan akan kembali lagi di liburan berikutnya. Terimakasih semua staff, kalian luar biasa.",5
8,"Datang ke bali memang untuk staycation buat ngerasain nyepi....  Seneng banget saat check in di sapa dengan ramah oleh mba lia, di informaskan dengan details tentang nyepi dan ogoogo,, Kemarin kita coba massage nya dan wajib di coba, kebetulan paket menginap kami sudah termasuk massage,  Sarapan , makan siang dan makan malam di antarkan ke kamar karena situasi hotel rame. Jadi biar lebih private kita minta di antar ke kamar saja,  Terima kasih banyak kami akan kembali lagi.....",5
9,"tempat yang strategis, staff nya ramah-ramah sangat membantu. ruangannya bersih, kolam renang bersih, lingkungannya bersih, perlengkapan mandi yang sangat lengkap, paling utama ada hairdryer buat wanita, balkonnya enak buat nongkrong. bila liburan bersama kuluarga dan ingin menginap di area ubub pastikan di adiwana resort jembawan ini",5
