,review,stars
0,"Hotel yang sangat nyaman,Dan cocok sekali untuk tempat menginap kluarga,semoga kedepannya hotel tersebut semakin mendunia Dan menjadi hotel terbaik Dan Dan terfavorit di Bali,disamping itu,makanan nya enak,suasanannya luar biasa indahnya..pokoknya empat jempol buat hotel legian beach",5
1,"Nice view, hotel sangat cocok utk keluarga bisa memberikan kesejukan ditengah-tengah kesibukan kota badung, harga terjangkau, makanan mempunya ciri khas, cocok utk semua kalangan (ekonomi menengah ataupun keatas masih bisa menjangkau, pokoknya mantap,,,,,,,,,",5
2,"Hotel yang pantas menjadi pilihan setiap datang ke Bali. Selain kamarnya nyaman, lokasinya pun dekat dengan pantai. Kolam renang yang tersedia juga menjadi alasan kami yang suka menghabiskan waktu untuk bermain air untuk datang lagi ke hotel ini. Menu makanan yang disediakan juga enak.  Karyawan hotel sangat ramah.   Saat liburan di Bali, Legian Beach Hotel pokoknya 👍👍👍👍👍",5
3,"Lokasi di daerah wisata legian.. Dekat kemana mana, suasana sangat tenang dan nyaman. Staff semua ramah dan bnyak membantu.. Saya dan pasangan liburan dengan menyenangkan di hotel ini. Terima kasih atas pengalaman menyenangkan ini",5
4,Sangat recommended banget deh liburan disini hotel nya nyaman mewah dan pegawai nya ramah - ramah makanan nya pun enak dan yang paling penting harganya terjangkau untuk seluruh kalangan View nya juga bagus Intinya yang mau liburan ke bali sangat disarankan menginap disini,5
5,"Lokasi strategis, stafnya ramah pelayanan memuaskan. Sangat recommended untuk menghabiskan waktu bersama keluarga. Terletak di jantung pariwisata Bali. Betah berlama-lama tinggal disana. Suasana hotel sangat nyaman.",5
6,"Hotel yang sangat recommended buat yang mau liburan bersama keluarga atau pasangan ,staff nya juga ramah ramah,kamar nya pun mewah pemandangan yang indah menghadap ke pantai makanan nya juga enak-enak saya dan keluarga sangat puas menginap di hotel ini Pokok nya recommend deh",5
7,"Tempatnya sempurna, dari suasananya dan fasilitasnya memang juara 👍 semua pelayanan memang memiliki standar internasional dan ditunjang dengan keramahtamahan semua pekerja disana membuat siapa saja yang menginap menjadi puas 👍",5
8,Sangat nyaman menginap di legian beach hotel. Restaurant mempunyai view yang sangat bagus mengarah langsung ke pantai kuta ditambah lagi dengan adanya accoustic band di malam hari yang membuat suasana menginap saya sangat menyenangkan di Bali. Bestt,5
9,"Pelayanan depan cukup cepat, kamar cukup besar dan bersih, lokasi dekat pantai kuta dan dapat dijangkau daerah wisata dengan jalan kaki saja, di halaman hotel banyak pohon, sarapan pagi bervariasi dan enak, sesuai dengan harga",5
10,"Saya menginap 3 malam di Legian Beach Hotel, hotelnya asri penuh berisi tanaman yg tertata rapi, bangunan bungalownya masih mempertahankan khas bali. Karyawannya ramah2 dan sopan. Kamarnya bersih dan rapi, sarapan pagi nya enak2 dan banyak pilihan. Lain kali saya akan datang lagi dan memberitahu temen2 untuk menginap di legian beach hotel",5
11,"Pantai yang berpasir putih, ada di antara pantai Kuta dan Seminyak, sore hari bisa duduk-duduk di pasir sekedar lihat sunset. Banyak yang berolahraga pantai selain berenang, voli pantai dan main layangan. ",5
12,"Hotel lama yg besar/ luas  dan tertata apik seperti didesa/ kampung suasananya , kamarnya jg luas .. kolam renang ada dua,  depan hotel  (sebelum beach ada jalan kecil tapi tidak bisa di lalui kendaraan umum n sepi jalannya  ) , jadi bisa langsung ke beach. Liat sunset dr depan hotel recomended Bgt 👍🏻. Sekeliling hotel byk toko2 dan ada pasar .",4
13,"Saya menginap di Legian Beach Hotel hanya satu malam bersama keluarga pada tanggal 25 Februari 2017 di kamar 08a, pelayanannya sangat memuaskan, terutama di Restaurant pada saat kami breakfast, saya salut dengan management terutama FB manager yang telah men-training staff nya dalam melayani tamu dan tidak membedakan antara tamu lokal dengan tamu asing, pada saat check out juga saya ditemui oleh Manager on Duty yang sedang incharge untuk sekedar mengucapkan terimakasih, ini lebih dari sekedar hotel bintang 5",5
14,"Bagus sekali ! WOW dan sangat menajubkan selama saya stay disana , makananya pun sangat lezat dan bervariasi . Staffnya pun sangat ramah ramah dan saya akan kembali ke hotel ini pada saat saya kembali ke bali . Thanks",4
15,"Kamar sangat bersih,makanan juga enak,kami sekeluarga sangat nyaman dan betah menginap di hotel ini,apa lagi kamar yang di pesan suami saya kamar nya ada view pantai,jadi bisa lihat sunset dan sunrise,recomended hotel jika anda mengunjungi bali.  Lain kali akan berkunjung ke sini lagi.",5
16,"Kami menginap 11-14 Oktober 2015 di deluxe garden cottage 12A. Kamar dengan sentuhan traditional Bali, kamar Mandi luas, taman yang cantik di seluruh area hotel ditambah dengan burung-burung liar, tupai, bahkan suara tokek, sangat alami. Anak saya sangat menyukai kolam renang hotel. Lokasi tepat di pantai legian sehingga bisa bermain di pantai kapanpun. Makanan saat breakfast, in room dining, ataupun di restoran sangat memuaskan. Breakfast menyajikan banyak pilihan menu, di pantai 2 khusus menyediakan waffle, creepes Dan pancake dengan banyaj pilihan topping. Oh,kopi sangat istimewa. Kami pasti akan kembali lagi.",4
17,"Failitas bintang 5, nyaman, damai, adem,dan Juaraa menurut saya. Di restonya, kita bisa makan atau sekedar nongkrong sambil menunggu matahari tenggelam. Sarapan sembari berenang pun bisa. Kalau ke Bali,saya ingin menginap disini lagi.",4
18,"Hotel ini berada di ujung pantai kuta, berada di depan pullman. Memiliki akses langsung ke pantai kuta ( tidak harus menyeberang jalan raya seperti hard rock hotel dll) utk kamar coba pilih yang cottage, jangan yang kamar biasa, saya lihat lokasinya dekat dengan parkiran mobil, dekat jalan raya. Saya sendiri menginap di cottage, ukuran kamar besar, kamar mandi besar, outdoor shower, bahkan jacuzzi!! Ada sebagian cottage yang menyediakan private pool juga. Taman2 di sekitar hotel amat rindang, hijau, terawat dengan baik. Breakfast bagus standart*4, restoran: makanan dan harga juga oke untuk standar bali yang sangat mahal, istri saya mencoba spa-nya, dia bilang sangat memuaskan. Hotel ini sendiri lebih populer di kalangan turis asing drpd turis lokal, saya kira.",5
19,"Lokasi resor ini fantastis dengan pantai dan restoran bagus yang terletak di dekatnya. Para stafnya handal, sangat ramah dan membantu. Menu sarapannya sangat lezat. Kami menginap di garden bungalow yang mana sangat indah namun kamarnya sedikit tua dan kuno. Kolam renangnya sangat cantik.",4
20,Menginap selama 8 hari di akhir Oktober 2012 di Garden Bungalow. Fundamental hotel ini bagus. Lokasi lokasi dan lokasi. Tepat di pantai (diseberang trotoar). Anda bisa duduk di restoran atau di kursi dan melihat dan mendengar suara ombak di pantai dan melihat matahari terbenam. Penukaran uang dan toko ada diluar gerbang. Cukup ke jalan dan ada Beackwalk Centre dan pertokoan Jalan Legian. Keamanan dan akses ke Garden Bungalow menyenangkan. Sangat sunyi dan sangat bersih. Kamar mandi kecil dan berstandar modern. Dilengkapi dengan baik tetapi kecil. Pelayan dan pegawai kebun mau membantu dan ramah. Gedung restoran baru dengan spa di lantai atas. (sedang menyelesaikan bangunan restoran).  Dua kolam renang indah tetapi butuh perbaikan. Lantai hilang dan air mancur tidak berfungsi.…,4
21,"Sementara hotel melaksanakan renovasi nya saat ini, sangat dihargai bahwa makan malam prasmanan gratis masih disediakan pada hari Sabtu. Namun, sungguh mengecewakan cara makanan disajikan dan menjijikkan karena saya menemukan rambut pada ikan dalam dua dari empat piring makan malam di satu meja. Secara keseluruhan, lokasinya luas, tapi kebersihan dan pelayanan yang tidak sampai ke standar yang Anda harapkan pada tingkat harga dan kategori.",3
22,Pertama tinggal di sini dan sangat terkesan. Diperbaharui dengan ramah ke bungalo taman mewah. Kamar yang sangat indah. Sarapan sangat baik. Berbagai makanan yang sangat baik. Staf sangat ramah dan membantu. pasti akan tinggal di sini lagi.,5
23,Saya dulu terlibat dalam Counter Terrorism di Australia. Terutama dalam hal pencarian bom peledak dan keamanan tempat. Saya dapat membantu dengan beberapa koreksi kecil yang akan meningkatkan keamanan Anda 100 kali lipat. Tidak ada yang mahal atau terbuka. Tidak cocok untuk mengirim email di forum ini. Senang berdiskusi jika Anda tertarik.  Saya adalah seorang Pastry Chef di perusahaan yang sama dalam kehidupan muda saya. Koki pastry Anda luar biasa. Produknya konsisten setiap hari dengan standar tertinggi.  Penyajian Anda di restoran sangat baik semua aset untuk reputasi hotel.  Salam Dan Rose . .... . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .…,4
