,review,stars
0,"Kamar Bagus ,Luas , Lokasi Mengesankan Daerah Pusat Keramaian ,Sarapan Mengesankan Cukup Bervariasi Enak , Pelayanan Dari Staff Oke , lapangan Parkir Yg Cukup Besar , Intinya Semuanya Good Next Trip Will.Be Back",5
1,"Suka banget sama hotelnya kamarnya besar nyaman banget ada sofanya juga buat yang suka minimalis cocok bangett, lorongnya juga lebar. Breakfastnya enak denishnya terutama, nasi gorengnya juga. Jusnya apalagi seger banget jeruknya kerasa",5
2,"Karena kami ada rencana untuk ke cafe motel mexicola dan la favela, maka diputuskan untuk ambil hotel ini ...  (+) berada ditengah seminyak dan daerah sekitar mudah makanan (+) ruangan kamar cukup besar  (-)  buffet nya sedikit variasi untuk hotel bintang 4 (-)  seprei kamar sepertinya berdebu",3
3,"Sangat bagus, stay family di sini menyenangkan. Fasilitas oke & lengkap, kamar luas. Pengalaman menyenangkan jika ingin stayction murah & kualitas bagus. Lokasi di pusat Seminyak, di sekitar cafe2 hits & Seminyak Village",5
4,"pelayanan staff bagus dan ramah, ada welcome call bbrp saat setelah masuk ke kamar utk memastikan kamar besar dan nyaman dan bersih sekai fasilitas banyak (fitness, free sewa sepeda) bisa 24hour check in & out breakfast varian tidak banyak namun sangat enak 👍🏻",5
5,"Selalu kem bali ke u paasha , dilayani dengan maksimal dengan mba Yuni ...  semoga nanti ada smoking roon jd klo ngerokok ga jauh jauh y... sama variatif menu boleh juga tuh..    i love bali , i love u paasha",5
6,"Saya berkunjung Hotelnya bagus ..suasana lobby warm atmosfir,juga staffnya di front office ramah,view nya bagus dari swimming pool,good ambience,saya mencoba makan direstaurant dan makanannya enak2..Overal very good",5
7,"Hotelnya Bagus,baik,bersih,nyaman ,dan tempat strategis di Seminyak dan Manajer Toni sangat ramah dan baik membantu kami buat urus Test PCR,dll nya, kamar besar ,tempat tdr nya besar dan sangat nyaman,buat kami istirahat di Bali,sarapan pagi pun enak ,pasti nya kami akan kembali ke Hotel ini,Tot zien ...",4
8,Pelayanan sangat baik. Kamar luas. Tapi sayangnya gk Ada bath up yah.  Tempat sangat strategis di seminyak. Tetapi yang sangat aku suka tuh sistem 24 jam. Jadi gk perlu diburu2 buat  bangun untuk check out. Dan bisa minta late breakfast... Bener× nyantai menginap di hotel ini.  Massagenya enak Dan termasuk Murah untuk kelas hotel...  akhir kata... MAN TO THE TAP... alias.. MANTAP!!!😍😍,5
9,"Enjoy stay di Aleva better dari villa sebelumnya,, sangat nyaman,pool bersih dan kamar juga clean. Dan gak nyangka juga disini fasilitasnya sangat lengkap ada Netflix ada Alexa di Room sangat menikmati banget. Makasih buat kak Edo dan kak leging sudah Slalu helpful",5
10,"Bayar 800 rb/malem tapi disappointing banget. Oke kamar gede, tapi kualitas dan fasilitas biasa aja. Amenities ga ditambah meski udh keliatan habis, no tootbrush, no slipper, colokan di kamar juga dikit banget. Itupun kudu nyabut colokan buat lampu. Lift di hotel juga cuma 1, jadi kalo lagi barengan di jam check in / check out bisa nunggu agak lama. Bfast juga ga terlalu enak, variasi dikit dan gitu gitu aja. Staff ga terlalu ramah, terutama satpam.  Kayanya nilai plus cuma di lokasinya aja. Ya soalnya dg harga segitu saya bisa dapat hotel lain dg kualitas yg lbh baik",2
11,"Konsep hotel yang menarik, utk lobby semi outdoor, jadi bikin suasana adem, lorong hotel yang besar dan kamar yang besar bikin makin nyaman utk stay/istirahat di hotel ini, next trip bali pasti hotel ini jadi salah satu list utk stay khususnya di daerah seminyak",5
12,"Luar biasa kamar luas, roof top nya bagus dan view kota. Extraordinary pokoknya lah, seneng bisa berkunjung kesini sudah beberapa kali dan tetap manakjubkan pengalaman stay di U paasha seminyak. Yookk dicoba stay disini biar bisa alamin juga",5
13,"Pelayanan nya sangat baik, ramah dan kamar nya sangat luas. Worth it bgt. Dekat ke pantai dan hiburan serta restaurant di sekeliling hotel. Next time mungkin busa jadi pilihan lg kalau ke bali nginap di u pasha.",5
14,"Ver excellent services, pelayanan ramah, bersih lingkungan aman nyaman, makanan lumayan oke. Kamar sangat luas bersih. Very recommended! Puas sekali bermalam di U Pasha, semoga semakin baik fasilitasnya.",5
