,review,stars
0,Nyepi kita kabur ke tempat ini dan sumpah gk nyesel. Tempat nya enak bgt. Kita sma tmn2 enjoy bgt. Kak Lestari bantu kita check in sehari sebelumnya. Ramah banget bantu kita dengan sabar. Terima kasih the seminyak untuk pengalamannya,5
1,"Terima kasih banyak untuk pelayanan nya, sangat ramah dan juga membantu, saya menginap di gardern room namun dqpat juga menikmati fasilitas yang ada , pool sangat bagus dan luas, sarapan pagi bayak pilihan",5
2,"Untuk kamar bagus dan cukup luas, fasilitas lumayan lengkap, pool sangat bagus dan juga ada acces langsung ke pantai, staff semua ramah dan sangat membantu, kami sangat menikmati selama menginap disini",5
3,"Kami menginap untuk beberapa hari disini, sangat recommend untuk mengajak pasangan, kolam renang nya sangat bersih dan terawat, view nya juga bagus, staff di front office sangat ramah, semua sangat membantu ",5
4,"Kamar nya bagus dan bersih, staff semua ramah dan juga sangat membantu, kolam renang nya luas dan juga dekat dengan pantai, kami stay di beach Room, menghadap ke pantai, untuk sarapan pagi juga banyak macam nya , akan datang lagi",5
5,"Kamar nya bagus, staff nya ramah semua, halaman nya luas, dekat dengan jalan, kemudian dekat dengan toko dan pantai, untuk sarapan pagi banyak pilihan , restaurant nya juga enak dan pelayanan nya bagus",5
6,"Tempatnya bagus, dekat dengan pantai,  denkst dengan Jalan, untuk breakfast banyak pilihan, staff semua ramah, ada gym center, spa sangat recomended, untuk customer service Juga fast response, akan datang lagi",5
7,"Pengalaman menyenangkan menginap di hotel ini. Lokasi yg sgt dekat dengan pantai memudahkan kami utk datang setiap saat melihat sunset ataupun di pagi hari menikmati udara pantai. Kamar yg spacious, rapi, bersih dan terawat membuat nyaman utk istirahat. Kami juga sempat memanfaatkan treadmill di Gym yg terawat dgn baik. Overall sangat nyaman memginap di sini. Wish to come back again with the kids ",5
8,"Kami group dari Aspimtel, dimana the seminyak resort sangatlah bagus untuk mengadakan business trip dan leisure. Semua team sangat membantu dalam segala hal yang kami butuhkan. Untuk semua team terima kasih",5
9,"Menginap sehari di hotel The Seminyak, bersama rekan kerja, hotel nyaman, kamar bersih, fasilitas lengkap, traditional bali, keren. Makanan oke dan staff yang ramah. Dengan customer service Retna. Jika ada lain kesempatan, kami memilih The Seminyak . Terimakasih ",5
