,hotel,review,stars
0, Adiwana Monkey Forest,"Hotelnya nyaman, suasananya adem banget, staff hotel ramah banget, fasilitas hotel dan makanan minuman yang tersedia enak enak. Pokoknya gak nyesel deh nginap di sini, recommended untuk turis buat nginap di sini.",5
1, Adiwana Monkey Forest,"Pelayanan bagus, hotel bersih dan tenang. Sengaja mencari hotel yang tidak terlalu banyak kamar. Stafnya sangat membantu menunjukkan obyek wisata. Makanan juga ok. Dekat dengan pusat keramaian, Menginap 2 malam di sini.. Recommended 👍👍👍",5
2, Adiwana Monkey Forest,"Hotelnya bagus dan bersih. Saat pertama kali datang seluruh staf sangat ramah & helpful. Kamar spacious, bersih dan menyenangkan. Kolam jg cukup, anak2 bisa berenang dsini.  Kami menginap keluarga besar selama 2malam sangat menyenangkan, bfast nya jg enak. Dan yg pasti lokasi sangat strategis, di tengah pusat kota ubud. Thank u for hospitality 💚",5
3, Adiwana Monkey Forest,"Pelayanan sangat bagus, kamar hotel sangat bagus, bersih rapi nyaman, sangat senang stay disini selama 4 hari. Staf hotel juga sangat baik dan ramah, sukses buat adiwana monkey forest ubud smakin banyak pelangan.",5
4, Adiwana Monkey Forest,"Buat kalian yang ingin menghabiskan weekend atau rilex aku rekomendasiin nih staycation di hotel yang sangat bagus dan nyaman di ubud, tentunya di adiwana monkey forest. Ohh iya staff nya ramah banget loh. And service nya goodd banget. Next bakal kesini lagi nihh Thank you adiwana monkey forest",5
5, Adiwana Monkey Forest,"I love all the experience I had with Adiwana, lokasi, dan pemandangan nya bagus bgt ….  Cocok bgt buat healing, terus Internet nya juga cepat bgt, di tambah Siaran TV nya juga Jernih.  Kolam renang nya bersih dan petugas nya juga ramah banget 😍😍",5
6, Adiwana Monkey Forest,"Ubud adalah tempat pertama kali saya berkunjung. Saya berkesempatan menginap di Adiwana Monkey Forest dan sambutan dari staff sungguh sangat luar biasa. Mereka sangat ramah, friendly, dan memberikan kenyamanan bagi para pengunjungnya. Dari segi kamar dan tempat kami menginap saya sangat puas karena dikelilingi oleh pepohonan yang membuat suasana menjadi peaceful. Saya sangat nyaman dan senang dan berharap bisa kembali lagi ke tempat ini.",5
7, Adiwana Monkey Forest,"Kamar2 hotel bersih, nyaman dan friendly banget.  Seluruh crew trampil, cekatan, bersahabat dan pelayanan cepat dan ramah.  Makanannya enak.  Semoga Adiwana Monkey Forest Ubud Bali selalu dengan kunjungan tamu. Sukses selalu.",4
8, Adiwana Monkey Forest,"Memuaskan sekali! Kamarnya bagus, fasilitas bagus, wangi sabun, shampoo, lotionnya pun enak banget!! Pelayanan memuaskan, staffnya ramah-ramah, bahkan pas dateng ditungguin padahal datengnya udah malem. Suka sekali!! Next akan kesini lagi sih",5
9, Adiwana Monkey Forest,"Lokasi hotelnya sangat strategis, suasana sejuk dan banyak tanaman yang bikin betah, staff nya semua sangat ramah , friendly dan helpfull . Kamarnya benar benar bersih . Kalau ke ubud pasti balik lagi untuk menginap disini .",5
10, Adiwana Monkey Forest,Hotelnya bagus ka pelayanan ramah bgt staffnya lokasi strategis dket kmna2 diubud Kolam renang bersih luas kamarnya bersih amenities lengkap  Sarapannya juga enak Bakalan balik lagi Kalo next time ke ubud yaa Terima kasih semua staff managernya juga ramah,5
11, Adiwana Monkey Forest,"Tempat nyaman, staff nya ramah dan juga pelayanannya juga sngat baik untuk makanan juga enak. Akses strategis dekat dengan tempat wisata di ubud. Pas sampai hotel kebetulan masih jam 12, alhamdulillah dikasih early check in prosesnya juga cepat dan dapat welcome drink. Untuk kamar dapat yg menghadap langsung ke kolam renang.",5
12, Adiwana Monkey Forest,"Menginap 4 malam rasanya belum cukup... Sangat menyenangkan di Adiwana , Hotel yg bersih, Peralatan mandi yang sangat lengkap , super nyaman cocok untuk keluarga. Staff Hotel sangat ramah dan sangat membantu ... Pagi2 suka ada monyet yang singgah di atap hotel  :P",5
13, Adiwana Monkey Forest," Hotel ini merupakan rekomendasi dari tmen saya yg udah pernah nginep disini, jujur pelayananya ramah sekali. banyak cafe dan restaurant di sekitar hotel dan ada starbuck juga dei depan hotel. hehehe semua area disini walking distance jadi ga perlu report2.  kamarnya bersih dan nyaman",5
14, Adiwana Monkey Forest,"awalnya kami nginep hanya ingin mencoba bagaimana fasilitas hotelnya, ternyta top recomended deh, staff yg ramah, desain kamar yang bagus. pool yg bersih. dan breakfastnya juga enak.  dan ini membuat kami extend lagi .  thank you adiwana monkey forest",5
15, Adiwana Monkey Forest,"Bagus banget, pelayanan ramah, suka dengan karyawannya ramah2 semua, bersih juga, kamarnya sangat luas, langsung menghadap ke kolam renang. Tempatnya dekat kemana mama semoga jaya selalu dan semakin sukses",5
16, Adiwana Monkey Forest,"Sangat nyaman, staffnya ramah sekali & sangat membantu, lingkungannya sangat asri, lokasi yg strategis, sangat dekat dgn monkey forest dan pasar, di sekitar hotel juga sangat dekat dengan tempat makan",5
17, Adiwana Monkey Forest,"Pelayanannya sangat ramah, lokasinya strategis banget. kamarnya nyaman dengan interior unik. Breakfastnya juga enak. untuk massage best recomended dah, kami mencoba balinese massage selama 1 jam, sumpah so relaxing banget, selain itu mereka ada special offer 50% disc uttuk semua treatmentnya.",5
18, Adiwana Monkey Forest,"Pelayanannya bener” ramah bangett banget trus klo ada apa” bener” cepet ditanggepinnya. Worth it bangett sama harga yang aku dapetin cuma dibawah 500 ribu, uda lengkap juga semuany, wifinya kenceng,channel tvnya juga banyak banget. Sampe sana awalnya nanya dmn ada dagang kue gtu karna kesana pas lagi ultah trus entar ya tb tb kk”ny pada datengg nyanyiin happy birthday gtu so sweet bangett  Makasii banyak ya :)",5
19, Adiwana Monkey Forest,"Adiwana Monkey Forest  Bener-bener nyaman banget, kamar dengan balcony with smiwimming pool view was amazing. Pelayananya ramah banget, breakfastnya enak. Sangat recomendasi bagi kalian yang ingin liburan di ubud. For sure will back to stay more longer....",5
20, Adiwana Monkey Forest,"Loveyly Staycation   Tempatnya bagus banget, pelayanannya perfect, ccok buat kalian yang ingin rilex karena ada balkoni yang asik buat nyantai sambil ngopi. ohh iyyaa deket juga dengan starbuck loo, hehehe Forsure bakal balik lagi, thank you Adiwana for the good quality service",5
21, Adiwana Monkey Forest,"Kami memesan 4 kamar disini, jujur pelayananya sangat kualitas sekali, semua request kami terpenuhi., breakfastnya enakk, kamarnya bagus bangett, mereka juga ada conecting room dimana ccok sekali untuk family stay dengan anak2.  recomended sekali...!!!!",5
22, Adiwana Monkey Forest,"Lokasi deket kemana mana. Pelayanan ramah, kamar bersih. Kamar mandi ada air panas juga. Aman juga walau saya solo traveler. Waktu itu lucky dapat view balkon persis view pool. Keluar hotel kiri kanan sudah pertokoan kecil2. Seberang persis ada starbuck. Lokasi nya strategis.",5
23, Adiwana Monkey Forest,"Service sangat baik, tempatnya cozy, sejuk dan nyaman, tempatnya juga bersih dan fasilitas lengkap. Dekat dengan ubud art market, monkey forest, bisa jalan kaki, ada minimarket juga jadi mudah untuk beli keperluan.",5
24, Adiwana Monkey Forest,"Tempat yang bagus untuk berlibur bersama saudara, teman, kerabat dll. Suasana ubud yang nyaman. Staff yang ramah dan sopan. Kamar yang nyaman dan luas. Kolam renang yang luas dengan pemandangan asri. Makanan yang enak",5
25, Adiwana Monkey Forest,"Bagi kalian yang pas jalan2 ke ubud, mesti coba stay disini!. service staffnya ramah dan baik banget, breakfastnya enak. Tempat foto2 instagramable banget. Stay selama 2 malam disini sprti tingal dirumah sendiri nyaman banget deh pokonya.",5
26, Adiwana Monkey Forest,"Rekomendasi dari temen yang sudah stay disini pada bulan october selama 2 malam, dan bulan ini kami memutuskan untuk mencobanya. Meskipun kami hanya nginep semalam doang,  tapi sumpah pelayanan nya sangat luar biasa, very helpfull banget deh dari check-in sampai out, breakfastnya enak banget, smpe2 nambah nasi goreng lagi 1, recomended place to stay.",5
27, Adiwana Monkey Forest,"Love banget dah sama servicenya. Kamarnya nyaman banget breafastnya juga, bahkan mereka membawakan brekfast kami ke room. Menyenangkan sekali lah kalau liburan disini.  pokoknya nanti pas dapat libur lagi bakalan stay lebih lama.",5
28, Adiwana Monkey Forest,"Kami menginap selama 2 malam di Adiwana Monkey Forest, fasilitas yang disediakan sangat sempurna, mulai dari kolam renang, spa dan brekfast yang luar biasa enak, kami suka dengan menu ""Guest Favourite Breakfast"" so yummy. Pelayanan dari semua staffnya sangat ramah. Lokasinya sangatlah strategis.  High Recomended lah",5
29, Adiwana Monkey Forest,"Wow.... Fantastis... Hotelnya simple, staffnya ramah2,fasilitas nya ok... Breakfast nya juga Mantap... Mau kemana-mana dekat, central Ubud... Recommended dech pokoknya... terimakasih adiwana monkey forest hotel",5
30, Adiwana Monkey Forest,"Tempatnyaa bersih dan nyaman, view nya sangatt bagus, karyawannya ramahh, makanan dan minumannya  enakk, dan tempatnya luas, sangatttt rekomend untuk mengajak keluarga holiday disiniii dan staycation disinii.",5
31, Adiwana Monkey Forest,Kamar nya bersih dan nyaman  Recomended untuk berlibur bersama keluarga 🤗🤗 Lokasi nya strategis bgt untuk di daerah ubud  Ada kolam berenang  Makanan nya enak enak  Karyawan nya sangat ramah  Fasilitas kamar nya sangat lengkap,5
32, Adiwana Monkey Forest,"Kamar mandinya bersih, airnya kencang, lokasi strategis, toiletries nya wangi sekali, hospitality nya bagus memenuhi permintaan tamu. Floating breakfast nya cantik sekali. Terima kasih Adiwana Monkey Forest! 💖",5
