,hotel,review,stars
0, Adiwana Svarga Loka,"Pada waktu itu Adiwana Svarga Loka adalah tempat yang kami jadikan untuk basecamp shootingan, tempatnya sangat indah, dekat dengan alam, dan sunyi yang sangat cocok untuk para pekerja yang bermalam disini.",5
1, Adiwana Svarga Loka,"Untuk suasananya enak sekali, tapi mungkin karena efek pandemi, fasilitas yang dekat sungai aga kurang terurus, porsi makan juga kurang kenyang. Selebihnya ini tempat enak buat istirahat dll ambiencenya tenang bgt. Sampe lupa waktu. Saking ademnyq",5
2, Adiwana Svarga Loka,"Hotel yang sangat nyaman energy taksunya sangat terasa ,pas check in staff fo percikan air suci dan gong dibunyikan pertama kali saya rasakan pengalaman yg lain dari pada yg lain,semua staff sangat ramah ,kamarnya bersih dan makanananya super enak",5
3, Adiwana Svarga Loka,"Stay di Adiwana Svarga Loka sangat menyenangkan,  tempatnya begitu ecofriendly,  sangat dekat dengan alam,  banyak spot foto bagus dan klasik di resort ini,  special thank untuk Puspita karena sudah mengajak saya keliling hotel",5
4, Adiwana Svarga Loka,"Merasakan hening di ubud merupakan pengalaman yg baru sekaligus menyenangkan dan menenangkan. Adiwana Svarga Loka merupakan penginapan yg tenang sekaligus memberikan pengalaman baru back to nature. No TV dan jauh dari hingar bingar Bali. Pelayanan yg sgt baik dan ramah, definitely will come back. Revisi pada menu nyepi, mujair bakarnya, agak amis dan tidak segar. Overall makanan lainnya oke. Semoga bisa kembali ramai yaa hotelnya. Keep survive. Thank you!",5
5, Adiwana Svarga Loka,"Tempatnya sejuk, Astri  sangat cocok untuk berlibur melepaskan lelah. Pegawainya ramah ramah dan profesional, pokoknya recommended banget tempatnya . Jika anda merasa bosan dengan suasana bising, disini tempatnya, baru memasuki area swargaloka Sudah berasa suasana adem, nyaman ,pokokknya toppp 👍👍👍",5
6, Adiwana Svarga Loka,"Great hospitality,pelayanan ramag, tempat tidur nyaman, makanan enak, fasilitas lengkap. Bisa request floating breakfast. Ambience-nya tenang, benar-benar merasakan suasana ubud. Tersedia juga experience melukat.",5
7, Adiwana Svarga Loka,"suasananya tenang cocok untuk refreshing abis cape dan butuh waktu tenang. Enak bgt dipake me time atau waktu keluarga yg biasanya jarang kumpul"" tanpa sibuk masing"". Manggang bareng keluarga dan teman cocok bgt suasananya. Menu mereka enak"", aku suka nasi gorengnya si👍",4
8, Adiwana Svarga Loka,"Puas banget habis di masass badan terasa ringan banget, bisa rilexs juga sampai ketiduran di masass enak banget🥰 Sehabis masass kita berenang juga loo, tempatnya seperti punya sendiri nyaman bisa langsung request makanannya disana, kalau mau ke resto nya juga bisa sih cuma kita pengennya sambil menikmati renang sambil makan 🤗 Next bisa kesini lagi buat masass dan renangnya dah😍",5
9, Adiwana Svarga Loka,"bagus banget tempatnya, pelayanannya juga baik dan ramah, birthday aku di rayain. Thanku adiwana svagaloka pertahankan servicenya. klo ke bali lagi mau nginap disini lagi karna bener"" enak banget tempatnya. semoga dapat promo wkwk",5
10, Adiwana Svarga Loka,Tempatnya sangat nyaman.....  Staffnya sangat friendly..... Lokasinya dekat dengan ubud center..... Brekfastnya perfect... Saya dan suami sangat menikmati waktu staycation disini . For sure will be back in the next future..😍 Thank you...✨✨✨,5
11, Adiwana Svarga Loka,"Viewnya keren, pelayananya ramah dan tentunya makanya juga enak ditemani suasana ubud yg asri. Sangat cocok untuk mencari ketenangan, roomnya sangat elegan dan sangat bersih, so pastinya bakalan dateng lagi deh, thank u adiwana svarga loka",5
12, Adiwana Svarga Loka,"Ini adalah hotel terbaik jik anda mencari sebuah ketengangan. Sagat cocok buat anda yang ingin melepas stress dan lelah, karena hotel ini sangat tenang dan menyaru dengan alam sekitarnya. Dan Adiwana Svargaloka sangat cocok buat anda yang gemar bermeditasi dan yoga.",5
13, Adiwana Svarga Loka,"Tempatnya keren dan masih asri  Modern dengan sentuhan klasik Didalam kamar lengkap dengan coffe maker, ada hair dryer juga jadi sangat membantu ketika habis mandi Dan ada brankas juga jadi bisa nyimpan barang berharga tanpa takut  Kalau ada kesempatan bakal mampir kesini lagi Trimakasih svargaloka",5
14, Adiwana Svarga Loka,"Ada 3 point yang saya suka dari Adiwana Svarga loka.  1. Lokasinya cozy bgt, jauh dari ubud yang rame jadi nyaman  2. Staff ramah 3. The foods are so delicious  Sangat recommended apalagi dengan protocol kesehatan yang baik, makin aman kalau stay di sini👌",5
15, Adiwana Svarga Loka,"Hotelnya bagus banget👍👍👍 staffnya ramah2 , makananya juga enak2, dan guest activitynya seru banget,and then spa nya juga bagus banget, sangat recomended buat di pilih segagai tempat menginap di seputaran ubud dan locasinya pun dekat banget dengan Central Ubud, kalian harus cobain nginep disini 👍.",4
16, Adiwana Svarga Loka,"Tempat menginap yang indah dan nyaman buat berlibur di Ubud Bali ,pemandanganya indah , dan nyaman di tempati, ada sungai yang indah pemandangan Svarga Loka Resort ini, pegawai yang ramah-ramah sangat bersahabat dan kekeluargaan",5
17, Adiwana Svarga Loka,"Sungguh fantastis pengalaman tinggal kami di sini dan kami merasa sedih untuk pergi. Kami mendapatkan  beberapa kekurangan kecil dengan kamar yang kami dapatkan di awal , oleh karena itu kami minta  pindah, dimana hal ini  dilakukan langsung  dengan cepat dan kami sungguh menghargai upgrade yang kami dapatkan. Hotel ini adalah benar-benar indah. Staf yang hebat dan lokasi yang baik. Kolam Renang nya indah juga. Kami mendapat penawaran paket yang  termasuk hidangan teh sore hari, tour seharian. Sarapan dan pijat untuk kami masing-masing. Semuanya sangat bagus, hidangan teh sore hari yang bervariasi  diatur oleh juru masak pada hari itu. Layanan antar-jemput gratis sangat berguna tetapi  kami  mendapatkan jadwal antar jemput yang bentrok waktunya jadwal kelas lainnya yang berarti…",5
18, Adiwana Svarga Loka,Lokasi jauh dari jalan yang sibuk sehingga sangat damai. Pijat cukup bagus. Staf dan sopir sopan dan bermanfaat. Mereka bahkan bersikeras biaya sewa mobil setengah hari (seperti rencana awal kami) meskipun kami kembali ke hotel di malam hari - ini di luar harapan kami. Fasilitas kamar luar biasa sehingga kami bahkan membeli body lotion di rumah. Hanya satu kelemahan yang tidak ada dalam kendali hotel: ada pengembangan hotel di seberang hotel di sisi lembah sehingga kami tidak dapat bersantai di tepi kolam renang sisi atas karena sangat bising. Satu tip: Perlu lebih banyak tanda untuk memberi tahu tamu bagaimana menemukan kolam renang di bagian bawah. Kami tidak dapat menemukannya.,5
19, Adiwana Svarga Loka,Saya dan mitra saya tinggal di sini dan benar-benar menyukainya! Cukup jauh dari daerah Ubud yang sibuk tetapi dekat dengan kafe-kafe yang indah dan toko-toko yang nyaman.  Kamar-kamar yang luas dikelilingi oleh hutan yang rimbun dan area kolam menakjubkan! Staf yang ramah menjadikan ini pengalaman Bali yang benar-benar menyenangkan dan otentik!,5
20, Adiwana Svarga Loka,"Ini adalah resor bersih yang bagus dekat dengan pusat kota Ubud. Kamarnya ukurannya masuk akal dengan kamar mandi yang bagus. Kamar ini dilengkapi dengan fasilitas yang penting tapi tidak mewah, tidak ada TV atau mini bar. Di malam hari semuanya ditutup bahkan di bar, kolam renangnya kecil. dan itu bagus Staf sopan membantu dan ramah Kami menginap 4 malam itu baik",4
21, Adiwana Svarga Loka,"Sangat menyukai tempat ini. Staf sangat berpikiran layanan. Menawarkan handuk dingin dan minuman selamat datang pada saat kedatangan. Kamar besar dengan balkon dan kamar mandi sebagian di luar ruangan. Sarapan dari menu sangat enak dan cukup. Teh sore juga termasuk terdiri dari manisan Bali. Benar-benar bagus! Area hotel cukup besar dengan beberapa bangunan tersebar. Beberapa dari mereka tampaknya tidak digunakan dan mulai diambil alih oleh alam, tetapi semua bangunan digunakan dalam kondisi yang baik. Terutama ruangan. Mereka memiliki dua kolam. Satu berlokasi di pusat, satu di bawah sungai. Mungkin sulit ditemukan, tetapi ini oasis nyata. Kami di mana sendirian di sana.  Di seberang sungai ada kompleks hotel besar yang sedang dibangun, ini menyebabkan beberapa gangguan, tapi…",5
22, Adiwana Svarga Loka,Akomodasi luar biasa dengan empat tempat tidur poster di kamar yang indah dengan kamar mandi luar kamar. Fasilitas yang sangat aneh di lokasi yang indah. Sangat cocok untuk melepas keramaian dari hiruk pikuk kota besar!,5
23, Adiwana Svarga Loka,"Kami tinggal di resor ini selama 2 malam dan kami benar-benar menyukai kami tinggal. Kamar super bersih dan nyaman, staf sangat ramah dan membantu dan lokasi sempurna, 5 menit berjalan kaki dari Campuhan Ridge Walk. Kami juga benar-benar menyukai sup mereka yang merupakan keharusan bagi kami orang Portugis. Satu-satunya downside adalah situs konstruksi yang terjadi di sebelah resor yang menghalangi pandangan sedikit dari kolam renang utama tetapi resor ini menawarkan kolam kedua tidak jauh dari kamar. Akhirnya spa mereka luar biasa, kami memiliki pijat 90 menit dan merasa sangat baik setelahnya.  Dan & Maggs",5
24, Adiwana Svarga Loka,"Kami tinggal di sini selama beberapa malam dan kami menyukainya. Itu adalah tempat yang sangat menawan dan mereka tidak memotong satu pohon pun untuk membangun resor! Kamarnya bersih dan luas, dan sisa properti seperti desa kecil dengan banyak jalan setapak dan tempat menarik untuk bersantai. Ada dua kolam renang dan studio yoga. Staf sangat mengagumkan! Semua orang sangat ramah dan baik. Koki sangat akomodatif untuk diet vegan kami dan makanan terasa luar biasa dan berkualitas sangat tinggi. Kami pasti dapat merekomendasikan Svarga Loka!",5
25, Adiwana Svarga Loka,"Sebagai traveler wanita solo, saya ragu-ragu untuk tetap berada di luar area utama tetapi saya tetap santai dan merasa sangat aman. saya berjalan sangat singkat ke pusat kota atau naik taksi motor seharga $ 3 (Ubud begitu sibuk dengan lalu lintas sekarang sehingga berjalan kaki bahkan bisa lebih cepat!) Dikelilingi oleh alam sangat indah dan staf benar-benar membuat Anda merasa diterima dengan salam pagi setiap hari. Wifi sangat bagus dan hotel ini dekat dengan beberapa restoran yang memiliki makanan yang cukup murah. Satu-satunya hal adalah sebagai lampu tidur saya dibangunkan setiap pagi pukul 5 pagi oleh ayam lokal tetapi orang yang lebih berat mungkin tidak menemukan ini sebagai masalah! Mereka bahkan membiarkan saya memeriksa sedikit kemudian untuk mengakomodasi penerbangan…",4
26, Adiwana Svarga Loka,"Sebagai traveler solo yang melakukan perjalanan ke Bali untuk pertama kalinya, saya tidak bisa memilih lokasi yang lebih baik untuk sebuah resor. Resor ini terletak di budaya kaya Ubud.  Saya tiba larut malam dan staf sedang menunggu kedatangan saya. Mereka menyambut saya dengan hangat dan pergi ke kamar saya. Ruangan itu jarang dan sederhana, tetapi pemandangan dari kamar saya adalah napas mengambil dan dibangunkan oleh burung setiap pagi sangat mengagumkan.  Makanan segar dan sehat dan banyak restoran dekat ketika Anda menginginkan sesuatu yang berbeda.  Apa yang membuat kunjungan saya ke loka Svarga mudah diingat adalah staf di perawatan spa. Mereka segera membuat saya merasa diterima, memberi saya pijatan dan perawatan wajah yang luar biasa. Khususnya, manajer di Spa, Popspa…",5
27, Adiwana Svarga Loka,"Svarga loka adalah salah satu tempat terbaik yang pernah saya kunjungi. Ini memiliki pemandangan yang menakjubkan, dan getaran spiritual yang sangat menyenangkan. Anggota staf sangat baik dan ramah. Mereka telah melakukan segalanya untuk membantu saya. Semua pertanyaan dijawab pada panggilan pertama. Ame, petugas hubungan tamu luar biasa dan telah berhubungan setiap hari selama saya tinggal. Ini adalah tempat saya akan tinggal di waktu berikutnya saya berada di ubud. Ada beberapa masalah dengan serangga tetapi ini tidak dapat dihindari karena dikelilingi oleh alam. Namun, anggota staf melakukan semua yang mereka bisa untuk menyelesaikan masalah. Makanan menakjubkan dan spa keluar dari dunia ini.",5
28, Adiwana Svarga Loka,"Saya dan pacar saya tinggal selama 3 malam di resor yang indah dan damai di Ubud ini. Svarga Loka bukan hanya sebuah situs mewah, tetapi juga tempat suci magis, di mana Anda dapat menemukan kedamaian dan berhubungan dengan jiwa batin Anda. Dengan Hal terbaik adalah Anda dapat mengikuti kelas Yoga, kelas Kong - fu dan juga belajar bagaimana membuat persembahan Bali. Ini adalah pengalaman budaya sejati dan kami tidak bisa lebih senang dengan kami tinggal. Terima kasih Svarga Loka, Anda membuat kami menemukan cahayanya!",5
29, Adiwana Svarga Loka,"Lokasi hotel sangat bagus. . mereka memiliki shuttle gratis yang bisa membawa anda ke pusat Ubud. . Staf sangat ramah dan membantu. . Kami suka minum. air dingin, mereka selalu memastikan untuk memiliki air dingin di lemari es untuk kami. . . Saya meminta telur goreng dan dapur tidak untuk saya. . . Hari terakhir 6 pagi. Supir kami tidak datang untuk membawa kami ke bandara. . . (1 jam dari bandara) kami ketinggalan penerbangan panik. . . Stafnya mengambil tindakan segera. . Hotel palungan bangun . dan mengatur sopir dalam waktu 5 menit. . Saya benar-benar menghargai itu. Ia menyelamatkan kami.. . .",5
30, Adiwana Svarga Loka,"Menginap di villa dengan dua kamar tidur. Kamar atas bersama anak remaja sementara kami orang tua saya mendapatkan kamar yang di pinggir kolam renang.  Bersih, staf yang bagus, kolam renang yang indah. Termasuk bagus. Kegiatan Melakukan beberapa sesi yoga, dan berkat air.  Tidak banyak berjalan kaki ke pusat Ubud dan cukup mudah. Makanan yang enak di sekitar ton.",5
