,hotel,review,stars
0, Aeera Villa Canggu by Ini Vie Hospitality,"Stay di aeera villa sangat menyenangkan dan fasilitasnya juga lengkap , staffnya juga ramah ramah very helpfull dan excellent service pokoknya , disana juga banyak spot"" foto yang menarik , thank you aeera villa !!",5
1, Aeera Villa Canggu by Ini Vie Hospitality,"Villa nya keren banget,, luas dan pemandangannya juga okey banget,,, suka banget stay disini , pelayanannya juga okey banget, ga nyesel stay disini pasti akan balik lagi deh , breakfast nya juga enak banget",5
2, Aeera Villa Canggu by Ini Vie Hospitality,"villa nya keren banget, bersih pelayanannya juga okey banget,,, ga salah pilih untuk kali ini, ini bakal jadi villa Fav di Canggu area, Deket ke Finns juga loh,, btw mereka ada main pool juga ,keren banget banyak spot photo",5
3, Aeera Villa Canggu by Ini Vie Hospitality,"Great  villa in canggu area,,,,, villa nya sangat bersih,,,, service yg diberikan sangat okey,, dekat ke finns juga jadi gampang banget,,pokoknya pasti bakal balik lagi ke villa ini dan bakal recommend ke family juga",5
4, Aeera Villa Canggu by Ini Vie Hospitality,"liburan bareng suami disini menyenangkan banget,suasananya okey banget,,, view yang dikasik oket, pokoknya sangat recommend stay disini, pasti bakal balik lagi untuk next stay nya ,, btw service mereka luar biasa banget",5
5, Aeera Villa Canggu by Ini Vie Hospitality,"Liburan di Bali kurang lengkap rasanya tanpa stay di daerah Canggu , dengan view sawah di depannya dan tempat dan suasananya sepi, kita stay di aeera villa , villanya bagus banget, bersih, nyaman,serta fasilitasnya lengkap recoment pokoknya untuk yang lagi nyari villa bersama pasangan atau rekan kerja",5
6, Aeera Villa Canggu by Ini Vie Hospitality,"tempat nya bagus dan nyaman, ada 2 pool private ones and public. instagramable bgt , and so cozy. tempat nya deket sama finns jd enak buat kemana2 recommend buat yg suka ke banyak beach club. makan2 nya jg enak",5
7, Aeera Villa Canggu by Ini Vie Hospitality,"Staycation di aeera villa kali ini dengan teman, nikmati pemandangan sawah enak banget soresore,,untuk pelayanannya juga okey banget, kamar juga sangat bersih sangat terjaga,, sangat recommend stay disini",5
8, Aeera Villa Canggu by Ini Vie Hospitality,"Villa yang keren ,desain nya yang modern dan banyak spot spot foto menarik dan fasilitasnya juga lengkap, serta service juga excellent , thank you aeera villa we Will comeback for stay again # recommend villa",5
9, Aeera Villa Canggu by Ini Vie Hospitality,"Pengalaman menginap di aeera villa sangat menyenangkan,,, kebersihan dan fasilitas kamarnya juga Okeh banget, ada view sawah nya juga,, ga nyesel banget buat nginep disini , dari pelayanan awal sampai akhir staff nya semua ramah banget, Terimakasih ",5
10, Aeera Villa Canggu by Ini Vie Hospitality,"Villanya sangat bagus dan nyaman,sawah sawah depan villanya bikin menginap di aeera sangat mengesankan,dan juga kalo mau ke pantai tidak terlalu jauh dari villa,the best dah menginap di aeera villa ,,",5
11, Aeera Villa Canggu by Ini Vie Hospitality,"Overall semua sudah sangat baik & bagus, hanya saja ruangan yg belum cukup kedap suara.   Service, semuanya baik, posisi villa gampang ditemukan, tp untuk akses masuk gang hanya 1 jalur, jd harus hati2 cek liat ada mobil keluar atau tidak",4
12, Aeera Villa Canggu by Ini Vie Hospitality,"Liburan di bali kurang lengkap rasanya tanpa liburan di daerah canggu , tepatnya pantai berawa . Kita stay di aeera villa , villanya strategis banget , dekat kemana mana , ke pantai dan restaurant , villanya bagus banget , bersih nyaman, dan staffnya ramah ramah , thx you aeera villa",5
