,hotel,review,stars
0, Akmani Legian,"Bulan januari adain  party disana.kita ambil venue di h8s sky bar.roof top nya keren banget.ada swiming pool nya juga dan juga suasana nya keren banget.kita ambil paket buffet, ternyata dikasi welcome drink dan juga included beer juga.terimakasih banyak pak alit sudah assist saya dan juga temen temen bikin acara disana.staffnya ramah banget.love it.minuman nya juga enak.beneran puas deh",5
1, Akmani Legian,"Saya memilih hotel ini karena berpikir akan mudah kemana - mana dan cukup dekat dengan pantai. Saat cek in perlu tunggu waktu 30 menit karena kamar sedang dibereskan lebih dulu. Untuk proses cek in tidak masalah . Hanya kita perlu deposit Rp 500.000 dan dikembalikan saat cek out . Jadi usahakan kuitansi tidak hilang . Saya menginap selama 4 hari 3 malam . Kamar terletak di lantai 6, kamarnya lumayan bersih dan cukup luas . Hanya tirai sedikit kotor . Hotelnya penuh orang2 bule. Untuk sarapan lumayan enak dan kebarat-baratan . Bagi yang tidak suka makanan western  ada nasi goreng . Kamarnya tenang dan tidak berisik . Tapi jalanan depan hotel macet dari siang sampai malam . Sehingga lebih baik jalan kaki untuk menghindari macet. Makanan disekitar hotel mahal . Bila berkunjung…",4
2, Akmani Legian,Menginap di hotel akmani legian yang kawasannya selalu ramai.. kamarnya bersih dan nyaman apalagi dapat kamar yang terhubung langsung dengan kolam renang jadi enak kalau bawa anak.. cuma sayang agak macet menuju ke hotel ini,3
3, Akmani Legian,"Manajemen hotel sangat ramah, pelayanannya sangat memuaskan, pokoknya recommended bgt deh buat liburan disitu, kamarnya juga bersih, terus untuk makanan breakfastnya enak2 semua, pokoknya gak nyesel nginep disitu.",5
4, Akmani Legian,"Lokasi cukup strategis, di depan hotel ada penyewaan sepeda motor, ke pantai kuta dengan taxi pun harganya tidak mahal karena dekat. Kamar nyaman sekali, dekorasi unik, menginap di lantai 5 dan ada dipan pemandangan  kolam renang. Kamar deluxe dengan bathtub, tapi cukup heran dikamar mandi tidak ada sikat giginya.  Untuk saya yg membawa anak kecil mungkin kamarnya agak kurang luas dan lemari untuk menaruh barang bawaan kurang besar. Anak saya suka karena di loby ada kolam ikan yang cantik. dilengkapi ruang fitnes yg gratis juga. Room service cepat tanggap. 2 hari menginap sangat nyaman. sarapan OK. terima kasih akmani legian.",5
5, Akmani Legian,"Hotel terletak di Legian ditengan keramai, sangat strategis menginap disini kemana aja tinggal jalan. Kami memesan kamar melalui salah satu web saat tiba kami di tawari upgrade kamar. Setelah melihat kondisi kamar yg kami pesan ternyata kurang nyaman krn km nya termasuk Clasic yg tdk ada jendela. Syukurlah kami pindah pasti kl di kamar spt itu akan terasa terkungkung ",4
6, Akmani Legian,management hotel sangat mengetahui bahwa saya travel utk honeymoon dan mereka telah mempersiapkan beberapa kejutan menarik utk saya dan istri secara gratis. saya sangat senang atas akmani hotel ini. kelak saya akan datang kembali,5
7, Akmani Legian,"Setelah pusing melihat-lihat pilihan hotel dan penginapan yang ada di Bali, akhirnya saya menetapkan pilihan di hotel ini. Harganya tidak mahal. Dengan 657000 IDR saja, kita sudah mendapatkan kamar dengan twin bed dan sarapan. Hotelnya cozy dengan kolam renang yang dihiasi pepohonan rindang. Walaupun di depan sangat hiruk pikuk dikarenakan letak hotelnya yang berada di Legian, tapi di dalam tidak terasa bising. Kemana-mana juga dekat. Semua yang saya cari, saya temukan di hotel ini.  Hanya saja, saya sangat aneh dengan kebijakan pembayaran hotel ini. Kebetulam saya memesan dari salah satu travel online yang ada dan kartu kredit saya sudah di-charge duluan sehingga sampai di sana saya tidak perlu membayar lagi. Walaupun begitu, seperti layaknya hotel-hotel, mereka masih tetap…",2
8, Akmani Legian,"akmani ini ada di kawasan jalan legian, jadi enak kalo mau ke legian tinggal jalan kaki aja, karna legian termasuk jalan yang paling macet. hotelnya enak, dekat kemana2, pelayanannya ramah. poolnya enak dan tidak terlalu ramai, waktu itu pesan ingin yg highfloor pool view, tapi karna penuh jadi tidak bisa, overall ok, cuma AC kurang dingin",4
9, Akmani Legian,"The Akmani Legian Hotel berada di salah satu pusat termacet Denpasar, 30 menit jalan kaki ke pantai Legian dengan convenience store dan art shop bertebaran dimana-mana. Saya membeli voucher Classic Room dari salah satu travel agent online, dan ketika check in di resepsionist, diberi tahu bahwa jenis kamar tersebut fully booked and surprisingly diberikan kamar Grand Deluxe with pool view. What a compliment!  Nilai plus: Kamar bersih, luas, tenang. Kamar mandi nyaman, luas, dengan bath up. Swimming pool luas, with children's pool. Staff ramah dan helpfull.  Nilai minus: - Menu sarapan tidak bervariasi dan cenderung monoton. Terasa membosankan, bahkan hanya untuk 3 days in a row. - Resto buat sarapan di lantai 6 sangat terbatas dan akan membludak di jam-jam favorit (8-10am).…",3
