,hotel,review,stars
0, Alila Ubud,"Kita sekeluarga stay 4 malam di Type Deluxe (Lt 1). Malam pertama semua ok menyenangkan. Malam ke 2 kita sempat komplain (Dan ditanggapi dgn baik) karena ada suara dr atas, kita maklum karena berpikir mungkin anak2 yg berlarian. Besok paginya kita berniat upgrade k Villa (tp semuanya habis) akhirnya ada staff yg bilang, di lantai atas kami akan di kosongkan.... tp nyatanya tidak.... Kita selama 2 malam hanya bisa tidur 3-4 jam. Karena suara langkah orang berjalan dr (kamar superrior), suara flash wc akan sangat - sangat terdengar sekali, suara bunyi kursi digeser, pintu ditutup atau dibuka. Jadi saran saya klo mau menginap lbh baik di Superrior atau Villa  Kita suka dgn Allila (Manggis, Soor (Dulu), Seminyak) tp dengan yg di Payangan di luar ekspektasi kami, pdahal kami sangat…",2
1, Alila Ubud,"Pemandangan ubud dan hotek alila merupakan perpaduan yg sangat indah, ditambah kamar yg bagus dan nyaman, pilihan makanan yg enak dan petugas yg ramah membuat bisnis trip gak terasa lelah karena pelayanan dan kenyamanan hotel yg maksimal. Next time i'll be back again.",5
2, Alila Ubud,"Tempat yang sangat keren sekali.. untuk memanjakan diri dan bersantai bersama pasangan serta merupakan tempat dinner Romantis di ubud, anda patut mencoba nya.. menu yang enak, pelayanan yang ramah silahkan anda mencoba nya ",4
3, Alila Ubud,"Tekanan air panas dan dingin kurang stabil dan kurang seimbang, sehingga untuk mendapatkan suhu yang ideal susah.  Tidak ada bidet, untuk sebuah hotel di Indonesia menurut saya tidak nyaman.  Selain dua diatas semua memuaskan.",3
4, Alila Ubud,"Saya pesan kamar yg superior, tapi ternyata no TV (harus pesan dulu di resepsionis baru dibawakan). AC ga dingin.   Toiletnya ga ada shower mini (jdnya toilet kering). Ga ada sedia sikat gigi juga. Pdhl RATA2 HOTEL bintang 4 keatas, apalagi di bali, pasti ada keduanya..   Dan menurut sy yang paling unik, ketika disediakan bubur kacang hijau, ternyata belum pecah kecambah2nya, encer, dan dihidangkan di piring yang walaupun cekung, tapi tetap namanya piring. Gimana nyendoknya?   Dan pertama kali yang bikin kurang sreg, pas kami datang pertama kali tanya parkiran dimana, dijawab jutek sama staff yg sedang disekitar parkiran. ",3
5, Alila Ubud,Saya berekspektasi bahwa hotel ini akan sangat mewah dan indah karena mengunakan nama Alia seperti Alila Ubud. Namun saya sedikit kecewa karena ternyata tidak semewah yang saya kira. Area lobby nya sangat kecil dan common area di hotel juga sedikit. Yang indah hanyalah kolam renangnya. Untuk kamar ok dengan bath tub di luar/dekat taman dibelakang kamar. Namun saya tidak merasa Wah. Breakfastnya cukup enak. Dibandingkan hotel lain di Ubud mungkin banyak pilihan yang lebih bagus.,3
6, Alila Ubud,"Hotel Alila Ubud benar2 hotel yang sangat khas Pulau Bali. Hotel ini terletak di daerah Ubud, yang kira2 45 menit dari kota Denpasar. Jadi tidak cocok untuk berbisnis tetapi cocok untuk turis karena di Ubud pun banyak objek pariwisata, seperti pasar Ubud, monkey forest dan juga kuliner2 terkenal seperti babi guling Bu Oka.  Kamar hotel ini benar2 khas Bali. Ceiling di kamar yang saya tempati sangat tinggi dan atapnya dari jerami/kayu, jadi benar2 khas. Lalu, juga cukup eksklusif karena bukan terletak di suatu bangunan yang kamarnya bersebelahan, tetapi lebih seperti villa karena bangunan kamar kita berdiri sendiri.  Kolam renang nya juga sangat bagus. Menurut pekerja di hotel, telah memenangkan banyak award internasional, dan saya tidak kaget. Sangat saya rekomendasikan hotel…",5
7, Alila Ubud,"Kami ingin sekali menikmati Bali dikala menjelang merayakan Hari Raya Nyepi karena beberapa hari sebelumnya diramaikan oleh berbagai upacara keagamaan yang sangat eksotis disetiap banjar atau pura diseluruh Bali. Namun karena di Hari Raya Nyepi tidak boleh ada kegiatan yang terlihat secara umum, maka kami harus mendapatkan hotel yang ""tidak mengekang"". Terpilihlah Alila ubud dengan pertimbangan, lokasi nya di Ubud yang eksotis dengan kegiatan keagamaannya masih lebih orisinil, dan hotelnya terletak disuatu dusun terbuka dengan layout berestetika alami. Impian kami benar-benar terwujud, karena selama nyepi, kami tidak merasakan sama sekali rasa bosan, karena dapat menikmati seluruh fasilitas yang tersedia (makanan, kamar, dan suasana luar kamar) dengan baik dan nyaman.",4
8, Alila Ubud,Sangat memalukan sekali untuk hotel ternama seperti alila memiliki bagian reservasi booking yg tidak ramah bernama JERRY! sangat tidak ramah dan tidak sopan membuat kami tidak jadi dan malas menginap dihotel ini setelah kami mencoba booking by phone.,1
9, Alila Ubud,"Saya punya satu keluhan sangat besar. Kami memesan melalui biro perjalanan yang memakai Fiesta Holidays sebab kami dijanjikan sejumlah hadiah seperti pijat gratis dan sajian kecil gaya Bali. Nilainya mungkin 100 dolar jika digabung per kamar dan kami ada enam orang. Namun, saat tiba, pihak hotel mengambil rencana perjalanan kami dan tak mengembalikannya hingga kami dalam perjalanan pulang menuju bandara. Di sini hadiahnya tercatat, namun pihak hotel menolaknya, mengatakan kami mendapat malam tambahan sebagai gantinya. Ini tak benar atau bukan yang diiklankan. Hal itu akan dipastikan agen perjalanan. Jadi, berhati-hatilah sebab ini agak merusak liburan kami. Padahal itu adalah liburan sekali seumur hidup bagi saudari saya dan pasangannya yang saya biayai. Mereka datang dari…",5
