,hotel,review,stars
0, Ashoka Tree Resort,"tempat yg sempurna untuk menghabiskan waktu bersama pasangan. lokasi yg privat, kamar yg luas membuat kami sangat betah dan nyaman. dilengkapi dgn dapur dan kolam renang di masing2 villa. sangat memanjakan kami.",5
1, Ashoka Tree Resort,"Pengalaman menginap di Ashoka Tree Resort benar-benar luar biasa. Pelayanan staf hotelnya sangat ramah, saya bahkan juga disediakan rental motor untuk berkeliling disekitar Ubud. Kamarnya juga bersih dan wangi. Area hotel juga nyakan dan asri. Cocok sekali untuk menemukan ketenangan dan kenyamanan selama ada di Ubud.",5
2, Ashoka Tree Resort,"Nyari akomodasi di Ubud itu sebenernya cukup tricky. Banyak hotel yang bagus tp buat dapetin yang terbaik diantara mereka memang butuh waktu dan usaha.  Iseng nyoba stay di Ashoka Tree dan ternyata nemu hidden gem di Ubud.  1. Lokasi Lokasi Ashoka ada di daerah Tanggayuda yang agak jauh dr keramaian ubud tp sangat reachable. View tebing Tanggayuda juga dapat dilihat dari kamar, restoran dan kolam renang. Lokasinya tenaangg banget.. Cocok banget untuk getaway dan nyari inner peace..  2. Akses Lokasinya cuman 10 menit dari nasi ayam kedewatan, deket banget sama pom bensin dan minimarket kalo mau nyari snack atau sejenisnya. Kalo mau ke sentral ubud sekitar 15-25 menit tapi Ashoka nya sendiri udah nyiasatin dengan ngasi shuttle gratis ke pasar ubud. Sayang belum dapet nyoba karena…",5
3, Ashoka Tree Resort,Menginap 1 malam untuk weekend escape di Ashoka Tree. Pelayanan dan keramahan dari team Ashoka Tree patut diacungkan dua jempol!  Lokasi kalau boleh dibilang cukup strategis di Jalan Raya Kedewatan dan kebetulan menginap di One Bedroom Pool Villa yang cukup wowww banget... kamar mandi sangat lapang sekali. Dan dilengkapi dapur dengan beberapa peralatan masak jadi sangan membantu sekali.  Surprising sampai mobil juga dicuci karena kebetulan malam sebelumnya hujan lebat dari siang sampai malam hari.  Overall stay sangat memuaskan dan sangat merekomendasikan Ashoka Tree Resort. Will definitely back to stay pastinya...,5
4, Ashoka Tree Resort,"Pelayanan sangat ramah, tempat nyaman, kamar dan view nya bagus.. dan paling spesial dapat upgrade kamar free di karenakan sedang honeymoon..😊😊 Overall sangat memuaskan.. terima kasih ashoka tree resort..😀😀",5
5, Ashoka Tree Resort,Kami menginap 3D2N di hotel ini bersama keluarga. Pengalaman yang sangat menyenangkan. Semua staff ramah yang membuat hari kami semakin menyenangkan. Hotelnya bersih dan breakfast enak. Suasana hotel sejuk dan anak anak senang menginap di hotel ini.  I highly recommend this hotel. Thanks to ashoka tree resort. I will come back again to stay!,5
6, Ashoka Tree Resort,"Kemewahan Dalam Jangkauan  Setelah dua kali tersesat akhirnya saya dan sahabat menemukan lokasi Ashoka Tree Resort at Tanggayuda. Lokasinya memang terselubung dan Anda harus memperhatikan logonya yang tertancap di pinggir jalan. Ini kali pertama saya menginap di sana. Kedatangan saya dan sahabat sangat disambut. Saya memesan kamar berkonsep vila dengan kolam renang pribadi. Kamar saya berada di urutan kedua dari depan.  Kesan pertama masuk kamar, sangat luas dan lega. Begitu masuk, kami disambut area dapur yang menghadap kolam renang pribadi. Kolam renang ini bersisian dengan kamar yang menyatu bersama bath tub, wastafel, kloset, dan kamar mandi berkonsep kering. Kamarnya terkesan luas karena lemarinya ditanam di tembok. Selain itu, di sisi dapur ada tangga menuju ke lantai dua.…",3
7, Ashoka Tree Resort,"Kami stay utk 3D2N mengambil paket honeymoon. Pertama kali datang langsung disambut sangat ramah oleh staff dan lingkungan sekitar vila bersih. Untuk kamar bersih dan lengkap plus kolam renang jg bersih. Untuk menu makan siang dan dinner juga enak ditambah pelayanannya juga sangat ramah dan baik, sangat cocok untuk honeymoon dan relaksasi karena suasananya sangat nyaman dan tenang. Terima kasih Ashoka Tree Resort Ubud. The best! 👍",5
8, Ashoka Tree Resort,"Cocok sekali untuk bulan madu, tempatnya tenang dan pelayanan ramah. Makanan nikmat, private pool bersih dan enak. Banyak hutan rimbun dan sepi. Pelayannya sangat ramah dan selalu membantu dalam berbagai hal.. Kami akan balik kesini lagi klo ke Bali :D",4
9, Ashoka Tree Resort,"Setelah drama hampir ketinggalan pesawat karena cuaca yg buruk, dan setiba di Ashoka Tree ubud semua rasa capek lari2an kehujanan ilang semua pas masuk disambut sama staf yg ramah dan baik, welcome drink yg enak dan seger bgt (kl ga malu malah mau minta nambah wkwkwk), dan begitu masuk kamar jreng jreng langsung fallin in love abis sama bedroomnya yg super duper besar, bathroom dan bathtub yg gede banget ( saya dan suami gemuk itu muat loh hahahah ), dan berasa bgt kl kt tuh ada dirumah baru kali ini ke bali tapi males mau kemana-mana maunya cuma dikamar apalagi komplit abis roomnya dari dapur, kulkas yg besar, perlengkapan masak dan makan ada, apalagi kolam renangnya wowww besar dan nyaman, balcony yang romantis bgt sambil ngobrol2 syantik haduh pokoknya ga nyesel review saya…",5
10, Ashoka Tree Resort,"Cocok sekali untuk bulan madu, tempat tenang teduh dan pelayanan ramah. Makanan nikmat,private pool bersih dan enak. Banyak hutan rimbun dan sepi.  Pelayannya sangat ramaaah dan selalu membantu dalam berbagai hal.. Kalo ke Bali. Kmi akan tinggal disini lagi. :)",5
11, Ashoka Tree Resort,"Stay dari tanggal 1 sampai 3 januari 2016. Tempatnya yang jauh dari keramaian, kamar yang bagus, staff yg bersahabat, overall cocok untuk yg mencari ketenangan baik bersama pasangan maupun keluarga. Beberapa villa dalam tahap renovasi ketika kami disana.",4
12, Ashoka Tree Resort,"Lokasinya cukup terpencil. Pas untuk bulan madu yg butuh kesepian. Gang masuk cukup meragukan karena tidak ada sign. Pertama datang, kami disambut dengan sangat ramah oleh resepsionis. Karena kami datang sudah sore, langsung diantar ke kamar. Krn saya pakai voucher livingsocial, ada beberapa free detail yang include harga paket, salah satunya free afternoon tea dan free 15 minutes foot massage. Dan sebelum diantar ke kamar, saya langsung dikonfirmasi, kapan mau diantar afternoon tea nya dan tidak sesuai namanya, afternoon tea tidak hanya teh, tapi juga ada cokelat dan kopi, kami pilih hot coklat. Resepsionis juga langsung menanyakan free massage kapan diambil, padahal saya tadinya sudah malu kalau harus minta, ternyata staf sangat ramah dan sangat mengerti customer. Setelah…",4
13, Ashoka Tree Resort,"Pertengahan Agustus 2014 saya mengunjungi wilayah Ubud, Bali. Pilihan tempat untuk beristirahat adalah Bali Rich Luxury Villas Ubud yang berada di Jalan Raya Kedewatan Payangan, Ubud, Bali. Kebetulan saya mendapat kamar single dengan kolam renang private.  Suasana Ubud yang tenang dan damai, terpancar di villa ini. Karyawannya sangat ramah mulai dari recepsionis hingga penjaga restaurant. Mereka tanpa diminta selalu membantu kita jika kita kesusahan atau kelelahan sehabis berkeliling Ubud.  Menu sarapan juga sangat beragam dengan cita rasa yang nikmat. Bahkan setiap sore mereka menyediakan minuman teh dan kopi serta snack khas Bali untuk para tamu secara gratis.  Jika anda berada di villa ini rasanya tak mau beranjak keluar karena sudah tersedia paket-paket yang memanjakan…",4
