,hotel,review,stars
0, Astera Resort Canggu by Ini Vie Hospitality,"Pengalaman yang luar biasa, staff nya ramah, sarapan nya enak, tempat nya juga nyaman ada didaerah canggu, good vibes deh, apalagi breakfast with floating tray nambah pengalaman yg menyenangkan 💕😍 thank you",5
1, Astera Resort Canggu by Ini Vie Hospitality,"tempat nya nyaman dan bagus , cocok buat liburan ,akan balik lagi ke astera canggu ,pelayanannya bagus semua dan staff nya ramah kak Devi sangat membantu ,thanks for best service nya sangat membantu sekali",5
2, Astera Resort Canggu by Ini Vie Hospitality,"pertama staff yang oke sangat membantu,kedua makanan enak dan favorit nasi gorengnya apalagi bisa pakai floating breakfastnya. ketiga tempat tidurnya nyaman bangett dan ada alexa sistem juga jadi sangat membantu saat ingin memutar lagu yang kalian mau. bagus untuk honeymoon atau couple anniversary",5
3, Astera Resort Canggu by Ini Vie Hospitality,"Booking di Astera canggu sangat recomended, ada property baru lagi astera studio dimana terdapat suite room dan villa. Mainpool juga sangat bagus. Trus seneng bngt liat sunset di mainpoolnya, berenang bisa sepuas. Harus datang lagi.",5
4, Astera Resort Canggu by Ini Vie Hospitality,"best place service, tempat strategis super nyaman recommend banget harga terjangkau staf ramah dan sangat membantu, dekat kemana mana dekat ke pantai beach club dan banyak cafe di sekitar nya, next bisa stay lagi disini",5
5, Astera Resort Canggu by Ini Vie Hospitality,"Room service dan pengalaman menginap suasana bali yang semi outdoor sangat memuaskan. Kebersihan juga sangat bersih, harum dan nyaman. Sangat rekomen untuk liburan keluarga dan honeymoon. Letak villa juga strategis.",5
6, Astera Resort Canggu by Ini Vie Hospitality,"Pertama smpai Bali langsung menuju villa astera canggu dan alangkah terkejutnya kami berdua di smbut dengan keramahan staff villanya dan bukan itu saja ketika buka pintu villanya dan wahhh yg kami bayangkan terjadi villa super mewah, fasilitas lengkap dan yg paling kami sukai stafnya sangat membantu, terimakasih we will be back",5
7, Astera Resort Canggu by Ini Vie Hospitality,"very good, senang sekali bisa nginep di vila astera, pelayanan nya bagus, suasana nya nyaman dan menyenangkan, see you next time mudah mudahan bisa kesini lagi.. sukses terus buat astera villa canggu ",5
8, Astera Resort Canggu by Ini Vie Hospitality,"Kamarnya keren, kasurnya juga Embul bantal tidurnya nyaman banget. Next bakalan balik lagi kesini ajak temen temen yang lain. Stafnya juga ramah, mereka juga menyediakan fasilitas massage, seneng banget selama stay disini 🥰",5
9, Astera Resort Canggu by Ini Vie Hospitality,"Villanya keren dan modern banget, staffnya juga ramah fasilitasnya lengkap, kamarnya menarik, ada main pool dan jacuzzi yg keren, bisa nambah foto di ig keren bnget, ttep kompak next balik lagi kesini",5
10, Astera Resort Canggu by Ini Vie Hospitality,"Staffnya ramah, kamarnya nyaman dan bersih, makanannya juga enak dan service 24jam. Keluhan cepat ditanggapi. Fasilitas villa juga lengkap, pokoknya nginap di Astera Villa Canggu pengalaman yg sangat menyenangkan.",5
11, Astera Resort Canggu by Ini Vie Hospitality,Pertama kalinya stay di area canggu dan nemu hotel baru yaitu fi Astera canggu. baru masuk suasana nya adem dan nyaman. ga pengen keluar dan nonton netflix seharian hehe. pelayanan staff good. akan balik lagii ,5
12, Astera Resort Canggu by Ini Vie Hospitality,kamarnya bagus nyaman fasilitas nya juga bagus lingkungan juga enak….. tempat menginap yang cocok untuk berlibur menikmati suasana bali khususnya di daerah canggu. tidak menyesal menginap disini the best!!,5
13, Astera Resort Canggu by Ini Vie Hospitality,"Such a great time to stay with astera canggu bali. Pertama kali nginep disini for 3d2n and bakal balik kesini lagi sih buat next trip akuu!! Kamarnya bersih & nyaman bgt, servicenya juga juara pol💯💯",5
14, Astera Resort Canggu by Ini Vie Hospitality,"Perfect, sempurna Cleanliness top 5 star Staff friendly Over all all perfect Terimakasih warm welcome nya dan next kita stay di monolocale resort . Pokoknya the best utk staycation  canggu. Fasilitas juga bagus banget.",5
15, Astera Resort Canggu by Ini Vie Hospitality,Pelayanan oke ramah dan service memuaskan. Fasilitas completed dengan alexa sistem. Villa yang paling beda dari lain karna uniknya ada pasir sepanjang jalan menuju villa juga menyediakan Mainpool woth view. ,5
16, Astera Resort Canggu by Ini Vie Hospitality,"Best place for Holiday , Staff ramah dan sangat membantu ..  fasilitas lengkap .. design ruangan unik plus perfect bgt .. super nyaman staycation disini.. recommend bgt buat staycation .. worth it pokoknyaaa!!!!",5
17, Astera Resort Canggu by Ini Vie Hospitality,Villa dengan nuansa tropical dengan keunikannya dengan jalan berpasir dan ruangan luas dilengkapi alexa sistem. Membuat semakin nyaman dan ga pingin keluar hehe. Pelayanannya oke bangett. Akan k3mbali lagi tentunya . ,5
18, Astera Resort Canggu by Ini Vie Hospitality,"villanya bagus, masih baru, bersih, staffnya ramah & lokasinya cukup strategis di canggu. hanya saja akses dari lobby ke kamarnya harus melewati pasir, jadi kadang agak sedikit kotor pas masuk ke dalam kamarnya, but its okay, bisa lgsg bersih bersih ke toilet ;)",5
19, Astera Resort Canggu by Ini Vie Hospitality,"Suasananya nyaman dan bagus, ada main pool juga jadi bisa berenang sambil liat rice view. Deket sini banyak tempat restaurant dan dekat dengan pantai. Kebersihan nya juga bagus perlu di tingkatkan. Nyaman banget pokoknya",5
20, Astera Resort Canggu by Ini Vie Hospitality,"Villa nya sangat bagus sekali, kamarnya bersih dan sangat nyaman. Aromaterapi dikamar enak bgt wanginyaa. Ambience dan servicenya bener2 bagus. Tempatnya strategis banyak cafe2 yang bisa dikunjungi cuma dengan jalan kaki. Staffnya ramah2, yang lagi cari villa ini recommended bgt pokoknya",5
21, Astera Resort Canggu by Ini Vie Hospitality,"Nice ambient, lokasi pas ditengah canggu, spot makan dan entertain dekat. Private pool bentuknya unik dengan jacuzzi mantap, main pool bagus dengan view, suasananya juga tenang, pokoknya best reccomend bersama pasangan terutama yg baru berlibur di bali",5
22, Astera Resort Canggu by Ini Vie Hospitality,"tempatnya bagus banget cocok untuk holiday bareng keluarga, untuk anak anak juga kids friendly, good view, bed dan bathroom all clean , service nya juga bagus, cepat dan gak lama💖 happy to stay here💖💖",5
23, Astera Resort Canggu by Ini Vie Hospitality,"sebelum dari sini sempet ke sini vie villa. dan memang satu management kebetulan, dan ya begitu, bener2 selalu memuaskan dari mulai service, ambience all is perfect! definitely bakal balik lagi kesini. thankyou astera villa canggu",5
24, Astera Resort Canggu by Ini Vie Hospitality,"Menginap villa di bali yang lagi viral di canggu,baru masuk sudah di sapa dengan senyuman hospitality 🌟🌟🌟🌟🌟the best nih astera canggu dan kamar nya sangat mewah,modern,nyaman buat kami yang honeymoon an,terima kasih astera canggu dan staff nya (trio)yang selalu membantu kami dari awal check in sampai check out,keep it up your best service for leading best villa in bali",5
25, Astera Resort Canggu by Ini Vie Hospitality,"Bagus sekali kamar nya, bersih dan nyaman. Selain itu staff juga sangat ramah. Lokasi sangat strategis. Untuk mencari makanan sangat mudah dan banyak. Selain itu, untuk kolam renang bersih dan jacuzi nya juga oke.",5
26, Astera Resort Canggu by Ini Vie Hospitality,"Tetap pertahankan pelayanan yang baik, karyawan yang ramah, tempat yang bersih dan rapi, wangi pokoknya the best villa in canggu, makanan murah dan enak, oiya sistem yang keren memakai alexa semuanya di atur oleh alexa",5
27, Astera Resort Canggu by Ini Vie Hospitality,"Everything its good.. excellent. Keep it up, sangat menyenangkan selama stay disini, staff yang ramah dan sangat membantu sekali. Bakalan balik kesini lagi kalo liburan kebali thanks untuk hospitaly yg keren",5
28, Astera Resort Canggu by Ini Vie Hospitality,"Sangat memuaskan. Pelayanan bagus bgt. Helpfull. Kamar bersih, baru. Lokasi oke, ruangan luasss banget, lengkap smart bedroomnya  mudah dicari. Akan kembali lg jika ke bali. Sukses selalu astera villa canggu 🧡",5
29, Astera Resort Canggu by Ini Vie Hospitality,pengalaman honeymoon bersama astera villa canggu sangat berkesan dan memuaskan dari awal (check in)  kedatangan sampai akhir kepulangan (check out) . Saya menginap 3 hari 2 malam terasa kurang . Dar semua pelayanan yang di berikan sangat berkesan,5
30, Astera Resort Canggu by Ini Vie Hospitality,"Pengalaman staycation yang sangat mengesankan sekali, staff ramah ramah. Menyediakan minibar, king size bed danpemandanvan sawah dari main pool. Tempat strategis juga dan rest favorite Hoi ann dan samadi rest.",5
31, Astera Resort Canggu by Ini Vie Hospitality,"Villa yg keren dan menarik, semua staffnya sangat ramah dan saling membantu, dekat dengan berbagai tempat seperti restauran dan beach club, makanan yg disediakan juga menarik dan bervariasi, cocok untuk honeymoon couples",5
