,hotel,review,stars
0, Asvara Villa Ubud,Tempatnya tenang nyaman sejuk dan sunyi cocok untuk healing sama keluarga atau pasangan super gak mengecewakan😊 cocok untuk honeymoon villa lengkap dgn pool private dan staff ramah bersih dingin tdk perlu pakai ac,5
1, Asvara Villa Ubud,"Kami liburan di Ubud dan stay di Asvara villa, kamarnya nyaman, bersih, ada private pool dan jacuzzi juga jadi happy liburan dengan pasangan. High recommended banget buat yang mau cari ketengan ketika liburan",5
2, Asvara Villa Ubud,"Suasana yg luar biasa, ruangan yg indah, bersih dan staff yg ramah dengan dikelilingi kebun yg hijau Fasilitas modern, Kamar yg luas dengan private pool sangat cocok buat anda berlibur bersama dengan pasangan ",5
3, Asvara Villa Ubud,"Villa nya bagus, nyaman bangetttt😍😍😍😍 bakal balik lagi apa lagi Pak Windu Villa Manager nya ramah banget nget , keren poloknya Asvara Villa!!! Suasana nya asri dan cocok buat honeymoon, bfast nya juga enak",5
4, Asvara Villa Ubud,"Pertama villa tidak di dekat ubud namun dekat dengan bukit cinta yg keren, staff nya baik baik banget sama fasilitas sangat modern. Mereka juga siap ngasi solusi setiap kita mau melakukan hal hal yg memang memorable banget deh selama menginap di Bali . The best pokoknya",5
5, Asvara Villa Ubud,"Wow.. Villanya bagus dengan design minimalis. Cocog banget buat honeymoon maupun keluarga. Untuk fasilitas sangat lengkap dan mewah, dadi bagi saya untuk villa ini recomen banget buat kita yang mau liburan. Trimakasih",5
6, Asvara Villa Ubud,"Kamar nyaman, bersih, temparnya juga sangat adem dan rapi, kariawanya ramah2, menu makanannya banyak jadi gak perlu bingung mau pesan apa aja dan pelayananya cepat sekali terimakasih asvara villa staycation jadi makin berkesan ",5
7, Asvara Villa Ubud,"Kamarnya bagus, elegan dan ada alexa jadi tinggal ngomong uda bisa pilih pilih playlist sendiri. Lokasi juga tidak terlalu jauh dari pusat keramaian dan bisa berpetualang ke bukit cinta, tapi saya sarankan di pagi karena sore sering hujan. Pokoknya rekomended banget",5
8, Asvara Villa Ubud,"Our first time In Ubud , lokasi villa yang sangat strategis sunyi sepi dekat sawah dan juga dekat sekali dengan champuhan ridge walk. Tempat yang cocok untuk honeymoon. Jika ingin lebih romantis disini juga bisa order dekorasi di bed atau di pool. Friendly staff, berharap bisa stay disini lagi 😍",5
9, Asvara Villa Ubud,"Asvara villa tempat yang bagus dan menarik untuk staycation, memiliki pegawai yang ramah. Jika saya akan staycation lagi saya akan memilih asvara villa ini lagi bersama teman, keluarga maupun pasangan",5
10, Asvara Villa Ubud,"Tempat berlibur ternyaman, kolamnya private banget, ada alexa sama harman cardon terus ada dekorasi setiap sore yg bener bener wah banget apalagi staffnya bikin pake daun daun gitu. Staffnya ramah dan membantu banget apalagi kalok mau cari tempat yg lagi hits langsung ke lobi dan staffnya bisa kasi advise . Next pasti balik lagi ❤️❤️❤️",5
11, Asvara Villa Ubud,"Menghabiskan 2 malam di villa yang terletak di tempat yang sunyi dan asri merupakan suatu pengalaman yang tak terlupakan bagi saya dan keluarga, kami disambut dengan hangat  dan mendapatkan pelayanan yang sangat baik oleh semua staff, saya sangat merekomendasikan villa ini untuk anda yang menginginkan tempat yang sunyi jauh dari hiruk pikuk kemacetan di pusat ubud",5
12, Asvara Villa Ubud,"Pengalaman yang luar biasa menginap di asvara villa , roomnya bersih, staffnya juga sangat ramah dan membantu kami selama stay di villa ,  Bnyak persawahan disekeliling villa yg membuat suasana menjadi tenang 🍃🍃",4
13, Asvara Villa Ubud,"Perfect stay definitely,  Menginap di Villa ini selain cocok untuk bulan madu, juga cocok untuk bareng bestfriend. Ukuran ya yang cukup dan suasana yang teduh membawa rasa nyaman selama menginap. Selain itu di dengan fasilitas yang diberikan seperti Netflix dan voice control oleh Alexa membuat semakin nyaman.",5
14, Asvara Villa Ubud,"Sebuah villa eksklusif yang pernah kami temui di tengah Ubud. Pengalaman yang tak terlupakan dan menyenangkan, staff yang ramah, dan sangat membantu. Pool yang ada Jacuzzinya, breakfast yang enak. Sangat rekomend untuk yang mau cari villa mewah dgn harga yang masih masuk di kantong.",5
15, Asvara Villa Ubud,"Tempatnya ga jauh dari Ubud terus ada sawah juga di sekeliling villa dan ternyata dekat sekali dengan bukit cinta yg lagi hits, untuk staffnya ramah dan sangat membantu apalagi saat minta rental motor ga sampai 15 menit sudah disiapkan. Di kamar juga ada Alexa dan Netflix jadi buat yg bingung mau ngapain di kamar apalagi ngumpul sama keluarga bisa nonton atau puter lagu hits terbaru. Pokoknya recommended banget deh",5
16, Asvara Villa Ubud,"Sangat Menyenangkan,  suasananya pedesaan banget bikin nyaman dan jauh dari kebisingan,  sangat cocok sekali untuk yang mau honeymoon bersama pasangannya.  Dan cocok untuk liburan bersama teman-teman yang lagi ulang tahun juga.  Thank you asvara villa.  The Best banget. 😘😘",5
17, Asvara Villa Ubud,"Selama menginap di asvara villa ubud pikiran saya jadi tenang .  Dan cocok untuk pasangan yang mau honeymoon dan liburan bersama teman- teman Semoga bisa kembali lagi ke asvara villa, Thank you staff semuannya. Tetap ramah dan baik selamanya ya🙏🥰",5
18, Asvara Villa Ubud,"Sangat menyenangkan menginap di asvara villa Ubud. Kamarnya juga sangat luas dan bersih sekali, pengen kembali lagi menginap di asvara villa, next time kami kembali lagi ke asvara, Thank uli staff asvara villa👍👍",5
19, Asvara Villa Ubud,"""Pengalaman yang sangat luar biasa stay di asvara villa. Stay di asvara sangat nyaman dan tenang, pelayanannya juga sangat bagus dan cepat. Dan semua staff asvara sangat ramah-ramah dan sopan sekali.🙏🙏🙏 Terima kasi juga buat bapak putu, kakak Deva, dan kak wira atas bantuannya selama kita stay🙏",5
20, Asvara Villa Ubud,"Senang sekali akhirnya menemukan villa yg nyaman, ditengah hiruk pikuk macetnya bali, ubud merupakan salah satu pilihan untuk bisa melepas penat. Asvara villa ubud ini sangat aesthetic dan cantik, saya sangat senang selain itu staffnya sangat ramah dan membantu. Saya minta tolong ini itu mreka cepat tanggap. Akan kemari lagi",5
21, Asvara Villa Ubud,Nyari villa yg private dan nemu villa ini. Tempatnya bagus bgt diluar ekspetasi. Jacuzinya keren ada kolam renang juga. Tempatnya tenang banget. Ini kan romantic villa ya cocok bgt untuk stay bareng pasangan apalagi untuk honeymoon,5
22, Asvara Villa Ubud,"Butuh ketenangan dari hiruk pikuk perkotaan ketemu villa ini di sosmed, tempatnya private bgt, tenang, staffnya sangat ramah. Fasilitasnya bersih dan rapi.  Ada massage juga, bisa masage di room jadi bisa langsung tidur setelah di massage. Ambil yg sekaligus bf, enak bgt makanan dan minumannnya. Next time akan kembali lagi.",5
23, Asvara Villa Ubud,"Kamarnya sangat cocok untuk pasangan honeymoon, Staffnya juga sangat ramah sekali, Pertama kali menginap di asvara villa ubud sangat menyenangkan, Semoga bisa kembali lagi ke asvara villa. See u asvara villa ubud.thank you 🥰😘",5
24, Asvara Villa Ubud,"Kamarnya luas, rekomend banget untuk privasi dan sangat nyaman sekali. Lokasi juga tidak jauh dari pusat keramaian + dekat dengan bukit cinta tinggal jalan kaki 20 menit sampai dan banyak sawahnya. Untuk makanan mungkin harus ditambah vegetarian ya, pokoknya pasti bakal balik lagi biar ketemu staff yg ramah beli Sutra, Agus, dan Ayu",5
25, Asvara Villa Ubud,"Staffnya ramah, kamarnya bersih sangat cocok untuk pasangan honeymoon, saya harap bisa kembali menginap ke asvara villa  Lokasi villanya juga strategis tidak jauh dari ubud centre tapi dapat vibes pedesaan",5
26, Asvara Villa Ubud,"Pertama kali menginap di Ubud benar benar syok karena lokasinya benar benar di pedesaan tetapi sangat sejuk sekali, juga setiap pagi bisa lihat burung bangau dan hamparan padi disekeliling villa sangat menakjubkan. Asvara villa is the best",5
27, Asvara Villa Ubud,Sangat tidak mengecewakan pelayanan dan fasilitas di villa sini. Kamarnya cozy dan nyaman untuk di tinggali. Saya cuma stay 1 malam saja dan apa yang saya dapat adalah pengalaman yang luar biasa.. terima kasih,5
28, Asvara Villa Ubud,"Tempatnya Baguss bgttt, pelayanan juga ramah suka dengan dekornya jugaaa   Buat kalian yg suka cari tempat staycation yg nyaman dan tenang bisa cobain dtg kesini pokoknya the best dehhh dengan harga kamar yg tidak begtu mahal",5
29, Asvara Villa Ubud,"Sangat senang bisa staycation disini, saya pilih kamar yang type royal one bedroom dengan view sawah, fasilitas di kamar sangat lengkap apalagi di provide alexa untuk di kamar, dan juga letak asvara dekat dengan campuhan ridge walk jadi deket banget kalau mau jogging pagi""🥰🥰",4
