,hotel,review,stars
0, Bali Reef Divers,"Hai telah menghabiskan 5 hari di penyelam terumbu Bali tulamben untuk kedua kalinya! Saya sangat menikmati suasana tenang seperti keluarga di resor selam ini (di Tulamben secara umum).  Instruktur saya Alix sangat ramah & membantu saya meningkatkan keterampilan menyelam / penyelamatan. Saya juga melakukan beberapa penyelaman yang menyenangkan bersama Komang yang menunjukkan kepada saya setiap kali kehidupan laut makro baru, yang belum pernah saya lihat sebelumnya. Dia adalah pemandu selam yang sangat santai dan berpengetahuan!  Kamar asrama mereka bagus & luas. Saya beruntung memilikinya untuk diri saya sendiri karena musim sepi; ) Makanannya enak dan seluruh stafnya juga sangat ramah.  Terima kasih untuk seluruh tim, Alex  PS: Lakukan penyelaman malam hari di liberty, itu…",5
1, Bali Reef Divers,"Bali Reef Divers di Tulamben adalah pusat selam yang fantastis dan saya akan merekomendasikannya kepada siapa saja yang tertarik untuk mendapatkan lisensi PADI mereka atau hanya pergi untuk bersenang-senang / menemukan penyelaman scuba. Ada banyak alasan mengapa tempat ini luar biasa:   1) Ketika mengirim email ke pusat, mereka sangat membantu dan terperinci dalam tanggapan mereka dan memberikan semua informasi yang dibutuhkan. Ketika kami menghubungi mereka untuk menanyakan tentang penyelaman yang tersedia, kami telah menerima rincian terperinci dan jelas tentang harga, penawaran akomodasi yang bermanfaat, dan informasi yang berguna tentang lokasi penyelaman. Ini sebagian besar alasan mengapa kami memilih pusat menyelam ini di tempat pertama.  2) Harga untuk PADI Open Water dan…",5
2, Bali Reef Divers,"Tempat menyelam yang bagus, akomodasi yang baik untuk asrama dengan penggunaan kolam renang, harga terjangkau, panduan menyelam yang sangat baik, resor berada dalam jarak berjalan kaki ke semua tempat menyelam. Harga bagus Saya sangat senang dengan waktu yang saya habiskan di sini pasti akan merekomendasikan melakukan penyelaman di sini atau melakukan sertifikasi juga?",5
3, Bali Reef Divers,"Pendanaannya sangat bagus dan pemandu sangat baik dan bersemangat! Pasti akan kembali lagi :) Terima kasih atas pengalaman hebatnya!  Selanjutnya saya menginap di Asrama dan tempat ini adalah tempat terbaik untuk berada. Tempat tidur yang sangat bersih, nyaman dan begitu banyak ruang!",5
4, Bali Reef Divers,"Wow apa tempatnya! Orang-orang luar biasa, akomodasi sangat bersih dan makanannya luar biasa! Lain kali kita pergi, kita akan kembali! Kami akan tinggal lebih lama di resor ini. Jika Anda menginginkan pengalaman menyelam yang luar biasa di Bali, inilah tempatnya!",5
5, Bali Reef Divers,"Saya diemail toko tiga minggu sebelum perjalanan saya dan putus asa untuk mendengar kembali dari mereka. Saya mendapat tanggapan tentang menyelam dan akomodasi dari Alix di Bali reef divers dalam sehari, dan menjawab semua pertanyaan saya dengan sabar. Salah satu detail saya benar-benar menghargai adalah bahwa dia bertanya tentang pengalaman saya dan ketika saya melakukan penyelaman terakhir, yang membuat saya merasa seperti toko ini adalah serius tentang keselamatan para penyelam. Semua komunikasi email yang sangat halus. Saya menyatakan minat saya menyelam di Nusa Penida, dan Alix adalah di atas tempat ini dan mencoba untuk mewujudkannya. Meskipun perjalanan ke Penida dibatalkan karena kondisi cuaca, saya masih bersyukur bahwa dia dimasukkan ke dalam banyak usaha ke ini. …",5
6, Bali Reef Divers,"Saya merasa sangat ragu dari awal hingga akhirnya saya membuka kursus menyelam Air dan saya mempertimbangkan untuk perusahaan yang populer yang menawarkan harga murah. Saya senang bahwa tidak bekerja karena saya menemukan tempat ini dan sempurna untuk saya. instruktur Saya telah banyak pemesanan tentang kursus dan jadwal saya tapi Wendy, dan instruktur saya manajer tempat, menjawab semua pertanyaan saya, dan memberi opsi yang akan memenuhi jadwal saya, dengan tidak ada tekanan. Saya sangat paranoid, dan khawatir banyak tapi Wendy sangat sabar dengan menjelaskan hal-hal dan disediakan dengan cukup dan dorongan untuk mendorong dorong melalui kursus ketika saya ragu-ragu saya dapat melakukannya. Dia adalah menyeluruh dan membantu saya menjadi nyaman di dalam air di setiap…",5
7, Bali Reef Divers,"Tempat yang sangat direkomendasikan untuk menginap jika berencana untuk melakukan perjalanan menyelam di Tulamben. Kami menginap selama dua malam dan mengambil lima di sini, keduanya log kami menginap dan penyelaman juga sangat menyenangkan. Tempat ini sangat terawat dengan baik dengan harga kamar sangat rasonable. Peralatan menyelam juga terawat dengan baik. Pemandu selam sangat baik pada pekerjaannya. . Di sini beberapa cuplikan bagus . dia lakukan untuk kita. Hanya butuh 5 menit berjalan kaki ke reruntuhan USAT Liberty Dive site yang terkenal. . Di sini anda pergi. Kemudian dari pantai. menyelam",5
8, Bali Reef Divers,"Saya menginap di sana selama 2 malam dengan teman-teman saya. Kamarnya sangat bersih, luas, dan nyaman walaupun saya menginap di kamar asrama campuran untuk 12 orang (jika saya tidak salah) . Walaupun tidak termasuk sarapan, kami bisa mendapatkan sarapan di restoran dengan harga yang terjangkau, mereka memiliki beberapa pilihan untuk sarapan.  Saya kesegaran di kolam renang sebelum menyelam, karena itu cukup lama saya tidak menyelam. Staf dan instruktur sangat ramah dan membantu. Mereka sangat informatif ketika kami meminta beberapa hal sebelum kunjungan kami dan bahkan membantu kami untuk mencapai tempat ini. Saya benar-benar puas dengan layanan mereka secara keseluruhan dan itu adalah sebuah pusat menyelam yang bagus!",5
9, Bali Reef Divers,"Saya dan pacar saya tinggal di Bali reef Divers di Tulamben untuk 3 hari saya Open Water Diver tentu saja. Saya melakukan ini karena mereka menawarkan kursus di sekolah menyelam dan akomodasi yang sangat baik untuk harga. Kamarnya sangat nyaman dan bersih dan besar. Mereka memiliki kolam renang yang bagus di mana Anda juga dapat Anda sebelum berlatih menyelam dan benar-benar baik restoran di situs. Anthony adalah instruktur menyelam dan manajer di situs dan dia akan mengatur semuanya untuk Anda dari mana saja di Bali yang menjemput, (untuk mengirimkan barang setelah Anda ketika Anda lupa sesuatu). Dia sangat baik dan pemandu menyelam kami menginstruksikan kami, melalui situs menyelam, seperti bangkai Kapal USS Liberty, di sepanjang terumbu karang atau drop off. Semua situs yang…",5
10, Bali Reef Divers,"Fantastis!  Antony adalah sangat sabar dan menyeluruh dengan penjelasan.  Profesional melalui dan melalui.  Setelah penemuan menyelam yang sangat buruk di tempat lain saya adalah sangat gugup, sehingga membuatnya sangat jelas bagaimana perbandingan keselamatan adalah hal terbaik yang ia juga memiliki pengalaman yang menyenangkan.  Saya pasti akan merekomendasikan dia untuk penemuan dan sertifikasi Open Water padi dan saya berencana untuk kembali untuk menyelesaikan saya sertifikat dalam waktu dekat.",5
11, Bali Reef Divers,"Kami pergi ke sana di sore hari setelah memesan pada pemesanan untuk gambar dan untuk mencoba banyak tempat menyelam di dalam kompleks. Penerimaan cepat dan semua baik. Untuk menyelam (sendiri) sangat mudah untuk mengatur dan penjelasan dari situs menyelam. Kulepaskan standar peralatan dalam kondisi yang baik. Selang beberapa bsa diganti tapi tidak ada yang gagal.  Bagaimanapun kamar, kolam renang dan area istirahat jadi dekat ke Highway di noize adalah mengerikan sehingga saya tidak akan tidur di sini lagi. Mungkin jika anda keluar untuk melakukan kursus menyelam Anda tidak melihat tetapi tidak untuk saya.",3
12, Bali Reef Divers,"Ini adalah perjalanan pertama saya dan pertama kali menyelam Di Tulamben. Semua staf sangat membantu, sangat ramah dan membantu. Mereka digambarkan di situs menyelam untuk saya, situs yang direkomendasikan untuk pergi, apa yang harus melihat dan menyarankan saya berdasarkan ketentuan di situs.   Semua staf yang saya temui yang menyambut saya dengan senyum yang tulus, sangat penting bagi saya. Anda dapat memberitahu mereka untuk membantu Anda dan membuat Anda merasa nyaman.   Terima kasih untuk semua orang di Tulamben Bali reef Divers! ",5
13, Bali Reef Divers,"Mereka memiliki dua lokasi, satu di Amed dan Tulamben di. Kedua fasilitas yang sangat bagus dan didukung oleh staf yang luar biasa akan memastikan anda nyaman dan memiliki waktu yang hebat. Saya melakukan air terbuka sertifikasi dengan Anthony, yang sangat membantu dan membuat yakin saya mempelajari semua kemampuan yang dibutuhkan untuk menikmati penyelaman saya.",5
