,hotel,review,stars
0, Bambu Indah,"Libur Galungan lalu, saya mengunjungi Bambu Indah untuk melakukan pemotretan katalog terbaru brand saya. Suasana pedesaan tradisional langsung terasa begitu memasuki pintu masuk Villa ini. Konsep tempatnya memang ala pedesaan tradisional Indonesia dengan berbagai bentuk rumah adat. Sesuai namanya, Bambu Indah memiliki beberapa properti yang terbuat dari bambu, termasuk salah satunya adalah rumah pohon yang seru untuk dicoba pada siang hari. Banyak sekali spot yang dapat dipakai untuk berfoto, pemandangan di sekitarnya luar biasa! Sejuk, nyaman dan menyegarkan. Walaupun melelahkan tapi cukup menyenangkan berkeliling tempat ini.  Ada beberapa macam rumah adat di Bambu Indah. Favorit saya adalah Rumah Sumba, Rumah Afrika dan Rumah yang berbentuk seperti Pagoda. Menariknya, sabun,…",4
1, Bambu Indah,"Kamar/vila yang sangat menarik, masing-masing memiliki karakter & keunikan tersendiri. Pemandangan yang alami dan luar biasa indah, terutama pagi & ketika matahari terbenam. Hal lain yang membuat saya luar biasa enjoy adalah makanannya. Semua organik, fresh from their own garden! Rasanya sangat lezat & kesegarannya tidak bisa dipungkiri. Bahkan kita dapat minum langsung dari wastafel kamar mandi kita. Sebuah konsep hunian eco-living yang pantas dinikmati.  Namun jika anda menginginkan fasilitas bintang 5 pada umumnya, seperti TV, kamar berdinding tembok yang mewah, atau jogging path yang mulus, hotel ini bukan lokasi yang tepat untuk hal2 tsb.",5
2, Bambu Indah,"Hmmm...bingung harus memulai dari mana karena memang tempat ini, amat sangat indah sekali! Kita tidak akan menyangka bahwa dibalik pintu gerbang yg berukuran kecil itu, terdapat sebuah resort yg sangat besar dan indah. Harus datang dan menginap disini. Titik!",5
3, Bambu Indah,"Bambu Indah adalah sekumpulan ""rumah pengantin"" kayu yang unik buatan John Hardy yang amat kreatif. Masing-masing amat unik dan memiliki karakter sendiri. Tidak ada kunci pintu tapi ada lemari besi di kamar. Suasana dusun yang amat bersahaja, suatu pengalaman Bali yang sesungguhnya. Cobalah ayunan tali di ceruk renang, dan berjalan-jalanlah di sawah pada dini hari. Satu-satunya kekurangan adalah ruang perawatan spa berdinding anyaman bambu dan tidak membuat kedap suara. Yang terbaik adalah meminta pijat di malam hari atau di rumah Anda, juru pijatnya amat hebat.",5
4, Bambu Indah,"Bambu Indah benar-benar membahagiakan -- tempat yang sempurna untuk menginap dan merasakan Bali. Kami amat menyukai makanan, suasana, layanan, kreatifitas, staf dan pengalaman keseluruhan. Saya amat merekomendasikan Bambu Indah sebagai tempat yang sempurna untuk mengalami Bali dan tak sabar menunggu untuk berulang kali kembali ke sana!",5
5, Bambu Indah,"Ini pengalaman baru bagi saya, dan saya amat menyukainya. Hotelnya bersih, kamarnya rapi, dan para staf amat menyenangkan dan sigap.  Anda harus menyukai alam terbuka untuk bisa menikmatinya.  Saya sedang berbulan madu, dan suasana di situ menambah kenangan indah untuk saat-saat itu.  Terima kasih Bambu Indah.",5
6, Bambu Indah,"Layanan pelanggan sangat luar biasa! Dari kedua kami memesan, kedatangan kami dan sampai keberangkatan kami merasa seperti bangsawan! Resor itu sendiri adalah di tepi sungai, arsitektur yang paling menakjubkan, sentuhan yang sangat bijaksana di masing-masing dan semuanya. Sangat, sangat ramah lingkungan, semua tentang menyelamatkan alam. Mereka cukup banyak menanam buah-buahan, sayuran, biji-bijian, sapi dan ayam mereka untuk telur, susu, dll. Itu benar-benar dari halaman mereka ke dapur mereka. Kami merayakan ulang tahun kami dan mereka mengejutkan kami dengan mendekorasi kamar kami dengan bunga! Suatu hari kami pergi terlalu pagi dan dapur tidak terbuka untuk menyajikan sarapan. Tanpa kami minta, mereka mengemas kami sarapan dalam kotak bambu dan daun beringin yang mereka…",5
7, Bambu Indah,"Adikku menawari saya beberapa malam di Bambi Indah untuk ulang tahun saya dan mungkin salah satu tempat terbaik yang pernah saya tinggal di, staf luar biasa dan sangat membantu, lokasi luar biasa, langsung dari novel petualangan dan kamar sangat baik! Kami sudah ketinggalan tempat tidur dan pemandangan!",5
8, Bambu Indah,"Saya dan istri saya menghabiskan dua malam pertama perjalanan kami di Bambu Indah. Kami tiba di malam hari, dan disambut dengan nama di bawah kanopi struktur bambu utama. Kamar kami adalah Rumah Biru yang nyaman, semacam pondok antik yang dibangun dengan tangan dari kayu mahoni. Papannya yang kasar, berderit, dan kunci pintu kayu membuat istri saya agak cemas pada awalnya, tetapi saya menemukan desainnya menarik dan indah. Kamar kami juga memiliki shower outdoor (tidak terlihat oleh publik), yang saya sukai, serta teras kecil dengan kursi.  Di pagi hari kami menikmati sarapan gratis yang lezat di bawah struktur utama, yang juga memiliki dapur terbuka yang indah dan area bersantai di lantai dua (diakses melalui tangga bambu) dengan ayunan kursi dan banyak lagi. Beberapa anggota…",5
9, Bambu Indah,Sangat indah mengatur tempat dengan arsitektur Bambu yang menarik - detail luar biasa melalui dan melalui. Pandangan yang sangat luas ke lembah di luar sawah dan pertumbuhan hutan. Pesta yang luar biasa untuk mata. . . hanya berharap makanan sebagus itu mengecewakan meskipun kami mencoba berpikir lokal itu tidak salah dengan Nasi Chomper itu semua agak mengecewakan karena kami telah mencicipi lebih baik di tempat-tempat yang kurang terkenal. . . . tetapi pengalaman itu layak sejauh eye candy pergi. . . . mungkin hanya pergi untuk minum!,4
10, Bambu Indah,"Saya seorang musafir solo dari Kota New York di Bali untuk pertama kalinya. Bambu adalah perhentian kedua saya di perjalanan ini setelah tinggal di sebuah bungalow di penestanen walkable ke Ubud. . . jadi tak perlu dikatakan bahwa saya ada di sini untuk resor dan tidak berencana pergi pada hari saya di sana. Saya tidak menemukan banyak ulasan dari pelancong solo, jadi saya mencoba mengisi kekosongan dengan yang ini.  Saya tinggal di salah satu tenda. . . tenda nomor dua tepatnya. Saya katakan itu karena Anda melewati tenda nomor satu untuk sampai ke tempat saya dulu. Di situs web mereka, sepertinya tenda itu sangat terpencil di puncak pohon. Pada kenyataannya, saya begitu dekat dengan tenda lainnya sehingga saya pikir saya akan mendengar tetangga saya berbulan madu. Tenda 2…",4
11, Bambu Indah,"Kami telah tinggal di rumah Sumba dan lantai bambu cukup tidak nyaman, terutama ketika Anda melihat remaja lagi! Semuanya ramah lingkungan dan organik, sangat bagus jika Anda berminat untuk itu. Layanan sangat bagus. Pijat Bali yang luar biasa. Lansekap yang indah, dengan kenyamanan di kolam renang alami dan desain yang indah dari setiap bangunan.",4
12, Bambu Indah,"Lokasi yang indah dan makanan rumahan yang indah, harga cukup mahal, namun jika Anda memiliki uang untuk dibelanjakan, sangat layak untuk dikunjungi! Semua pengalaman yang layak! Hanya harus menginap satu malam karena malam lainnya dipesan sayangnya.",5
13, Bambu Indah,"Yang perlu saya katakan adalah untuk setiap ulasan luar biasa yang dimiliki tempat ini. Terlalu lama untuk mengetik ulang semua pujian yang pantas diberikan tempat ini. Hanya beberapa tips praktis: Makan malam di daybeds Cina mereka adalah yang terbaik - yang paling romantis, memanjakan, makanan santai yang pernah kita miliki. Kami melakukan ini 4 dari 5 malam. Satu malam seharusnya menjadi malam romantis kami tapi ternyata justru sebaliknya. Mereka menyediakan bugspray tetapi jika Anda adalah salah satu dari orang-orang yang kurang beruntung yang sangat tertarik pada nyamuk, bawalah kreasi Anda sendiri di malam hari dan turun di tepi sungai.",5
