,hotel,review,stars
0, BeingSattvaa Retreat,"Kami awalnya memesan tempat ini selama empat malam dan berencana untuk mengunjungi bagian lain dari Bali selama sisa kami tinggal. Tapi kami jatuh cinta dengan tempat ini dan memutuskan untuk tinggal selama 10 malam dari kunjungan kami ke Bali di Beingsattvaa. Kami menyukai tempat ini dan menikmati waktu kami setiap hari lebih dari hari sebelumnya. Staf sangat ramah dan membantu. Mereka tidak pernah mengatakan tidak pada permintaan kami dan melakukan yang terbaik untuk membuat kunjungan kami menjadi yang paling menyenangkan. Terima kasih Dewa, Rina, Soni, Juli dan Mona karena membuat liburan ini sangat istimewa bagi kami. Tempat itu sendiri memberi kami rasa relaksasi yang luar biasa. Yoga pagi di alam adalah sesuatu yang selalu ingin saya alami dan tempat ini menawarkannya…",5
1, BeingSattvaa Retreat,"Saya sangat senang dengan kunjungan saya di BeingSattvaa. Pacar saya dan saya tinggal di sini selama empat malam selama perjalanan panjang bulan kami di seluruh Asia Tenggara dan bersenang-senang!  Sejauh ini, ini adalah tempat paling unik dan spesial yang kami tempati selama perjalanan kami. Alasan hotel tampak lebih seperti lokasi spa khusus. Suara air mengalir keluar dari air mancur yang indah dan terdengar di seluruh resor. Ini membantu untuk segera membawa Anda ke kondisi relaksasi yang berkelanjutan. Kami senang bangun setiap pagi untuk yoga matahari terbit, diikuti oleh sarapan dan kopi yang lezat.  Resor ini menawarkan layanan antar-jemput ke dan dari pusat Ubud, yang sangat dihargai. Ini membantu kami mengalami kota sepanjang hari, hanya untuk kembali ke retret malam…",5
2, BeingSattvaa Retreat,"Saya dan istri saya tinggal selama 5 malam di bulan Juni dan ini adalah resor favorit kami. Ini skala kecil dan berkualitas tinggi, dengan staf yang paling ramah dan membantu. Fasilitas adalah kedudukan tertinggi seperti layanan. Itu adalah sekitar 5 - 10 menit dari Ubud yang saya akan sangat menyarankan untuk menjauh dari keramaian dan hiruk pikuk. Restoran / kolam renang yang indah menghadap hutan.",5
3, BeingSattvaa Retreat,"Saya menghadiri retret yoga 7 - 8 hari di BeingSattvaa pada Februari 2019 dan saya benar-benar pengalaman yang luar biasa! Staf di BeingSattvaa sangat ramah dan membantu setiap saat. Rasanya benar-benar pulang ke rumah setiap hari bahwa kami akan mengunjungi tempat lain di Bali dan kembali untuk makan malam. Berbicara tentang makan malam, saya sama sekali bukan pemakan vegetarian dan saya bisa dengan bahagia makan semua makanan vegetarian yang lezat selama satu minggu penuh! Saya tidak berpikir bahwa saya memiliki sesuatu yang negatif untuk dikatakan tentang pengalaman saya.",5
4, BeingSattvaa Retreat,"Central Ubud bisa menjadi daerah yang sangat sibuk dan luas untuk menginap. Tersembunyi dari semua kegilaan kota kecil ini, BeingSattvaa menawarkan pengalaman yang sangat tenang dan indah. Staf luar biasa ramah dan membantu dan memenuhi semua kebutuhan kita. Sarapannya luar biasa! Mereka juga menawarkan antar-jemput gratis ke Ubud hingga jam 6 sore. Sangat mudah! Spa ini LUAR BIASA dan pijat mereka adalah yang terbaik yang kami punya di Bali! Kelas Yoga mereka juga sangat bagus dan instruktur kami, Mona, sangat menyenangkan! Mereka juga menawarkan kelas gratis untuk belajar bagaimana membuat persembahan Bali! Menyukainya!",5
5, BeingSattvaa Retreat,"Staf di BeingSattvaa (terutama Soni) sangat ramah, ramah dan membantu. Mereka begitu tulus dan berkomitmen untuk membuat kunjungan kami senyaman mungkin. Retret memiliki suasana yang tenang dan rileks yang dipenuhi dengan suara alam dan tidak ada yang lain. Kamar mandi luar ruangan itu indah, dan kolam renang tanpa batas membuat Anda merasa seperti sedang berenang di hutan. Tetap sempurna, tidak bisa merekomendasikan cukup pasti akan kembali! ! 11/10",5
6, BeingSattvaa Retreat,"Dengan menjadi sattvaa, Anda akan menemukan rumah baru Anda dengan semua yang Anda inginkan dan semua yang tidak Anda inginkan dengan getaran luar biasa dengan alam dengan suara air, makanan Vegan, dan yoga. Saya suka tempat ini ??. Saya menemukan kedamaian damai, berjalan indah orang-orang yang indah dan semua yang saya sebut indah di sini staf luar biasa terlatih dengan baik dan mengambil besar dari Anda tempat ini adalah harta yang baru ditemukan dan saya datang ke sana lagi dan lagi. Terima kasih menjadi Sattvaa.",5
7, BeingSattvaa Retreat,"Pengalaman menginap kami di BeingSaatvaa terlalu bagus untuk dimasukkan hanya beberapa kata tapi saya akan mencoba. Pertama lokasi itu sendiri sangat ramah lingkungan dikelilingi oleh alam dan sawah desa. Selanjutnya akomodasi - menghadap sawah dengan satu-satunya suara di malam hari menjadi suara alam Makanan - makanan vegetarian Bali / Indonesia yang dibuat menggunakan produk lokal dan dibuat dari gores di dapur! Bagaimana lebih sehat dan segar bisa dapatkan! Staf - mereka perlu perhatian khusus karena Anda bahkan tidak akan tahu mereka ada di sana. Kamar-kamar dibersihkan dengan cepat dan tenang, handuk segar diganti, minyak dupa, dan lilin dinyalakan. Semua ini dilakukan dengan sangat hati-hati dan efisien dan staf ada di sana ketika Anda membutuhkannya. Ini dekat dengan…",5
8, BeingSattvaa Retreat,"Terima kasih beinGsattvaa untuk pengalaman menginap yang luar biasa!  Untuk bulan madu 3 minggu kami di Bali beinGsattvaa adalah hotel kami yang kedua dan merupakan salah satu yang menarik dari bulan madu kami. Ada begitu banyak hal yang membuat kami tetap unik, bagus, dan mudah diingat, jadi kami ingin berbagi dan berterima kasih untuk mereka:  Kepada Dewa, Mona, dan semua staf beinGsattvaa yang nama-nama yang tidak dapat kami ingat, tetapi yang kehadirannya meninggalkan jejak yang tak terhapuskan pada bulan madu kami, terima kasih atas perhatian, kebaikan, perhatian terhadap detail dan keramahan Anda.  Yoga ditawarkan setiap pagi. Suatu pagi, kami tidak melihatnya malam sebelumnya, Mona, instruktur kelas yoga menelepon hanya untuk memeriksa apakah kami ingin melakukan sesi.…",5
9, BeingSattvaa Retreat,"Saya benar-benar menyenangkan tinggal selama 7 hari di awal bulan Juli. Lokasi yang sempurna untuk saya dari segi akomodasi, vegan, bahan makanan vegetarian dan atau memotong buah. Tidak ada TV dan tidak diganggu oleh dari ruangan sekitar. Kamar saya menghadap ke hutan di satu sisi dan kolam renang/makan yang lain. Saya pergi ke tempat ini untuk makanan yang murni dan suasana hening. Studi / pertapaan di luar kamar saya menghadap hutan yang benar-benar menginspirasi untuk 3 - 4 jam dari sekitar 2 / 3 am. Suara serangga diikuti dengan riang nyanyian burung, dan kemudian seperti siang hari melalui suara dan bercahaya pemandangan monyet yang besar. Stafnya sangat membantu dan ramah,",5
