,hotel,review,stars
0, Best Western Kamala Jimbaran Hotel,"Very Satisfied Hotel. Frontliner Ramah, kamar hotel bersih dan wangi. Bakalan menginap lagi di sini kalau datang ke Bali. View nya bagus menghadap ke Garuda Wisnu Kencana (GWK). Di sekitar hotel banyak tempat jajanan.",5
1, Best Western Kamala Jimbaran Hotel,"Hanya transit semalam. Proses Check-in semulus jalan tol, nice breakfast, clean and comfy, servis memuaskan, fresh hotel (bangunan cukup baru). Lokasi sangat mudah ditemukan, apalagi buat yg kemalaman dan buru2 pengen istirahat. Tdk jauh dari Side Walk, kurleb 800m jalan kaki. Gampang cari makan dan kebutuhan lain. Terimakasih Best Western, will come again",5
2, Best Western Kamala Jimbaran Hotel,Semua nya excellent.... Service oke... Staff ramah dan sangat membantu. Room bersih...besar...best pokok nya.. Everything excellent. Pengalaman menginap menyenangkan dengan protokol kesehatan yg baik... Good job best western ....,5
3, Best Western Kamala Jimbaran Hotel,"menyenangkan banget.....kamar bersih, kolam renangnya juga asik buat anak2, airnya tidak dingin dan sejuk..makanan juga enak..gak rugi deh stay disana. Cocok banget dah untuk liburan keluarga. Terimakasih",5
4, Best Western Kamala Jimbaran Hotel,"Wow luar biasa semua sangat nyaman letak hotelnya  kamar serta pelayanannya yang luar biasa ms ni luh receptionist sangat ramah. Kamar mandi sparkling 😍 kamar 508 the best, sofa di penerima tamu sangat nyaman, kamar ukurannya luas kasur empuk juga bantalnya nyaman sehingga bisa tidur dengan nyenyak cuma minusnya inetnya sering nggak konek tapi bagi saya tidak masalah karena ada paket data. Pihak hotel perlu diperbaiki untuk inetnya . Overall great 👍👍👍",5
5, Best Western Kamala Jimbaran Hotel,"Saya merekomendasikan hotel ini. Staf ramah, kolam renang bersih, makanan cukup enak (hanya nasi goreng dan american food karena pandemi). kamar cukup luas, tetapi lantai sangat berdebu, mungkin karena jarang dibersihkan selama pandemi..worth it dengan harga yang terjangkau. terimakasih",4
6, Best Western Kamala Jimbaran Hotel,"saya dan keluarga sangat senang sekali menginap di bw kamala jimbaran, selama 18 hari kami menginap dan terasa semua karyawan yg bertugas sangat baik dan ramah. all service is good, breakfast is good, nice room, nice room upgrade, recommended👍👍👍👍👍 sedikit saran, tambah fasilitas gym dong biar complete sudah bw kamala jimbaran ini 🥰🥰🥰 thankyou guys🤗",5
7, Best Western Kamala Jimbaran Hotel,"Hotel yang bagus dengan kamar yang begitu besar dan  nyaman, pemandangan kolam renang indah dengan bermacam-macam menu untuk breakfast. Tentunya dengan staff yang begitu ramah dan attentive, pastinya tidak akan pernah bosan untuk datang kembali ke hotel ini.    Special thanks to Dea and team for your great service💞",5
8, Best Western Kamala Jimbaran Hotel,"Staff ramah, kamar bersih sarapan enak sekali. Kolam renang terawat dan asri. Saya puas sekali dan akan rekomendasi hotel ini....  Dekat airport dan jimbaran sidewalk, kepantai hanya 10menit. Cari makan gampang",5
9, Best Western Kamala Jimbaran Hotel,"Tempat tidur nyaman. Kolam renang asik. Pilihan makanan kurang, pada saat saya makan (outdoor) banyaaaaaak sekali lalat. Saya suka dengan kondisi kamar yg nyaman, udara yang cukup dan suasana yang menyenangkan.",4
