,hotel,review,stars
0, Best Western Premier Agung Resort Ubud,"Liburan pertama ke Bali dan stay di daerah ubud, hotel yang amat cantik di kawasan deket central ubud, tidak bising dan sangat tenang, staff yang ramah dan selalu membantu memberikan informasi mengenai objek wisata terdekat, breakfast enak, areal parkir cukup luas Will be back for next trip♥️",5
1, Best Western Premier Agung Resort Ubud,"Terima kasih pengalaman disini. Suasana sejuk, tenang dan bersih, pelayanan bagus dan ramah, dan dapat menikmati sunrise yang indah. Ada free sepeda yang bisa di pakai setiap saat dan juga ada free transport ke ubud canter.",5
2, Best Western Premier Agung Resort Ubud,"Hotel nya nyaman,  bersih,  rapi,  stafnya ramah terutama bli gede. S,  humble,  sarapan ok , kalau ke ubud pakai hotel best westren tidak rugi,  kolam renang ok,  buat anak dan dewasa,  pemandangan keren,  penyambutan langsung di beri teh hangat,  bli gede jadi pemandu yg sabar dan jadi supir yg handal juga",5
3, Best Western Premier Agung Resort Ubud,"Orang tua saya sudah stay disini sebanyak 2 kali, saya di rekomendasi kan stay 1 malam disini dengan 3 kamar, kamarnya luas dan nyaman, staff nya juga ramah, sayang sekali air panas dijadwalkan, saya mengerti karena corona jdi melakukan efisiensi. Tpi itu tidak merubah experience saya tinggal disni",5
4, Best Western Premier Agung Resort Ubud,"Semangat pagi traveler semua, dintengah tengah pandemi covid - 19 saya dan partner bisnis mengadakan pertemuan kecil dan lokasi yang di tuju adalah ubud , kami mencoba salah satu tempat yaitu Best Western Primier tempat ini sangat strategis dari pusat pasar ubud , hotel ini di lengkapi dengan protokol kesehatan sebelum masuk di tes suhu , saya dan  keluarga masuk kamar wah benar benar room luas dengan teras depan ada tempat duduk bathroom bersih sepertinya house keeping sangat telaten dalam room cleaning , resturant dengan disgn joglo , dua pool antara pool dewasa dan anak anak , ke esokan harinya kami olah raga pagi dengan mengunakan sepeda yang di di siapkan dari hotel di sini mesti bagun pagi kalau mau sepedaan supaya gak ke duluan karena terbatas mulai mengayuh  sepeda…",4
5, Best Western Premier Agung Resort Ubud,"Hanya +-1 km dari pusat ubud...lokasinya strategis,  suasana pedesaan khas ubud tenang dan damai... Masuk area lobby dis sambut dengan ramah, check suhu badan, dan hand sanitizer tersedia di ruang publik, kamar bersih,  dan gym nya ok, untuk exercise 1 jam. Sore hari jalan jalan ke pusat Ubud, banyak pilihan restaurant... Saran: nasi jinggo ( nasi campur bungkus daun pisang) .. Hanya 5000 Rupiah.. 😂😂👍👍👍.. Banyak yg jual di pinggir jalan... ",5
6, Best Western Premier Agung Resort Ubud,"Terima kasih best premier agung resort ubud Pelayanan hotelnya bagus,sangat ramah dan menyenangkan.kalo liburan berikutnya jadi ingin kmbali lagi ksana. GEDE RECEPTIONIST suksma pelayanannya bagus....",5
7, Best Western Premier Agung Resort Ubud,"Terimakasih Best Western Premier Agung Resort, nyaman bangett selama disana, bersih, fasilitas lengkap, kolam renang dan tempat fitness nya menyenangkan.. Untuk Bli Gede terimakasih yaaa buat pelayanannya. Semoga nnt saya dn teman²bisa menginap dsna lagi..😁😁😁",5
8, Best Western Premier Agung Resort Ubud,"Kami menginap selama 1 malam di sini, kamar nya sangat nyaman, tidak jauh dari pusat ubud. Selama pandemi ubud sangat sepi, jdi banyak fasilitas publik masih tutup. Staff di best western sangat anttetive membantu memberikan informasi mengenai tempat tempat yang masih buka. Kami akan balik kesini lagi",5
9, Best Western Premier Agung Resort Ubud,"Kamarnya sangat bersih, nampak sekali segala sesuatunya terawat dengan baik. Seluruh staffnya sangat cepat dan tanggap dalam melayani kebutuhan kami. Proses check in tidak bertele tele karena saat kami datang segala sesuatunya telah disiapkan oleh Pak Gede. Dan staff di restorant sangat ramah melayani sarapan pagi kami, ada Bli Janu yg selalu menawarkan teh dan kopi segera stlh kami masuk restorant. Terima kasih pelayanannya dan kami akan datang kembali. Aaaddddeeeemmmm ooooiiiii, jangan lupa sempatkan waktu santai di area kolam renang dan juga mampir ke spa, pengalaman yg luar biasa....",5
10, Best Western Premier Agung Resort Ubud,"Sqya menginap 3 malam disni bersama keluarga.. Sangat senang stay disini semua staff ramah dan sangat helpfull, breakfastnya enak dan bersih ,untuk roomnya nyaman dan tidak ada maslah. Next akan stay disini lagi bersama keluarga.",5
11, Best Western Premier Agung Resort Ubud,"Staff yang ramah, quiet  place in ubud city. Suasana ubud yang hijau dengan tempat peristirahatan yang indah dengan teman teman....,lokasi yg tidak jauh dari ubud centre, dan kami akan datang lagi !!!!!! Pasti.",5
12, Best Western Premier Agung Resort Ubud,"Saya menginap di sni selama 1 hari,sya merasakan sanagt senang,suasana sangat tenang dan nyaman, udara pada pagi hari sangatlah sejuk,kamarnya sangat bersih,makananya sangat enak sekali,breakfastnya sangat lengkap dan banyak ada pilihan makanannya,fasilitasnya sangat lengkap sekali, restorannya sangat bersih,karyawannya sangat ramah sekali,pada saat malam hari sangat sepi sekali dan nyaman, cocok untk liburan yang ingin istiraht di bali, dan mencari ketenangan. Verry good hotel",5
13, Best Western Premier Agung Resort Ubud,"saya menginap selama 2 hari di hotel ini rasnya sangat nyaman sekli,udara di pagi hari sangat sejuk,kamarnya sangt bersih dan nyaman sekali,pelayanannya sangt ramah sekali karyawannya,breakfastnya luar biasa,sangt lengkap,enak,banyak pilihan makanan,bersih dah ada buah dan salad yang sangat fresh dan segar,kolam renang nya yang paling saya suka,sangat bersih dan sangat bagus untuk berfoto,pokoknya the best hotel",5
14, Best Western Premier Agung Resort Ubud,"Hotelny sangat nyaman,mkanannya enak, breakfastny sangat lengkap dan banyk pilihan,kamarnya bersih, kolamny sangat indah dan bersih, pemandangan yang sangt indah, pelayanan nya sangat welcome terhadap tamu, service ny sangat memuaskan",5
15, Best Western Premier Agung Resort Ubud,Hotel sangat keren. Di bangunan arsitektur perpaduan antara Jawa dan Bali. Suasana sangat alami. Kita bisa dengar suara kodok dan jangkrik. Fasilitas lengkap. Parkir luas dan aman. Pelayanan khas best western. Cocok untuk bulan madu atau sama keluarga. Makanan enak. Banyak spot foto asik.,5
16, Best Western Premier Agung Resort Ubud,"Saya pergi berlibur di bali selama 7 hari dan menginap di Best Western selama 4 hari. Di awal saya datang pelayanannya sangat ramah dan murah senyum. di sediakan juga untuk welcome drink sangat cocok untuk cuaca hari ini. Kamar sangat bersih harum dan nyaman,untuk sarapannya juga sangat bervariasi. Saya akan merekomendasikan hotel ini ke teman2 dan kolega yang akan berlibur ke bali khususnya area Ubud.",5
17, Best Western Premier Agung Resort Ubud,Hotelnya sangat bagus pelayanan ramah semua staff helpfull banget dan untuk menu breakfast sangat bnyak pilihan dan tastyy. Kamar bersih dan pertama saya masuk seperti mendapat kejutan sudah di set up bunga2 dan harum. Benar2 mengesankan stay disini trimakasihh Best Western Premier Agung Ubud,5
18, Best Western Premier Agung Resort Ubud,"Ini peratama kali kita stay di Best Western Ubud, Kamarnya bersih dan pool view. Lokasi agak jauh dari Ubud center tapi mereka menyediakan free shuttle bus. Breakfast lengkap dan enak ditambah dengan pelayanan yang ramah. Kita pasti akan stay lagi once kita liburan ke Ubud. Highly recommend!!",5
19, Best Western Premier Agung Resort Ubud,Pertama cek in di sambut dengan reception yang ramah stay selama 2 hari dan rasanya ingin balik lagi. Semua fasilitas sudah terpenuhi dan swiming pool nya ajib bangett pastinya untuk kaum milenial cocok banget krena instagramable banget.. thank youuu for you hospitality  .. Best Western Premier agung the best 🙏🏻🙏🏻🙏🏻,5
20, Best Western Premier Agung Resort Ubud,Sangat menyenangkan untuk menginap di hotel Best Western Premier Agung Ubud. Pertama datang sudah di sambut dengan senyum oleh porter dan sampai di meja receptionist di suguhi dengan welcome drink dan oshibory lumayan membuat relax setelah perjalanan dari bandara. Setelah sampai di kamar saya sangat kagum dengan kebersihan kamar dan wangi di tambah lagi ada ornamen handuk yg sudah di hias cantik. Dan saya lihat di meja juga sudah ada welcome fruit yg tatanannya juga indah untuk di pandang. Sangat nyaman untuk beristirahat disini .. keesokan harinya saya mencoba untuk pagi breakfast di restaurant ya menunya lengkap dan nyaman staffnya juga ramah2 dan kolam renang juga sangat instagramable dan luas airnya juga bersih. Pokoknya sangat nyaman dan no komplain sewaktu saya stay…,5
21, Best Western Premier Agung Resort Ubud,"hotel yang nyaman dekat dengan pusat kota (10 menit jalan) dan hotel menyediakan suttle yang sangat membantu saat hujan atau panas terik di siang hari,  dua pool dengan pemandangan hutan sangat indah dan menjadi tempat faforit untuk bersantai.",5
22, Best Western Premier Agung Resort Ubud,"Hotelnya bagus banget...  Pertama viewnya, bagus banget, hijau, asrii, tepi sawah, udaranya sejuk, tenang, jauh dri keramaian kotaa. Kedua, kamarnya. Busett, kamarnya itu nyaman bget, facilities lengkap, bednya super nyaman, ditambah lg setiap kamar ada balkoninyaa, serasa dirumah Ketiga, staf nya. Semuaa staf hotelnya itu ramah"" bgt, , dan helpfull, 😊 Keempat, lokasi nya. Hotelnya deket bgt dri central ubud, klo jalan cuma 15mnt lahh. Trus disana juga nyediain shuttle service ke ubud center, dan itu free...  Emg bener"" recommended bgt ♥️♥️♥️",5
23, Best Western Premier Agung Resort Ubud,"Saya dan pasangan stay disini untuk honeymoon dengan pelayanan yang sangat baik.. tempat dan view nyaman, serta makanan yang disajikan pun enak membuat rasanya ingin kembali kesini untuk jadi tempat stay liburan kami di bali selanjutnya..  Salah satu pelayanan terbaik kami rasakan ketika dilayani oleh pak Gede Suarmita.. dimana beliau sangat memahami kami sehingga sangat membantu kami selama stay di bwp.. terima kasih pak gede  Terima kasih juga BWP Ubud..",5
24, Best Western Premier Agung Resort Ubud,"Saya mencoba untuk stay di hotel ini selama 1 malam disepanjang 1 minggu waktu berlibur saya ke Bali. Dan sungguh saya menyesal kenapa hanya 1 malam saja...!  Dari mulai tiba di Loby, saya sudah senang karena diberikan welcome drink yg Indonesia banget ditambah handuk dingin super wangi yang seketika menghilangkan kepenatan saya menghadapi kemacetan sepanjang perjalanan menuju Ubud. Stafnya sangat ramah, melayani tamu yg super cerewet seperti saya dengan kesabaran dan ketelatenan (maafkan saya karena dongkol karena macet akhirnya sampai dihotel malahan stafnya yang harus menghadapi kecerewetan saya ... jujur nih ya hahahahha)  Sampai dikamar bertambahlah rasa bersalah saya ke staf yang diloby, karena ternyata kamar saya sudah disiapkan melebihi dari apa yang saya bayangkan....…",5
25, Best Western Premier Agung Resort Ubud,"Hotelnya keren..!! Dengan berbagai fasilitas yg ada yg disiapkan pihak hotel. Kamar terawat dengan baik, makanannya pun enak. Ada kolam renang segingga cocok untuk keluarga dengan anak seperti saya. Yang terpenting yg dimiliki hotel ini adalah “Staff” nya. Sangat ramah dan membantu,cepat tanggap dan selalu senyum. Pokoknya,jika saya mampir ke ubud. Saya pastikan akan stay lagi di sini. Recomended pokoknya!",5
26, Best Western Premier Agung Resort Ubud,"Suasana nyaman dan kebersihan kamar menjadi utama no 1 .Tempat yang cocok untuk menjauh dari hirukpikuk kota yang ramai.Pelayanannya sangat menarik ,terdapat fasilitas yang cukup dan kolam renang yang bagus",5
27, Best Western Premier Agung Resort Ubud,"Kamar twin, sangat nyaman dan peralatan kamar mandi lengkap. Ada buah (free), dan diberi aqua yang besar sehingga sangat cukup. Kamarnya nyaman dan kasurnya cukup besar untuk satu orang. WiFi kencang, perabot kamar dari kayu memberi kesan tradisional, serta ada jam alarm. Letak hotel cukup jauh dari pasar ubud, tapi terdapat mobil yang bisa mengantar pengunjung (free).",4
28, Best Western Premier Agung Resort Ubud,Lokasi tidak terlalu jauh dari pusat Ubud. Pelayanan ramah dan cepat. Pemandangan cukup indah. Kamar walau tidak terlalu besar tapi nyaman. Fasilitas cukup lengkap. Aminities sangat lengkap. Sarapan enak dan cukup lengkap. Tersedia shuttle untuk ke pasar Ubud. ,5
29, Best Western Premier Agung Resort Ubud,Lokasi cukup baik. Suasana tenang cocok untuk relaks. Kamar hotel sangat nyaman. Pelayanan baik. Makanan cukup baik. Ada free herb bath dan afternoon tea. Free upgrade to poolview room. Overall baik..,5
30, Best Western Premier Agung Resort Ubud,"Saya menginap 2 malam bersama dg istri saya untuk menghabiskan weekend. Hotel ini memiliki pemandangan yg sangat indah terutama di Pool Area. Staf yg sangat ramah dan fasilitas yang lengkap, bahkan mereka menyediakan fasilitas peminjaman sepeda. Namun untuk breakfast dengan standart hotel bintang 4 kurang bervariasi, agar dapat ditingkatkan kembali.",5
31, Best Western Premier Agung Resort Ubud,Terbaiklah kalo nginap di sini kualitas dan memiliki kuantitas yang bagus untuk dijadikan sebagai tempat penginapan ini.ideal sesuai dengan keinginan anda dan keluarga serta dapat memotivasi diri kita sendiri yang telah lelah dalam beraktivitas ,5
32, Best Western Premier Agung Resort Ubud,"Tipe kamar Deluxe Executive yang spacious, desain kamar klasik Bali yang menawan. Floating pool yang membuat anda berjam-jam betah untuk bersantai maupun berenang. Suasana hotel yang tenang. Terdapat fasilitas sepeda yang bisa digunakan untuk berkeliling ubud",5
33, Best Western Premier Agung Resort Ubud,"Bagus, nyaman, kolam renangnya kurang perosotan, makanan agak mahal, makanan enak, wifi lancar, pelayanan ramah, pengantaran makanan agak lambat, kamar connecting kurang, ada fasilitas sepeda, lobby bagus.",5
34, Best Western Premier Agung Resort Ubud,Mahayani yg sangat profesional sbg cs ...membuat nyaman tinggal di hotel dengan menu menu makan yg Ok...suasana yg tenang..dan yg utama kita menikmati herb bath yg sangat nyaman dan merilekskan tubuh...pokok nya OK Bingiiiit,5
35, Best Western Premier Agung Resort Ubud,"Hotelnya baru dan bersih, petugasnya baik dan ramah, tiap hari selalu ada activity buat tamu. Tidak terlalu jauh ke ubud centre dan ada fasilitas shuttle car. Best Western Premier Agung Ubud.. 👍🏼👍🏼",5
36, Best Western Premier Agung Resort Ubud,"Hotel yang sangat nyaman dan sempurna, pelayanan nya sangat baik dan ramah, kamar nya sangat luas, nyaman dan tenang, kolam renang nya bersih dan pemandangan nya sangat bagus, wifi nya sangat kencang, dan dekat pusat kuliner di ubud.",5
37, Best Western Premier Agung Resort Ubud,"Kalo ke bali mencari hotel yang asri agar terasa liburan nya, dan di sini hotel nya sangat nyaman, view nya sangat asri, pelayanan cukup baik, semoga saya bisa mampir kesini lagi nanti , ini tempat yg sangat menyenangkan.",5
38, Best Western Premier Agung Resort Ubud,"Saya menginap dengan teman saya yang kebetulan baru pertama kali mengunjungi Ubud. Datang pada jam check in sekitar pukul 14:00, saya disambut dengan hangat oleh Receptionist perempuan.  Biasanya untuk orang lokal dan bule, saya pernah merasa dapat perbedaan. Tapi kali ini saya rasa tidak ada ambience diskriminasi. Cold towel bamboo dan welcome drink tradisional disuguhkan disaat hujan datang.  Saran saya,  mungkin perlu diganti minuman hangat jika saat hujan tiba. Kamar terdesign dengan mixture tradisional jawa bali modern,  kamar yang sangat privasi menghadap ke sawah dan hutan yg hijau.  Fasilitas yg lengkap seperti gym, coffee shop,  swimming pool,  spa,  pool bar.  Bersantai di gazebo disore hari diarea pool sangatlah menyenangkan. Untuk area ke ubud centre juga sangat…",5
39, Best Western Premier Agung Resort Ubud,"Kesunyian ada di hotel ini,breakfast juga enak, kamarnya cukup luas dan, nyaman sekali, fasilitas juga lengkap.staff juga sangat ramah-ramah.saya rekomendasikan hotel ini di daerah ubud untuk berlibur. ",5
40, Best Western Premier Agung Resort Ubud,"Saya menginap di sini bersama teman-teman dan sengaja mencari hotel yang tidak berada di pinggir jalan besar supaya tidak mendengar suara kendaraan berlalu lalang. dan kami mendapatkannya di sini. Walaupun tidak berada di pinggir jalan besar, tapi keramaian Ubud dapat ditempuh cukup berjalan kaki sekitar 10 menit. Kamarnya nyaman sekali dan banyak fasilitas di dalamnya. Kolam renang juga tidak boleh dilewatkan kalau menginap di sini. Saya puas dan pasti akan kembali kalau ke Ubud lagi.",5
41, Best Western Premier Agung Resort Ubud,saya dapat menginap hotel ini 1 malam melalui booking.com... hotel ini mempunyai kamar yang luas dan sangat nyaman... suasana tenang di tambah suara alam burung berkicau... kolam renangnya sangat bagus dan bersih.. makanan sangat pas di lidah... fasilitas gym dan spa yang unik.. staff sangat ramah dan membantu.. sangat cocok buat rekomendasi liburan di ubud bali... ,4
42, Best Western Premier Agung Resort Ubud,"Good location, hotel baru dengan pemandangan yang sangat asri dan sejuk, tenang, suasana hotel nya romantis untuk couple... kolam renang yang luas... lokasi nya dekat dengan ubud center jadi bisa sekalian shopping dan menikmati suasana ubud dengan berjalan kaki....",5
43, Best Western Premier Agung Resort Ubud,"Hotelnya Baru banget dan lega, cukup luas, kamarnya sangat nyaman, Staff hotel ramah, cekatan dan informatif. Senengnya lagi, parkiran luas jadi bisa parkir mobil trus ke Ubudnya jalan kaki, cuman 5 menit nyampe.  Nggak susah cari makanan or belanja. pengalaman pertama Saya cobain Herbal Spa, Mandi di tanam di rempah, abis itu badan lega, ilang pegel pegel, Istimewa.",4
44, Best Western Premier Agung Resort Ubud,"Hotel yang bagus dengan pelayanan yang baik Saya akan kembali ke hotel ini jika saya pergi ke Ubud lagi. Terima kasih atas keramahtamahannya dan membuat saya merasa seperti di rumah. Sampai jumpa lagi Best Western Premier Agung Resort Ubud.  Salam Hormat,  Fajar Nugroho",5
45, Best Western Premier Agung Resort Ubud,"Ini adalah kunjungan kedua dan sekali lagi kami sangat senang dengan staf yang sangat ramah termasuk General Manager yang sangat responsif dan mampu, kamar-kamar yang dirancang dengan nyaman dan masuk akal, sarapan prasmanan yang sehat dan lezat dan layanan antar-jemput yang dapat diandalkan. Resor ini akan menghilangkan semua stres dari liburan Anda dan memastikan Anda merasa benar-benar bersemangat kembali. Kami pasti akan tinggal di sini lagi! !",5
46, Best Western Premier Agung Resort Ubud,Benar-benar menikmati kami menginap 3 malam dan pasti akan tinggal lagi! Tinggal yang fenomenal dan sangat penuh perhatian. Best Western berjarak 10 menit berjalan kaki singkat ke jantung Ubud. Kamar bersih dan baik ditunjuk dengan pemandangan indah kolam renang dan hutan. Senang tinggal kami dan kami akan kembali ??,5
47, Best Western Premier Agung Resort Ubud,"hotel ini memiliki layanan luar biasa! ! mereka benar-benar memenuhi kebutuhan saya, staf mereka baik dan sopan. Ruangan itu sangat terang dan terletak di dekat kolam renang dan restoran. makanannya terasa sangat lezat dan memiliki berbagai macam. wifi mereka sangat cepat dan dapat menggunakannya di mana saja di hotel apakah Anda di luar atau tidak. kolam mereka juga sangat besar, bisa untuk anak-anak. sinar matahari pagi sangat menyenangkan ketika Anda ingin bersantai dan mendapatkan vitamin D. harian Anda, suasananya tenang, tenang, Anda dapat mendengar jangkrik di malam hari adalah yang langka hari ini, dikelilingi oleh hutan. mereka juga memberikan tumpangan antar-jemput gratis ke Pusat Ubud, di mana ada banyak toko dan kafe untuk dimakan jika Anda ingin menjelajah. hotel…",5
48, Best Western Premier Agung Resort Ubud,Staf dan makanannya luar biasa. Resor dan amentiies sangat bagus. Pasti akan merekomendasikan tinggal di sini di Bali dan melakukan perjalanan sehari ke tempat lain di Bali. Reosrt menyediakan layanan antar-jemput gratis ke pusat Ubud.,5
49, Best Western Premier Agung Resort Ubud,"Saya baru-baru ini tinggal di sini selama seminggu dengan sekelompok 24 orang. Staf sangat membantu dan ramah dan pergi keluar dari jalan mereka untuk membantu kami sedapat mungkin. Saya akan mengidentifikasi staf dengan nama tetapi kami karena kami tidak menemukan seorang pun anggota staf yang tidak luar biasa, mereka semua layak mendapat pujian yang setara. Fasilitasnya luar biasa dan hotel ini berfungsi sebagai oasis dari kota Ubud. Itu adalah sekitar 10 menit berjalan ke kota tetapi jika Anda merasa malas, dua kolam renang, ruang latihan, dan restoran yang sangat baik berarti bahwa Anda bisa tinggal di tempat dan menikmati hari di kemewahan. Sentuhan hebat untuk menyertakan dua 1. 5 liter botol air gratis di setiap kamar, fitur kecil yang tidak luput dari perhatian. Saya…",5
50, Best Western Premier Agung Resort Ubud,"Tempat ini luar biasa terletak di area yang bagus bintang karnivora 5 menit dari pusat Ubud dengan shuttle gratis.  Pada saat check in - di kami diberi 3 voucher makan gratis, pijat gratis, minuman gratis setiap hari. . . WOW. Kolam renangnya sangat indah, spa yang fantastis dan layanannya sempurna.  Terima kasih untuk menjatuhkan Ari kemanapun kami ingin pergi.  Tidak perlu mencari lagi, anda telah menemukan ideal menginap di Ubud. . . dan kamar-kamarnya indah.",5
51, Best Western Premier Agung Resort Ubud,"Proses check in - di cepat dan resepsionisnya sangat ramah. Minuman selamat datang. sangat bagus. Kamarnya bersih dengan tempat tidur double yang besar. Gratis mini bar, dan buah gratis 2 botol besar air mineral. Teh gratis di sore hari di restoran. Bak mandi, pancuran dan fasilitas lengkap yang disediakan di kamar mandi. Sebuah green field dan sebuah kuil kecil yang dapat dilihat dari balkon. Banyak pilihan sarapan dengan selera yang baik. Makan malam di restoran dan rasa yang baik juga.  Pusat kota adalah sekitar 15 menit berjalan kaki dari hotel tapi disediakan jadwal shuttle. Anda hanya perlu reserve itu di resepsionis",5
52, Best Western Premier Agung Resort Ubud,"Kami datang ke sini pada akhir pekan untuk 3 D 2 N. Check in mulus, - di kantor depan dengan hangat, dan membantu. Kepribadian Karena kami datang pada hari Jumat, kami memiliki kesempatan untuk melihat pertunjukan tari Bali selama makan malam. Mereka dilakukan 3 tarian tradisional Bali. Saya ingat itu Pendet dan tarian. Baris Tunggal Makan malam kami sangat baik. Ini adalah satu set menu. Anda mungkin harus melihat foto di sini lezat dan saya pada @wewentweshare media sosial. Kami menginap di kamar Deluxe Double dengan pemandangan kolam renang. Di pagi hari, matahari terbit, lebih dengan pemandangan. Kita dapat melihat Gunung Agung dari balkon kami. Kamar; luas, bersih, dan rapi. Kamar mandi dengan shower dan bak mandi. Best Western Premier Agung Resort memiliki taman yang indah…",5
53, Best Western Premier Agung Resort Ubud,"Kami datang ke Bali pada bulan madu kami dan mereka mempunyai waktu yang menyenangkan di kamar kami pada saat kedatangan di tempat tidur kami & bak mandi. Hotel yang sangat indah! Apa yang tempat yang indah, sangat bersih, dan staf sangat luar biasa! Kolam renang memiliki pemandangan indah, makanan yang baik. Mereka selalu memiliki prasmanan di pagi hari untuk sarapan pagi yang sangat enak! Memiliki shuttle ke pusat kota pasar setiap hari serta penyewaan sepeda gratis!",5
54, Best Western Premier Agung Resort Ubud,"Pertama kali kami tinggal di Best Western Ubud sangat indah. Tempat ini sangat santai dengan sebuah kolam renang yang indah dan sekitarnya. Ketika kami menginap di sana, anak saya memiliki dingin, jadi kami makan siang dan makan malam di restoran. Makanannya enak dan staf sangat baik dan membantu. Lokasinya cukup jauh dari pusat Ubud, tapi mereka memiliki layanan antar jemput gratis di hampir setiap jam.",5
