,hotel,review,stars
0, Bintang Kuta Hotel,"Hotel yg nyaman dan bersih, dekat dengan mall. Pantai dekat dibelakang hotel. Receptionisnya ramah. Koneksi internet di kamar cukup kencang. Breakfastnya lumayan sesuai selera walaupun kurang pilihannya.",4
1, Bintang Kuta Hotel,"Lokasi nya dekat dengan airport dan mall, memudahkan akses kemanapun di kuta.  Kamarnya cukup bagus, bersih, fasilitas ok lah.  Sarapan lumayan enak tapi kurang variatif, harga kompetitif.  Tersedia parkir yang cukup lega, service juga bagus.",4
2, Bintang Kuta Hotel,"+ tmpt strategis, karyawan hotel ramah, service cepat, kamar luas dan bersih, kolam renang ok, dekat dgn pantai kita bs jalan k pantai melewati ramada hotel dan pantai sangat bagus dan bersih. Makanan non halal diberi tanda. - saat datang ada satu karyawan yg kurang ramah, menu sarapan kurang variatif selama 3 hari km disana menu hmpr sama.",4
3, Bintang Kuta Hotel,"Di Bintang Kuta saya dapat pelayanan yang memuaskan.. meski hanya untuk acara meeting, itu pun menyenangkan.   Terima kasih sangat untuk Bli Adi Wirawan atas banyak bantuannya yang fast response, juga Ni Ike di FO yang sangat sopan dan tanggap sewaktu membantu segala kebutuhan saya selama di Bintang Kuta! Semoga staf lainnya juga seperti Ni Ike...",5
4, Bintang Kuta Hotel,"Dibeberapa web penilaian untuk hotel ini sangat baik..ternyata memang benar penilaiannya. Hotel ini bersih, kamar tidur luas dan kamar mandinya juga ok, lokasinya juga persis dipinggir jalan sehingga memudahkan untuk jalan2 di sepanjang jalan Kuta. Terdapat kolam renang di belakang lobby hotel, meski tidak besar tapi terlihat menarik. Hotel ini juga sangat dekat ke airport, dan kalau ingin jalan2 ke pantai cukup jalan kaki ke belakang lewat hotel Ramada (yang masih 1 group), sudah bisa menikmati keindahan pantai atau sambil bersantai di restorannya. Didepan hotel juga ada tempat bersantap yang cukup populer yaitu ""Bebek tepi sawah"", serta mini market. Untuk keamanan dan kenyamanan, hotel ini sangat recommended untuk menginap.",4
5, Bintang Kuta Hotel,"Berulang kali menginap di hotel ini salut banget dengan maintenance nya, masih seperti hotel baru, bersih dan terawat baik sekali. Lokasinya strategis dikeramaian Kuta area, diantara dua mall, tidak jauh dari Lippo Kuta dan Discovery Mall, dekat juga dengan gereja FX Kuta.Sayangnya breakfastnya kurang variasi n rasanya standart banget btw mungkin sesuai dengan harga hotel yg tidak semahal standart hotel 4 star di Kuta area. Room yg cukup luas dan bersih didukung dengan keramahan staff menambah nilai plus hotel ini. Tamu hotel Bintang Kuta bisa juga menikmaai fasilitas kolam renang Ramada Bintang Bali Resort yg luas n nyaman menjadikan hotel ini sangat rekomen untuk yang menyukai keramaian Kuta area.",5
6, Bintang Kuta Hotel,"Kali kedua saya memutuskan untuk menginap di Bintang Kuta Hotel, walaupun pada kesempatan pertama saya kurang berkesan, namun saya ingin mencoba dan memberikan kesempatan kedua, dikarenakan lokasi Bintang Kuta Hotel memang strategis. Berada di pusat jalanan Kartika Plaza dimana Bintang Kuta diapit oleh Lippo Mal dan Discovery Mal disebelah kanan kirinya, sangat nyaman dan mudah dari dan menuju akses ke kedua mal tersebut.  Ukuran kamar cukup luas dan nyaman, perlengkapan di dalam kamar cukup komplit dengan adanya heater jugs, sandal kamar, payung, hair dryer, dan toiletries. Hanya saja untuk toiletries, sudah saatnya Bintang Kuta mengganti sabun mandi dari bentuk soap bar (batangan) menjadi liquid soap (sabun cair), mengingat bahwa dengan ukuran sabun mandi sekecil itu dan hanya…",3
7, Bintang Kuta Hotel,"Saya menginap semalam untuk transit. Melihat 4* dengan harganya sepertinya adalah good deal. Memang lokasi bagus dan hotelnya juga cukup baik. Namun sayangnya saya mendapat kamar yang ""bau apak"", dan akhirnya minta pindah. Management hotel juga cukup baik responnya dengan memindahkan saya ke kamar pada lantai yang sama. Tapi di kamar tersebut pun samar2 masih terasa ""bau apak"" yang sama. Yah, apa boleh buat saya pikir cuma semalam juga.",3
8, Bintang Kuta Hotel,"Lokasi strategis hanya 5menit jalan kaki ke Lippo Mal Kuta. 15 menit berjalan ke Discovery mall yg ramai. Hotel nyaman dan bersih. Receptionist ada yg ramah dan sangat helpful tapi ada juga yg cuek (saya lupa namanya). Kamar juga sangat nyaman. AC dan air panas bekerja dengan lancar. Dapat access ke hotel Ramada Bintang, namun perjalanan ke kolam renang dan pantainya lumayan jauh..seperti jalan ke discovery mall..haha.    Breakfast saya katakan minimalis karena sepertinya chef diberi budget minim untuk menyiapkan breakfast. Baru kali ini sy menjumpai menu singkong goreng di hotel bintang 4 yg diberi nama Maison de Cassava. Pertama sy pikir ini apa..setelah sy buka tutupnya ternyata..eaaa..singkong goreng. Menu lainnya labu dikukus dan diberi bechamel sauce seperti lasagna, mi…",4
9, Bintang Kuta Hotel,"Ukuran kamar yang cukup luas, ada akses ke pantai lewat hotel ramada bintang bali.  Breakfast lumayan untuk kelasnya. Di sekitar hotel banyak rumah makan dan mini market. Lokasi cukup dekat dengan bandara, dekat dengan Lippo Mall dan Discovery Plaza. Pelayanan cukup ramah, seharusnya bisa lebih ramah.",4
