,hotel,review,stars
0, Capung Sakti Villas,"Kami tinggal di The Dharma Villa selama 4 malam dan itu luar biasa. Sebagai dua wanita usia menengah tempat ini sempurna, kami merasa aman dan sangat diterima. Kolam renang yang indah di depan kamar, pemandangan yang paling indah dari hutan dan sawah dan kehangatan dan kebaikan staf di atas dan di luar. Accomadation itu sendiri berwarna-warni, nyaman, dan bersih, sarapan yang lezat dan tamu-tamu lain yang indah untuk bertemu dan berbicara dengan. . bagi kami ini adalah bonus. Kami pindah ke Canggu yang jauh dari Ubud dan di sinilah teman saya menyadari bahwa dia telah meninggalkan drivernya liscence di dalam safe deposit box, berkat Etka segera memberitahu kami. Dia kemudian orgainsed untuk liscence yang akan dibawa ke hotel kami di Canggu, berbicara tentang avoe dan seterusnya!…",5
1, Capung Sakti Villas,"Meskipun stafnya indah, ini bukan tempat santai untuk tinggal dan jauh dari pengaturan damai seperti yang dikatakannya, ia kembali ke jalan utama dan jembatan sehingga yang bisa Anda dengar adalah truk, mobil, dan sepeda yang lewat, "" pribadi ""dek sebenarnya tepat di depan jalan utama ke kamar orang lain, kolam renang dan area resepsionis sehingga semua orang dapat melihat ke dek Anda dan ke kamar. Menambahkan ke suara bug dll di ""pengaturan"" adalah tindik telinga, Anda juga kemungkinan besar tidak akan menemukan tempat ini di Google maps atau uber karena tidak muncul.",2
2, Capung Sakti Villas,"Pemandangan, staf, kamar, kolam renang, lokasi. Segala sesuatu berada di luar harapan kami. Nilai plus yang besar adalah Anda berkontribusi pada fondasi pemilik untuk perawatan medis. Sarapan adalah luar biasa, makan malam kami memesan dari restoran mereka juga benar-benar lezat. Jangan ragu untuk memesan di sini!",5
3, Capung Sakti Villas,"Keluarga kami yang disewakan seluruh villa di Capung Sakti selama dua minggu, Natal dan Tahun Baru, dan kami memiliki waktu yang sangat indah! Kami menetap di sebelah kanan dan terasa seperti rumah yang jauh dari rumah. Dengan delapan orang dewasa dan 4 anak ( 13 tahun, 11 tahun, 9 tahun dan 3 tahun) villa menampung kami dengan nyaman dan tempat tidur tambahan ini dibuat tanpa repot, seperti yang diperlukan. Manajer, Eka, sangat cantik dan sangat membantu. . . walaupun dia di hari-hari terakhir dan minggu dia mengandung (Eka telah anaknya sebelum kami meninggalkan) , dia pergi untuk membantu kami dengan semua permintaan dan untuk menjawab semua pertanyaan saya dengan cara yang dikirim. Direktur Yayasan, Alex, juga di tangan melalui email untuk mendukung. Dan staf di situs setiap…",5
4, Capung Sakti Villas,"Keluarga kami menghabiskan delapan malam indah di sini di akhir Maret/awal bulan April dan kami akan dengan senang hati tinggal di sini lagi (dan lagi). Aku punya banyak pertanyaan sebelum kami memesan kami tinggal dan email saya dijawab dengan cepat dan sepenuhnya. Melalui hotel ini, kami mengatur mobil yang nyaman untuk bertemu kami di bandara. Wisma tamu di lantai sama persis dengan banyak foto. Kami dapat (dan tidak) memandang sawah di seberang kolam renang selama beberapa jam. Keluarga kami memesan seluruh rumah brahmana. Putri remaja kami dalam satu ruangan dan saya dan suami saya dengan yang lain. Setiap kamar sangat nyaman, dengan tempat tidur yang besar, kamar mandi (meskipun kami berharap ada sedikit lebih banyak air panas), meja samping tempat tidur, banyak Windows,…",5
5, Capung Sakti Villas,"Istri saya, anak perempuan dan saya baru saja kembali dari delapan - tinggal di Villa di Brahma Lodge. Ada banyak untuk mengatakan. Istri saya dan saya menemukan diri kita menyaksikan matahari terbit setiap pagi hari dari di sofa nyaman di teras oleh kolam renang, mendengarkan suara hutan dan melihat Blues dalam memberi jalan terang. Aku tidak bisa memikirkan cara yang lebih baik untuk memulai hari. Ya, ada suara ayam berkokok, dan Anda mungkin atau mungkin tidak seperti mereka, dan anjing akan menggonggong di pagi hari. Bagi kami mereka hanya bagian dari suasana. Kami hanya pergi tidur lebih awal dan senang kami lakukan untuk menyaksikan pertunjukan menakjubkan alam.   Ketika kami tiba di bandara, maskapai penerbangan telah kehilangan koper saya. Saya tanpa baju ekstra tetapi…",5
6, Capung Sakti Villas,"Saya dan teman saya tinggal di vila terakhir.   Ini memiliki dua kamar tidur setiap dengan kamar mandi raja dan pendingin udara.   Ada ruang tamu yang besar dan dapur lengkap.   Daerah sangat bersih dan baik tampak setelah.   Kolam renang kecil yang menghadap ke sungai.   Staf yang luar biasa. Mengatur transportasi dari Kuta, bus antar jemput ke Ubud dan pijat di kamar.   Tempat yang luar biasa untuk bersantai. Pasti akan kembali lagi",5
7, Capung Sakti Villas,"Staf yang ramah dan fasilitas bersih! Eka dan dia staf akan mengurus Anda. Keluarga kami terdiri dari 4 anak 2 kamar yang berbagi ruang yang kami dapat bersantai dan melihat alam dapat menawarkan. Ini adalah lokasi yang aneh ini terletak sekitar 5 menit berkendara ke pusat Ubud. Bisa berjalan kaki tetapi saya tidak akan merekomendasikan hotel ini dengan jalan sempit dan cukup agresif driver (mobil dan sepeda motor yang baik). Taksi sangat murah. Ada anjing menggonggong di malam hari dan ayam sebagai setiap pagi hari, sangat awal! Selain itu tempat ini sangat tenang dan damai. Selain itu anda dapat bergabung dengan tur, salah satu dapat berjalan di sawah yang bisa diakses dari villa. Di desa Sawah terletak memiliki beberapa toko yang Anda dapat membeli makanan ringan serta seni…",4
8, Capung Sakti Villas,"Kami merasa seperti di rumah sendiri ini sangat kecil dan guest house. Kami menghabiskan waktu di villa 2 keduanya sangat menyenangkan dengan banyak ruang, satu langkah ke kolam renang yang indah di sawah. Pergi ke Ubud adalah mudah sebagai staf mereka yang sedang mengemudi kita setiap kali kita ingin pergi. Staf adalah selalu ada untuk membantu dan mereka mengatur segala sesuatu bagi kita (wisata, supir, arung jeram, dll). Kami benar-benar tidak bisa kesalahan tempat ini dan itu semua benar-benar mahal untuk rumah sakit amal mereka.",5
9, Capung Sakti Villas,"Kami tinggal di capung sakti untuk 9 malam. Kami punya vila di sisi kanan. Ada 3 vila. Kami mendapat ruang terbuka di bawah (seperti ruang tamu terbuka) dan kamar tidur di lantai atas dengan balkon kecil. Ada tidak ada balkon dengan pintu, hanya tirai yang anda dapat menarik di malam hari. Ada tidak ada tempat di antara villa staf yang tinggal di sana dari awal pagi hingga 9pm. Ini berarti bahwa staf selalu duduk di ruang tamu kami dan kami memiliki tidak ada privasi sama sekali, karena seperti yang disebutkan sebelumnya, anda tidak dapat menutup pintu balkon. Kami merasa seperti kami tidak memiliki pilihan tetapi untuk berurusan dengan itu karena ada tidak ada tempat bagi mereka untuk pergi, jadi mungkin akan mengeluh tentang situasi yang membuat hal-hal bahkan lebih aneh. Kami…",3
