,hotel,review,stars
0, Cendana Resort and Spa,Ketut dari Cendana unggul dalam mengatur pemesanan yang saya buat untuk beberapa teman kami yang mengunjungi Ubud untuk ulang tahun pernikahan mereka. Ketut terima kasih. Terima kasih Cendana Ubud.  Pete dan Chrissie @balivilla untukmu #GuestsLoveUs #villasnusadua #kolam pribadi,5
1, Cendana Resort and Spa,"Kami awalnya pergi ke hotel lain yang saya pesan dan merasa ngeri sehingga kami meminta sopir kami untuk membawa kami ke tempat lain yang mungkin dia tahu sebagai pilihan terakhir. Dia beruntung membawa kami ke sini.  Lokasi sangat mengagumkan karena itu sangat pusat ubud dan dekat hutan monyet. Kami tidak memesan dan masih mendapat tarif super bagus (waktu April) sebesar Rp450.000 untuk malam (AUD $ 44).  Kami disambut oleh senyum tulus dari anggota staf yang indah yang melewati getaran indah di seluruh dan sangat akomodatif.  Kamar kami adalah hal-hal waktu villa individu dengan pintu kayu kecil yang mengunci dengan gembok raksasa. Anda mungkin berpikir ini adalah hal yang buruk, tetapi saya menemukan itu super asli dan menyenangkan.  Mereka memiliki 2 kolam renang. Gambar…",4
2, Cendana Resort and Spa,Ini adalah hotel resor budaya. Dengan 2 kolam renang besar. Pilihan sarapan vegetarian yang baik disajikan untuk saya di kamar. Kamar Deluxe adalah pilihan yang lebih baik. Tampilan sawah. Staf yang luar biasa. Ada spa Bali yang bagus di tempat yang tenang.,4
3, Cendana Resort and Spa,Cendana adalah sebuah resor besar yang terletak sangat sentral tetapi berhasil menjaga kebisingan dari jalan yang sibuk. Itu adalah oasis yang bagus dengan dua kolam renang besar. Kamarnya sedikit rusak tetapi tidak ada yang salah dengan mereka. Renovasi yang sedang berlangsung (yang tidak mengganggu) jadi hanya akan menjadi lebih baik. Staf yang ramah dan membantu. Jelas merekomendasikan untuk harga ciak!,4
4, Cendana Resort and Spa,"Untuk semua orang yang tidak ingin berjalan jauh dan berada di tengah ubud jangan melihat lebih jauh: ini adalah tempatnya. Semuanya bersih dan damai. Staf sangat membantu dan melakukan apa pun yang ada dalam kekuatan mereka untuk membantu Anda. Kedua kolam memiliki ukuran yang baik, tidak ada klorin yang merupakan plus dan sarapan adalah dasar tetapi cukup. Ini adalah pengalaman menginap yang luar biasa di ubud dan pasti ingin kembali",5
5, Cendana Resort and Spa,"Saya tinggal di sini selama 2 malam sementara di ubud. Senang rasanya tinggal di suatu tempat seperti ini sebagai istirahat dari tinggal di asrama. Ketika kami tiba, staf menyambut kami dengan jus semangka segar. Kamarnya luas, tempat tidurnya sangat nyaman! ! Satu-satunya downside adalah bahwa kamar kami tidak memiliki air panas selama 2 hari dan kadang-kadang Anda masih bisa mendengar musik dari nar / klub di awal jam di pagi hari. Selain itu, kami tidak memiliki keluhan. Hotel ini memiliki 2 kolam renang besar yang menghadap ke sawah. Sarapan termasuk dalam kami tinggal dan sangat bagus. Kami juga memesan tur gunung batur melalui hotel yang saya akan merekomendasikan. Sopir kami menjemput kami dari hotel dengan 2 orang lain dan mengantar kami ke Cangu atas permintaan kami…",4
6, Cendana Resort and Spa,"Kami telah tinggal di sini setiap tahun selama beberapa tahun sekarang, hanya beberapa malam setiap kali. Kunjungan ini adalah sedikit tidak menyenangkan: kamar kami mencium kuat asap rokok (cukup mengerikan). Kolam yang lebih besar itu cukup keruh, bukan standar yang biasa. Kami seharusnya menginap 2 malam, tapi check out setelah 1. Untuk $ 120 AUS, ada banyak orang lain yang dapat dipilih, & sayangnya, lain kali, saya pikir kami akan tinggal di tempat lain. Pemandangannya masih indah, dan sarapan juga bagus. Staf efisien, tetapi tidak terlalu ramah atau membantu.",3
7, Cendana Resort and Spa,"Hotel ini berada di lokasi yang bagus, pusat Ubud tetapi terpencil dengan hanya cukup untuk merasa anda berada jauh dari jalan-jalan yang sibuk. Bar lokal dapat terdengar sampai larut malam, tapi ini bukan masalah besar. Kamar yang bagus dan luas, pemandangan sawah yang bagus. Namun mereka agak sedikit tua dan usang. WiFi sangat buruk, kecuali jika anda duduk di meja resepsionis yang kedua anak saya lakukan untuk waktu yang lama. . . . Kolam renang di bagian belakang hotel ini nyaman dan tidak seperti air dingin seperti kolam renang di depan. Kolam renangnya memiliki kolam ini yang menghadap ke sawah tepi. Tempat berjemur yang cukup knackered dan perlu diganti. Investasi kecil akan membuat ruang yang luar biasa ini.  Kolam renang di depan hotel terlihat sangat brilian, tapi…",4
8, Cendana Resort and Spa,"Saya tidak tahu berapa kali kami menginap di hotel ini selama 20 tahun, tetapi aneh ketika kami tiba di sana adalah perasaan senang. Staf yang menyenangkan, taman indah, kamar yang bersih dan terawat dengan baik. Sarapan yang bervariasi dan berlimpah. Layanan makanan di sekitar kolam renang yang baik dan selalu ada banyak handuk kolam renang. Pemandangan sawah, terutama di musim bebek pernah berubah. Hotel ini berada tidak jauh dari Monkey Forest Road yang sibuk tetapi berjalan kaki atau berkendara di membawa Anda jauh dari lalu lintas jalan plumbing gila.",4
9, Cendana Resort and Spa,"Ada banyak pilihan akomodasi untuk dari di Ubud. Mahal untuk sederhana. Dari mulut ke mulut biasanya yang terbaik untuk harga yang moderat rekomendasi namun tertata dengan baik dan nyaman. Ini adalah bagaimana kita menemukan seperti Resort dan Spa. Cendana , terletak dengan baik dari Monkey Forest Road yang sibuk, oleh karena itu tenang dan nyaman. Kolam renang yang sangat bagus, sekeliling, dan teras pribadi semua disajikan dengan sarapan yang termasuk jus peras segar, santai dan tidak mahal. , saya akan sangat merekomendasikan beberapa waktu di Spa. Staf penuh perhatian, dengan linen aand layanan kamar harian.",5
10, Cendana Resort and Spa,"Memasuki oleh drive kecil di tengah-tengah keramaian dan hiruk pikuk jalan monkey forest road dari mana ia membuka ke resor. Cendana Wow gaya tradisional Bali kamar dengan pemandangan yang menakjubkan dari atas ke sawah. Sulit untuk membayangkan ini adalah 2 menit dari jalan utama. Kolam renang yang bagus, staf yang ramah, sarapan yang baik. 30 malam £ untuk kami berdua inccluding pajak (Pesan Langsung) 15 menit berjalan kaki ke Monkey Forest, 5 menit ke pasar seni. Jika anda ingin menjelajahi pusat Ubud dengan berjalan kaki tidak perlu mencari lagi. . . .",5
11, Cendana Resort and Spa,Kami menghabiskan satu malam di Ubud untuk menjelajahi sementara Cendana pada dua minggu perjalanan ke Bali yang berbasis di Sanur. Ini adalah nilai yang baik dan lokasi yang luar biasa di daerah pedesaan di pusat Ubud. Kamar kami menghadap tradisional Bali sawah dan sangat bersih dan ber AC dengan tempat tidur yang besar dan nyaman . Stafnya sangat membantu dan ramah. Kami mendapat minuman selamat datang dan sarapan benar-benar baik . Pasti akan merekomendasikan kepada siapa pun menjelajahi Ubud Cendana .,5
12, Cendana Resort and Spa,"Tempat tidur yang sangat indah untuk tidur dengan kelambu, ac, kamar mandi, shower, lemari pakaian, meja di samping tempat tidur, bunga, dan meja rias dengan pengering rambut yang sempurna. Di belakang salah satu pusat perbelanjaan utama dengan restoran berwilayah semua begitu dekat. Saya merekomendasikan untuk siapa saja yang ingin berada dekat dengan semuanya.",5
13, Cendana Resort and Spa,"Secara keseluruhan tempat yang indah, lokasi yang bagus, bisa mencapai semua tempat untuk melihat di ubud. Sarapan enak. meskipun terbatas Cottage gaya Bali dan tempat tidur menambah pesona bergaya Victoria. Namun beberapa hal seperti ketel, keamanan loker, harus disediakan. flippers WiFi agak buruk.",4
14, Cendana Resort and Spa,Sekali lagi kami dibuat sangat welcome di sini. Kami memiliki ruang di belakang jadi itu sangat damai. Kolam renang tidak pernah ramai dan juga ada ruang sarapan. Jus campuran segar adalah cara yang bagus untuk memulai hari dengan banyak pilihan untuk sarapan dan saya sangat menyukai Pancake Pisang. Saya menyukai fakta bahwa Anda berada di kota tetapi merasa seperti Anda berada di negara.,5
15, Cendana Resort and Spa,"properti yang sangat besar yang dapat diakses dari jalan Monkey Forest Road. Dua kolam renang - satu di bagian depan dan di dekat lobi yang lebih besar di belakang dekat restoran. Keduanya menghadap ke sawah. Bersantai di kolam renang menyenangkan dan mendengarkan bebek parade di lapangan. (Dukun! Gempa! - Perusahaan yang sangat cepat pada bulan Maret, kiri, kanan, kiri, kanan).   Besar kolam renang infinity Gaya Dan Alternatif lain jika yang lain sibuk.   Kamar kami adalah kamar #303, di lantai atas dan menghadap ke taman dan kolam renang. Ukuran yang layak, kamar mandi besar dan teras dengan kursi berjemur, 2 - tempat duduk, meja kopi dan rak untuk pakaian dan handuk basah cossies. Teras memiliki tirai yang dapat meluncur turun jika cuaca akan menjadi sedikit tidak sedap.  …",4
16, Cendana Resort and Spa,"Ini mungkin adalah hotel favorit saya di Indonesia. Kamarnya besar, bersih dan bagus. Ada dua kolam renang (satu menghadap sawah). Sarapan adalah prasmanan dan itu sangat lezat dan mengisi. Staf sangat standar. Apa yang ada untuk tidak suka? Pasti akan kembali lagi!",5
17, Cendana Resort and Spa,Untuk pengalaman menginap yang nyaman di hotel keluarga yang Anda tidak bisa mengalahkan Cendana Resort dan Spa di Jalan Hutan Monyet. Sarapan adalah lezat (dan tidak ada seorangpun yang menghitung berapa banyak anda telah Pancake Pisang goreng) dan staf penuh perhatian. Alasan dan kolam renang yang terpelihara dengan baik dan kamar deluxe yang terang dan sejuk. Dan yang terbaik dari semua itu adalah hanya berjalan kaki singkat dari semua rumah di Ubud. Tidak ada menunggu untuk transportasi. Selamat Cendana.,4
18, Cendana Resort and Spa,"Kamarnya besar, dengan AC dengan 2 kolam renang. Satu dengan air asin. Hanya dua hotel di mana saya tidak menemukan bug di tempat (kecuali nyamuk).  Di pusat Ubud, namun, ini bisa menjadi bising di malam hari, sampai 2 pagi, Anda dapat mendengar musik yang bermain di restoran di dekatnya.",4
19, Cendana Resort and Spa,"Bungalo bergaya tradisional Bali,  Staf sangat ramah dan membantu, ada dua kolam renang, garam air menghadap ke sawah. Yang lain adalah kolam renang air segar yang memiliki beberapa retak dan kami memotong diri mereka.  clos ke Ubud pasar sangat, toko-toko dan jalan hutan monyet, semua dalam jarak berjalan kaki.  Saya akan tinggal di sini lagi untuk kepastian harganya.",4
20, Cendana Resort and Spa,Benar-benar oleh kebetulan kami tiba di 9 pm di bandara Bali di Bali perayaan tahun baru. Kami harus memiliki curiga sesuatu ketika hotel ini tidak dapat menyediakan pelayanan antar jemput tapi pasti berencana memesan kami taksi tersedia dari layanan taksi bandara. Sayangnya semua ditutup termasuk ATM dan tempat penukaran uang. jadi tanpa uang tidak resmi kami memohon dengan supir untuk membawa kami melalui hiruk pikuk keramaian malam ke Ubud.  Keberuntungan di pihak kita dan terlepas dari beberapa jalan memutar untuk menghindari penutupan Jalan Cendana untuk menemukan kami tiba di Jendra di meja resepsionis. Ia dapat menggunakan kartu kredit kami untuk uang muka untuk membayar sopir keluar.  Hari berikutnya kami Hotel terasa seperti semua Bali dirayakan di kesunyian  Kami mampu…,5
21, Cendana Resort and Spa,"Saya menghabiskan beberapa malam di Cendana, mereka tampak setelah saya sangat baik, staf sangat penuh perhatian dan membantu. Saya mendapat kamar yang sangat bagus, bersih, kamar mandi baik. Wifi OK, tapi saya pikir itu bagus di mana-mana. Mereka memiliki 2 kolam renang, yang terakhir yang luar biasa dengan pemandangan sawah. Suasana yang baik, orang-orang di dapur sangat baik, sarapan yang baik. tempat yang sangat santai. Saya akan kembali dalam beberapa hari.   Mariano amato.",4
22, Cendana Resort and Spa,"memesan 5 malam di akhir bulan Februari dengan ibu saya, membayar ekstra untuk kamar Deluxe karena kami ingin kulkas & TV (sebagian besar film). Lokasi yang bagus hanya off Monkey Forest rd.  Hotel ini sangat tenang, hanya 5 kamar yang dipesan di seluruh kompleks. Staf yang sangat baik, ramah & mudah. Saya pikir mereka senang untuk melakukan sesuatu! Kamar yang dibersihkan setiap hari, 2 botol air setiap hari, sarapan dari menu termasuk  Kekurangannya tidak ada ketel atau teh fasilitas kopi, 1 x power di belakang tempat tidur yang diperlukan untuk zapper nyamuk, nyamuk besar capung, TV memiliki saluran semua 17 Indonesia tidak membayar ekstra untuk. Perlengkapan mandi seadanya yang tersedia. Tekanan air mengerikan di wastafel kamar mandi. Di lantai atas ke kamar kami yang sangat…",2
23, Cendana Resort and Spa,"Situs web menunjukkan sebuah kamar ""Deluxe"" yang sebenarnya hanya ada satu. Itu adalah di bagian belakang properti ini di atas spa dan jauh dari kolam renang. Mereka biasanya tidak menyewa itu. Semua kamar lari ke bawah dan tidak ada yang seperti foto kamar deluxe.  Kami memesan 2 kamar untuk 4 malam termasuk kamar Deluxe untuk anak, anak-anak dan pasangan. Kami terkejut untuk ditampilkan ke kamar standar yang menjadi usang (yang kami akrab dari Perjalanan sebelumnya)  Mereka mengatakan bahwa ini adalah kamar Deluxe tapi setelah beberapa argumen membawa kami ke kamar yang ditampilkan pada situs web. Ini tempat yang sangat bagus tapi terlalu jauh dari segala sesuatu Kolam renang penuh dengan lumut juga karena hujan baru. Mereka mengatakan mereka telah menunggu untuk dilayani tapi…",1
24, Cendana Resort and Spa,"Telah ada selama beberapa malam dengan Familie. Kami memiliki sebuah kamar bagus dengan AC, mini bar. Kamar yang dibersihkan setiap hari.   Ada 2 kolam renang air asin yang satu dan satu normal.  Anak-anak memiliki waktu yang hebat di mereka.   Tempat ini hanya 10/15 menit berjalan kaki dari monkeyforest dan jarak yang sama ke Pasar Ubud dan istana.   Anda dapat makan tepat di luar hotel atau bisa berjalan kaki sedikit. Ada banyak untuk memilih dari.   Kami memiliki waktu yang besar dan akan mengunjungi lagi ketika pergi ke Ubud.",4
25, Cendana Resort and Spa,"Saya dan mitra saya tinggal di Cendana selama tiga malam pada akhir liburan Bali kami menyelam di Oktober 2016. Kamar kami menghadap ke sawah, yang benar-benar indah, dan set kembali sedikit dari jalan berarti bahwa resor tidak terlalu berisik. Kamar kami berada di lantai dua, sehingga juga mendapat sedikit angin di balkon yang menyambut lega (dan AC bekerja dengan baik dalam terlalu)! Resor ini memiliki dua kolam renang (sangat mewah) dan menawarkan bagus, sederhana menu untuk sarapan. Kami sangat senang dengan kamar kami (meskipun saya telah membayar sedikit tambahan untuk kemewahan, seperti lemari es dan ketel). Namun, kamar mandi sangat aneh. Pertama, pintu ke kamar mandi tidak menutup dengan benar, dan ada celah di atas pintu yang disengaja - sehingga tidak ada banyak…",3
26, Cendana Resort and Spa,"Cendana resort memiliki segala sesuatu yang anda bisa ingin: bentang alam yang sangat indah, dua kolam renang indah, spa, restoran, dan staf luar biasa menawarkan layanan pribadi dengan besar hati tersenyum bali terkenal. Dengan hanya 31 kamar, anda tidak pernah merasa ramai atau bergegas, dan dengan lebih banyak staf daripada tamu, itu mudah untuk merasa dimanjakan dan kami akan peduli untuk.   Sanggraloka ini memiliki mobil sendiri dan sopir berbahasa inggris yang juga ahli pemandu wisata yang akan memperkenalkan anda ke pusat bali untuk keajaiban yang sangat masuk akal.  Terletak hanya satu blok atau dua dari istana ubud, cendana resort adalah di jantung kota ubud, dengan akses mudah ke restoran, belanja, dan tempat wisata setempat, seperti monkey forest dan museum yang…",5
27, Cendana Resort and Spa,"Saya awalnya memesan kamar standar, dan termasuk yang tidak jelas karena saya upgrade ke kamar deluxe.   Perbedaan antara dua kamar besar; jadi saran saya adalah... berbelanja secara royal sedikit untuk deluxe terutama jika tinggal selama beberapa hari dan ini adalah jenis tempat anda tidak ingin meninggalkan.   Walaupun kedua kamar memiliki area balkon kamar deluxe tidak memiliki pemandangan kolam renang yang dilengkapi dengan kursi berjemur dan memiliki 5 - star mewah. Kamar deluxe yang dilengkapi dengan tv, minibar/kulkas, shower dengan air panas. Tidak ada fasilitas ini tersedia dalam standar. Kamar deluxe adalah marmer dan sangat luas.   Hotel ini memiliki dua kolam renang, satu di depan dan satu di kembali. Kolam renang di belakang menghadap ke sawah yang menambah suasana…",4
28, Cendana Resort and Spa,"penerimaan yang sangat hangat, staf sangat membantu, dan benar-benar ramah! Resor ini luar biasa, sesuai dengan harapan semua pihak, dan hanya sedikit suara dari ubud, selain itu terletak hanya beberapa menit dari segala sesuatu! Sarapan yang disajikan berkualitas tinggi, segala sesuatu yang dimasak dengan baik dan segar! Spa besar dan perawatan yang datang dengan harga yang tepat untuk momen santai! Sangat direkomendasikan",5
29, Cendana Resort and Spa,"Telah ada 3 malam dan tempat ini sangat bagus.  Terletak sangat baik, itu adalah di pusat kota tapi tampaknya terlepas.  Kamarnya bagus kecuali bahwa mereka yang bukan yang terbaik untuk mandi (secara umum).  Sebelah sawah padi pemandangan spektakuler. Selain itu di sebelah kolam renang.  Suara kodok, burung, ... Pada malam hari adalah sangat menyenangkan.  Sangat direkomendasikan",4
30, Cendana Resort and Spa,"kamar yang sangat bagus di depan kolam renang, atau sawah, kamar tidur yang sangat baik, tetapi kamar mandi perlu perbaikan tetapi dapat diterima. Taman di sekitar kamar sangat indah. Sarapan prasmanan adalah baik dengan banyak pilihan. Kolam renang luar biasa, hanya di depan sawah, tempat yang sangat indah Hotel ini sangat baik terletak, di jalan hutan monyet (yang sayangnya dekat bar sangat berisik dengan musik yang keras di malam hari), dan ada banyak taksi untuk membawa anda ke banyak tempat menarik di atau dekat ubud. Saya merekomendasikan.",4
