,hotel,review,stars
0, Dewi Sri Hotel,"lokasi lumayan dekat dengan obyek wisata dan tempat belanja di sekitar kuta,dekat juga dengan monumen bom bali,tempatnya lumayan sunyi,pelayanannya juga lumayan ramah,tapi karena saat saya menginap tidak bertepatan dgn hari libur maka penghuninya rata rata orang asing",3
1, Dewi Sri Hotel,"Saya pergi dengan 4 remaja ke Bali dan menginap di Dewi Sri Hotel untuk 4 malam terakhir bulan Januari tahun ini. Saya memilih Dewi Sri Hotel karena dekat dengan klub, kios dan Poppies Lane II. Kami memesan 3 Kamar Superior. Aku punya kamar untuk diriku sendiri dan anak-anak memiliki ruang untuk dibagi dengan single bed. Kamar kami yang begitu indah. Kamar luas yang indah dengan ukuran jumbo- besar! Ruangan itu bersih dan frangipanis menghias di sekitar ruangan dan di tempat tidurnya yang indah, ada sentuhan yang menyambut. Saya juga telah mengatur dalam pemesanan saya untuk mendapatkan tiga karangan bunga besar bunga untuk masing-masing kamar kami. Harganya $ 10,00 masing-masing dan kami tidak kecewa! Mereka besar dan begitu indah. Kamar mandi bagus dan luas dengan tekanan air…",5
2, Dewi Sri Hotel,Kami menginap di kamar yang lebih baik. Sedikit lebih mahal tetapi layak. Staf sangat membantu. Akses mudah ke klub dan makanan. Kolam renangnya seperti spa (tidak benar-benar menenangkan). Saya pasti akan berkunjung lagi!!!!,5
3, Dewi Sri Hotel,"Hotel Dewi Sri memiliki lokasi yang sempurna, jauh dari jalan-jalan yang ramai di Legian, Hotel Kuta sangat bersih dan stafnya sangat ramah dan menolong kapanpun diperlukan. Hotel ini sangat dianjurkan.bagi kaum dewasa yang masih muda karena lokasinya ini yang sangat sempurna. Saya Ingin datang ke sana lagi besok-besok.",5
4, Dewi Sri Hotel,"Saya punya waktu yang luar biasa di Sri Dewi, semua staf tidak cukup bisa melakukan untuk Anda. sangat ramah, benar-benar merasa di rumah. Akan sangat menyarankannya, hargayang sangat wajar. Pijatnya yang terbaik. Pasti akan kembali.",4
5, Dewi Sri Hotel,"Selama kamar hotelnya memiliki tempat tidur nyaman dan mandi yang baik, Saya senang. Kamar keluarga kami di Dewi Sri tidak punya hal ini. Kami tidak bisa tidur nyenyak liburan yang hancur . 3 hari sebelum kami akan pergi, kami putus asa untuk rumah dan tempat tidur yang nyaman. Kamar mandinya sangat buruk dengan kamar mandi dalam bak yang sangat tinggi tanpa jarak. Air di kamar mandi itu baik panas atau beku. Setelah beberapa hari keran mixer terjatuh dan bagian pemeliharaan ""memperbaikinya"" dengan memukul-mukulnya kembali dengan palu. toilet Flushernya juga patah. Kami harus melalui kamar anak-anak untuk ke kamar mandi dan lampu kamar mandinya di ganti menjadi nyala lampu plafon untuk anak-anak Kami harus membangunkan mereka untuk pergi ke toilet dengan meraba-raba di dalam…",2
6, Dewi Sri Hotel,"lokasi hotel baik, tenang dan cukup bersih, dekat dgn pusat perbelanjaan. makanan pagi hanya itu2 saja,house keeping terlalu cepat membuka pintu kamar. tapi bila akan ke bali lagi saya akan nginap kembali dihotel dewi sri legian dan akan merekomendasi pada teman2 nginap di situ, thanks. bye",3
7, Dewi Sri Hotel,"Hotel dewi sri.., nama hotel ini agak asing ditelinga kami. karena kami sudah mencari hotel2 lain dan tidak tersedia kamar....akhirnya lewat agoda kami memilioh hotel ini sebagai tempat penginapan kami selama dibali. dari photo yg ditampilkan di internet....hotel ini keliahatannya bagus sekali, kolam renangnya, restorannya, apalagi di bilang bahwa setiap kamar memiliki balkon sendiri2. dan kami pikir...wah kayaknya oke juga nih hotel. akhirnya sampailah kami di bali dan kami tiba di hotel. sewaktu kami tiba di hotel ini....serasa kami bukan memasuki sebuah hotel. karena tidak ada penyambutan welcome drink seperti di hotel2 lainnya.kami hanya mendapatkan kupon welcome drink. Dan sewaktu kami akan check in petugas reservasi juga kurang memberikan atensi kepada kami...dan…",3
8, Dewi Sri Hotel,Kami tinggal di sini selama 9 malam dan kami sangat terkesan. Staf hotel sangat ramah dan membantu. Ini sangat dekat dengan semua atraksi kuta. Makanan dan layanan sangat bagus dan kamarnya bagus. Dewi Sri adalah permata tersembunyi di mahkota Bali. Akan sangat merekomendasikan hotel ini kepada siapa pun.,5
9, Dewi Sri Hotel,Pertama kali ke Bali tinggal di sini 4 malam! Segera kami mendapat perasaan yang sangat baik. Staf sangat ramah dan membantu. Kamarnya bersih dan nyaman. Dapat menjadi sedikit keras beberapa malam tetapi tidak mempengaruhi tidur kami! Bar kolam renang dan kolam renang indah dan makanan yang sebenarnya sangat bagus! Gadis-gadis di spa juga luar biasa! Kami telah senang tinggal di sini dan pasti akan kembali. Tidak bisa salah.,5
10, Dewi Sri Hotel,Mereka tidak bisa meletakkan tempat tidur ganda di kamar bahkan setelah kami meminta setiap hari untuk tempat tidur ganda karena kami adalah pasangan yang tinggal di tempat tidur tunggal itu hanya sampah jika Anda bertanya kepada saya mereka hanya perlu memilah layanan di sana,1
11, Dewi Sri Hotel,"Tamu berbicara satu sama lain, persahabatan dibuat. Ini rumah dari lingkungan rumah. Wow itu super. Sebuah hotel kecil, kamar bersih, spa taman yang funky di mana semuanya di bawah $ 11. Menyusuri gang, aman dan jauh dari kebisingan, meskipun Anda memiliki semua hiburan di sana. Saya akan kembali. Tidak ada hotel yang lebih mahal dan steril. . . Itu mulia",5
12, Dewi Sri Hotel,Salah satu hotel terbaik yang pernah saya kunjungi. Kamar dan fasilitasnya sangat bersih dan rapi dan stafnya ramah dan membantu. Saya sangat menghargai hotel kecil di jantung Kuta. Akan tinggal lagi jika di bali. Terima kasih,5
13, Dewi Sri Hotel,"Terletak di jantung kuta. Berjalan kaki singkat ke toko-toko. Hotel tenang yang bagus. Memiliki restoran dan bar sendiri. Sarapan prasmanan, kunch, dan makan malam ditawarkan. Bar berenang dan bilik pijat juga. Tidak mahal untuk menginap di.",5
14, Dewi Sri Hotel,"Suamiku, diriku, dan seorang teman tinggal di sini selama beberapa minggu setelah mengalami pengalaman buruk di hotel lain. Staf menyambut kami dan tidak bisa melakukan cukup untuk membantu kami dengan barang-barang kami, permintaan kamar dan pertanyaan. Kamarnya sangat luas dan bersih. Kolam renangnya brilian dan juga memiliki bar kolam renang. Anda bisa mendapatkan layanan kamar 24 jam yang sangat berguna beberapa kali. Pembersih sangat baik dan bekerja di sekitar jadwal kami, mereka bahkan tertawa bersama kami dan meninggalkan kami hewan handuk yang bagus. Hotel ini terletak tepat di dekat jantung Kuta dan semua kehidupan malam namun kami tidak mendengar suara apa pun. Sangat nyaman terletak di dekat restoran dan bar. Mungkin satu-satunya negatif adalah karena jalan Legian…",5
15, Dewi Sri Hotel,"Menikmati kami menginap di Dewi. Lokasi bagus, pasar Kuta, restoran besar, bot terlalu jauh dari pantai. Akomodasi bersih, staf sangat indah dan makanan enak. Fasilitas di dalam hotel itu luar biasa! Kami menikmati spa dan acara malam khusus seperti film pintu kami. . . ada juga musik live hampir setiap malam di restoran sambil menikmati koktail malam.",4
16, Dewi Sri Hotel,"Ini adalah Permata tersembunyi dari tipe Hotel Resort dengan taman-taman besar, area pijat terbuka, Kolam Renang terbuka, 3 minuets dari kehidupan malam, peringatan Skyview Ground Zero, 10 - 15 minuets untuk 3 Pantai, saya lebih suka berjalan 15 minuets di siang hari ke pantai daripada di malam hari ke kehidupan malam, Hotel cocok untuk Keluarga, wanita lajang, pria lajang, untuk keamanan semua pengunjung harus menunjukkan ID di gerbang Kamar bersih, sebagian besar dengan 2 tempat tidur single Kamar Deluxe berada di lantai dasar + 1 jalan Kamar standarnya adalah lantai Ground + 3 Tidak ada lift Wifi mengharuskan Anda untuk masuk dengan Facebook atau Twitter Untuk orang muda ini mungkin baik-baik saja <tetapi tidak untuk saya",5
17, Dewi Sri Hotel,"Saya baru-baru ini tinggal di hotel ini dan sangat senang dengan kebersihan kolam renang dan happy hour di bar berenang. Makan siang spesial adalah hadiah. Pijat cukup murah di 2 gazebo di area rumput. Jika saya tinggal di Kuta lagi saya akan tinggal di sini, tetapi mencari tempat tidur yang lebih lembut karena mereka cukup kuat.",5
18, Dewi Sri Hotel,"Hotel nyaman yang indah, staf besar sangat ramah & membantu. Pusat spa sangat luar biasa dengan harga yang luar biasa benar-benar menyukai wajah. Satunya downside adalah koneksi wifi sangat seminggu di kamar. Tapi saya pasti akan tinggal di sini lagi ??",5
19, Dewi Sri Hotel,Benar-benar menyukainya staf mereka membuat kami tinggal sangat menyenangkan dan santai mereka tidak bisa melakukan cukup bagi kami kamar sangat bersih dan terawat dengan baik dan sarapan smorgasbord luar biasa dan baliputratour menunjukkan kami berkeliling dan mengatur seluruh kegiatan kami dari olahraga air dan arung jeram ke kuil kunjungan dan restoran waktu makan siang tersembunyi dengan harga lebih murah maka kita bisa mendapatkan 10/10 tidak sabar untuk kembali,5
20, Dewi Sri Hotel,"Kami menginap di sini selama 12 malam di bulan Agustus 1596 dan benar-benar menikmati kunjungan kami. Kamar keluarga yang sangat luas dan bersih. Ac bekerja dengan sangat baik dengan tidak ada suara bising atau bau. Sarapan agak terbatas tapi ada cukup dan ada koki pada panggilan untuk membuat telur dadar yang segar, telur dan pancake. Area kolam renang dan taman yang bagus. Staf yang ramah, makanan yang baik dan minuman yang harganya masuk akal. Cukup banyak dengan harga yang sama seperti kebanyakan dari bar dan restoran di dekat hotel. Seseorang yang disebutkan ada masalah untuk mendapatkan tas yang dibawa ke kamar (kami berada di lantai 4) . Kita tidak harus bertanya, mereka hanya membantu membawa mereka untuk kami ( 1 , 30 pagi). Tempat ini dekat dengan kehidupan malam Kuta,…",4
21, Dewi Sri Hotel,"Saya menginap di sini dengan suami saya dan teman kami dari tanggal 7 Agustus - 13 th Agustus. Hotel ini sangat luar biasa. Kamarnya besar, bersih dan nyaman. Kamar mandi memiliki semua yang kami butuhkan - staf memiliki pengering rambut yang ditaruh di kamar kami karena saya telah meminta satu dengan pemesanan. Sarapan prasmanan yang luar biasa, tamannya hijau dan per bersih. Saya tidak mendapatkan kesempatan untuk pergi ke dalam kolam renang, tetapi selalu penuh dan terlihat sangat bersih. Kami berhasil mendapatkan check out yang terlambat dan yang tidak ribut dari para staf. Saya tidak pernah menginap di hotel dengan lockbox di resepsionis, dan meskipun tidak sukai ide di mulai bekerja dengan baik dan saya merasa aman. Ini adalah ulang tahun suami saya jadi staf membuat hewan…",5
22, Dewi Sri Hotel,"Kami menginap di sini dengan 2 anak usia 3 tahun dan 8 bulan, kamarnya standar tapi '' memiliki semua yang anda butuhkan. Bersih dan sederhana. Staf hotel yang benar-benar luar biasa! Kolam renang untuk anak-anak dewasa yang luar biasa! Harga yang bagus dan bar minuman makanannya luar biasa! Resepsionis, pelayanan kamar dan di tamannya keamanan 24 jam. Spa di hotel ini memiliki harga yang sangat bagus! Hotel ini sendiri terletak tepat di jantung Kuta.",5
23, Dewi Sri Hotel,"Saya dan suami saya menginap di hotel ini selama 5 hari dari 31 Juli 1596 - 5 Juli 1596. Walaupun ada beberapa kekurangan, positif tentu saja itu. Staf yang benar-benar indah di Dewi Sri. . . tidak ada yang terlalu banyak untuk mereka lakukan untuk anda. . Mereka bahkan memperbolehkan kami . terlambat - out karena penerbangan kami cukup larut malam. Mereka memberi nasihat bagus tentang ke mana harus pergi dan apa yang harus lihat selama kunjungan kami. Pijatnya yang benar-benar menakjubkan dan akan kembali hanya untuk orang-orang : - ), kamarnya bersih dan nyaman, namun, tekanan air tidak begitu baik di kamar mandi dan kamar mandinya memiliki bau pengap sepanjang kunjungan kami. Secara keseluruhan, kunjungan yang menyenangkan.",3
24, Dewi Sri Hotel,"Kami di-upgrade ke kamar keluarga pada saat kedatangan, bonus karena mereka sangat luas, bersih dan rapi. Seprai berkualitas tinggi. Staf sangat ramah dan membantu setiap saat. Tamannya bagus dengan banyak pohon dewasa. Kolam renang yang sangat bersih. Dua tempat pijat yang benar-benar menakjubkan dan sibuk sepanjang waktu kami di sana. Menarik berapa banyak tamu yang kembali pelanggan, suatu tanda yang baik. Sarapannya cukup standar tapi pasti ok. Selalu tersenyum orang memasak omletes! .",4
25, Dewi Sri Hotel,"Staf sangat ramah, kamar terawat dengan baik dan semuanya sempurna. Nilai yang bagus untuk uang! Kami senang menginap di sini. Pijat saya telah benar-benar bersantai. Sarapannya hanya rata-rata. Namun, pengalaman saya secara keseluruhan bagus.",4
26, Dewi Sri Hotel,"Hotel yang indah, taman dan suasana. Tidak seperti tangga karena kami berada di lantai 4. Membawa barang bawaan membuat misi, karena tangga yang sangat sempit. Kami memesan kamar standar yang baik dengan ukuran, namun tekanan air di kamar mandi tidak yang terbesar dan akan lebih baik bila ada ketel dan aman di dalam kamar dan bukannya memelihara barang berharga di resepsionis di bawah kunci dan kunci. Staf sangat baik dan membantu. Menikmati berbagai makanan di menu. Lokasi yang bagus untuk belanja dan kehidupan malam, dalam jarak berjalan kaki ke semua akan sangat merekomendasikan.",4
27, Dewi Sri Hotel,"Handuk sudah tua dan tidak lagi putih atau lembut. Keset kamar mandi bernoda. Kamar mandi memiliki bau yang tidak semua minggu - seperti berjamur, bau lembab. Wastafel tidak dibersihkan dan cermin sekali dalam seminggu kami menginap di sana. Noda di dinding di kamar. Juru masak yang digunakan tanpa sarung tangan-tangan ke flip panekuk dengan jari-jari. Bantal bernoda dan berjemur berjamur. Satu-satunya yang bagus adalah staf yang ramah.",2
28, Dewi Sri Hotel,Kami suka Sri Dewi! Kami sudah menginap di sana 7 kali dan atau jadi akan selalu kembali. Kami menyukai staf dan teman baik dengan beberapa sekarang. Kami merasa sangat nyaman dan terlihat setelah di sana. Kamarnya bersih dan baru saja diperbarui dan menu yang diperbarui juga. Kami pernah menginap di tempat lain tetapi nilai untuk uang - Dewi adalah yang terbaik.,5
29, Dewi Sri Hotel,"Tempat yang indah staf yang menyenangkan lokasi yang indah, benar-pasangan saya telah hotel anda untuk 2 kali dan kali ini adalah sudah 3 rd semuanya sempurna. Staf sangat ramah dan hotel ini tidak jauh dari klub malam hanya berjalan kaki selama 5 menit, tidak bisa mengunjungi Bali lagi! !",5
30, Dewi Sri Hotel,"Kami menginap di sini selama 4 hari sebelum meninggalkan pulau di lepas pantai Bali. Hotel ini menawarkan semua yang anda inginkan (dari sudut pandang wisatawan yang masuk akal) - kamar yang bersih, kamar mandi yang bagus, kolam renang yang indah dan makanan yang enak dan minuman. Tempat ini berada di tengah-tengah hub yang Kuta, dan tidak jauh dari pantai. Cocok untuk orang-orang yang menikmati sedikit dari keramaian dan hiruk pikuk.",4
31, Dewi Sri Hotel,"Tempat yang bagus pasti akan menginap di sana lagi makanan yang enak, staf yang hebat, kamar yang bagus, pusat segalanya, yang tenang meskipun bagus, dekat dengan klub mereka bahkan memiliki 2 band yang memainkan beberapa malam sangat santai",5
32, Dewi Sri Hotel,"Pengalaman menginap yang sangat bagus dengan 80 tahun saya, senang, ibu muda staf yang ramah. Kamarnya bersih & terang, tetapi tidak ada tekanan air di kamar mandi, kecewa dengan tidak memiliki teko, kopi & teh di kamar. Tidak pernah mendengar musik ketika pintu ditutup. Penyejuk udara agak berisik. Makanan di restoran sangat bagus dan cukup murah, tapi bisa lebih baik dengan pencahayaan di malam hari. Sarapan cukup ok. Kolam renang adalah yang terbaik, selalu hangat dan anda bisa berenang di sana kapan saja, tetapi sangat licin ubin. Pijatnya syurgawi dan juga cukup murah. Banyak anak-anak yang baik, paling bagus untuk berperilaku, melihat banyak warga Australia. Dekat dengan semuanya, banyak toko dan restoran. Jalan menuju ke hotel yang gelap di malam hari, tetapi anda…",4
33, Dewi Sri Hotel,"Kami benar-benar menikmati 6 malam menginap cepat. Kami sedikit ragu pada awalnya karena lokasinya tapi menyukainya. Kami diberi upgrade gratis setelah malam pertama karena kamar kami memiliki 2 tempat tidur single untuk Kamar Superior. Ini adalah tempat yang indah guesture tapi saya sebenarnya lebih suka kamar standar karena mereka brighte. witj lebih cahaya alami. Lokasi Kamar Superior sangat menakjubkan. Hotel ini baru-baru ini membeli tas kacang dan payung dan kami sangat menyukai duduk-duduk di rumput. Para wanita melakukan pijat yang indah, satu-satunya hal yang mengecewakan adalah saya ingin pijat setiap hari tetapi kami terlalu sibuk menjelajah pulau atau berbelanja. Kami tidak mendapatkan sarapan yang termasuk tapi sarapan di pagi hari (sekitar $ 2 6 . 50 AUD) seperti…",4
34, Dewi Sri Hotel,"Hotel ini cukup baik untuk uang, tapi itu tidak memiliki jiwa menurut pendapat saya. Jika anda suka Bali karena taman tropis yang indah, anda akan kecewa dengan tempat ini, taman di sini, yang minim banyak taman yang hanya batu-batu. Jika anda menikmati sarapan pagi tempat ini bukan untuk anda. Pakai yang lama dan satu jus susu yang dicampur air ramah mengerikan. Sarapan terburuk yang pernah saya menginap saya di Asia. Ini adalah pada harga yang sangat sibuk jalan satu arah, yang membuatnya sangat sulit untuk mendapatkan tempat atau pulang, selain dengan berjalan kaki. Juga, harap perhatikan kolam renang buka sampai tengah malam, jadi jika ini mungkin mengganggu mintalah kamar yang jauh dari tempat ini.",3
35, Dewi Sri Hotel,"Kami memesan kamar untuk 2 malam. Tapi menginap 4 malam.  Di sebelah pusat perbelanjaan dan jalan Legian/strip.  Area kolam renang dengan tempat tidur yang nyaman. Staf yang ramah selalu siap untuk membantu. Kotak brankas di belakang meja resepsionis.  Satu-satunya masalah. . . Jika anda berjalan kaki ke jalur yang anda dapatkan diserang oleh pemilik toko. . . Dari laundry, tur, taksi.",4
36, Dewi Sri Hotel,"Ketika kami pertama kali tiba, saudara saya tidak terkesan seperti pintu kamar yang besar memiliki celah di tengah yang berarti ada nyamuk bisa masuk dan penyejuk udara bisa keluar. Dalam sehari mereka telah diperbaiki dan dari sana pintu itu hebat! Lokasi sangat nyaman, walaupun jalan dari memorial tidak mendapatkan cukup ramai (hotel ini dari jalan dan gang kecil di bawah jalan). Staf sangat ramah, orang-orang yang tinggal selalu ramah, layanan kamar yang cukup cepat dan biasanya kolam renang relatif besar dibandingkan dengan banyak hotel yang pernah saya tinggali di Bali. Secara keseluruhan, untuk 10 hari menginap, ini adalah pertama kalinya kami memutuskan untuk tidak berganti hotel pada perjalanan kami dan sudah benar-benar bagus!",5
37, Dewi Sri Hotel,Saya telah menginap di Dewi Sri dua kali sekarang dan saya tidak akan menginap di tempat lain. Hotel ini terletak di tempat yang bagus dan semua orang di sana adalah frirndly dan membantu. Kolam renang dan kamar yang baik. Hari Senin malam prasmanan yang baik.,4
38, Dewi Sri Hotel,"Saya sudah datang ke hotel ini karena dan termasuk kunjungan pertama saya ke Bali di atas 14 tahun yang lalu. Ini adalah grand hotel kemudian tetapi selama bertahun-tahun membutuhkan perbaikan. Nah ini dilakukan beberapa tahun yang lalu, dan sekarang tempat ini benar-benar bersinar dibandingkan dengan apa yang saya telah menjadi akrab dengan. Pemulihan adalah perlu dan selamat datang. Harga telah naik sedikit, namun tetap masuk akal. Di hari tua saya memperoleh kamar untuk semurah $ 20 per malam, tapi ya, kali perubahan. Hotel ini terselip sebuah gang jalan yang panjang. Anda hanya harus terbiasa untuk diganggu untuk membeli sesuatu setiap kali anda datang dan meninggalkan hotel. Lajur yang adalah posisi yang baik di seberang jalan Legian ke Poppies Lane II yang merupakan rute…",4
39, Dewi Sri Hotel,"Kami menginap di hotel Dewi Sri selama 11 hari 10 malam, dan sangat senang kami! Staf yang luar biasa dan sangat ramah, makanan luar biasa dan harga yang baik. Mereka memiliki hal yang dingin selama seminggu seperti Hari Senin malam dan Jumat akustik. Semua anda dapat makan bbq satu malam selama seminggu. dan malam di bawah bintang-bintang film. Sangat merekomendasikan hotel ini jika anda menginap di Kuta",5
40, Dewi Sri Hotel,"Kami menyukai tempat ini, seperti hotel tua yang romantis dengan banyak untuk menawarkan kami membayar $ 50 per malam yang prasmanan termasuk Âbrekkieâ ac nya jadi dingin dan air panas tidak pernah habis, pusat segalanya. Kami juga mendapat keuntungan dari supir yang telah bekerja di hotel selama 15 tahun. Namanya adalah membuat sudartha dan anda dapat menemukan dia di Facebook.",5
41, Dewi Sri Hotel,"Kamar standar, tetapi tamannya bagus dan stafnya luar biasa, sangat baik dan membantu. Selalu memiliki desain yang baru keluar dari hewan handuk di ranjang dengan bunga segar. Mereka memiliki sebuah taman spa dimana anda bisa mendapatkan perawatan spa di taman - jadi santai. Bar di jalan utama bisa menjadi sangat berisik, tapi begitu anda di kamar anda tidak bisa mendengar. Area kolam renang. Akan merekomendasikan hotel ini.",4
42, Dewi Sri Hotel,"Memiliki pengalaman terbaik menginap di hotel ini! 1 waktu jalan saya bepergian di bali dan staf membantu saya dengan semua dari cara berbicara bahasa, cara badda, tempat-tempat untuk dikunjungi dan berapa banyak harus membayar untuk hal-hal. Pada akhir perjalanan saya merasa seperti saya telah membuat keluarga baru yang membuat saya merasa seperti di rumah! Yang pernah saya jumpai kembali 3 kali sejak saya mengunjungi dan jalan 1 menyukainya setiap kali! !",5
43, Dewi Sri Hotel,"Sebagai sebuah keluarga dari 10 kami menginap di Dewi Sri selama 14 malam di dua kamar keluarga yang saling berdampingan. Ngeri! ! Hari terakhir, kami check out dari salah satu kamar dan satu kamar untuk bagasi terus karena kami mendapatkan penerbangan malam. Kami duduk di luar saat mereka datang untuk membersihkan kamar kami check out dari - pintu terbuka, jadi kami memiliki pandangan yang jelas apa yang mereka lakukan. Mereka tidak mengganti seprai, mereka menyalakan tombol seprai dan meminta ranjangku tempat tidur. Benar-benar menjijikkan. Pertanyaannya adalah kapan dan seberapa sering mereka sebenarnya mengganti seprai dan mencuci. Hal ini membuat kami merasa sakit, karena beberapa dari kami dikembangkan yang sangat jorok ruam. Linennya mengerikan, bernoda dan pudar, selimut…",2
44, Dewi Sri Hotel,"Hotel ini adalah nilai yang sangat baik untuk uang, kamar-kamarnya bersih dan sederhana tetapi hanya apa yang kami butuhkan dan membayar untuk. Staf housekeeping selalu mengambil care untuk membungkus handuk kami ke pengaturan hewan kecil dan menambahkan di bunga segar untuk kamar kami. Hotel dan bar/restoran staf yang benar-benar indah, disediakan layanan yang hebat dan tidak terlalu sulit untuk mereka lakukan. Hotel ini memiliki nilai tukar yang kompetitif, area kolam renang dan tamannya dipelihara mengkilap. Sarapannya standar tapi semuanya lezat dan segar. Hotel ini tepat di jantung Kuta dan berjalan kaki ke tempat tujuan wisata populer seperti Taman langit dan 5 menit berjalan kaki ke pantai, sangat dekat dengan Poppies lane . Kami pasti akan mempertimbangkan untuk menginap…",5
45, Dewi Sri Hotel,"Kami menginap di sini selama 6 malam, tidak ada di mana dekat cukup panjang, kamar keluarga yang sangat bagus, lokasi yang bagus, sangat bersih, sangat menyukai fasilitas pijat/kepang rambut dsb. Satu-satunya keluhan saya adalah sangat minimal makanan bebas pilihan untuk makanan (anak saya dan saya kedua memiliki penyakit coeliac) selain itu kita menyukainya dan kami akan kembali untuk yakin, saya sangat merekomendasikan tempat ini untuk menginap.",4
46, Dewi Sri Hotel,"Menginap di sini dengan beberapa teman dan mitra! Kamarnya bersih, penyejuk udara dingin dengan pemandangan taman yang indah! Staf di resepsionis depan sangat ramah buka 24 / 7 dan tempat penukaran uang yang sangat baik dan membantu. Jalan ini terletak pada yang baik, tidak mendapatkan sering diganggu sangat banyak dan orang-orang yang kami temui di sana terlihat setelah kami seluruh perjalanan kami! Ahli kimia yang terletak tepat di ujung jalan. Lokasinya sempurna, tepat di sebelah klub jadi dihindari harus naik taksi setiap malam di rumah. Akan kembali di sini waktu berikutnya saya datang ke bali, seperti sebuah nilai yang baik untuk uang dan hotel terbaik yang pernah ada.",5
