,hotel,review,stars
0, Escape Haven,"Ini adalah tempat yang indah untuk memulai tahun dengan menyegarkan! Retret kebugarannya bagus - yoga juga tersedia dan semua spa. Kami juga memutuskan untuk pergi berkuda, snorkling, dan berjalan ke Gunung Batur. Itu semua mungkin dan staf membantu kami dengan pemesanan dan membuat petualangan ini terjadi!",5
1, Escape Haven,"Sangat senang saya bisa menghabiskan 2 minggu yang luar biasa di Escape Haven. Saya suka kembali ke tempat ini (total 5 minggu) karena saya tahu saya dapat mengisi ulang baterai saya, pulang ke rumah bercahaya dan penuh energi serta kenangan indah. Sekali lagi saya memilih program surfing yang sangat saya nikmati karena saya membuat beberapa kemajuan dan selalu merasa aman. Juga itu memberi saya kesempatan untuk melihat berbagai pantai yang indah. Perawatan spa hanya luar biasa (terima kasih Ria) dan ada banyak pilihan untuk memilih (pijat tanda tangan, mandi krim, dll). Layanan ini sempurna (terima kasih Devi, Lisa, Kadek dan Putu). Kelas yoga berjalan sempurna dengan selancar. Pengaturan retret memungkinkan waktu dengan orang lain ketika saya inginkan, tetapi cukup waktu untuk…",5
2, Escape Haven,"Saya datang ke Escape Haven setelah membaca artikel majalah pendek tentang retret & membaca ulasan. Ulasan terbaik yang saya baca mengatakan sesuatu di sepanjang baris “jika Anda mencari retret wanita aktif seperti ini, Anda punya waktu & mampu membelinya - maka jangan berpikir dua kali & lakukan saja karena itu bernilai setiap sen!  Saya memiliki minggu yang fantastis. Bepergian ke retret solo tetapi tidak pernah merasa sendirian (tetapi bebas untuk sendiri kapan saja saya suka). Penjemputan di bandara lancar, saya mendapat bantuan dengan penukaran mata uang, banyak drop-off & penjemputan untuk berbelanja atau sesi yoga tambahan di studio lokal lain. Saya melakukan yoga refresh retret, dengan tambahan pagi mendaki Gunung Batur untuk melihat matahari terbit (yang benar-benar…",5
3, Escape Haven,"Escape Haven adalah tempat untuk benar-benar bersantai, dipupuk, didukung, dan dimanjakan. Perjalanan yang dikuratori dengan indah ini selama lebih dari seminggu, membawa kesembuhan, penemuan diri, kekuatan dan peremajaan. Anda menyaksikan diri Anda dan orang lain di sekitar Anda mulai melunak dan berbunga seiring minggu berjalan. Pada akhirnya berjalan pergi dengan perasaan seperti Anda memiliki ember penuh lagi - siap untuk kembali ke kenyataan dengan tambahan energi, fokus, dan tujuan. Setiap detail direncanakan dan dilaksanakan dengan indah. Lingkungan yang menakjubkan, staf yang penuh perhatian dan perhatian, instruktur yang terampil, staf spa yang sangat berpengalaman dan makanan yang bersih dan lezat. Sebagai perjalanan kedua saya di sini, Anda bertanya-tanya apakah itu…",5
4, Escape Haven,"Apakah Anda seorang traveler wanita solo yang tertarik dengan liburan Bali yang menyenangkan dan aman? Mungkin Anda ingin melarikan diri dengan sahabat karib Anda untuk merayakan, bersantai, bersantai atau mengatur ulang? Ini adalah 1 dari jenis pengalaman yang dibuat khusus tidak seperti retret kesehatan dan kesejahteraan lainnya di luar sana. Selama retret selama seminggu, saya bertemu dengan beberapa wanita luar biasa dari seluruh dunia dan memiliki waktu yang menakjubkan. Saya pulang ke rumah dengan segar, berenergi, dan memiliki koneksi yang lebih dalam dengan kesehatan dan kesejahteraan saya. Saya memiliki senyum lebar di wajah saya hanya memikirkan semua kesenangan dan perasaan damai yang saya miliki di dalam; Saya sangat bersyukur memiliki pengalaman retret Escape Haven?…",5
5, Escape Haven,"7 hari yang luar biasa - kata-kata saja tidak bisa mengungkapkan bagaimana kehidupan mengubah retret ini bagi saya. Ruangan itu kelas atas, makanan yang lezat dan staf sangat cantik, peduli dan penuh perhatian. Saya menyukai waktu saya di sini sebagai seorang musafir solo - saya tidak ingin pergi.",5
6, Escape Haven,"Tempat yang indah untuk tinggal. Staf sangat ramah dan tidak bisa melakukan cukup bagi Anda. Instruktur selancar sangat membantu Anda meningkatkan gaya dan memaksimalkan sesi Anda. Yoga itu luar biasa - setiap sesi menjadi sangat berbeda dari yang pertama dan juga sangat kontemplatif. Saya benar-benar ingin pergi dan mengisi cangkir saya sendiri lagi setelah merasa sangat lelah, kehabisan energi dan terkuras. Escape pasti memberikan peremajaan yang saya butuhkan. Spa tanpa batas itu LUAR BIASA! Saya penggemar berat tisu pijat dalam dan tidak kecewa. Semua terapis fantastis. Semua sentuhan ekstra kecil dibuat untuk masa menginap yang menyenangkan dan saya tidak memikirkan uang yang telah saya habiskan. Ini adalah masalah ketika memesan karena saya khawatir tentang harga, tapi itu…",5
7, Escape Haven,"Saya menghabiskan dua minggu di Escape Haven selama Natal dan Tahun Baru dan memiliki waktu yang paling menakjubkan! Segala sesuatu tentang Escape Haven telah dipikirkan dengan detail dan perhatian untuk memastikan para tamu memiliki semua yang mereka inginkan atau butuhkan.  Saya pergi ke Bali sendirian untuk beberapa waktu istirahat, dan sama bersemangatnya dengan saya untuk pergi pada retret pertama saya Escape Haven jauh lebih banyak daripada yang saya harapkan. Retret ini didukung oleh 4 host cantik yang merawat Anda sepanjang minggu sehingga Anda benar-benar tidak perlu memikirkan apa pun, mereka akan memesan atau mengatur apa pun yang Anda inginkan baik di retret atau di luar jika Anda ingin menjelajahi Bali, dan mereka menghabiskan waktu untuk mengenal para tamu sehingga…",5
8, Escape Haven,"Jujur, saya tersandung kata-kata dari mana harus memulai. Saya berharap bagi siapa pun di luar sana yang ingin menyalakan kembali energi feminin mereka, reboot diri Anda, terhubung dan merasa senang untuk mengikuti itu dan datang ke sini. Ini adalah tempat khusus yang akan selalu saya pelihara dengan penuh kasih sayang di dalam hati saya dan semuanya tergantung pada manusia yang luar biasa ini. terima kasih banyak untuk membuat minggu terakhir saya lebih indah dari yang pernah saya bayangkan dan untuk membuat tempat ini terasa seperti rumah dengan keluarga. Sungguh ajaib melihat tidak hanya pada diriku sendiri, tetapi setiap wanita lain di sana, mendapatkan kembali kilau di mata mereka dan benar-benar bersinar dari dalam ke luar. Retret ini untuk semua orang, staf memiliki…",5
9, Escape Haven,"Saya pergi ke Bali untuk bersantai dan melepas lelah dan yang saya temukan jauh lebih banyak! ! Staf, mulai dari petugas kebersihan sampai ke manajemen semuanya menyenangkan! Tidak ada yang pernah menjadi masalah dan setiap detail kecil telah dipikirkan dan diurus. Dari saat Anda mengirim permintaan email hingga saat terakhir ketika Anda ditinggalkan di bandara, Anda diperlakukan seperti seorang dewi. Ini adalah liburan yang mengubah hidup yang menakjubkan dan jika Anda merasa Anda perlu melakukan pencarian jiwa dan mendapatkan kejelasan maka saya akan mengatakan - Apa yang Anda tunggu? ? BUKU SEKARANG! !",5
