,hotel,review,stars
0, Fairfield by Marriott Bali South Kuta,"Hotel baru buka sekitar 6bln lalu. Suasana tenang aman dan nyaman. Kamar bersih dan besar fasilitas komplit air panas dingin ,toileties, hair dryer tv dan kulkas. Kamar no smooking tapi tersedia balkon di beberapa kamar. Gym spa pool rooftop pub tersedia. Pelayanan bagus dan ramah. Discovery hanya 10 mnt dan pantai segara  5 mnt berjalan kaki, makanan halal banyak disekitar hotel.",4
1, Fairfield by Marriott Bali South Kuta,"menginap semalam di Vasanti kuta. sangat menguntungkan selain dekat dengan bandara, pantai dan pusat keramaian disain hotel sangat menarik. paling penting adalah kebersihan nya sangat terjaga, fasilitas kamar lengkap untuk ukuran bintang 4. bantal dan tempat tidur sangat nyaman. bertemu dengan Pak Adi supervisor housekeeping sangat ramah dan sopan. Pasti akan datang lagi",5
2, Fairfield by Marriott Bali South Kuta,"Lokasi dari hotel Vasanti sangat strategis, dekat dengan pantai, pusat pertokoan dan mudah mencari makan jika ingin makan di luar hotel. Menu makanan dari Vasanti Bar dan Resto bisa dinikmati selama 24 jam, lobby yang luas dengan ruang tunggu yang unik, kamar dengan design yang sangat bagus dan elegan, Mempunyai kolam renang di rooftop menjadikan hotel ini makin mencolok. Menu buffee breakfast nya benar benar enak. Ada ruang fitness juga.",5
3, Fairfield by Marriott Bali South Kuta,"Seneng bgt nginep disini, roftopnya keren, room luas dan toiletnya luas, disgn kamarnya modern bgt,,pelayanan cepet, dan deket kmana mana cari makan deket lippo mal,  recomend bgt dah,, mgk bkaln nyesel nginep di vasanti kuta",5
4, Fairfield by Marriott Bali South Kuta,"Staf yang ramah walau masih agak canggung :), semua masih muda tapi enerjik dan punya inisiatif tinggi. Saya memberi tahu bahwa ini adalah bulan madu kami (tapi tidak memesan paket bulan madu) dan ternyata kami mendapat pelayanan bulan madu (free charge) berupa cake selamat datang dan dekorasi bulan madu dengan potongan kelopak mawar. It was suprisingly! Dan kami akan mengingat kebaikan hotel ini selalu :). Thanks a lot!!! :D  Kamar duluxe yg kami tempati sangat nyaman, sebagian besar perlengkapan kamar masih baru, dan sangat baik. Teko air panas sempat bermasalah, tapi segera diganti ketika kami memberi tahu pihak hotel. Kamar duluxe ini memiliki kamar mandi dengan bathup yang besar dan sangat nyaman serta handuk yang lengkap dan banyak, hehehe. Ada chiller dan Nescafe Dolce…",5
5, Fairfield by Marriott Bali South Kuta,"Menginap di hotel itu baik, tetapi tidak memiliki fitur hotel bintang 4. Tidak ada pembuka botol, tidak ada sepatu tanduk dll. Sarapan mengerikan untuk vegetarian. Jika Anda seorang vegetarian, berharap untuk hidup dalam buah-buahan mungkin 2 varietas. Kamar-kamar hotel bersih dan higienis bahkan cocok untuk menginap bersama bayi.",3
6, Fairfield by Marriott Bali South Kuta,"Lokasi bagus - maksimum 15 menit berjalan kaki dari bandara.  Kamar luas yang dilengkapi dengan baik. Kolam renang sepertinya tidak banyak digunakan, itu bersih dan umumnya damai di atap.  Banyak toko, restoran (termasuk beragam yang bisa Anda makan sendiri dengan nyaman) dan taksi di sekitar",4
7, Fairfield by Marriott Bali South Kuta,Listya adalah yang terbaik yang pernah ada! ! ! Anda harus datang mengunjunginya di restoran! Dia akan menjagamu ?? harga sangat bagus! Dan lokasinya luar biasa! Datang ke sini jika Anda menginginkan layanan yang baik! AU AFL sepanjang waktu!,5
8, Fairfield by Marriott Bali South Kuta,"Saya dan mitra saya hanya tinggal di hotel ini selama satu malam dan seluruh pengalaman itu benar-benar sempurna. Hotel ini hanya 850 meter berjalan kaki dari bandara (yang awalnya tidak kami sadari). Sayangnya supir taksi di luar bandara serakah merobek pedagang, kami dikutip 200.000 (sekitar 12) untuk perjalanan yang akan memakan waktu kurang dari 5 menit. Jika Anda berniat menggunakan Grab untuk mendapatkan taksi ke hotel ini dari bandara, Anda mungkin kesulitan karena tampaknya para pengemudi tidak menerima pekerjaan ke tujuan dalam jarak sedekat itu. Kami memutuskan untuk menggunakan google maps dan berjalan pada akhirnya yang relatif tidak menyakitkan.  Hotel ini sangat bagus. Staf penerimaan sangat ramah dan check-in cepat. Kamar hotel itu sendiri bersih dan nyaman dengan…",5
9, Fairfield by Marriott Bali South Kuta,"Tinggal di sini selama 10 malam, hotel ini sangat bersih (dibersihkan setiap hari) dan staf sangat ramah dan bersahabat. Kami hanya makan pagi di hotel 1 Pagi yang biaya IDR 100, 000 per orang (ini adalah prasmanan) itu tidak sampai banyak tetapi kami memiliki makanan di tepi kolam renang satu hari dan makanan yang luar biasa. Saya dan pacar saya sama-sama mendapat pijatan khas Bali seharga Rp400.000 selama 60 menit. Benar-benar layak dan kedua gadis itu luar biasa pada apa yang mereka lakukan. Saya juga membuat kuku saya di sudut kecantikan, gadis itu sangat ramah dan dia membuat kaki saya terlihat imut dengan biaya yang sangat masuk akal Rp 300.000. Semua dalam semua tempat yang bagus untuk tinggal akan sangat merekomendasikan.",5
