,hotel,review,stars
0, Febri's Hotel & Spa,"Lokasi hotel di pusat keramaian, jika ingin belanja bisa jalan ke mall yang jaraknya tidak begitu jauh.  Untuk kamar yang saya tempati terletak di pojok belakang, dengan akses masuk seperti menuju ke kontrakan sempit. Saya mendapat lantai 3 dan tidak ada Lift, menaiki tangga dengan membawa koper cukup berat juga. di resepsionis memang sudah ditawarkan koper dibawa bell boy namun karena tidak diinfokan tidak ada lift untuk menuju kamar, saya menolak dibawakan.  Kunci masih manual menunjukkan kamar yang saya tempati sudah cukup berumur. Kamar bersih dengan tempat tidur yang sangat luas. Terdapat cermin yang sangat besar disisi tempat tidur yang panjangnya memenuhi tembok. Untuk menu sarapan kurang menarik bagi saya, karena banyak makanan yang tidak halal. Mungkin memang banyak…",3
1, Febri's Hotel & Spa,"Hotel ini, nampaknya seperti hotel normal yang ada dibali, namun lokasi strategis dan suasana yang menyenangkan , serta sarapan pagi yang cukup bagus, sehingga kami dan keluarga senang tinggal disana jika mengunjungi pulau dewata",4
2, Febri's Hotel & Spa,"Catatan untuk, saya  6 malam di bali 3 malam di 2 hotel berbeda dan 3 malam di Febri's hotel di kelas superior yang cukup  nyaman, cuman sangat jauh dari pantai dan sebenarnya harga untuk tahun baru sepadan tp peraturan hotel yg membuat saya berpikir ulang utk kembali , saya nginap dg istri dan 2 anak yg masih kecil, 1 anak dikenai charge hal itu yg membuat saya kurang berkenan karena sebelum di Febri's saya menginap di 2 hotel yg ternama di Kuta dan seminyak dan mereka tidak mengenakan charge terhadap anak saya padahal peraturan hotel sama persis, mereka mau bertoleransi terhadap kelebihannya jumlah tamu . Untuk manajemen penilaian saya kurang dan jempol ke bawah, tapi untuk pelayanan kebersihan kamar terutamanya saya kasih 2 jempol ke atas.",3
3, Febri's Hotel & Spa,"hotel ini sangat bagus sesuai dengan uang yang dibayar. Terletak dekat dengan Waterbom Park, hanya jalan kaki, meski lokasinya bagus, tetapi cukup untuk mencari ketenangan. Anda tidak akan menemukan kanopi diatas kasur anda, atau dekorasi bali, tetapi anda akan menemukan pelayanan yang bagus, kamar yang bersih dan penawaran Spa yang sensasional, diantara banyak hal lain, mungkin pedicure terbaik (disebut Glowing Toes) yang anda bisa temukan dimanapun. Bonus yang bagus untuk mendapat wifi di kamar kami. Saya sangat merekomendasikan hotel ini",4
4, Febri's Hotel & Spa,"Kami tinggal di Febri selama 8 malam dengan anak lelaki kami berumur 3 tahun. Saya sangat senang dengan kebersihan hotel ini dengan tanpa bau-bauan khas bali dan kamar mandi yang bersih bebas jamur. Lantainya juga sangat bersih dan terawat. Sarapannya lumayan, tetapi menunya diulang-ulang. meski tidak ada bar kolam renang, pelayanan disekitar kolam luar biasa dan harganya sangat masuk akal. Saya agak kecewa karena menu sore itu sama dengan menu pelayanan kamar / makan siang dan akan sangat menyukai bila ada makan malam yang ""spesial"" (bbq, makanan laut, dll). Lokasinya bagus jika anda suka pemandangan Kuta dan semuanya mudah didapat. Anak lelaki kami suka taman bermain dengan handuk binatang terkenalnya  Hotel ini mengakomodir kamar pesanan kami dan di hari terakhir kami pulang…",3
5, Febri's Hotel & Spa,"Keluarga saya dan saya tinggal disini maret 2012, Kami bersenang-senang, kamarnya dibersihkan tiap hari, dan sangat luas, kami memesan kamar family deluxe, Staffnya sangat ramah dan hotel ini berada di jalan yang sama dengan Waterbom Park, dimana kami menempuhnya jalan kaki cukup 15 menit, dan Discovery Mall, sekitar 10 menit jauhnya. Matahari juga terletak di jalan yang sama, tetapi kami menaiki taksi, $2.. Sangat terpusat untuk semua hal, kami berpesta, dan meski kami belum pernah mencoba di hotel lain di Bali, ini adalah kali pertama kami, dan kami akan selalu tinggal disini... ada toko penjual DVD di sebelah hotel, dan kami tidak ada masalah dengan mereka dan membeli banyak sekali, tanyakan saja mengenai kualitasnya dan mereka akan menjawab jujur",5
6, Febri's Hotel & Spa,"Hotel ini sangat bagus untuk menginap. Sangat bersih dan mereka akan menganti sprei tempat tidur dan membersihkan kamar anda setiap hari. Semua staf sangat sopan dan ramah, Kolam renangnya juga sangat bersih dan airnya sangat menyegarkan karena disana udaranya sangat panas. Makananya sangat enak, kami selalu makan disana karena kami pikir lebih aman jika kami makan di tempat yang sama karena kami tidak ingin sakit dan sukurlah kami tidak sakit, namun menunya jadi agak membosankan karena kami selalu makan disana. Harganya hanya $25 untuk 4 orang dewasa dengan teh dan minuman. Semua yang kami perlukan dapat ditempuh dengan jalan kaki dan anda juga bisa menyewa mobil dengan supir seharga $35 yang akan mengantar Anda kemanapun yang anda inginkan dan akan menunggu jika anda…",3
7, Febri's Hotel & Spa,"Ibu saya, kakak dan saya menginap disini pada dua malam pertama kami mengunjungi Bali sebelum melanjutkannya ke Ubud. Kami mencari tempat yang murah dan dekat dengan bandara. Dengan kisaran tersebut, kamarnya bersih, relatif besar dan cukup memenuhi dengan keperluan kami. Prasmanan sarapanya oke. Daerah Tuban bukan merupakan tempat favorit saya untuk liburan, tapi lokasinya sangat dekat dengan Discovery Mall yang mempunyai beberapa pilihan restoran terdekat dan pelayanan pijat spa lumayan bagus yang terdapat di dalam lokasi hotel ini. Saat diberikan harga hotel ini, saya tidak dapat mengatakan banyak hal yang buruk mengenainya,lain dari pada itu, saat kami menginap hotel ini sangat penuh karena musim liburan sekolah sehingga menjadi sedikit berisik. Memang benar, saat kami…",3
8, Febri's Hotel & Spa,"Terdapat pilihan kamar jenis Standart dan Deluxe yang bersih, harga keduanya cukup bagus, Kolam renang kecil di belakang hotel dan yang besar ada di depan hotel. Yang lebih kecil airnya hangat dan agak buram, sedangkan yang besar bagus dan airnya dingin. Banyak wisatawan dengan keluarganya tinggal disini karena harganya yang bagus dan lokasi yang fantastik. Staf di Fabris tidak memperketat peraturan pemakaian kolam renang, jika anak-anak tidak diawasi oleh orang dewasa hal ini bisa menjadi masalah. Dan juga, pada kunjungan kami terakhir, banyak anak-anak yang menginap di kamar standart yang seharusnya mereka tinggal dikamar keluarga, dan mereka bisa agak ribut jadi jika anda tidak ingin terbangun karena teriakan anak-anak pada jam 6 pagi. hal ini bisa sangat menyebalkan. Saya…",4
9, Febri's Hotel & Spa,"Lokasi Febri's mudah dicari dan strategis, karena terletak di jl. raya (tidak masuk gang kecil). Jalan kaki untuk shopping dan cari makan juga enak karena tidak terlalu jauh, termasuk kalo mao jalan ke discovery mall or main slingshot. Sarapan pagi terdiri dari bermacam2 menu dengan rasa yang lumayan. Karena kami tinggal di family room jadi voucher makan juga dapat untuk 4 orang dewasa dan 1 orang anak-anak. Penambahan per orang pun tidak mahal disini. Secara over all kami puas menginap disini karena yang paling penting adalah kamarnya bersih dan luas, ranjang yang enak & kamar mandinya jg bersih dan family roomnya punya balkon sendiri. Liburan yang mengasikan.",4
