,hotel,review,stars
0, Gajah Biru Bungalows,Kami kembali memilih stay di gajah biru bungallows untuk liburan....kali ini saya bawa anak2...kami stay di lavender...kamarnya luas dan masih klasik menyajikan nuansa tersendiri...anak2 sangat menikmati baik kamar dan fasilitas lainnya...para staff nya yg ramah jg resto yg unik...kami sangat menikmati liburan kami...pokoknya recomended deh gajah biru bungalows  buat liburan di ubud...very exelent,5
1, Gajah Biru Bungalows,sekali lg kami memilih gajah biru bungallows untuk stay selama liburan di ubud...kali ini kami dtg dengan anak2...dan mereka sangat menikmati suasana disana...it's very nice and wonderfull place to stay...para staf yg sangat ramah....tempatnya exotic dan sangat nyaman...recomended deh buat liburan di sana selama di ubud....thanx so much to mr surrinder and bu sumi.....for everyhink,5
2, Gajah Biru Bungalows,"Kami menikmati akhir minggu kami yang singkat di Gajah Biru. Kami merasakan keramahan dari penjemputan sampai pengantaran ke Bandara. Begitu juga service antar jemput ke Ubud. Anak kami juga diantar gratis, diwaktu diluar jadwal pengantaran.  Terima kasih untuk Bu Sumi dan semua staff, sampai ketemu lagi.",5
3, Gajah Biru Bungalows,"Gajah biru bungalows sangat berkesan bagi kami sekeluarga, kami menginap di jasmine...begitu elok view nya, dengan privat pool serasa dirumah sendiri, para staff nya juga sangat ramah dalam membantu apa yang kami butuhkan, makan malam nya juga breakfast yang berkesan karena kami bertemu dengan owner dari GB mr. Surinder yang begitu baik dan ramah hingga kami berasa ada di tengah keluarga besar....thanks mr surinder for everythink in there...gajah biru bungalows rekomended buat liburan di ubud....very excelent ",5
4, Gajah Biru Bungalows,"Kami sekeluarga benar-benar terkesan akan gajah biru bungalows, view nya yang exotis, service dari para staff nya sangat ramah, dengan kolam renang tertutup membuat kita serasa di rumah sendiri .... Pengalaman yang menyenangkan dan selalu merindukan suasana disana... Gajah Biru Bungalows benar-benar bisa direkomendasikan untuk berlibur bersama keluarga....very excelent",5
5, Gajah Biru Bungalows,"gajah biru bungalows sangat bagus, view nya, kamarnya,  kolam renangnya, suasana juga pelayanan dan semuanya sangat berkesan...benar2  perfect...rekomended buat liburan di ubud...baik untuk liburan bersama keluarga maupun dengan teman dekat",5
6, Gajah Biru Bungalows,"Dikunjungi dari 1 jalan Desember hingga 5 Desember 2019. Kamar Baik Kecil, Mencintai keramahan staf, tetapi pada malam pertama ketika kami tiba di 2 pagi itu tampak seperti tempat yang menakutkan karena sangat sedikit pencahayaan ada di sana. Juga jika Anda takut serangga maka Anda tidak harus pergi ke tempat ini meskipun saya tidak keberatan serangga kecil karena tempat itu penuh dengan tanaman hijau dan semua kamar terbuat dari kayu. Tapi saya takut kadal? itu ada di kamar. Tetapi jika Anda ingin tempat yang tenang untuk menginap, Anda bisa tinggal di sini. Kalau tidak, sekitar. 2700 INR (40 USD) (kami membayar untuk gajah biru) per hari Anda juga dapat menemukan banyak tempat lain di UBUD untuk menginap.",4
7, Gajah Biru Bungalows,"Resor kuno ini ditawarkan di situs web wisata dengan diskon besar, menjatuhkan harga dari lebih dari $ 300 AUD per malam menjadi sekitar 69. 00 - dan pada harga itu sepadan. Yang lebih tinggi dan Anda akan dipaksa untuk mengeluh. Terletak di sebuah bungalow yang sudah tua, dua kamar tidur ini membutuhkan lukisan dan pengaturannya lebih buruk daripada cantik, kolam renangnya ok, dan Anda memiliki kolam renang pribadi jadi itu bagus. Itu semua hanya sedikit lari ke bawah dan tidak ada yang datang dengan handuk atau seprai bersih, tidak ada sarapan. Konon, Anda bisa keluar-masuk ke daerah Penestanan untuk mengunjungi kafe dan bar gelato dan tempat makan lokal dengan mudah. Jadi ya, pertimbangkan itu jika ada yang spesial, tapi harga penuh lupakan saja. Staf pada hari terakhir…",2
8, Gajah Biru Bungalows,"Menginap selama 2 malam ketika kami berada di ubud, dan dalam pemesanan saya meminta jika mereka dapat melakukan beberapa dekorasi untuk mengejutkan suami saya pada hari jadi kami dan apakah mereka memberikan. Mereka membuat hiasan yang sangat indah di tempat tidur kami dan kami berdua menyukainya! Beranda kamar kami memiliki teras yang nyaman dengan taman yang indah dan kolam ikan kecil. Staf sangat ramah dan membantu, ketika ac kamar kami tidak berfungsi, mereka merespons dengan cepat dan memindahkan kami dan semua barang kami ke kamar baru kami (hujan turun malam itu), dan kamar baru di lantai dua dengan besar yang indah kamar mandi. Lokasi hotel 20 mnts berjalan ke pusat ubud, dan ada sewa sepeda motor + binatu tepat di depan bungalo jika Anda membutuhkannya. Mereka tidak…",4
9, Gajah Biru Bungalows,"Saya sekarang telah tinggal di sini tiga kali karena alasan berikut -  1) nilai uang yang sangat baik - kamarnya bersih, dan sangat bagus untuk harganya.  2) dekat (beberapa menit berjalan kaki) ke alkimia, kafe bunga kuning dan semangat (restoran vegetarian terbaik di Ubud)  3) dekat dengan yoga terbaik di Ubud - Yoga aliran intuitif. Saya akan kembali nanti saya di Ubud!",5
10, Gajah Biru Bungalows,"Saya dan istri saya tinggal di Villa Bunda pada bulan Juli 2019.  Itu proses check-in yang sulit karena mereka tidak memiliki kunci, tim shift hari membawanya pulang, jadi setelah tiba sekitar tengah malam kami harus menunggu 30 menit lagi untuk masuk ke Villa.  Villa indah, terpencil dan perabotan cantik. Kolam itu indah, dan meskipun kotor pada saat kedatangan, mereka cepat dan menyeluruh untuk membersihkannya ketika ditanya.  Tempat tidurnya sangat keras dan tidak nyaman, dan tekanan showernya tidak terlalu bagus.  Dapur kecil itu sederhana, tetapi fungsional. Secara keseluruhan Villa dapat dilakukan dengan beberapa pemeliharaan dan pemeliharaan umum, tetapi itu adalah pengalaman menginap yang menyenangkan.",3
