,hotel,review,stars
0, Goya Boutique Resort,"Makanan lezat! Harga yang lebih tinggi tentu saja tetapi juga dalam kisaran yang wajar. Memiliki lumpia, Burger dengan kentang goreng truffle dan Creme Brulee, bersama dengan tiga koktail, semua sangat direkomendasikan! Layanan juga sangat profesional.",5
1, Goya Boutique Resort,"Saya telah menghabiskan dua malam di Goya dan mereka lezat. Kamarnya indah, bersih dan Cody, kolam renangnya sepertinya mengambang di atas hutan, dan breakfeast dan makan malam sangat baik. Di atas segalanya, staf sangat baik dan penuh perhatian, banyak terima kasih kepada Yuna karena telah menunjukkan kepada saya upacara persembahan Anda yang indah dan kepada Awan karena membawa saya dalam trekking yang indah melalui sawah. Saya pasti akan kembali. Terimakasih banyak. Sandra",5
2, Goya Boutique Resort,"Kami bersenang-senang di Goya, kedua kali kami tinggal di sini selama perjalanan kami. Kami tinggal di sebuah villa dan kamar biasa, keduanya sangat baik. Spa berada dalam lingkungan yang damai, dan kami menikmati pijat ala Bali. Banyak pilihan sarapan yang lezat. Staf luar biasa, dan bahkan mengatur kejutan ulang tahun yang manis dan sangat dihargai!",5
3, Goya Boutique Resort,Dikunjungi di sini pada Maret 2019. Tempat yang luar biasa untuk menginap. Staf hebat dengan sedikit 3 tahun kami dan sangat akomodatif. Kolam luar biasa. Makanannya epik. Kamarnya juga bagus. Saya pasti akan kembali lagi untuk berkunjung sehingga Aria dapat melihat semua teman barunya di antara staf. Lain kali kita akan tinggal lebih lama!,5
4, Goya Boutique Resort,"Goya sangat mengagumkan dalam segala hal. Makanan, staf, kolam renang, restoran, kamar, pemandangan. Saya merasa seperti seorang putri di sana. Saya pasti akan pergi ke sana lagi jika saya mengunjungi Ubud. Dan saya pasti akan merekomendasikan ini kepada semua yang saya tahu.",5
5, Goya Boutique Resort,"Tinggal di restoran. Layanan bagus, kolam bagus, dan pemandangan indah. Staf yang membantu dan makanan yang enak. Kami adalah keluarga dengan empat orang dan setiap orang dari kami mendapat kesempatan untuk bersantai setelah hari yang sibuk di Udbud. Sangat disarankan",5
6, Goya Boutique Resort,"Cukup dekat dengan restoran, bar dan belanja di Ubud, tetapi lokasi yang damai dan tenang. Semua staf sangat baik dan melakukan segala yang mungkin untuk membuat kunjungan Anda berkesan. Vila-vila dengan kolam renang sendiri benar-benar menakjubkan. Area kolam utama juga sangat baik dengan pemandangan yang fantastis",5
7, Goya Boutique Resort,"Saya telah menemukan hotel ini di perjalanan penasihat dan menyukainya! Hotel tidak mengecewakan sama sekali untuk pandangan dan layanan, setiap orang yang kami temui sangat luar biasa untuk layanan di hotel ini dan tidak bisa melakukan cukup untuk Anda! Sarapan sangat luar biasa! Mereka adalah menu yang dapat Anda pilih apa pun yang Anda inginkan dan apa pun yang Anda suka, jadi jika Anda suka dua barang, pilih dua barang yang mereka dorong agar Anda memilih apa pun yang Anda sukai yang indah. Kami mencoba sedikit menu dan semua luar biasa! Mereka bahkan membuat kami sarapan ketika kami pergi trekking untuk pagi hari! Kolam renang menakjubkan dan begitu juga pemandangan, itu adalah surga! Satu-satunya titik bawah saya untuk hotel ini akan menjadi dinding kamar yang sangat tipis…",4
8, Goya Boutique Resort,"Kami menginap selama 4 malam dan mendapat benar-benar menakjubkan. Kami bertemu dengan petugas Cigana pribadi kami yang membuat kami semua sangat santai dan turun memberikan pengenalan yang sempurna untuk fasilitas dan kamar. Ia juga membantu mengatur beberapa wisata yang fantastis termasuk air arung jeram dan kunjungan ke kuil lokal dan nasi pegunungan. Hotel yang luar biasa, dengan pemandangan indah hutan hujan dari kolam renang dan dekat dengan berjalan kaki ke keramaian kota Ubud, namun santai. Semua staf yang sangat ramah dan menyenangkan untuk berinteraksi dengan. Sarapannya lezat dan berlimpah, jangan sungkan dalam memesan beberapa makanan dari menu. Secara keseluruhan, kami menikmati pengalaman menginap kami dan tidak bisa memuji staf hotel cukup. atau",5
9, Goya Boutique Resort,"Hotel ini benar-benar kelas atas, pemandangan yang menakjubkan, kamar-kamarnya indah dan area kolam renang yang luar biasa. Kami makan sarapan benar-benar memanjakan setiap hari dan memiliki dua makan siang di restoran, keduanya sangat bagus dan sangat baik nilai untuk uang. Staf yang merupakan permata, Cigana adalah pelayan kami dan dia tidak bisa lebih membantu, selalu siap sedia untuk membantu dan dia mengatur perjalanan dua untuk kami, teras sawah dan benar-benar menyenangkan rafting sungai perjalanan. Juga khusus untuk Gusti di restoran yang sangat menyenangkan dan selalu tersenyum untuk kami. Bahkan staf akan selalu tersenyum berkebun dan mengobrol, ini adalah hotel yang fantastis.",5
