,hotel,review,stars
0, Green Field Resort,"Kami tinggal selama 4 malam di sini. Kami telah meminta kamar Joeniar Adat Bale selama reservasi yang terpenuhi. Kamar Bale Adat sangat luas, menghadap ke sawah. Hotel ini dekat dengan objek wisata utama di kota Ubud, tetapi sangat damai memberikan Anda perasaan resor. Sarapannya enak. Saya mencari makanan vegetarian meskipun saya makan non-sayuran dan mereka menyediakan cukup pilihan untuk saya. Salad, buah-buahan, sausnya begitu segar dan enak. Layanan kamar sangat membantu. Staf sangat membantu. Mereka mengatur Mt. Batur sunrise trek untuk kita. Saya memiliki goresan kecil pada mobil sewaan saya yang jika tidak demikian akan menelan biaya besar. Mereka membantu saya menyingkirkannya dengan solusi lokal mereka.",4
1, Green Field Resort,"Kami tinggal di hotel ini selama 4 malam dan sangat merekomendasikannya jika Anda berencana menemukan daerah Ubud. Kamar yang lebih kecil lebih besar dari sebagian besar kamar, dan tempat tidurnya sangat nyaman, untuk nilai yang luar biasa! Area kolam indah, persis seperti yang ditunjukkan gambar dan tidak mengecewakan. Sarapan tidak memiliki banyak variasi tetapi saya pikir semua orang akan menemukan makanan yang mereka sukai. Mereka punya telur, jus, buah, roti, crepes, makanan indonesia, salada, lebih dari cukup. Ada layanan charter gratis ke pusat ubud yang akan membawa Anda kapan saja Anda inginkan dan hutan monyet hanya berjarak 5 menit berjalan kaki. Staf hotel benar-benar sangat baik! Ini bukan hotel mewah tetapi sangat bagus dan untuk harga yang kami bayar, kami merasa…",5
2, Green Field Resort,"+ kami senang tinggal di sini! Staf ramah dan mereka menawarkan antar-jemput gratis ke pusat ubud. Lokasi baik sementara Anda juga melarikan diri dari pusat yang sibuk. Kamarnya besar dan bersih. Area kolam bagus.   - Sarapan bisa lebih baik, pilihan terbatas. Kami punya semut / bug di roti manis dengan selai (croissant) dua kali! ! Saya pikir itu hanya kecelakaan jadi saya mengambil croissant baru pada hari berikutnya yang memiliki 2 semut / bug di dalamnya! Setelah itu kami makan di tempat sarapan yang lucu di seberang jalan. Jadi tidak mau recomment termasuk sarapan pagi.",4
3, Green Field Resort,"Tinggal di sini selama tiga malam dan tidak kecewa. Staf di sini luar biasa dan selalu membantu. Ruangan itu indah. Hotel itu indah. Dua kolam besar, satu asin dan satu klorin. Layanan spa in-house juga mengagumkan. Layanan binatu sangat terjangkau dan tidak dapat menampung. Pada saat kedatangan, kami disambut dengan rangkaian bunga dan handuk angsa yang indah di tempat tidur untuk kami, saat kami sedang berbulan madu. Pemandangan dari kamar sawah adalah situs yang indah untuk bangun. Meskipun kami dekat dengan restoran, masih sepi dan kami tidak memiliki suara membangunkan kami atau membuat kami tetap terjaga. Dekat dengan Hutan Monyet dan semua toko, dalam jarak berjalan kaki jika Anda tertarik. Kami pasti akan tinggal di sini lagi. Sudah merencanakan perjalanan kita…",5
4, Green Field Resort,"Tinggal di sini selama 2 malam pertama kami di Ubud. Kami menyukai pemandangan dari ruangan, meskipun ada banyak udara terbuka sehingga sulit untuk menjaga udara dingin di dalam dan serangga di luar! Sarapan prasmanan sehat dengan pilihan bagus, dan kolam renang menyenangkan. Berjalan kaki singkat ke gudang Yoga dan spa yang luar biasa, serta supermarket. Senang kami tinggal!",5
5, Green Field Resort,"Ketika sopir kami menurunkan kami di jalan Ubud yang sibuk, kami memintanya untuk menunggu - kami yakin ia salah tempat. Green Field Hotel berada di sawah - bukan di salah satu jalan tersibuk di Ubud.  Berjalan kaki singkat ke jalan masuk dan di sanalah - surga terpencil tepat di tengah-tengah Ubud yang sibuk.  Kamar-kamar yang menghadap sawah sejauh ini merupakan yang terbaik.  Jika Anda ingin salah satu kamar terbaik untuk lokasi - kami tinggal di 302. Luar biasa - salah satu yang paling terpencil - besar dan luas - lemari es - gua kamar mandi yang menakjubkan - satu-satunya downside adalah Anda harus memegang nozzle mandi.  Tidak seperti banyak kamar lain, itu juga memiliki kipas langit-langit. Sempurna jika Anda tidak suka tidur dengan pendingin udara yang mengalami…",4
6, Green Field Resort,"Beberapa wisatawan yang saya temui di tempat lain di Bali mengoceh tentang Lapangan Hijau sehingga pada kunjungan baru-baru ini saya memesan sendiri selama 2 malam. Itu memenuhi semua harapan saya dan banyak lagi. Lokasi luar biasa dengan bagian depan menghadap jalan utama tetapi hotel sebenarnya membentang di belakang untuk sawah yang tenang, kolam Lily, pemandangan pemandangan. Meskipun saya mendapat tingkat kamar paling murah itu lebih dari cukup dengan tempat tidur yang nyaman, teras lantai dasar. Tidak ada tv tapi itu jelas tidak masalah. Sarapan di samping kolam itu indah. Saya akan kembali dan tinggal lebih lama di lain waktu!",5
7, Green Field Resort,"Lokasi bagus dalam jarak berjalan kaki dari Ubud dan staf yang ramah. Berbagai jenis kamar dan bungalow dengan kisaran harga yang luas. Sarapan prasmanan yang luar biasa dan dua area kolam renang, yang lebih kecil lebih indah. Staf yang ramah dan layanan antar-jemput Ubud tersedia. Pasti akan kembali dan memilih salah satu bungalow yang menghadap ke sawah.",5
8, Green Field Resort,"Aku tinggal di Green Field Hotel selama 2 malam. Staf sangat ramah dan membantu. Resepsionis meja depan membawa kami tur properti yang mengejutkan. Gerakan kecil ini mengatur nada selama sisa tinggal. Kami mengalami layanan pelanggan yang luar biasa mulai dari check-in hingga check-out. Selain layanan yang sangat baik, properti itu sendiri sangat cantik.  Lokasi properti sangat bagus. Hutan Monyet itu walkable (kurang dari 10 menit). Di sepanjang jalan, Anda akan menemukan banyak tempat makan dan banyak toko suvenir. Pasar Ubud dan tempat wisata lainnya agak jauh.  Hotel ini menawarkan layanan antar-jemput gratis yang biasa kami kunjungi ke Pasar Ubud. Satu-satunya masalah adalah kami harus menelepon hotel untuk dijemput, jadi pastikan Anda berada di dekat restoran yang…",5
9, Green Field Resort,"Ini bukan ulasan tentang Green Field Hotel tetapi ulasan dari Green Field Resort, yang berjarak 12 menit berjalan kaki dari bekas dan dimiliki oleh keluarga yang sama. Resor ini dibuka pada bulan Desember 2018 dan kami menginap selama 3 malam pada akhir Januari 2019.  Resor ini, walaupun sangat baru, terletak di ujung jalan yang tenang dari hiruk-pikuk Ubud. Kolam renang adalah klorin, tak terbatas dan sangat bagus dan keren dengan bar berenang. Restoran berada di sebelah kolam renang dan sarapan a la carte dan teh sore ditawarkan dan termasuk dalam harga kamar.  Kamar-kamarnya bersih, cukup besar dan kamar kami memiliki pemandangan sawah dengan sungai kecil. TV, WFI, dan air sudah termasuk juga keramahan dan keramahan kelas dunia Ubud yang terkenal. Anak-anak sangat disambut…",4
10, Green Field Resort,"Hotel ini sangat bersih, baik ukuran kamar dengan mandi ajaib, banyak seni yang keren dan 2. 25 m kolam renang yang disukai anak-anak. Staf yang luar biasa dan sangat dekat dengan segala sesuatu - tidak perlu untuk taksi. Restoran besar di daerah dan taman monyet (yang saya tidak suka tetapi anak-anak pikir itu luar biasa) adalah sekitar 10 menit. Nikmati.",4
11, Green Field Resort,"Staf di sini sangat membantu, fasilitasnya bersih, Taman terjaga dengan baik. Sarapan disajikan di tempat yang terbuka berpihak gubug beratap area dimana anda dapat menikmati pemandangan yang indah dari pematang sawah. Kendaraan yang tersedia untuk membawa anda ke pusat kota, meskipun tidak terlalu jauh untuk berjalan kaki. Ini adalah tempat yang saya bersemangat untuk kembali ke.",4
12, Green Field Resort,"Menginap 1 malam di hotel ini untuk 2 hari terakhir kami di Bali. Taman Hotel sangat besar. Mendapat kamar yang luas dengan beranda yang besar yang menghadap ke sawah di dekat meja depan. Kekurangannya adalah anda dapat melihat sawah akhir hingga tempat parkir utama dari monkey forest. Lokasi sangat bagus, hanya beberapa menit berjalan kaki ke monkey forest dan toko-toko lainnya dan resto seperti mia. mamma Sekitar 30 menit berjalan kaki ke central market. Hotel ini menawarkan layanan antar jemput tapi melihat lalu lintas di Ubud, kami memutuskan untuk berjalan kaki. Banyak toko yang bagus untuk melihat, serta spa dan restoran dan toko kopi yang anda dapat beristirahat dan minum-minum di jika anda lelah. Kolam renang di hotel sangat bagus juga! Sarapan memiliki pilihan yang baik…",4
13, Green Field Resort,"W e memiliki kamar dengan pemandangan sawah yang bagus, tenang dan menjelajahi Ubud. Kami melakukan beberapa tur melalui hotel dan mereka juga mengatur transportasi untuk kami. Setiap staf yang tepat. Saya akan menginap disini lagi, seperti yang kami lakukan pada malam terakhir kami di Bali.",5
14, Green Field Resort,"Lokasi yang besar, staf yang indah dan dasar yang bersih. Ada dua kolam renang yang merupakan cara terbaik untuk menenangkan diri. Kamarnya besar dan sangat bersih. Tempat tidur tegas dan nyaman. Sarapannya tidak besar, tetapi memiliki banyak pilihan Barat dan Indonesia, termasuk telur yang dibuat sesuai pesanan.  Salah satu bagian terbesar dari hotel adalah lokasi dan shuttle bus. Hotel ini sekitar 15 menit berjalan kaki ke pasar dan pusat kota. Ada banyak restoran besar di daerah ini (favorit kami adalah Kafe dan Ibu Sus). Kami tidak makan di restoran hotel. Hotel ini juga memiliki layanan antar-jemput luar biasa yang dapat mengantarkan Anda ke mana saja di kota.",5
15, Green Field Resort,"Apa yang benar-benar tempat yang indah dan staf. Kami menginap di sini selama 6 malam pada awal perjalanan kami di Bali. Dari saat kami bertemu dengan Brokoli di bandara pelayanan kelas satu. Kamar kami menghadap ke sawah ke Monkey Forest, yang indah. Kolam renangnya sangat indah setelah hari yang panas dari tur yang diselenggarakan dengan sangat baik sebagai hotel adalah pijat dan spa. Kami mengubah rencana kami dan dikelola untuk memesan kamar yang sama untuk malam terakhir kami. Pada saat kami tiba di kamar kami, staf yang ditulis sambutan selamat datang kembali di kelopak bunga mawar ion tempat tidur. Sentuhan yang manis. Sarapan prasmanan dan kelapa muda yang lezat, menyenangkan untuk mencoba makanan lokal. Akan tempat pertama yang kami pesan saat kami kembali ke Bali.",5
16, Green Field Resort,Pemandangan yang fantastis di seberang meja sarapan . Luar biasa yang tersebar. Pelayanan yang bagus . Mereka diantarkan ke teman-teman kami yang sakit makanan di kamar mereka & dimuat dengan makanan. 3 hari tidak cukup untuk menikmati surga. Akan berkunjung ke sini lagi.,5
17, Green Field Resort,"Saya terkesan oleh kebersihan, menarik staf, makanan, dan istirahat dari lalu lintas ingar-bingar; kami melihat pemandangan tropis yang indah dan sawah, gunung berapi di latar belakang. Air asin dan kolam air tawar, di spa situs, restoran dan kedai kopi yang sangat memadai, antar-jemput gratis, dekat dengan belanja untuk semua orang Bali. Yang terpenting, lingkungan yang terlibat dan milik lokal. Kamar dengan fasilitas yang konsisten dengan rating bintang 3 - 4, dan nilai yang bagus.",5
18, Green Field Resort,"Kami memesan untuk 7 malam di The Bale pemandangan sawah adat (kamar 406). Kamar besar yang sangat indah dalam gaya tradisional Bali dengan langit-langit yang tinggi, tempat tidur yang nyaman dan besar-besaran teras besar dengan dapur dan lemari es di sebelah sawah. Sayangnya ada acara di lapangan di monkey forest, dengan banyak berteriak melalui tannoy, dan musik 47-6. Kami bertanya pada resepsionis dan mereka mengatakan akan pergi pada larut malam dan hari berikutnya dan mereka menawarkan kami untuk pindah. Menyedihkan untuk pergi ke kamar, kami pindah ke kamar 523 di ujung yang menghadap ke kolam renang. Hotel ini sangat modern dan bersih, kamar yang luas, tapi kurang berkarakter di kamar lain. Kami Namun, kita bisa mendapatkan tidur malam yang baik dan kami berterima kasih…",5
