,hotel,review,stars
0, Guci Guesthouses,"Bungalow yang indah memberi kami privasi yang kami inginkan. Kami senang memiliki kejutan di setiap sarapan dan membuat pilihan vegan, terima kasih. Dan terima kasih telah mengizinkan kami meminjam skuter Anda dari waktu ke waktu! Memiliki AC akan menjadi satu-satunya harapan saya.",4
1, Guci Guesthouses,"Wow! Apa yang bisa dikatakan setelah benar-benar terpesona oleh tempat yang indah ini! Anda tidak akan pernah percaya bahwa Anda berada di pusat Ubud karena ini adalah oase yang indah dan tenang. Kami memiliki tinggal pendek yang sempurna meskipun dua hari. Bungalow indah dan kami menyukai shower outdoor / indoor. Sarapan (sesuatu panas / kopi dll dengan potongan buah yang indah dengan hiasan bunga) yang berubah setiap hari tidak hanya cantik, tapi benar-benar lezat juga.  Semua bungalow memiliki teras yang indah yang menghadap ke taman Bali yang indah yang kami pahami adalah 30 tahun dalam pembuatannya. Anda dapat melihat upaya besar yang telah dilakukan Ulli dan suaminya, Nyoman dalam penciptaan ini. Sepertinya sudah terlihat seperti ini. Mereka memiliki perhatian besar…",5
2, Guci Guesthouses,"Guci Guesthouse adalah tempat yang sempurna untuk menginap jika anda berkunjung ke Ubud.  Hotel ini dekat dengan pusat keramaian tapi benar-benar tenang. Restoran di dekatnya.  Bungalo Anda berada di tengah-tengah taman yang indah dan semuanya sangat terbuka sehingga anda dapat mandi di antara tanaman dan bangun untuk suara alam. Anda juga memiliki banyak ruang dan sebuah beranda dengan sendiri pemandangan hijau di taman.  Anda dapat menginap sendiri atau bertemu dengan orang-orang selama sarapan apa dengan cara yang sempurna. Tempat yang layak dan sangat lezat.  Semuanya sangat bersih.  Juga semesta alam - Ulli dan Nyoman - sangat indah. Saya mendapat sambutan hangat, menarik dan bagus. Rekomendasi pembicaraan Mereka berbicara Bahasa Inggris, Jerman dan Indonesia.  Saya…",5
3, Guci Guesthouses,"Saya benar-benar berakhir di sini tanpa sengaja! Saya telah memesan akomodasi di tempat lain dengan program tetapi beberapa nomor telah bergeser, dan saya akhirnya di Guci dan ternyata sangat baik. Saya berada di Bungalow 3 selama dua minggu. dan memiliki kamar yang indah tetapi juga outdoor shower, yang sangat luar biasa. Saya merasa seperti sedang menonton film. Awalnya saya khawatir tentang tidak ada AC, tapi itu benar-benar cukup dingin di malam hari di Bali, dan selain sedikit kelembaban, saya tidur nyenyak dan selalu nyaman. Mereka memiliki kipas langit-langit dan kipas lantai yang melakukan trik.  Uli dan Nyoman selalu ada, ramah, dan penuh perhatian. Lokasi ini juga bersebelahan dengan Pondok Oka, di mana Anda dapat memesan taksi untuk membawa Anda ke mana saja. Ini…",5
4, Guci Guesthouses,"Tinggal di Wisma ini di unit vila yang sangat bagus untuk dua malam. Itu adalah tidur terbaik yang saya miliki di Ubud, tenang, kasur yang bagus, lingkungan yang santai dan tuan rumah adalah orang-orang terbaik yang bisa Anda temui. Setel kembali dari jalan menyusuri jalan panjang, mundur dari kebisingan dan keramaian. Tuan rumah sangat mewajibkan, diinformasikan dan benar-benar dapat didekati. Tidak ada dapur jika Anda mencari fasilitas ini tetapi sebaliknya kami senang berada di sini dan pasti akan kembali.",5
5, Guci Guesthouses,Ini adalah jujur mengenakkan untuk menginap di sini. Tuan rumah sangat asli dan benar-benar suka bertemu orang-orang baru dan meluangkan waktu untuk mengenal mereka! Saya berhutang perjalanan yang baik di Bali saya kepada mereka! Menginap di sini untuk memiliki pengalaman otentik!,5
6, Guci Guesthouses,"Ini adalah kedua kalinya kami menginap di Guci dan tidak mengecewakan. Indah, bergaya, gaya Bali Bungalo di taman yang rimbun, tenang. Lima menit dari pusat Ubud. Sangat baik nilai untuk uang. Anda tidak akan menemukan yang lebih baik! !",5
7, Guci Guesthouses,"Menginap selama 6 malam kami di Uli dan wisma ini, Nyomans seperti yang kami harapkan berdasarkan rekomendasi sebelumnya, sangat bagus dan awal yang sempurna untuk liburan 2 minggu kami di pulau ini. Bungalow dan taman hijau yang sangat luar biasa rasa tradisional memberikan di satu sisi, namun di sisi lain juga sangat bersih dan luas. Pusat kota ubud adalah dalam 20 menit berjalan kaki tapi lezat restoran, pemandu wisata, atm dan supermarket hanya sekitar sudut. (Bagi mereka yang tidak ingin berjalan, skuter dan supir yang tersedia di hampir setiap sudut : - ) )  jika anda menginap di guciguest rumah anda harus meminta pemiliknya untuk pasti beberapa hal-hal yang istimewa untuk mengunjungi karena mereka memberi kami saran yang baik berdasarkan pengalaman panjang mereka dan…",5
8, Guci Guesthouses,"Jika Anda tinggal di Ubud ini adalah suatu KEHARUSAN! ? Ini benar-benar sepotong surga di bumi. Tersembunyi di taman yang indah adalah beberapa bungalow dan dupleks dengan arsitektur Bali yang terbuka. Ulli dan Nyoman adalah tuan rumah yang luar biasa dan membuat pengalaman menginap Anda tak terlupakan. Tidak masalah jika Anda membutuhkan driver, tur, informasi. . . . mereka memiliki segalanya untuk jawaban yang sempurna. Anda akan mendapatkan sarapan pagi yang lezat di tengah-tengah taman. dikelilingi oleh alam Anda akan tetap santai dan indah. Kami di sini untuk kedua kalinya. Pertama sebagai pasangan di hari jadi kami, kami mendapat bunga pada hari itu dan sebuah catatan yang bagus. Kali ini sebagai keluarga 4 dengan satu balita. Dan itu sempurna. Silahkan datang dan dapatkan…",5
9, Guci Guesthouses,"Guci Guesthouse di Ubud memiliki tiga bungalow bergaya Bali yang cantik di taman mereka yang indah. Sofa bagus di teras Anda, tempat tidur besar dengan bersih muskito dan kipas di dalam dan kamar mandi luar yang luar biasa. Pasangan Jerman - Bali Ulli & Nyoman dan putra mereka Daniel sangat ramah dan membantu. Anda dapat bertanya tentang apa saja dan mereka akan membantu Anda. Sarapan adalah di taman di meja mozaik yang indah. Lezat pisang goreng (atau sesuatu yang lain) dan semangkuk besar buah, disajikan dengan bunga. Terima kasih Ulli & Nyoman dan gadis pembersih untuk menginap santai di salah satu bungalow Anda yang indah! ! Terima kashi!",5
10, Guci Guesthouses,pengalaman sempurna bagi kami: dari kontak pertama hingga check-out kami telah menghabiskan waktu yang indah di rumah Ulli dan Nyoman di Ubud. Sangat merekomendasikan untuk semua orang yang suka menikmati taman bali yang indah serta rumah kembar yang indah dan luas. Terima kasih banyak dan salam hangat dari Jerman.,5
11, Guci Guesthouses,"Kami menyewa sebuah rumah di lantai dua setengah bergaya Bali. Tempat yang bersih dan tenang di taman yang indah. Ulli dan suaminya yang sangat ramah dan membantu. Kami juga memiliki dapur sehingga kami bisa memasak makan malam kami sendiri. Sarapan termasuk yang lezat dan setiap hari yang baru yang mengejutkan. Tempat ini sangat dekat dengan restoran, toko, ATM, . ",5
12, Guci Guesthouses,"Tidak ada yang negatif untuk mengatakan tentang tempat ini. Bungalow indah, ulli nyoman dan daniel yang sangat ramah dan memberikan saran yang sangat baik pada apa yang harus dilakukan. Seluruh tempat adalah taman yang romantis dan bungalownya terbuka dengan tidak ada jendela.  Tempat terbaik sejauh ini. Saya hanya dapat merekomendasikan tempat ini.",5
13, Guci Guesthouses,"Aku menghabiskan tiga malam di wisma uii dan nyoman, dan ini adalah tempat yang sempurna bagi saya. Karena saya bepergian sendirian. Aku punya sebuah bungalow untuk diri sendiri, dengan bagus, besar, dan indah beranda untuk duduk di luar. Sarapan juga bagus dan uli dan nyoman akan membantu anda dengan pengaturan; mereka diatur pijat bali dan transfer bandara untuk saya. Anda juga memiliki banyak tokek :) . Bungalow tidak memiliki ac, tapi ada kipas angin. Saya menemukan lokasi yang baik seperti itu tidak di pusat ubud, tetapi masih dalam jarak berjalan kaki untuk semua tempat wisata utama, seperti monkey forest, pusat perbelanjaan, dan kuil. Juga, anda dapat dengan mudah mendapatkan taksi atau moped naik taksi jika anda membutuhkannya. Jika anda mencari otentik accommodatation…",5
14, Guci Guesthouses,"Ubud memiliki banyak pukta dan wisma tamu menawan, dan ini adalah salah satu! Jika anda seperti foto dan itu cocok anggaran anda (murah untuk layanan tapi sedikit lebih mahal daripada wisma tamu ekonomis), jangan ragu-ragu! Pemilik adalah bali yang ramah yang juga mewarnai lautan dan siapa yang mengambil waktu untuk merenovasi rumah (bali gaya) dan membangun taman yang indah. Anda akan merasa seperti salah satu keluarga lokal yang ada. Bangun dari kamar indah dan luas, dilengkapi dengan sangat baik dan sarapan di teras yang sangat baik untuk menjelajahi daerah sekitarnya! Wisma tamu ini tidak di pusat kota (kurang baik) tapi yang saya dapat dari restoran dan hutan monyet.",5
