,hotel,review,stars
0, H-Ostel Bali,staf ramah yang bagus. Tempat tidur dan kamar mandi confi. Mereka memiliki teras atap yang bagus dan di sekitar Anda akan menemukan banyak bar dan restoran. Mereka menyimpan barang bawaan Anda jika Anda ingin bepergian hanya dengan tas tangan.,5
1, H-Ostel Bali,Hostel yang luar biasa. Kamarnya sempurna. Tempat tidur sangat bagus dan sangat bersih. Staf sangat membantu! Sudah termasuk sarapan. Sangat dekat dengan pantai kuta. Dekorasi yang bagus. Turunkan bintang sebuah kedai kopi kecil. Sarapan di atap! Bangunan yang sangat bagus,4
2, H-Ostel Bali,"Harga wajar, dengan sarapan yang layak (memungkinkan kami untuk porsi kedua kopi), dan bersih. Ini adalah tempat yang bagus untuk beristirahat malam di tempat yang sangat turis di Bali. Lokasinya juga sangat sangat nyaman.",5
3, H-Ostel Bali,"Saya telah tinggal di sini selama 3 hari, tempat tidur yang nyaman, sarapan sederhana tapi sangat baik. penerimaan yang sangat baik dan staf atap, terutama dayus dari penerimaan. begitu dekat dengan pantai, pusat perbelanjaan, burgerking, McDonald's, dll. Akan kembali liburan berikutnya!",5
4, H-Ostel Bali,"untungnya untuk bisa menginap di hostel di negara asalku, aku tiba jam 2 a. m dan disambut oleh 2 staf yang membantu di meja resepsionis. Setelah saya selesai melakukan semua barang check in, mereka menunjukkan saya ke kamar saya dan memberi saya handuk. Ruangan itu tenang dan bersih dan memiliki tempat tidur yang luas untuk semua orang, namun staf surprsingly mematikan AC di sekitar 3 yang membuat ruangan penuh dengan 22 orang panas (saya tidak tahu apakah ini normal). kamar mandi sangat bersih menganggap itu adalah area umum dan memiliki air panas. untuk sarapan mereka menyediakan beberapa roti dan roti panggang Perancis tetapi saya melihat beberapa orang memiliki telur dadar (saya tidak tahu apakah itu menu tambahan). hostel ini tidak memiliki area publik untuk bergaul…",4
5, H-Ostel Bali,"Jika Anda terbiasa tinggal di Hostel, Anda tahu apa yang diharapkan. Jika Anda adalah timer pertama, Anda mungkin tidak kecewa. Tempat ini terletak di pusat kota, hanya di persimpangan jalan kawasan wisata, sangat dekat dengan pantai dan hanya beberapa menit berjalan kaki. Itu tentang lokasi. Sekarang bagian yang hidup. Asrama ber-AC. Meskipun ini adalah tempat tidur kapsul, pendingin udara efektif hingga akhir kapsul. Kamar mandi dibersihkan secara teratur, beberapa pintu kompartemen di area kamar mandi memerlukan manik-manik PVC untuk dipasang karena jika tidak ada orang dapat melihat ke dalam dari celah. Handuknya segar. Meskipun sarapan cukup dalam nama saja, masih ada sesuatu yang lebih baik daripada tidak ada dalam harga ini. Tetapi Anda selalu dapat memesan apa yang Anda…",4
6, H-Ostel Bali,"Tempat ini memiliki segala yang saya cari di hostel, simpan loockers yang bagus, orang-orang yang bekerja di sana sangat bagus, makanan dan minuman yang baik di atap untuk harga yang baik. Jika aku kembali ke Kuta sakit pasti tinggal di sana lagi! Terima kasih banyak!",5
7, H-Ostel Bali,"Tinggal selama dua hari termasuk ""Day of Silence"". . Selama perjalanan solo saya, saya ingin bergaul dengan sesama pelancong, yang saya lakukan selama saya tinggal di hostel ini. Restoran di puncak gedung menawarkan barang-barang terbatas tetapi lezat dalam menu. . dikombinasikan dengan beberapa bintang ??. . Tempat tidur rapi dan nyaman bersama dengan fasilitas loker, kamar mandi bersih. . .  Sangat dianjurkan. . . . . untuk semua wisatawan solo. . . . .",5
8, H-Ostel Bali,"Kami tinggal di sini selama 3 malam. Pada pandangan pertama itu tampak bagus Namun segalanya menjadi lebih buruk dengan cepat. Sebagian besar toiletts, shower, keran mereka rusak dan dalam pemeliharaan sepanjang waktu. Dan karena Anda tinggal di kamar 22, itu jauh lebih nyaman. Jika setidaknya setengahnya berfungsi. . .  selanjutnya ada makanan. Kami memesan carbonara seharga 50 k rupiah. Kami mendapat 4 garpu makanan. Ada Hampir Tidak Ada di piring, ridicoulose. Yang membuat kami lebih kesal adalah bahwa kami memesan carbonara sehari sebelumnya dan kemudian kami mendapat sekitar dua kali lebih banyak (yang masih merupakan porsi kecil) yang kami sebutkan kepadanya ketika dia menyajikan makanan karena itu mengejutkan kami. Dia bergumam dengan cara yang tidak membantu bahwa Dia…",1
9, H-Ostel Bali,"Hal terbaik tentang hostel ini adalah terletak di pusat area Kuta dan harganya sangat murah. Terawat dengan sangat baik dan semuanya bersih. Sudah punya kapsul jenis ruang tidur dan masing-masing kapsul bisa menampung dua orang.  Ada area toilet yang berbeda untuk pria dan wanita. Kami sampai di sana jam 12. 30 sore tetapi tidak diizinkan untuk check-in hingga pukul 14:00. Saat check - in, kami menerima handuk dan voucher sarapan gratis. Sarapan terdiri dari roti, selai, dan kopi.",4
