,hotel,review,stars
0, Hanging Gardens of Bali,"lokasi hotel yang mungkin agak dalam dan jalan yang lumayan terjal dan sempit,bagi yg ingin kesini mgkn lebih baik berhati hati dlm berkendara  lobby yg mungkin terkesan biasa tidak seperti hotel lainnya,tapi tetap dengan standara pelayanan kualitas bintang 5  proses check in dan check out yang cepat welcome drink yang enak  cukup menarik karena ada semacam elevator untuk menuju room dan pool utama,  room dan private serta dekorasi nya sangat bagus dan luar biasa..tidak perlu menggunakan pendingin lagi karena cuaca di hanging ubud sudah sangat dingin  Pool utama, hanya satu LUAR BIASA SEMPURNA  Menu breakfast lumayan bervariasa dan enak",5
1, Hanging Gardens of Bali,"Menginap di Hanging Garden adalah pengalaman yang indah. Untuk kamar tidak luas sekali namun sangat nyaman, terdapat juga bath tub dan area spa/pijat disebelahnya (kamar suite). Selain itu terdapat area balkon dimana kita bisa duduk-duduk dan private pool yang kesannya hanging di udara. Selain itu area ruang tamu nya terpisah. Yang lebih wow lagi adalah kolam renang utamanya!",5
2, Hanging Gardens of Bali,"Begitu melihat pool yang ada di Hanging Gardens ini, saya speechless! Rasanya langsung pengen nyebur ke kolam. Pool nya langsung menghadap ke pemandangan hutan rimbun di Ubud, rasanya teduh dan adem. Kedalaman pool juga hanya 1.5 M sehingga fokusnya adalah berendam dengan melihat pemandangan alam. Hal yang saya suka di hotel ini, anda tetap bisa menikmati pool tanpa harus menginap disini. Namun akan tetap dikenakan charging apabila hanya ingin berenang di pool nya. Lokasi yang cukup private membuat hotel ini lebih cocok untuk honeymoon daripada liburan keluarga.",5
3, Hanging Gardens of Bali,"Pelayanan kelas satu untuk liburan yang tenang. Perhatian staff luar biasa dan sempurna. Lokasinya tersembunyi menyatu dengan alam. Jika ingin kesini, lebih baik adalah perjalanan yang tidak memiliki berbagai rencana wisata. Fokus untuk menikmati suasana dan mencari kenyamanan serta relaksasi diri.",5
4, Hanging Gardens of Bali,Pengalaman saya menginap di hotel ini Oktober 2013 sangat menyenangkan dan luar biasa. Sehari-hari hidup di tengah kota yang jauh dari sentuhan alam membuat pengalaman menginap disini menjadi sangat berharga. Hotel ini berbentuk villa dan berjumlah terbatas sehingga privasi dan ketenangan sangat terjaga. Setiap villa memiliki kolam renang pribadi yang langsung berhadapan dengan lembah hutan. Mata anda akan sangat dimanjakan oleh hijaunya pemandangan hutan hujan tropis di ubud ini. Untuk anda yang ingin berbulan madu atau sekedar istirahat bersama pasangan sangat cocok sekali menginap disini. Lokasi memang agak jauh dari Ubud Center tetapi hotel ini memiliki fasilitas shuttel mini bus setiap harinya dari Ubud Center. Karena ketenangan dan relaksasi yang kami cari maka lokasi…,5
5, Hanging Gardens of Bali,"Liburan paling indah yang pernah saya alami.  Segalanya, dari kamar sampai ke penataan sampai ke pelayanan sampai ke konsep, sangat inovatif dan dipersiapkan dengan sangat sangat baik. Saya kehabisan kata-kata untuk mencoba menggambarkan pengalaman saya di tempat ini.  Saya rasa tidak ada tempat yang lebih baik untuk ditinggali di Bali. Atau di manapun juga.",5
6, Hanging Gardens of Bali,"Kami menginap di sini selama  4 malam sebagai bagian dari bulan madu kami, sebelum bergerak ke Jimbaran untuk dua malam, Kami sangat menyukainya sampai-sampai kami tidak meninggalkan hotel selama 3 malam!  UHG benar-benar surga ketenangan. Sebagai pasangan yang sedang berbulan madu di akhir rangkaian perjalanan kami sepanjang Asia Tenggara, ini adalah tempat yang kami cari. Kami menginap di vila deluxe pool yang indah. Kamar yang indah, kolam renang tanpa batas menghadap ke hutan dan pura di seberang sungai. Ditambah tumbuhan yang membuat vila ini benar-benar pribadi. Tidak akan mungkin ada orang yang mengintip. Benar-benar pengalaman memesona (kami juga mendapatkan vila yang paling tinggi di atas bukit, sehingga pemandangannya lebih baik). Karena hujan yang mengguyur…",5
7, Hanging Gardens of Bali,"Resor ini indah, dengan staf yang ramah, tapi saya tidak akan menginap di sini lagi. Saat menulis ulasan ini, saya sedang mendengar suara tokek di dalam kamar, tokek yang saat ini tidak bisa kami temukan.  Resor ini sangat indah, terletak di hutan di luar Ubud. Perlu diingat, resor ini BUKAN di Ubud. Ada antar-jemput gratis ke pusat Ubud, tapi layanan ini berhenti jam 5.30, jadi jika Anda ingin makan malam di luar hotel, Anda harus mengatur transportasinya. Sekitar $10 USD ditambah tip. Makan waktu kurang lebih setengah jam untuk ke Istana Ubud dari resor. Ketika memesan, kami tidak menyadari kalau kami akan jauh di antah berantah.  Hari pertama kami cek in, kami makan siang sambil menunggu kamar kami siap. Kami mendapat makanan pembuka, sebelum koktail… Kami menunggu lebih dari…",3
8, Hanging Gardens of Bali,"Saya jatuh cinta dengan Asia.Growing Up di NZ, perjalanan pertamaku ke luar negeri selalu ke daerah ini dan saat ini berbasis di UK, saya lupa betapa menakjubkannya tempat ini. Ubud Hanging Gardens merupakan tempat yang indah untuk kuingat. Hotel yang indah ini merupakan bagian dari paket yang kubeli (melalui www.luxurylink.com) dimana saku menginap selama tiga malam, diikuti dengan menginap 5 malam di cabang hotelnya di Jimbaran Bay (melihatnya di ulasan yang berbeda). Aku berharap dapat lebih lama menginap di sini. Hotel ini sangat indah - pengaturannya yang menakjubkan (abaikan saja jaraknya yang mendekati dua jam berkendara dari bandara, dan hotel ini benar-benar layak), keprivasiannya, mobil kabelnya, makanannya, pelayanannya, kamarnya - benar-benar sempurna.  Saya tidak…",5
9, Hanging Gardens of Bali,"Ini merupakan pertama kali kami menginap di hotel ini dan di Bali dan saya memilih tempat yang lebih terpencil untuk saya dan istri saya mengawali kunjungan kami di Bali. Sangat tentram, stafnya sangat bersahabat dan luar biasa membantu dan kualitas hal-hal ini sangat luar biasa. Bagi siapapun yang tertarik, pesanlah kamar #45 yang tepat di ujung deretas vila dan tepat di tengah jalur dimana money-monyet kembali ke sarangnya di malam hari dan keluar di pagi hari.  Kami duduk-duduk di pondokan Bali luar ruangan di jam 7 pagi dan menyaksikan monyer-monyet keluar seharian dan berlompatan dari pohon ke pohon dan melewati balkon kami serta masuk lalu keluar kolam kami untuk berenang singkat. Sangat menakjubkan dan kami mendapatkan beberapa foto mereka dari jarak yang sangat dekat,…",5
