,hotel,review,stars
0, HARRIS HOTEL Kuta Galleria,Welcoming and farewell tamunya sangat mengesankan dengan keramahannya. Kolam renang yg nyaman dan breakfast penuh variasi makanan. Pa anom staff front officr sangat membantu kami selama stay disana...,5
1, HARRIS HOTEL Kuta Galleria,"Hotelnya Bagus,  Makanannya Enak Dan Pelayanannya Ramah, Tempat Tidurnya Lumayan Besar, Sebaiknya Extra Bednya Ada dan Tidak Hanya Berupa Sofa Bed Yang Hanya Dikasih Bantal Dan Selimutnya Saja. Sebaiknya Balkon Dibersihkan Terutama Rumput Dan Ilalang Sebaiknya Dirapihkan. Terimakasih",4
2, HARRIS HOTEL Kuta Galleria,"Pelayanan nya sangat bagus ,, saya dibantu mb Ira, dari awal booking sampai kepulangan.. dilayani dengan baik dan respon sangat cepat..  Makanan sesuai selera.. nilai minus hanya ada di air hotel yg asin.. Lain waktu kalo ke situ lagi semoga airnya sudah ga asin 😁😁",4
3, HARRIS HOTEL Kuta Galleria,"Harris Kuta Galleria, Kuta, semalamnya lumayan masuk akal di budget. Namun, tidak langsung pinggir pantai di sana, although ada taksi di sana. Kamarnya decent, tapi sayangnya toiletnya agak sempit.  Fasilitas hotel sendiri cukup lengkap. Sementara itu letak hotelnya bersebelahan dengan Mall Kuta Galleria. All in all, mall dan hotel menjadi satu dalam gallery saya hehehe.",3
4, HARRIS HOTEL Kuta Galleria,"Sebenarnya overall bagus. Sempat ada permasalahan tentang air keran yg asin, dan handuk yg bau tapi langsung di handle saat itu juga. Review saya soal makanannya tidak selengkap harris seminyak. Hari pertama saya makan mie gorengnya enak. Tapi bbrp hari kmudian saat sarapan saya mengambil mie goreng lagi namun rasanya (maaf) kurang enak. Pelayanannya baik. Semua staff ramah.   Minusnya, tidak ada buku menu untuk room service. Katanya ada bisa dilihat di televisi krn menunya sudah ada disana. Tapi kami dari awal menginap, baik dr resepsionisnya tidak memberitahukan perihal tersebut. Dan satu lagi. Saya pesan ruangan dengan kriteria silent room. Dan ternyata ada acara di area pool dari sore hingga malam. Saya telepon ke resepsionis, dan saya bertanya tentang jam malam acara dalam…",3
5, HARRIS HOTEL Kuta Galleria,"Perlu pebaikan toilet dan kamar lebih dibersihkan lagi, masi menemukan 3-4 nyamuk di dalam kamar 310. Menu breakfast kurang banyak, semua pelayanannya bagus, sangat friendly, dan hotel dekat dengan airport ngurah rai.",4
6, HARRIS HOTEL Kuta Galleria,Saya pernah membawa rombongan teman menginap disini. Lokasinya sangat dekat dengan Mal Kuta Galleria. Hotel terletak di pinggir jalan sehingga mudah ditemukan dan sangat strategis. Pilihan makanan cukup bervariasi dari masakan Indonesia dan Asia. Kamar cukup luas dan cukup nyaman untuk ditinggali bersama dengan keluarga.,4
7, HARRIS HOTEL Kuta Galleria,"hotel yang cukup nyaman, salah satu alasan pilih hotel ini karena restorannya tidak menyediakn menu babi, secara sebagian besar hotel di Bali resorannya ada menu babi nya., kamar cukup luas, terang dan bersih, pelayannaya juga OK, hanya saja hasil laundrynya kurang, aroma bajunya gak enak",3
8, HARRIS HOTEL Kuta Galleria,"Dalam rangka tugas dinas, stay (2 malam 3 hari, 13-15 Feb'17) di hotel Harris Kuta Galleria- Bali,  merupakan pengalaman yang menyenangkan. Hotelnya bersih, kamarnya luas, restoran bagus, pelayanan dan resepsionisnya ramah dan siap membantu. Lokasi di daerah strategis (daerah (Simpang Siur), adalah tempat yang sangat representatif. akses ke mana-mana dekat, pintu blakangnya juga conect dengan parkiran Galleria mall. Hotel yang rekomended utk yang mau ke Bali. Soal harga relatif mahal (menurut kantong saya)..hehehe... untunglah dibayar oleh panitia.. hehe.. Overall, hotel ini bagus dan rekomended...  Simon-Larantuka, Flores",4
9, HARRIS HOTEL Kuta Galleria,Setelah sampai dibali saya dan rekan2 kerja menginap di hotel harris..ssngat terjangkau dan tidak mahal..akses untuk tempat wisata lain dari harris hotel sangat terjangkau dan mudah..pelayanan hotel jg bagus dan tidak mengecewakan tamu hotel..,5
