,hotel,review,stars
0, Honai Resort,"Kami bersenang-senang di Honai, kamar bersih dan lokasi bagus. Pelayanan prima di restoran untuk sarapan dan makan malam, Sukma dan Suta sangat profesional dan ramah. Aku rindu sudah mengobrol denganmu. Bersenang-senang!",5
1, Honai Resort,"Great hotel dengan kolam renang yang indah meskipun agak teduh. Staf sangat ramah dan membantu! Kamar luas dengan pemandangan kolam renang, kamar mandi yang indah dengan bathtub super. Hal favorit saya adalah sarapan apung.",5
2, Honai Resort,"Resor kecil dan unik tidak jauh dari Ubud. Merupakan tempat yang sempurna untuk saya dan suami. Kamar-kamar yang indah dan luas, dengan balkon nyaman yang menghadap ke kolam renang. Kolam renang besar, dalam, dan bersih! Sempurna untuk berenang dan biasanya sangat sunyi jadi kami sering melakukannya sendiri. Staf yang ramah, baik, tersenyum dan selalu senang mengobrol. Terutama saya ingin menyebutkan pelayan Suta dari restoran, ia menunjukkan keterampilan layanan yang luar biasa dan pendekatan pribadi. Dia bercerita banyak tentang budaya dan tradisi Bali, dan sangat menyenangkan untuk diajak bicara setiap pagi saat sarapan! Singkatnya, senang kami tinggal dan pasti akan merekomendasikan tinggal di sini!",5
3, Honai Resort,"Ini adalah resor yang luar biasa dengan staf yang paling ramah dan membantu. Aku tinggal di sana selama hampir 2 minggu dengan retret mandiri dan beberapa waktu sebelum dan sesudah retret dan aku mencintai setiap minut. Tidak ada yang bisa kupakai. Mereka adalah orang-orang yang penuh kasih dan ramah. Kamar luar biasa dibangun dan didekorasi dan saya merasa seperti hidup di surga. Layanannya luar biasa sebelum dan selama retret. Mengambil alergi dan semacamnya menjadi pertimbangan, memastikan saya mendapatkan perawatan pijat yang sempurna ketika punggung saya sangat buruk dan saya hampir tidak bisa bergerak. Mereka manis memberi Anda nasihat tentang harga taksi, perjalanan dan sebagainya. Saya hanya merasakan cinta pada tempat itu dan orang-orang. Layak tinggal dan uang. Cinta…",5
4, Honai Resort,"Honai tidak diragukan lagi surga di bumi. Tidak ada batasan untuk keindahan tempat, makanan yang lezat, dan staf yang luar biasa akan memastikan bahwa masa tinggal Anda akan menjadi salah satu kemudahan dan kesenangan yang luar biasa. Saya menggunakan Honai untuk memfasilitasi retret saya, dan dukungan yang saya terima dari staf sangat mengagumkan. Saya pasti akan kembali ke tempat ajaib ini lagi. Honai terima kasih!",5
5, Honai Resort,"Kami sangat puas dari awal hingga akhir. Stafnya sangat rendah hati, berpikiran sosial dan layanan - mereka adalah teman Anda. Pagi pertama kami jet tertinggal dan tidur, penerimaan disebut karena mereka khawatir kami akan melewatkan sarapan sehingga mereka dikirim ke kamar kami. Kami mendapat pijat & lulur - 2 jam penuh kebahagiaan. Makanannya berkualitas tinggi, enak dan sehat. Kopi benar-benar enak dan baru saja digiling. Hotel yang cukup kecil dengan suasana santai. Kami merekomendasikan pemandangan taman & sarapan apung. Sejauh pengalaman hotel terbaik yang kami miliki!",5
6, Honai Resort,"Resor kecil dan intim dengan semua kamar yang mengelilingi kolam renang pusat. Orang-orang sangat ramah dan membantu dalam memesan mobil, mengatur perjalanan wisata dan dengan apa pun yang kami butuhkan di sekitar resor. Punya pengalaman yang luar biasa di sini.",4
7, Honai Resort,"Honai adalah tempat yang sangat baik untuk tinggal di Ubud. Saya akan merekomendasikan tempat 💯% semuanya sempurna.  Kami pertama kali menginap 2 malam di Center of Ubud tapi Honai jauh lebih baik.  Ruangan ini sangat luas dan sangat terang, tetapi bisa juga gelap untuk tidur di malam hari (bahkan jika kita tidak melakukannya). Kamar mandi luar biasa kami memiliki bak mandi luar biasa yang dibuat di batu yang unik (terbaik mandi dunia) itu adalah benar-benar jacuzzi kecil. Kami memiliki kamar 141, saya pikir semua kamar memiliki ukuran mandi yang berbeda tetapi kami adalah AMAZING.  Kita juga bisa memesan untuk mengisinya dengan bunga! Jika Anda mencari sedikit romantisme, lakukanlah.  Honai adalah sebuah resor kecil, terletak di Sawah 8 km dari pusat Ubud. Anda memiliki…",5
8, Honai Resort,"Baru-baru ini kami menginap di sini selama 3 malam dan saya berharap bisa lebih lama! Hotel ini indah dan kamarnya saat masih mengalami banyak pribadi cahaya alami. Sarapan yang lezat dengan mudah beberapa kopi terbaik yang pernah saya rasakan. Banyak sedikit biaya tambahan (kelas yoga, teh sore hari) para staf yang selalu membantu dan ramah. Walaupun 10 menit berkendara dari kota kami tidak pernah mengalami kesulitan keputusan taksi (sangat murah) dan ini benar-benar memberikan hotel ini sangat tenang dan santai yang merasa.",5
9, Honai Resort,"Kami menginap di sini pada akhir perjalanan bulan madu kami. Terorganisir kami melalui taksi hotel tidak datang ke bandara dan saya menemukan pemboman atas orang yang mencoba untuk mendapatkan taksi untuk pergi dalam cukup menegangkan terutama ketika mereka berdiri terlalu dekat dan ini adalah pengalaman pertama kami di Bali. Setelah menunggu lama, kami berbicara dengan hotel dan mendapatkan taksi di hotel lain yang memberikan kontribusi terhadap. Tiba di hotel sangat melegakan dan sangat indah. Hal ini jelas terawat dengan baik dan terasa seperti di pojok surga. Kamar-kamarnya rapi dan fasilitas spa yang layak dengan menggunakan. Kolam renangnya sangat indah untuk bersantai dan membaca.  Makanan pertama kami agak sedikit mengecewakan dengan ayam yang disajikan bahan mentah.…",4
10, Honai Resort,"Hari pertama kami tiba ke resepsionis muda Honai "" Johny "" menyambut kami benar-benar luar biasa dan membantu kami untuk mengatur beberapa perjalanan wisata di sekitar Ubud di sebuah jalan yang sangat ramah dan baik, memberikan banyak informasi lokal dan sangat restoran yang bagus.  Honai adalah hotel kecil yang sangat menarik, bersih, bagus, modern (asia) yang anda merasa disambut.  Teh gratis di sore hari, kelas yoga, sepeda gratis diskon di restoran, jemputan gratis di 3 waktu yang berbeda van. Ini adalah hal kecil yang ketika anda pergi dengan teman-teman atau keluarga anda di hotel ini sempurna.  Kamar di lantai atas sangat baik, sederhana dengan kamar mandi besar dan kasur yang sangat baik. Lokasi Hotel ini di 10 sampai 15 menit dari pusat Ubud sangat bagus untuk lebih…",5
11, Honai Resort,Tempat ini benar-benar butuh rating bintang lima. Bar luar biasa pada tingkat pertama dengan pemandangan yang luar biasa di atas sawah. Pondoknya mimpi untuk tidur. Dan stafnya luar biasa. Saya tidak pernah mendapatkan jus yang terbuat dari buah naga. . . warnanya gaib. Tempat yang sempurna untuk menginap.,5
12, Honai Resort,"Kami menginap di sini selama 2 hari menginap untuk melihat Ubud. Hotel yang sangat tenang dan damai (tidak ada tv di kamar) tapi agak jauh dari jalan bagi kami meskipun ada shuttle bus gratis ke kota tapi taksi/terakhir kembali 6 . 30. Taksi hanya £ 2 . 50 jika anda ingin pulang nanti. Kamar yang indah dan luas, kami memiliki balkon yang menghadap ke kolam renang yang kami rekomendasikan. Sarapan yang bagus dan kualitas makanan sangat baik. Staf sangat ramah dan membantu.",4
13, Honai Resort,Kami senang kami 3 malam di Honai. Ini adalah staf yang sangat menyenangkan dan ramah yang membuat tempat ini begitu menyenangkan. Resor yang dirawat dengan baik. Kamar yang kami inapi sangat disajikan dan bak mandi dan batu kami tempat tidurnya sangat besar. Kami akan senang untuk kembali lagi suatu hari nanti.,5
14, Honai Resort,"Ini adalah tempat yang tenang, tempat untuk bersantai melepas lelah. Staf yang ramah, kolam renang yang indah dan taman-taman tropis yang rimbun. Karena hampir tidak ada tamu lain saat kami berada di sana, kami mendapatkan kolam renangnya pada dasarnya untuk diri kita sendiri. Pemandangan dari restoran di atas sawah yang luar biasa dan sarapan paginya murah hati. Ada teh dan kopi di bar dengan sangat bersemangat dan staf yang berpengetahuan. Kamar kami namun lebih kecil dari yang diantisipasi di kamar dan kamar mandi, sementara kelihatan indah memiliki bau jamur yang sangat kuat. Mungkin berasal dari exhaust fan yang pergi ke langit-langit ruang di bawah atap pohonkayu. Tidak yakin? Langkah-langkah untuk kamar di atas yang cukup curam, jadi tidak akan cocok untuk orang tua.…",4
