,hotel,review,stars
0, Hotel NEO + Kuta Legian,"Saya sebenarnya orng Indonesia yang sudah lama tinggal di Paris, ketika ingin berlibur ke Bali bersama keluarga saya, saya memilih lokasi hotel di area Legian dan memilih tinggal di hotel Neo + Legian, karena bnyak teman saya yang  merekomendasikan hotel ini, ternyata saya tidak salah pilih, hotel yang sangat bagus, pelayanan yg baik serta karyawannya ramah - ramah ..  Sebersihan di kamar juga sangat oke..  Menu breakfast nya juga banyak pilihannya...  Pokoknya kalau saya berlibur ke Bali lagi saya pasti pilih hotel ini untuk tempat saya menginap...  Terima kasih Neo + hotel",5
1, Hotel NEO + Kuta Legian,"Kamarnya lumayan nyaman, bersih, ac juga dingin. Ranjangnya lumayan nyaman buat istirahat. Ada air panas juga. Hanya kekurangannya di wifi agak lemah setelah nyambung. Letaknya strategis dekat sama minimart dan restoran, serta bar.",4
2, Hotel NEO + Kuta Legian,"Lokasi di jalan tropozone, masuk gang setelah monomen bali bombing, dan lokasi masuk ke gang kira kira 1 km, depan ada minimart dan circle K, kalo mo beli indomi deket, sedia bir pulak, lokasi hotel dekat dengan keriaan bar legian, mau ngibing malem deket, tinggal jalan aja.  Room hotel memang tidakk terlalu luas, dan sayangnya ketika kami masuk, lantai terasa berpasir seperti tidak di pel sebelumnya.  ciri khas Neo, staff pakai seragam hitam, dan untuk wanita pake rambut palsu silver TV ukuran 32 inch dan gambarnya ga terlalu bagus, mungkin TV kabel bukan yg HD version Kamar mandi ada fotonya kok, showernya ga terlalu nyiprat ke wastafel, cuma amenities terbatas, adanya toothbrush+paste; cotton bud; penutup kepala buat mandi, dan plastik kecil, ada hairdryer juga  AC kamar…",3
3, Hotel NEO + Kuta Legian,"Sarapan yang luar biasa , staff ramah , kamar luarbiasa n hotel yang ramah lingkungan sekelilingnya dipenuhi dengan tanaman hijau dan bebas plastik senang banget hotel yg go green. Lokasi dekat dengan tugu bom bali.",5
4, Hotel NEO + Kuta Legian,"Pengalaman menginap yang menyenangkan.. kamar luas, bersih dan rapi.. suka dengan shower kamar mandi nya yang oke banget.. Breakfast cukup.. perlu lebih variatif terutama untuk pilihan roti.. anyway overall semua oke.. pilihan hotel bintang 3+ yang bisa jadi rekomendasi ",5
5, Hotel NEO + Kuta Legian,"Hotel NEO + Kuta Legian, hotel yang bagus, pelayanan yang baik,ramah dan bersahabat.. Lokasi hotel juga sangat strategis di jangkau, terletak di dekat pantai kuta, fasilitas hotel juga sangat baik, makanan nya enak enak ",5
6, Hotel NEO + Kuta Legian,"Kami lebih concern kepada kebersihan kamar, kamar mandi dan balcony yg kurang baik. Selain itu cardkey utk membuka pintu kamar harus berkali2 taping br bisa dibuka, utk rasa makanan dan ragam makanannya tolong diperhatikan lg, terimakasih..",3
7, Hotel NEO + Kuta Legian,"Tempat yang sangat strategis dan bersih segala nya di hotel nyaman sekali. Pelayanan yg baik. Fasilitas di hotel cukup lengkap, suasana keseluruhan sangat menyenangkan, good design for all area. Good job ",5
8, Hotel NEO + Kuta Legian,"hotel sangat bersih dan nyaman, kolam renang besar dan bersih, sarapan oke banyak menunya, cuma akses jalan menuju ke hotel kadang suka macet parah, lokasi hotel sangat strategis, dekat kemana-mana, setiap ke Bali, saya selalu akan nginap di sini, Thx Neo+ Kuta Legian",5
9, Hotel NEO + Kuta Legian,"Saya udah 3 thn berlangganan hotel ini kalau ke bali selalu stay disini, pelayanannya ramah, hotelnya bersih, terutama karyawan hotel bernama pak ngurah sangat membantu kami, terus di tingkatkan dan ttp ramah sm semua wisatawan.",5
