,hotel,review,stars
0, Karma Jimbaran,"villa nya sangat menyenangkan, semua bisa dilakukan disitu..  cocok sekali untuk kumpul bersama. dapurnya lengkap, bisa masak sendiri. kolam renang pribadi selalu dibersihkan setiap hari dekat dengan pantai jimbaran",5
1, Karma Jimbaran,"nyaman dan bersih, semua kebutuhan dilayani dgn baik oleh staff pengurus villa, suasana tenang dan jauh dr kebisingan, lingkungan nya aman dan private, suatu saat in syaa allah akan direncanakan kembali lagi 😊",5
2, Karma Jimbaran,- kondisi ruangan besar dan kamar banyak jadi bisa mengajak seluruh keluarga - makanan juga enak hanya kurang banyak varian - kebersihan cukup hanya saja karena tema garden jadi banyak binatang dan ada kotoran / daun dr pepohonan yang jatuh ke kolam renang membuat malas berenang ,5
3, Karma Jimbaran,"Terlalu lama untuk pelayanannya dan banyak properti yang rusak, upgrade kamar tanpa pemberitahuan terlebih dahulu, di akhir check out tiba2 ada donasi tanpa diberitahukan di awal pada saat check in, bukan masalah uangnya tapi sopan santun dan tata krama tidak ada disitu.",2
4, Karma Jimbaran,Villa ini tempatnya strategis dekat pantai Jimbaran dan aksesnya mudah. Exteriornya bagus dan menawan. Nuansanya yang tradisional dengan desain interior yang bagus. Layanannya sangat memuaskan dan ramah. Kamar yang luas dengan penataan yang serasi. Kamar dan kamar mandi sangat bersih. Suasananya sangat menyenangkan sehingga menginap disini dapat tidur dengan pulas. Wifinya bagus sehingga akses ke internet sangat mudah dan lancar. Kolam renangnya kondisi bagus. Pemandangannya juga sangat menawan.,4
5, Karma Jimbaran,"Kami menyewa tipe 4bedroom. Ada privat pool dengan segala perlengkapan mainan termasuk pelampung juga. Ada dvd player di kamar dan ruang tamu. Cocok untuk keluarga besar, karena kalo hanya berenam seperti kami rasanya kurang seru, sepi. Tempatnya cukup luas. Kamar mandi master bedroom nya cukup untuk aerobik hehehe...",4
6, Karma Jimbaran,"Cocok untuk yg suka nuansa tradisional ethnik dan jauh dari keramaian. Bangunan agak tua, ramah pelayanan, lumayan bersih. Lokasi dkt pantai Jimbaran yg terkenal seafood sunsetnya. Dari Jimbaran juga bs naik taxi ke lokasi lain, ke Kuta atau ke Seminyak. Disarankan utk couple yg ingin santai. Bs naik taxi ke Lippo Mall terdekat dari hotel tapi agak sepi belum banyak toko yg buka... Kalo bawa anak-anak mungkin lebih suka yg modern dan dekat dg beachwalk kuta.",3
7, Karma Jimbaran,suka bgt sama kamarnya heheeh jadi betah lama-lama disini ditambah lagi suasananya yang tenang cocok buat keluarga dan kamu yang ingin mencari ketenangan..ditambah lagi lokasinya gak terlalu jauh dari bandara ngurah rai...jadi gampang buat dijangkau,4
8, Karma Jimbaran,"Tempatnya sangat nyaman. Cocok sebagai hunian saat liburan bersama teman, keluarga maupun pasangan. Selain itu juga nyaman digunakan sebagai tempat outbound. Sayangnya untuk yang mencari makanan halal terbatas.",4
9, Karma Jimbaran,"Saya bersama keluarga ketika libur lebaran kemarin sempat menginap di vila ini.Kami mengambil vila 4 bedroom with private pool.Kami cukup terkejut dengan kondisi villa yang di luar dugaan kami.Dengan harga yang cukup tinggi, vila ini agak mengecewakan menurut kami.Barang2 di kamar banyak yang rusak seperti shower rusak,kerei jendela rusak.Tempat gymnya seperti tidak terawat alat-alatnya sudah cukup berumur dan terletak dibawah tanah.Tidak ada pemandangan pantai jimbaran.Pelayanan staff2nya juga tidak begitu bagus.Ketika kami membutuhkan sesuatu kadang2 datangnya lama sekali  Hal yang membuat kami cukup senang adalah dekat dengan bandara",2
