,hotel,review,stars
0, Kebun Indah,"Hotel kecil yang luar bisa di tengah-tengah Ubud, Bali. Tetap dikelilingi sawah. Stafnya baik, ramah, dan sangat membantu. Tersedia bis ulang-alik menuju Wayan Cafe yang terkenal, masih pemilik yang sama, jika Anda tidak mau berjalan kaki. Permata kecil dengan sarapan fantastis termasuk teh sore. Sarapan dihidangkan di teras kami atau di balkon dan rasanya fantastis. Senilai dengan uang yang Anda keluarkan.",4
1, Kebun Indah,"Kami suka hotel kecil ini hanya beberapa kamar di taman-taman indah di jalan di bawah Jalan Hanoman. Begitu tenang namun dekat dengan banyak kafe dan toko, beberapa menit berjalan kaki ke Hutan monyet. Sarapan luar biasa dan staf dan layanan yang luar biasa. Kami telah tinggal di sini berkali-kali dan menyukai semua hotel bergaya Bali yang dikelola oleh grup Alam Indah. Selalu senang tinggal di sini. Sheila Adelaide",5
2, Kebun Indah,"Kami baru saja tiba kembali dari Bali di mana kami merasa senang tinggal di kamar Padi selama 5 hari. . . Wow luar biasa! Tinggal di Alam Shanti pada perjalanan pertama saya ke Bali, saya khawatir itu mungkin tidak sebagus, tapi saya pikir saya lebih suka di sini. Ini adalah jalan datar dari jalan utama melewati beberapa sawah, kamar-kamar berada di bukit sedikit dengan beberapa langkah. Pengaturan kolam di ujung sangat tenang dengan suara sungai yang lewat dan tepat di pusat Ubud yang sibuk.  Posisi bagus untuk Yoga Barn, Kafe, dan restoran favorit kami Cafe Wayan, bagian dari grup Alam Asia.  Ini adalah keramahan Bali yang terbaik, orang-orangnya sangat asli dan sangat baik, jika Anda ingin gaya tradisional Bali ini adalah tempatnya! Kamar spotlessly bersih, tempat tidur dan…",5
3, Kebun Indah,"Membawa keponakan saya ke salah satu tempat kecil favorit saya sehingga dia bisa berjalan sendiri dan menjelajahi Ubud. Makan enak di dekatnya dengan biaya terjangkau dan begitu sunyi begitu Anda berjalan menyusuri jalan menuju akomodasi.  Kami tinggal di Padma, yang memiliki balkon besar dan kamar mandi besar. Kami tinggal 8 hari dan itu hanya damai, santai dan berlokasi. Kami berdua harus bekerja, dan itu mudah dipasang di balkon dan bekerja dalam suasana yang santai sehingga tidak terasa seperti pekerjaan. Pada hari terakhir kami harus pindah ke Padi di Big House, yang sangat luas, tetapi kami tidak terlalu menikmati kamar mandi. Juga, para tetangga berpesta agak terlambat dan Anda bisa mendengarnya. Bukannya itu masalah. Kamar-kamar lainnya lebih tenang.  Sarapan selalu…",5
4, Kebun Indah,"Saya baru-baru ini menghabiskan 7 malam di kebun indah di Ubud. Kebun indah terletak di jalur setinggi 150 meter, jauh dari Pengoseken Rd yang sibuk, hotel ini terletak di taman yang indah dan memiliki nuansa dunia yang lebih tua. Aku tinggal di ruang Sandat yang gas pemandangan indah di area kolam. Kamar mandi luas dan ada banyak ruang untuk menggantung pakaian dll. Semua staf sangat ramah & sarapan lezat. Kebun indah memiliki banyak pilihan restoran dan kafe di dekatnya & hanya berjalan kaki singkat ke monyet Forrest. Itu adalah perasaan yang indah untuk kembali ke kamar saya pada sore hari untuk mengalami ketenangan taman dan untuk dilayani teh sore. Terima kasih banyak kepada staf untuk menjaga saya.",5
5, Kebun Indah,"Saya terus kembali ke sini. Jalan Pengosekan dan Ubud semakin ramai selama bertahun-tahun, tetapi Kebun Indah masih merupakan permata kecil yang tenang, jauh dari lalu lintas dan kebisingan. Masih ada sawah yang harus diwaspadai, tetapi sedikit lebih sedikit dari yang ada ketika saya pertama kali datang ke sini. Staf luar biasa - sangat membantu dan ramah. Banyak dari mereka telah berada di sini selama beberapa dekade. Semua pilihan untuk sarapan sangat baik. Pancake sangat baik. Satu-satunya penyesalan saya adalah tidak bisa tinggal lebih lama. Saya sangat suka tempat ini.",5
6, Kebun Indah,"Turun ke 3 bintang sekarang, setelah ulasan bintang 5 dari 2 tahun yang lalu. Apa perbedaan 2 tahun bisa buat. Staf yang hangat dan penuh perhatian tetap ada, namun kamar terbaik ""Padma"" telah kehilangan daya tariknya, sementara kamar-kamar lain juga menunjukkan pakaian mereka. Semuanya membutuhkan perbaikan, termasuk seprai, bantal, dan handuk. Lebih dari $ 100. 00 malam, kamar Padma terlihat sangat suram dibandingkan dengan hotel lain di kisaran harga ini. Satu negatif besar, adalah manajer properti yang berdampingan, yang secara teratur berpesta di larut malam tepat di sebelah ruang Padma!",3
7, Kebun Indah,"Selalu menyenangkan untuk kembali ke Kebun Indah dan disambut oleh orang-orang yang mengenali Anda, bahkan sudah hampir tiga tahun sejak saya tinggal di sini. Berhasil melihat Abang Yende pada hari pertama saya dan Ibu Molly pada hari ketiga saya.  Tinggal dua malam di Sandat dan memiliki kolam renang untuk saya sendiri untuk sebagian besar saya tinggal (mengejutkan, selain saya sendiri, hanya ada satu orang lain yang tinggal di resor pada saat itu). Namun, bisa melihat mengapa, karena semakin banyak B & B dan vila sedang dibangun di sepanjang Jalan Raya Pengosekan, merambah tanah di sekitar Kebun Indah.  Sandat masih bagus tetapi kasur busa itu melotot di beberapa tempat dan itu tidak terlalu nyaman untuk tidur setelah malam kedua saya. Ketika saya pindah ke Mangga Madu pada…",4
8, Kebun Indah,"Saya tidak bisa memuji segala sesuatu tentang hotel butik yang fantastis ini dan staf yang luar biasa yang bekerja di sana cukup! Saya memiliki tinggal yang indah dan hanya menyesal bahwa saya harus pergi. Sebenarnya saya hanya dimaksudkan untuk menginap 4 malam tetapi diperpanjang hingga 9. . . itu bagus! Tempat itu luar biasa, terletak di taman yang indah dengan kolam renang yang sangat bagus di daerah yang tenang tapi dekat dengan pusat kota. Kamar saya menghadap ke taman dan kolam renang dan sangat tenang dari lalu lintas. Satwa liar itu indah untuk ditonton dan didengar dan saya dekat untuk berjalan ke kota dan semua hal menarik lainnya terjadi di Ubud. Sarapan yang dibawa ke saya di beranda saya mungkin adalah bagian favorit saya hari ini. Staf yang luar biasa dan sangat…",5
9, Kebun Indah,Kami menginap 2 malam di kamar termurah - Kodok 1 dan membayar AU $ 55 per malam dengan bfst. Jika Anda memiliki pilihan Kodok 2 lebih baik karena memiliki taman kecil dan beranda tambahan dengan tempat tidur hari  Pro Posisi bagus di selatan Ubud - jauh dari kegilaan tetapi berjalan kaki ke segala sesuatu Staf yang ramah dan menyenangkan Taman-taman indah dan kolam renang bersih yang indah Kamar besar yang bagus - hampir villa Banyak fitur Bali - banyak karakter Bunga-bunga segar di kamar adalah sentuhan yang bagus Sarapan paling menakjubkan - yang terbaik dari seluruh perjalanan kami - jus campuran dan pancake pisang adalah untuk mati untuk!  Cons Kamar mandi membutuhkan sedikit perhatian dan dosis pemutih yang bagus Kasur perlu diganti - itu adalah satu busa bau tua: ( Tidak…,4
