,hotel,review,stars
0, Kecapi Villa Seminyak by Ini Vie Hospitality,"Saya menginap di kecapi selama dua hari, villanya bagus banget dan nyaman . Selain itu spot foto nya juga banyak banget lohhhh . Dari segi pelayanan juga staff nya sangat ramah dan membantu sekali selama saya stay😍😍",5
1, Kecapi Villa Seminyak by Ini Vie Hospitality,Tempat strategis bnyak restaurant yang berdekatan. Villanya besar dan nyamann  Poolnya besar bisa berenang dengan puass. staffnya ramah ramah. menginap di 3 bedroom. Sangat puass . Thankyou kecapi villa,5
2, Kecapi Villa Seminyak by Ini Vie Hospitality,thank you for the best hospitality untuk staff lamirkecapi a villa  kamarnyaa balinese style banget terus luas poolnya juga luas cocok banget buat keluarga apalagi tempat strategis trimaksi banyak kecapi,5
3, Kecapi Villa Seminyak by Ini Vie Hospitality,"Stay bareng keluarga di kecapi villa di daerah Seminyak selama 2 hari, untuk tempatnya sangat strategis dan villanya oke banget karena sudah ada private pool dan fasilitas lainnya yg memadai and thank you all staff sudah taking care my family selama stay. Will back soon",5
4, Kecapi Villa Seminyak by Ini Vie Hospitality,Stauaction bersama keluarga di Kecapi villa salah satu tempat yg di rekomendasikan temen” kalo ke Bali villanya cukup luas dan nuansa balinya ada banget  Staff service ramah bangat  Bakalan stay kembali kesini lagi,5
5, Kecapi Villa Seminyak by Ini Vie Hospitality,"Staycation di kecapi villa bareng temen cocok banget buat healing karena tempatnya sejuk, vibenya Bali banget, poolnya juga luas dan staffnya ramah dari pertama check in thank you all staff sudah taking care kami. Will back soon",5
6, Kecapi Villa Seminyak by Ini Vie Hospitality,"Stay di Kecapi Villa selama 3 hari 2 malam tentunya bikin fresh banget karena tempatnya asik dan juga bersih. Udara disini juga adem banget jadinya nyaman. Ditambah staffnya yang ramah dan cekatan, trima kasih sudah memberikan kita pelayanan yang baik. Will back soon",5
7, Kecapi Villa Seminyak by Ini Vie Hospitality,"Idul Fitri Staycation dikecapi villa bareng keluarga, seru dan healingnya dapet banget si poolnya yang luas, staffnya yang ramah cocok banget buat family time. Thank you all staff kecapi sudah taking care my familly. Thank juga Hemi selaku manajer. Will back soon",5
8, Kecapi Villa Seminyak by Ini Vie Hospitality,"Suasana Villa yang nyaman banget, suasananya juga romantis, jadi pengen berlama lama disini,terimakasih untuk pelayanannya dan keramahannya juga. Saat liburan nanti kami akan kembali lagi untuk tinggal beberapa hari sambil menikmati suasananya yg nyaman.",5
9, Kecapi Villa Seminyak by Ini Vie Hospitality,"Staycation di kecapi villa cocok banget buat family time, karena tempatnya luas, pokoknya juga luas dan tempatnya adem ditambah all staff disana ramah ramah dari pertama check in. fasilitasnya juga oke. Thank you Hemi selaku manager villa yg sudah taking care my family",5
10, Kecapi Villa Seminyak by Ini Vie Hospitality,"Villa yang sangat bagus dengan gaya classic dan berada di tempat yg sangat strategis di wilayah petitenget, saya dan pasangan saya sangat puas atas pelayanan di kecapi villa yg sangat baik, ramah dan juga fast response, terimkasih juga untuk buk hemi dan aditya yg sudah membantu saya selama stay di kecapi villa",5
11, Kecapi Villa Seminyak by Ini Vie Hospitality,"Kedua kalinya stay di kecapi bareng keluarga, stafnya selalu menyambut dengan keramahan mereka dan villanya ada garden dan juga poolnya luas cocok banget buat refreshing bareng keluarga atau teman. Thank you Hemi selaku manager sudah taking care my family and all staf yang sudah selalu membantu kami.",5
12, Kecapi Villa Seminyak by Ini Vie Hospitality,"Thank you Kecapi villa for your hospitality, stay selama 2 hari di kecapi bareng keluarga enjoy banget disana, semua staffnya friendly, thank you manda, aditya, akri sudah bantu kita selama stay dan juga hemi sudah taking care my family",5
13, Kecapi Villa Seminyak by Ini Vie Hospitality,"Nice villa in Bali, stay selama 2 malam sama temen. fasilitasnya oke, poolnya luas, gardennya juga luas cocok banget buat barbeque'an. Staffnya friendly dari awal check in sudah sangat membantu kami, thank you manda, aditya dan hemi selaku manager villa sudah taking care kita. Will back soon",5
14, Kecapi Villa Seminyak by Ini Vie Hospitality,"Cari cari villa di bali ketemu kecapi villa daerah kerobokan , villanya bagus recomend . Lokasinya juga deket wisata lainnya dekat kalau kemana - mana . staffnya humble dan membantu . akan balik lagi kesini.",5
15, Kecapi Villa Seminyak by Ini Vie Hospitality,menginap disini selama 2 malam bersama pasangan . sangat nyaman disini dan menyenangkan . kamarnya bersih dan tertata dengan rapi terdapat swimming poolnya juga . staffnya sangat membantu saat di perlukan dan juga ramah ramah . terimakasih kecapi villa✨,5
16, Kecapi Villa Seminyak by Ini Vie Hospitality,"Menginap di kecapi villa , sangat menyenangkan , saya sangat suka pelayananya ramah, apalagi staff nya, breakfastnya juga lezat, pokoknya rekomen banget buat nginep disini, room nya juga bersih dan harga terjangkau",5
17, Kecapi Villa Seminyak by Ini Vie Hospitality,"Menginap disini sangat menyenangkan, tempatnya strategis dan bersih, staff staff nya juga ramah. Dan saya sangat nyaman menginap di sini, breakfast nya juga enak, kamarnya bersih dan nyaman, harganya terjangkau",5
18, Kecapi Villa Seminyak by Ini Vie Hospitality,"Nice villa di bali, stay di kecapi villa bareng keluarga selama 2 hari seneng banget karena tempatnya strategis, fasilitas oke, WiFi kenceng, staffnya juga sangat membantu dari awal check in, thank you all staff udah taking care my family. Will back soon",5
19, Kecapi Villa Seminyak by Ini Vie Hospitality,"dari awal menginap disini dilayani dengan baik oleh resepsionis dengan protokol kesehantan yang sangat ketat. villa dengan private pool dan kamarnya bersih dengan aroma harum yang khas. staffnya sangat ramah dan membantu, akan balik lagi kesini menginap",5
20, Kecapi Villa Seminyak by Ini Vie Hospitality,"Lokasi villanya sangat mudah ditemui dan dekat dengan restoran, pantai, dan cafe hits di seminyak. Fasilitasnya lengkap, cocok untuk yang staycation dengan keluarga atau sahabat, villanya juga luas banget ada garden areanya. Terima kasih untuk mba Hemi dan staff lainnya sudah membantu kami selama menginap. Next bakalan balik lagi bareng keluarga",5
