,hotel,review,stars
0, Kokonut Coliving,"Semuanya sempurna. Kamar luas, nyaman, bersih, ac dingin, kamar mandi cukup luas, sofanya nyaman sekali, fasilitas sangat baik, tamannya private, orang-orangnya super ramah. Mbak mega sangat membantu saya waktu saya telepon untuk konfirmasi booking yang ternyata ada salah ruangan dari pihak agen travelnya. Tapi semua beres dan ga ribet. parkir luas. Pokoknya sangat cocok untuk keluarga atau grup.",5
1, Kokonut Coliving,"Kamarnya luas, sayangnya bau ga enak. Pengap:( Lampu juga kurang terang, kurang cocok untuk yang bawa pekerjaan tinggal disini. Apalagi saya dapat kamar 2303, tidak hanya harus naik turun tangga 3 lantai, tapi ornamen kamarnya berisi barang-barang koleksi pribadi. Sangat tidak Modern, bahkan terkesan HOROR. Sama sekali tidak sesuai dengan foto-2 yang ada di web.  Karena banyaknya barang dikamar, sehingga relatif berdebu dan membuat kamar menjadi kurang segar. Tapi view dari kamarnya sangat cantik.",3
2, Kokonut Coliving,"Konsep suites, penginapan sudah komplit ada ruang keluarga dan pantry.. suasana sangat nyaman skali, apalagi bersama family. Kebersihan jg ok, terletak d tmpt strategis.. hanya saja breakfastnya kurang variatif.. karena konsepnya bukan all yao can eat... tp overall... ok",4
3, Kokonut Coliving,"Thankyou kokonut, hotelnya bagus, lokasi strategis. Hanya yang kurang lift saja, lebih sempurna lagi kalo dilengkapi dengan lift supaya tidak naik turun tangga. Untuk lainnya sudah oke. Semoga kokonut suites dapat lebih maju dan semakin sukses. GBU",5
4, Kokonut Coliving," ruang bermain anak harus di renovasi dan di perbaharui atau diperbesar sepaya anak2 betah ada tempat bermain yang bagus, ruang sauna kalo bias di adakan, kalo perlu di buatkan lift supaya tamu yang stay di lantai 3 bias nyaman saat naik turun",4
5, Kokonut Coliving,"Tempatnta sangat strategis. Harga juga tidak mahal. Lokasiny sangat bagus sekali. Mau kemana mana dekat. Dan disekitarnya banyak tempat makan dan cafe yang enak. Para staff sangat ramah, dan sarapannya juara sangat enak dan lengkap>",5
6, Kokonut Coliving,"Kamar luas, kolam renang menyenangkan walaupun masih perlu sentuhan perawatan. Anak-anak saya sanagat senang tinggal di Kokonut Suites karna kamar yg luas dan area kolam renang yg menyenangkan dan hijau.... Tempat bermain anak2 masih perlu kembangkan...  ",4
7, Kokonut Coliving,sangat nyaman untuk menginap disini saat mengunjungi Bali. Lokasi cukup strategis. pelayanan oke. Namun tidak ada lift. Dan penerangan kurang. Tapi ruangan sudah sangat baik cocok untuk keluarga dan tidak bising,5
8, Kokonut Coliving,"Penginapan nya sudah bagus semua, minus lift. Kebersihan di ruang anak bermain kurang dijaga, ketemu bangkai cicak di mainan anak, tolong lbh di perhatikan. Tapi overall sangat memuaskan. Kalau ke bali lagi pasti kokonut suites pilihan pertama",5
9, Kokonut Coliving,"Hari pertama kami pilih Kokonut Suite. Hari itu adalah Wedding Anniversary kami. Dan saya koordinasi dengan Ibu Elis (kokonut) dan P. Herdy (living stone) untuk siapkan tart yg disimpan di kamar. Begitu kami tiba, surprise pertama buat istri adalah tart... Dan surprise selanjutnya buat kami dan anak2: ternyata pihak Kokonut memberikan hand bouqette dan honey moon room set up.. WOW!! Amazing!. Thanks Kokonut. Tempat bagus, nyaman. Lengkap. Dan cukup bersih. Sukses selalu. Dan terimakasih.",5
10, Kokonut Coliving,Suasananya oke. Sayang aja airnya suka mati dan kadang2 suka panas airnya walaupun sdh diputer ke arah air dingin. Lampu di ruang tamu juga kurang terang. Harga kamarnya agak mahal tapi masih dalam batas wajar.,3
11, Kokonut Coliving,"Lokasi yang strategis, apabila anda ingin berada dengan semua tempat wisata kuliner di sekitar seminyak dan pantai.  Jalan cukup padat, tapi kalau anda pencinta jalan kami, saya sarankan tempat ini. apalagi jika bersama keluarga, mereka mempunyai dapur sendiri,   Kebersihan kamar perlu di tingkatkan, kondisi tembok pembatas antara kamar hanya terbuat dari gypsum, sehingga suara dari kamar sebelah cukup terdengar dengan jelas, kolam renang tidak seperti gambar yang terlihat besar, akan tetapi cukup apabila hanya untuk berenang atau berendam sebentar,",4
12, Kokonut Coliving,"Saya uda beberapa kali menginap disini, dan sudah pernah merekomendasikan kepada teman2. Letaknya sangat strategis, dekat dgn coffeeshop, restoran, dan toko2 menarik lain, bisa dgn berjalan kaki. Bahkan akses jalan nya pun mudah dan juga dekat utk menuju ke area pantai.",4
13, Kokonut Coliving,"Saya dua malam nginap di sini.  Selama nginap saya tidak ada kendala apa apa. Kamarnya oke, halaman nya bersih ( kebetulan saya ambil garden view ) hanya saja air panas nya agak bermasalah. Sering mati hidup mati hidup. ",5
14, Kokonut Coliving,"Lebih ditingkatkan lagi untuk halauan binatang, halaman teras masih sering terlihat binatang seperti kadal dan ular dan menggunakan low frequency machine untuk menghalau cicak lebih baik karena lumayan banyak cicaknya",5
15, Kokonut Coliving,Terutama ketika menghadapi masalah cth: pipa air bocor 2x  -. Penjelasan yg tidak baik  -. Kl hanya 1x walau penjelasan dan permintaan maaf tidak selayaknya front office thdp customer msh tdk apa tapi tjd ke2 x di situasi yg sama sedang BAB & kami harus menunggu hingga air nyala yg di infokan 1jam agar bisa mandi pagi ditambah penjelasan front office sgt tdk baik itu sgt mengganggu liburan kami.  -. Handuk ditemukan noda / bercak kuning -. Sarapan nasi goreng : isinya sayuran saja tdk ada daging dan rasa agak hambar. ,3
16, Kokonut Coliving,"Kami tinggal selama 5 hari.. kamar sangat menyenangkan. Suasana kekeluargaan dapat di rasakan. Fasilitas dan perlengkapan dapur dapat di gunakan. Tidak memesan dengan breakfast, kami menikmati menu yang disajikan oleh livingstone, kafe yang terletak 1 lokasi di kompleks hotel. Kami juga mendapatkan kamar yang pool access. Kolam renang cukup besar, airnya pas.. tidak terlalu dingin, setiap pagi di bersihkan.. tengkyu kokonut suites.. tips kamar 2102.. pool access..  ",5
17, Kokonut Coliving,"Lokasinya bagus..kamarnya juga bagus lengkap dengan peralatan dapur, ada ruang tamu serta balkon yang menghadap view kolam..,pelayanan waktu check in juga sudah sangat bagus, dan harup tetap ditingkatkan untuk melayani tamu selama stay...  ",5
18, Kokonut Coliving,"kamarnya besar dan ada ruang tengahnya seperti model apartemen, kamarnya bersih, blm pernah coba sarapannya, tempat tidurnya enak, staff nya baik dan ramah, check in nya cepet, lokasinya bagus. Selalu menyenangkan nginep disana",5
19, Kokonut Coliving,"Kamar dengan perlengkapan dapur yang lengkap, kalau ga ambil breakfast bisa masak sarapan sendiri. Lokasinya pas ga di daerah macet tapi juga tdk terlalu sepi.  Kamarnya besar dengan harga yang masih cukup masuk akal. ",4
20, Kokonut Coliving,"Fasilitasnya bagus, sangat cocok untuk long-Stay. Saya berharap bisa kembali ke sini dengan Rate yang Bagus. Service-nya sangat tinggi terutama yang membawa saya ke Kamar. kamarnya bagus , kasurnya sangat nyaman, Lokasi sangat bagus untuk Cafe Hunter! ",5
21, Kokonut Coliving,"Hotel ini mempunyai lokasi yang cukup strategis, berada disebelah restoran-restoran yang bagus di kawasan ini.  Yang paling menarik adalah Sarapan Paginya di Kafe Mungil di depan hotel, Livingstone, Enak!! Staff-staffnya juga ramah dan bersahabat.  Bentuk kamarnya seperti apartemen lengkap dengan dapur dan perangkatnya, sehingga sangat cocok untuk berlibur bersama keluarga dan harganya sangat ""nyaman""di saku :)",4
22, Kokonut Coliving,"Dengan rate yang terjangkau (690.000 idr tanpa sarapan) kami mendapatkan fasilitas sekelas resort, dengan dapur, ruang tamu, dan pool access room. Juga adanya free shuttle area seminyak. Tanpa sarapan tidak masalah buat kami, karena esok paginya kami harus berangkat lagi ke bandara. Sangat puas dan enjoy meninap di sini. ",5
23, Kokonut Coliving,"Berliburan bersama 5 teman saya dan memilih room dengan 2 kamar tidur, ternyata kamarnya sesuai dengan yang ada terpampang di website. Ruang tamu yang luas, dapur nya bersih, dan balkon yang langsung menghadap kolam renang wahh komplit. Nah yang buat lebih ok lagi itu tempat breakfast dan resto2 yang berada di daerah sekitar hotel. Untuk breakfast nya langsung tancap ke Livingstone yang berada satu kompleks dengan kokonut suites ini, cafe nya nyaman dan pilihan breakfastnya mengugah selera. Kalau mau lunch atau dinner tidak perlu pusing lagi karena banyak resto terkenal yang patut dikunjungi antara lain: Metis, Cafe degan, Sardine, Barbacoa, dll. ",4
24, Kokonut Coliving,Nginep disini pas bulan madu sm pasangan. Tempat sih gak terlalu besar. Namun kamarnya luas. Lengkap ada kitchen set sm meja makan juga serasa rumah sendiri bs masak didalam. Untuk sarapan biasa. Sayang gak ada tamannya. Kolam renangpun gak terlalu besar.Overall saya puas dengan pelayanan sm kamarnya.,4
25, Kokonut Coliving,"tempat yang nyaman sangat cocok untuk liburan keluarga, dengan kamar yang cukup luas terdiri dari 1 tempat tidur besar dan 2 tempat tidur single dilengkapi dengan ruang tamu, dapur meja makan dan meja kerja.",4
26, Kokonut Coliving,"Tempatnya nyaman, pelayanannya memuaskan, cocok untuk honeymoon atau liburan bersama keluarga, untuk shuttle nya mungkin harus diperluas jangkauannya, sediakan penawaran paket wisata menarik di resepsionis",4
27, Kokonut Coliving,"Kamar yang luas bergaya modern dilengkapi dengan dapur cocok untuk liburan bersama keluarga. Lokasinya pun strategis di daerah Seminyak, dekat dengan restaurant top rated. Servisnya pun lumayan memuaskan. Overall, worth the money.",4
28, Kokonut Coliving,"4 JEMPOL UNTUK LOKASI Hotel ini berada lokasi gaul anak Jakarta dan bule bule harum, alias Seminyak, yang terkenal dengan bermacam restoran dan kafe dan club dan beach club dan toko hits sekaligus terkenal dengan macetnya ketika musim liburan (baca: Lebaran, Natal, Tahun Baru, Imlek, liburan anak sekolah, 'libur bonus' long weekend...pada dasarnya seringan macetnya daripada enggaknya). TETAPI kehebatan si Kokonut ini, dia bisa cakep banget posisinya, yang artinya kalau mau ke bypass Sunset Road hanya perlu 3 kali belok dan tanpa melewati zona macet yang gak ada macetnya itu. Jadi begini, keluar dari hotel beloklah ke kanan, lalu di perempatan beloklah lagi ke kanan ke Jln. Kerobokan, lalu beloklah ke kiri...sampe deh di Sunset Road! Lalu kalo mau gaul ala Seminyak, keluar dari…",3
29, Kokonut Coliving,"Kamar yang luas dengan gaya apartement cocok untuk keluarga. Sayangnya saya datang untuk perjalanan bisnis. Lokasi yang sangat dekat dengan restaurant, bar dan pantai.  Para staff sangat ramah dan membantu. Mereka selalu tersenyum. Jangan lupa untuk menikmati sarapan pagi di restaurant di depan hotel yang menjadi bagian dari hotel ini. Supeeeeeer lezat.",3
30, Kokonut Coliving,"Pertama saya melihat design dan bangunannya dari website saya tidak menyangka bahwa ruangannya akan sebagus ini, sangat cocok utk tgl perorang maupun keluarga. Sangat minimalis dan efektif dengan perabot yg menunjang dan penataan yg kreatif ditambah adanya cafe yg pas pd bagian depan hotel.",4
31, Kokonut Coliving,"lokasi sangat dekat dengan restaurant2 dan bar di seminyak dan krobokan, harga sangat reasonable. bukan di area yg macet...service memuaskan, saya sudah berkali2 menginap disini setiap ke bali. horel ini benar2 saya rekomendasi utk menginap",4
32, Kokonut Coliving,"Hotel ini adalah yang ketiga kami selama tinggal dua minggu tinggal di Bali. Para staf yang baik, tidak bisa merasa cukup untuk anda, sangat ramah, akan berhenti walau apapun yang sedang mereka kerjakan untuk menyapa anda dengan halo dan senyum cantik khas Bali. Hotelnya sendiri sangat nyaman, kamar yang simpel dan bersih lengakap dengan apapun yang anda butuhkan. Catata: Tangga hanya untuk ke lantai atas. Kolam renangnya sangat menyenangkan dan tenang, disana ada pemesanan tempat yang menurutku adalah ide yang bagus, handuk renang di tangan, tempat duduk yang sangat nyaman, tempat berjemur, banyak tempat yang teduh.Kami tidak menggunakan spa, karena di waktu yang kami inginkan sudah penuh. Disana ada beberapa tempat pijat di luar hotel yang bagus dan murah. Kami sarapan di…",4
