,hotel,review,stars
0, Kubu Cempaka Seminyak,"Di Seminyak yang bising dan sibuk, Kubu Cempaka adalah oasis ketenangan. Taman-tamannya indah, dan sarapannya lezat. Kamarnya tidak terlalu besar, tetapi mereka nyaman. Bagi mereka yang suka berenang, kolam itu besar; namun demikian air agak terlalu hangat untukku. Semua dalam semua, saya pikir lokasi itu fantastis, dan saya akan kembali ke sini lagi.",5
1, Kubu Cempaka Seminyak,"Saya sudah mengunjungi hotel ini sudah lebih lama. Tingkat harga / kualitas yang sangat baik. Mereka menjaga tempat itu dengan sangat baik. Saya suka tempat ini, karena itu kecil (21 kamar), staf yang sangat ramah dan bagi saya lokasi yang sempurna (cukup luas dan 5 menit berjalan kaki di bagian yang sibuk). Restoran yang sangat bagus dekat dengan hotel.",5
2, Kubu Cempaka Seminyak,"Saya dan istri saya telah tinggal di sini pada tanggal 9 hingga 15 September. Secara keseluruhan kami sangat puas dengan layanan, fasilitas, dan keramahtamahan. Setiap orang yang terkait dengan hotel ini sopan dan penuh kasih sayang. Pantai laut dan tempat-tempat pesta dan acara lainnya berjarak sekitar 15 menit berjalan kaki dari hotel tapi itu tidak masalah bagi kami karena kami sedang mencari tempat yang damai dan jauh dari hiruk-pikuk. Suasananya sangat sederhana dengan kamar kami yang nyaman, halaman rumput yang terawat, kolam renang kristal, semua dilengkapi dengan fasilitas terbaik. Fitur mewah mewah seperti hotel berbintang tinggi mungkin tidak hadir, tetapi yang terbaik dari semua persyaratan dasar seperti kebersihan, layanan, dan senyum di setiap dan semua hotel yang…",5
3, Kubu Cempaka Seminyak,"Saya membuat pemesanan online melalui agen. Status reservasi dikonfirmasi dan dibayar secara online penuh. Saya terkejut ketika saya tiba di Kubu Cempaka sekitar pukul 8. 15:00, agen resepsionis mengatakan kepada saya bahwa ada 2 reservasi agen perjalanan besar yang mereka tidak hormati walaupun dengan reservasi yang dikonfirmasi.  Saya tidak tahu apa yang terjadi di baliknya, tetapi saya sebagai pelanggan, malu dengan situasi ini.  Pada saat saya sedang menulis tinjauan ini (17 Agustus 2019) kamar masih tersedia di dua agen perjalanan yang disebutkan. Jika Kubu Cempaka menolak kedua perusahaan itu, mereka harus membersihkan ketersediaan pada 2 agen tersebut, tetapi sekarang masih tersedia untuk dipesan.  Saya harap ini tidak akan terjadi lagi pada tamu lain.  Penerimaan tamu…",3
4, Kubu Cempaka Seminyak,"Kami tiba di malam hari dan harus berubah menjadi gang gelap. Saya langsung berpikir: Apa yang saya dapatkan di ""lol. Saya SALAH.  Pagi berikutnya kami melihat keindahan bangunan yang terawat baik. Tampak persis seperti gambar. Ini sangat aman, sangat baik terletak - cukup dekat untuk keramaian dan hiruk pikuk tetapi cukup jauh juga.  Di jalan yang sama seperti Bali Joe dan Campur dengan baik tetapi di ujung yang lebih tenang.  Kamar itu besar. AC bekerja dengan baik. Tidak terlalu banyak ruang di hotel ini yang bagus. Kecil dan menengah.  Sarapan sekarang wow tapi tidak buruk juga.  Alasan sangat baik disimpan. Kolam renang sangat bersih. Staf adalah teman dan sangat membantu. Harga wajar.  Semua seutuhnya. Saya senang tinggal di sini. Akan tinggal di sana lagi jika saya datang…",5
5, Kubu Cempaka Seminyak,"Yah, kami kembali lagi tahun ini untuk menikmati pantai dan menginap di hotel ini yang kami temukan sebagai tempat peristirahatan yang indah. Kamar-kamarnya sempurna bagi kami, pasangan yang bepergian, yang menikmati masa inap yang damai di fasilitas modern dari waktu ke waktu. Layanan dan sarapan sangat baik. Kami akan kembali untuk menyelesaikan petualangan Bali kami sebelum kami terbang. Ini bekerja dengan baik untuk kami dan staf selalu mengakomodasi untuk kami warga senior.",5
6, Kubu Cempaka Seminyak,"Ya, kami bisa tinggal di tempat-tempat yang lebih glamor di Seminyak, tetapi kami terus datang kembali karena bersih, tenang dan nyaman, dan stafnya ramah. Terima kasih khusus kepada Poppy, Malany dan Ayu, seperti biasa.",5
7, Kubu Cempaka Seminyak,"Saya mengunjungi hotel ini pada 3 Februari 2019 selama 3 malam. Hotel ini menawarkan pengalaman yang luar biasa bagi saya dan suami saya. Kami puas dengan kunjungan kami. Stafnya luar biasa dan sangat membantu. Kamarnya bersih dan nyaman untuk menginap. Lokasi strategis, berjalan kaki ke keramaian Seminyak. Mereka memiliki tempat parkir gratis.",5
8, Kubu Cempaka Seminyak,"Kami telah menikmati hotel yang dikelola keluarga ini sejak dibuka empat tahun lalu, dan kami masih selalu menyebutnya rumah ketika kami berada di kota Lokasi sempurna dan jauh dari jalan-jalan Seminyak yang sibuk, namun cukup dekat dengan pusat perbelanjaan dan kafe staf dan manajemen benar-benar menyenangkan, antusias muda dan selalu senang menjaga Anda, hotel besar, orang-orang hebat, harga bagus,",5
9, Kubu Cempaka Seminyak,"Terletak di tempat yang tenang dan tenang, hanya beberapa menit dari keramaian jalan utama Seminyak, ini adalah hotel yang bagus. Tinggal di sana selama 4 hari dan menyukainya. Staf hotel yang damai dan luar biasa. Porsi sarapan sangat kecil meskipun yang mengecewakan tapi semuanya hebat!  Harap tingkatkan porsi sarapan Anda sebagai sangat kecil!",4
