,hotel,review,stars
0, La Mira Villa Seminyak by Ini Vie Hospitality,"Wah , untuk staffnya sangat membantu selama stay , kamarnya oke ada hammock dan sudah termasuk private pool cocok untuk villa keluarga  Kita booking yg 2bedrooms villa  Kita juga coba floating breakfast , mantap pokoknyaa 🫶🏻🫶🏻🤍🤍",5
1, La Mira Villa Seminyak by Ini Vie Hospitality,"Terimakasih sudah memberikan pelayanan yang sangat memuaskan dan staff nya jug ramah-ramah. Kamar yang saya book juga sangat luas sesuai ekspektasi saya. Villa nya juga lengkap dengan alat makan dan private pool nya. Overall semuanya bagus and perfect, thanks ya!!",5
2, La Mira Villa Seminyak by Ini Vie Hospitality,"Saya stay selama 2 malam dan villanya nyaman, bersih dan juga sejuk banget. Happy banget stay disini. Pelayanannya ramah dan baik banget. Next akan kembali lagi kesini dengan keluarga. Thanks lamira villa",5
3, La Mira Villa Seminyak by Ini Vie Hospitality,Villanya recomended bgt nyaman dan tenang cocok untuk buat liburan pelayanan. nya bagus ramah staff dan housekeepingnya tmptnya tidak jauh dr seminyak satu lagi wifi kenceng ada netflix juga jd bagus ,5
4, La Mira Villa Seminyak by Ini Vie Hospitality,"Staycation yg di recommend salah satu teman yang sudah stay di sini , villanya nyaman di tempati  Staffnya juga ramah dan membantu kalo perlu sesuatu  Cocok apalagi kita stat di 3brdroom luas dan ada waterslidenya",5
5, La Mira Villa Seminyak by Ini Vie Hospitality,"Saya menginap di lamira selama 2 malam, pelayanannya baik banget, untuk kamarnya bersih, rapi dan indah. Udaranya juga sejuk kebunnya bagus. Terimakasih untuk Kak trisna dan Kak gekmas yang sudah memberikan service terbaik.",5
6, La Mira Villa Seminyak by Ini Vie Hospitality,"villanya sangat bagus cocok buat liburan bersama keluarga,privat pool,menu breakfast dan lain"" juga ada jadi tidak perlu lagii menanyakan sebagus apa villa ini,dan pasti jika menginap dsni bkalan betah.",5
7, La Mira Villa Seminyak by Ini Vie Hospitality,"Menginap di La mira Villa selama 3 malam di 2 bedroom Villanya di recomend smaa temen yg sudah stay disni  Pertama kali stay villanya berasa seperti di rumah sendiri nyaman dan jauh dari keramaian, fasilitas lengkap seperti kitchen  Dan juga staff service yg sangat membantu 💕",5
8, La Mira Villa Seminyak by Ini Vie Hospitality,"Saya dan keluarga sangat senang berlibur di villa lamira,karena di sana fasilitasnya sangat bagus apalagi di sana viewmya sangat bagus untuk berlibur bersama keluarga,dan yang saya sukai itu staffnya ramah yang bernama agus dwi,yuk buruan liburan bersama teman,keluarga,pacar dijamin kalian bakalan puas dengan villanya sekian dan terimakasi🙏🏻🤗",5
9, La Mira Villa Seminyak by Ini Vie Hospitality,"Villa ini sungguh luar biasa , memberi kesan yang fantastis , good job untuk para staff dalam melakukan kebersihan 👍🏿 Staff fo yang ramah dalam melakukan warm wellcome , saya tertarik untuk menginap disini lagi",5
10, La Mira Villa Seminyak by Ini Vie Hospitality,"First stay di Lamira Villa, pelayanan oke banget, villanya juga bagus, bersih sejuk juga oiya kami sempet sewa floatiesnya juga mereka juga available untuk jasa spa, laundry dan lainnya. Next akan stay lagi disini. Thnkyou lamira villa",5
11, La Mira Villa Seminyak by Ini Vie Hospitality,Liburan kali ini saya bersama keluarga stay di lamira villa untuk 2 malam. Villanya nyaman bersih dan asri. Pelayanannya oke banget all staff friendly dan cepat tanggap membantu kami. Thanks lamira villa next akan kembali lagi 💯😊,5
12, La Mira Villa Seminyak by Ini Vie Hospitality,"Akhirnya bisa holiday lagi setelah covid. Kami stay di Lamira Villa untuk 2 malam. Kamarnya besih, nyaman dan ada alexa nya juga pelayanannya juga bagus. Mereka juga ada spa, jasa transport, laundry dan banyak lagi. Thank you lamira villa for stay experience! Keep up the good service💯❤️",5
13, La Mira Villa Seminyak by Ini Vie Hospitality,"Over all furniture yang ada di vill sngt bagus dan nyaman. Disetiap villa ada privat pool nya, bagian kitchen juga sudah disiapkan alat masak. This is amazing villa, ini jug first time saya stay disini. Tapi villa nya sangat luar biasa bagus mulai dari pelayanan hingga staffnya We're really love this villa!!",5
14, La Mira Villa Seminyak by Ini Vie Hospitality,"Stay kesekian kalinya di Lamira always happy, untuk liburan kali ini saya stay 2 malem dan dapet di villa 831. Kami juga sewa floating breakfast dan floaties soalnya bawa anak - anak juga. Untuk kolam renang kedalamannya 1.5 meter jadi pas untuk dewasa atau anak - anak juga oke. Next akan coba villa 851 yang ada water slidenya. Dabest pokoknya ❤️",5
15, La Mira Villa Seminyak by Ini Vie Hospitality,"Saya dengan keluarga holiday ke Bali dan booking kamar di Lamira Villa. Kamarnya luas,  area villa bersih dan juga ada aroma terapi yang baunya wangi. Senang sekali bisa liburan lagi setelah covid. Terima kasih untuk pelayanannya yang luar biasa. Next akan balik lagi..",5
16, La Mira Villa Seminyak by Ini Vie Hospitality,"Nice villa in Bali, stay di La Mira villa with keluarga selama 2 malam oke banget si tempatnya adem, kamar dan poolnya luas ditambah staff yang friendly dari awal check in dan sangat membantu kami, thank you all staff sudah taking care my family. Will back soon",5
