,hotel,review,stars
0, Loft Legian Hotel,So far pelayanan oke dan kamar nyaman. Lokasi strategis untuk kemana saja dengan jalan kaki. Cmn kurang bagusnya bbrp kmr masi byk serangga sperti kecoa kecil. Bntu dibasmi yha agar customer nyaman tidurnya.,4
1, Loft Legian Hotel,"Lokasinya sangat strategis gampang kalo mau pergi ke mall dan pantai deket banget dari hotel, staffnya ramah banget , kamarnya bersih dan rapi dan pelayanannya sangat bagus... gag rugi milih LOFT sebagai hotel pilihan untuk holiday.  recommended banget :)",5
2, Loft Legian Hotel,"Nice room with nice staff ,sebenarnya udah dua kali menginap disini dan gak pernah mengecewakan tapi untuk parkir mahal bgt dan setiap ambil mobil terus di mintain huhu ,waktu itu gak sempet bf jadinya gak tau makanan nya gimana thanks loft hotel",5
3, Loft Legian Hotel,Aslinya saya nginep di Loft Nov 2014 ber2 sama temen. 3 malem. Hasilnya 👍👍 dapet kamer di Lantai 1. Kamar + kamer mandinya bersih & gede. Shower asik banget. Hampir semua puas kecuali ruangan yg ga kedap suara jd berasa di kos-kosan kedengeran suara di lorong & kamar tetangga. Ga ada sendal hotel. Staff ramah. Lokasi deket ke pantai. Wifi oke. Minus tempar parkir jadi sewa motor parkirnya di sebrang bayar per hari. Saya rekomenin hotel ini 👍,4
4, Loft Legian Hotel,"Lokasinya bagus, mau ke pantai Legian/Kuta bisa jalan kaki aja. Sekitarnya banyak minimarket. Roomnya spacey, cukup luas, bersih dan rapi. Cuma gw kurang suka dim light ya, trus ga ada kaca di kamar, adanya di dekat kamar mandi. Dan yg plg penting, g punya tempat parkir. Jd klo dijemput or pesen taksi online, musti cepat2. Overall klo butuh hotel cuman buat mandi/bobo, Loft ini oke lah",4
5, Loft Legian Hotel,"1. So worth it. Harga terjangkau dengan design hotel yang modern, bersih, lokasi dekat buat ke Pantai Kuta, makan siang ada resto padang halal jalan beberapa meter, dan didepan ada pasar oleh-oleh kecil.  2. Extra bed 75k/person/night.  3. Tenang ga berisik dari bar memang family friendly.  4. Kurangnya kaca cuma di kamar mandi. Jadi susah buat guest yang butuh kaca, ga ada parkir jadi kalo ada yang jemput/antar mesti cepet2 masuk kendaraan untuk menghindari macet atau tukang parkir depan ngamuk. lol. ",4
6, Loft Legian Hotel,"hotel yang cocok untuk bulan madu dengan budget rendah, lokasi hotel dekat dengan pusat perbelanjaan, kamar nyaman dan bersih pengalaman yang tak terlupakan di pulau dewata dengan receptionis yang ramah, kebetulan satu daerah dengan saya orang sumatera, satu kekurangannya lahan parkir yang kurang luas",4
7, Loft Legian Hotel,Resepsionis sangat ramah dlm proses check in malah disajikan minuman.. Dan harga buat back packer pas.. Kamar slalu dibersihkan tiap hari.. Verry recommended lah... Dekat dgn pantai kuta dan pusat perbelanjaan legian..,4
8, Loft Legian Hotel,Lokasi hotel kurang strategis karena terletak di jalan yg searah sehingga untuk sampai tujuan hrs berputar melewati jalan yg ckp padat...Hotel tidak mempunyai tmpt parkir sendiri untuk tamunya sehingga untuk tamu yg membawa mobil sangat tidak nyaman karena tempat parkir yg disediakan hotel cukup jauh...Untuk semua tipe kamar tidak disediakan perlengkapan kamar mandi yg mnrt saya ckp penting yaitu sikat gigi dan odol...Untuk pelayanan cukup ramah dan baik...keadaan kamar dan kamar mandi bersih dan rapi...,3
9, Loft Legian Hotel,"Hotelnya sangat nyaman dg harga yg terjangkau,menginap disini selama 4 hari sangat memuaskannnn ❤❤❤ kamar selalu wangi, rapi, staf sangat baik dan ramah..waktu dtg dikasih gelang couple dan welcome drink ..the best hotel ever 👍👍👍",5
10, Loft Legian Hotel,"hotelnya dari luar sih tidak tampak besar tapi kalau kamar luas lho dengan harga yg dibayar sangat cocok banget.Di lobby juga ada kedai kopi.Kalau staff uda ga bisa dibilang lagi ramah2 semua dan baik2 lagi.Suka sekali tinggal disini,next ke Bali mau lagi ah tinggal sini.oh iya lokasi juga strategis banget kemana2 apalagi ke pantai legian.rekomen banget deh",4
11, Loft Legian Hotel,Pas pertama datang dikasih welcome drink satpam membantu banget.  Namun pas pertama mau masuk kamar lorong lantai 1 kurang penerangan.  Dalam kamar juga sama kurang penerangan fasilitas hotel kurang tidak ada apa2. Mohon ditingkatkan lagi fasilitas hotel nya 😊,3
12, Loft Legian Hotel,"kamar nyaman, pelayanan baik, ramah, bersih, makanan juga lumayan enak bervariasi, recomended deh, lokasi cukup strategis , very good, harga cukup terjangkau, dan dapat braclet lucu, thankyou Loft Legian. ",4
13, Loft Legian Hotel,"Semuanya baik, tata ruang, kebersihan, kelengkapan, harga oke.. hanya ada beberapa koreksi untuk meningkatkan kualitasnya: Lantai dan marmer di tempat mandi sepertinya tidak pernah dibersihkan Menu sarapan lumayan tapi terlalu monoton",5
14, Loft Legian Hotel,"Hotelnya simpel, kamarnya bgs ga besar ga kecil juga, fasilitas kamar lumayan oke cuma ketel utk masak air panas harus minta ke receptionist, kebersihannya jg oke. Hanya sayang tidak ada parkirannya, utk parkir motor saja harus parkir di seberang jln dan harus bayar lagi seharusnya sudah fasilitas dari pihak hotel. But overall sih okelah, lokasinya strategis mau kemana2 dekat.",4
