,hotel,review,stars
0, M Boutique Hostel,"Kamar kapsulnya juga bersih & nyaman. Tiap kapsul punya locker & kunci akses masing masing. Harga kamar kapsul juga terjangkau.  Konsep utama hostel sangat nyaman dengan model kamar kapsul yang memberikan suasana hangat dan santai untuk semua orang. Fasilitas yang disediakan juga nyaman, ada WiFi gratis, Free Coffee & Tea, Hot Showers, resepsionis 24 Jam yg selalu siap melayani kita, dan ada ruang makan.  juga beberapa buku dan permainan papan, belum lagi kolam renang dan teras dengan warna-warni. Kita juga berkesempatan bertemu dengan dengan teman-teman baru dari berbagai negara, wilayah, dengan karakter yang berbeda. Dan akses dari hotel juga gampang. ",5
1, M Boutique Hostel,"96% yang menginap disini adalah Backpacker Mancanegara. Saya satu-satunya orang lokal kala itu. Tapi reseptionist tidak membeda-bedakan pelayanan seperti di beberapa tempat di Bali pada umumnya (yang baiknya cuma sama Bule doang :P).   Begitu sampai kami langsung diberikan kunci loker (untuk menyimpan barang, namun karena tas saya yang lebih besar dari ruang loker yang disediakan alhasil saya hanya meletakanya begitu saja di sekitar Bunk bed & aman! Selain loker kami juga diberikan kartu akses untuk masuk ke Bunk Bed & handuk bersih yang nantinya harus dikembalikan ketika check out.  Kesan pertama saya terhadap Hostel ini. Perfect! Lebih dari Hotel euy fasilitasnya. Harga sangat terjangkau dengan fasilitas yang sangat lengkap, dengan lokasi strategis (berada di pusat Seminyak).…",5
2, M Boutique Hostel,"Saya sangat senang tidur di hostel ini. Ada kolam renang kecil yang bagus tepat di seberang asrama. Asrama dibagi, tetapi Anda memiliki 'kabin' Anda sendiri di mana Anda tidur dan rasanya seperti kamar pribadi Anda. Selain itu, semua fasilitas bersih dan terawat dengan baik. Senang bertemu orang baru sebagai solo traveler",4
3, M Boutique Hostel,"Saya senang tinggal di sini! Saya bertemu teman-teman yang luar biasa, yang akan saya hargai selamanya. Ada kolam renang luar ruangan dengan bean bag, dan meja jadi bergaul dengan wisatawan lain sangat mudah dan menyenangkan. Lokasi bagus dekat dengan semua pasar serta pantai. Namun, banyak kapsul, banyak ransel di mana-mana, semua orang mendapatkan loker besar sehingga Anda dapat memuat sebagian besar barang-barang Anda di dalamnya. Pod dengan spasi bagus",5
4, M Boutique Hostel,"Perangkap kematian potensial karena 43 kapsul membentuk asrama utama - dengan hanya satu pintu keluar. Bayangkan api dalam skenario ini di mana HANYA keluar diblokir dengan 43 orang terjebak di dalam di malam hari. Tidak ada alat penyiram yang saya lihat. Ingatlah kapsulnya kecil dan diisi dengan tempat tidur yang mudah terbakar, dan stop kontak untuk mengisi daya ponsel dan bank daya, dll. Ada alat pemadam api di asrama, yang berwarna hitam, dan diselipkan di sudut ke dinding hitam.  Kamera keamanan di dalam kamar asrama jadi hanya privasi di dalam kapsul. Meskipun itu membuat barang-barang Anda lebih aman. Wifi bekerja dengan baik. Kolam renang yang bagus. Kamar mandi dan toilet bisa jauh lebih bersih. Sarapan sampah - hanya irisan roti murah dengan beberapa selai murah untuk…",1
5, M Boutique Hostel,"Hal pertama yang mereka katakan pada kami pada saat kedatangan adalah 'jika Anda kehilangan kartu kunci, Anda membayar 100 k. Jika Anda kehilangan kunci loker, Anda membayar 50 k '. Sangat tidak ramah.  Ruangan itu baik-baik saja, bersih dan gelap dengan kapsul yang berguna. Mandi yang bagus. Teras besar untuk mengeringkan bikini dan kolam renang yang nyaman. Termasuk sarapan sangat dasar (roti dan selai).  Semuanya baik-baik saja, tetapi begitu Anda menginginkan sesuatu yang lebih, Anda harus membayar. Ketika kami meminta saran tentang tur, yang mereka lakukan hanyalah mencoba menjual supir mereka sendiri.",3
6, M Boutique Hostel,"Staf sangat ramah dan membantu. Akomodasi bagus karena polong memberikan privasi jika Anda menginginkannya - tetapi orang-orangnya sangat ramah dan bertemu dengan beberapa orang baik di sana? satu-satunya masalah adalah kebisingan dari tempat arcade di sebelah, jadi jika Anda berencana tidur sebelum jam 10 malam - itu agak sulit.",4
7, M Boutique Hostel,Tinggal selama 4 malam dan bertemu banyak orang (kebanyakan muda). Hostel ini memiliki kolam renang yang sangat tidak biasa. Kapsulnya sangat pribadi. Ada sebuah bar di samping asrama tetapi kebisingannya dapat ditoleransi.,5
8, M Boutique Hostel,"Saya bepergian sendirian di Bali dan setelah hostel Ubud yang hebat saya mencoba mencari yang sama di Seminyak. M boutique adalah tempat yang indah di mana semua orang berbicara dengan semua orang. Tempat tidur sangat nyaman dan memiliki banyak privasi di asrama besar. Dekat dengan pantai dan klub Potato Head Beach yang terkenal. Jika saya harus mengatakan sesuatu, saya akan merekomendasikan mereka untuk memperpanjang kemungkinan sarapan dengan sereal.",5
9, M Boutique Hostel,"Saya sangat menikmati masa tinggal saya di sini! Staf sangat baik dan bermanfaat. Mereka sangat pekerja keras. Jujur saya suka segalanya tentang hostel ini. Saya tinggal di sini selama seminggu, dan saya akan kembali jika saya di Indonesia lagi. Saya juga akan merekomendasikan tempat ini untuk semua orang dan semua teman saya! Terima kasih telah membuat masa menginap saya menyenangkan! Saya sangat suka bersantai di kolam dengan bean bag begitu saya bangun, terkadang lingkungan yang bagus membuat saya malas pergi keluar untuk menjelajah haha: -) loooove! ! ?",5
10, M Boutique Hostel,"Saya tinggal di sini selama sekitar 7 hari. Tempat tidur dan suhu di kamar bagus, AC berjalan 24/7. Kebersihan untuk area umum tidak apa-apa kecuali lantai toilet membutuhkan pembersihan yang dalam. Stafnya sangat membantu dan ramah. Saya telah bertemu banyak wisatawan yang luar biasa, Anda dapat nongkrong di meja dekat kolam renang dan hanya bersantai.",4
11, M Boutique Hostel,"Aku tinggal selama tiga malam di asrama khusus perempuan dan memiliki tinggal yang indah. Saya menemukan tempat tidur benar-benar nyaman dan dua bantal adalah plus. Ada colokan dan port USB di dalam Anda 'pod' jadi ini sangat berguna. Segera setelah Anda meletakkan blind down Anda memiliki privasi sehingga terasa sedikit seperti ruang Anda sendiri. Kamar mandi cukup bersih. Sarapan sangat dasar, roti, menyebar, teh, kopi tetapi untuk harga tidak bisa benar-benar mengeluh. Saya menemukan lokasi yang baik untuk, di sekitar banyak bar dan restoran yang bagus dan sepertinya selalu ada pengandar untuk tidak jauh jika Anda membutuhkan taksi. Saya sudah memesan lagi untuk kembali di akhir perjalanan saya. Saya sangat menikmatinya.",5
12, M Boutique Hostel,Tempat ini amazin! Anda dapat mencapai canggu dan kuta dalam waktu 15 menit dengan sepeda. Pengemudi ambil selalu dalam 5 menit untuk menjemput Anda. Makanan enak di sekitar hostel. Staf luar biasa. Saya benar-benar merasa seperti di rumah.,5
