,hotel,review,stars
0, Manca Villa Canggu by Ini VIe Hospitality,"Pelayanan sangat ramah' terutama mba yg di Receptionist, staff pembersihan kamar juga sigap membantu saat kami membutuhkan pertolongan,, Villa romantis di area Canggu. Cocok untuk honeymoon atau sekedar staycation bersama keluarga tercinta. Kami akan kembali suatu saat. Trimakasih untuk pelayanannya",5
1, Manca Villa Canggu by Ini VIe Hospitality,Villanya bagus dan dan bersih. Staffnya juga ramah dan inisiatif. Villa ini juga bagus banget buat acara kumpul keluarga atau prom night bareng temen karena tempatnya yang strategis. Recommended lah 🌷🌷🌷,5
2, Manca Villa Canggu by Ini VIe Hospitality,"Villanya bersih dan rapi, staff2 nya baik dan sangat membantu, buat kalian yang mau staycation deket sama pantai bisa banget disini,pokonya tempatnya strategis, cocok juga buat kalian yang pengen honeymoon recomend bgt dehh🤍🤍",5
3, Manca Villa Canggu by Ini VIe Hospitality,"villanya bagus, kamarnya luass ada private pool dan living room juga dikamarr,, cocok untuk pasangan yg ingin bulan madu di daerah canggu. rekomended pokoknyaa, staffnya juga ramah ramah banget disini",5
4, Manca Villa Canggu by Ini VIe Hospitality,"Villanya sangat bersih, rapi dan nyaman. Pelayanannya juga sangat memuaskan. Makanannya juga enak"", deket dengan cafe dan pantai hits di Canggu. Villanya berkonsep hneymn, cocok bgt untuk pasangan yg mau merayakan hari yg special👍👍",5
5, Manca Villa Canggu by Ini VIe Hospitality,"villa yg sangat bagus dan di tengah2 pusat kota, pelaynan sangat bagus sekali dan ramah, di sini saya bersma pasngan saya holiday. pas bertpn dengan birhtday pasngan saya. tidak menyka di kasi kejutan oleh pihak villanya, sangat luar biasa sekali, pokonya recomnd bangt yg mau holiday di manca villa",5
6, Manca Villa Canggu by Ini VIe Hospitality,"Merayakan anniversary kami yg pertama di manca villa, banyak kejutan yg di kasi, dan istri saya sangat suka, pelayanan yg sangat ramah selalu menyapa kami, dan kebersihan villa sangat bagus dan kolam renang yg sangat bersih.",5
7, Manca Villa Canggu by Ini VIe Hospitality,"sangat puas, dan nyaman stay di manca villa, karna villa sangat bagus. bersih, nyaman pelayanan juga sangat ramah. dan lokasi sangat bagus di tengh2 pusat kota, saya di sini sangat nyaman dan akan balik lagi ke manca villa. karna villa yg sangat recomend",5
8, Manca Villa Canggu by Ini VIe Hospitality,"Pelayanan sangat ramah Dan baik, sangat nyaman, rekomendasi untuk honeymoon, the best untuk pasangan yang menikmati suasa yang intimate, dengan suasana tenang Dan damai cocok juga untuk yang ingin punya waktu untuk sendiri",5
9, Manca Villa Canggu by Ini VIe Hospitality,"ini bukan pertama kalinya saya stay di aeera villa, tempatnya sangat nyaman, pemandangan sawahnya juga cakep banget. ohiya untuk di villa sangat bagus banget dengan private poolnya yg cakep untuk honeymoon atau holiday bareng keluarga ",5
10, Manca Villa Canggu by Ini VIe Hospitality,"Villa yang sangat nyaman dan bersih, staff nya sangat ramah dan melayani dengan sangat baik. Paket honeymoon yang kami ambil sangat woth it. Overall sangat puas stay di manca villa, next time bakal kembali lagi ke manca villa",5
11, Manca Villa Canggu by Ini VIe Hospitality,"Villa nya nyaman dan bagus, kebersihannya baik, lokasinya juga strategis banget, dan kalo staycation disini bener2 rasanya kaya rumah sendiri krna staff staff disini juga humble dan helpfull. Thank you:) ",5
12, Manca Villa Canggu by Ini VIe Hospitality,"sangat berkesan sekalii menginap di sinii, staff ramah dan membantu sekalii, kami juga dapet kamar yg nyaman deket dengan tempat tempat yg hits di Canggu, cocok untuk pasangan yg mau honeeymon, nextt balik lagii",5
13, Manca Villa Canggu by Ini VIe Hospitality,"Liburan yang menyenangkan bisa stay di manca villa , villa dengan konsep klasik dan ukiran khas Bali sangat menarik banget dan fasilitas yg disediakan juga lengkap dan sepi banget jadinya bisa menikmati liburan dengan tenang ,thx you manca villa !!!",5
14, Manca Villa Canggu by Ini VIe Hospitality,"Canggu hype for honeymoon, tempatnya bagus sangat strategis, villanya sangat romantis dengan konsep Outdoor yang sangat memikat, kamar bersih dan rapi pokoknya nyaman banget dehhh. Staffnya sangat amat ramah dan membuat kami nyaman",5
15, Manca Villa Canggu by Ini VIe Hospitality,"Saya senang banget bisa stay di Manca Villa 😍 Villa nya bagus dan asik , nyaman juga ga berisik , sangat bersih dan fasilitas lengkap . Suka sama kolam renangnya yang luas , ada ruang tamu n kitchen untuk santay dan masak” with bestie…  Cocok banget ajak keluarga , teman teman ataupun pasangan . Best!",5
16, Manca Villa Canggu by Ini VIe Hospitality,"So far seru banget , villa nya luas , kamar nya bersih , dan fasilitas nya lengkap . Kami check in di malam hari … nuansa nya adem bangett , asik pokoknya adem banget dan asik buat stay bareng bestie bestie … dipagi hari kami disiapkan floating breakfast , enakk bangettt",5
17, Manca Villa Canggu by Ini VIe Hospitality,stay disisni selama 1 malam berasa kurang banget karena staffnya sangat ramah dan selalu memberrikan senyuman. kamarnya luas dan berkonsep outdor. kita juga bisa breakfast di poolnya pokonya sangat recomended deh stay disini,5
18, Manca Villa Canggu by Ini VIe Hospitality,Tempat yg bagus dan nyaman untuk liburan tempat nya dekat dengan pantai banyak tempat makan dan tempat hiburan lain nya di sekitar  Staff dan karyawan sangat membantu ketika saya menginap lingkungan nya nyaman dan aman dari kejahatan  terimakasih untuk semuanya,5
19, Manca Villa Canggu by Ini VIe Hospitality,"Senang bisa stay di manca villa,karena staff yg ramah villa yg sangat cocok untk berlibur dengan fasilitas yg lengkap bisa juga stay bersama pasangan teman maupun keluarga recomend banget si villa nya",5
20, Manca Villa Canggu by Ini VIe Hospitality,"Untuk lokasii sangat strategisss , dekat dengan pantaii pantaiii dan cafe cafe di Canggu.. kamarnya amann, tidak ada keluhan selama stayy,, staff nya jugaa good servicee!!! We will back soon kalau ke Canggu!!!",5
21, Manca Villa Canggu by Ini VIe Hospitality,thankyou for the hospitality. best honeymoon ever💗 semoga semakin baik ke depannya semakin banyak pengunjung yang happy dan selalu memberikan yg terbaik untuk pengunjung. ohiya ini deket kemana manaa,5
22, Manca Villa Canggu by Ini VIe Hospitality,"Stat di manca villa selama 2  malam sangat berkesan, staff sangat ramah dan selalu tersenyum. Villa yang sangat asri dengan fasilitas yang lengkap, pokoknyasangat recomended untuk stay di canggu..... Thankyou Manca Villa",5
23, Manca Villa Canggu by Ini VIe Hospitality,"Manca villa best banget buat stay daerah canggu, lokasinya sangat strategis dekat dengan cafe cafe dan restarant ada alfamart juga. The best part is staffnya sangat ramah dan membantu sekali...... Very recomended",5
24, Manca Villa Canggu by Ini VIe Hospitality,"Nyaman dan recomend banget untuk refreshing selama aku di bali,pelayanan nya sangat ramah sekali .  kalo aku ke bali selalu di manca villa daerah canggu,recomend banget villa dari ini vie hospitality 😊❤️❤️",5
25, Manca Villa Canggu by Ini VIe Hospitality,"Manca villa tempat yang cocok banget untuk honeymoon ataupun keluarga kecil yang ingin liburan baersama anak. Suasananya nyaman, private sekali & aman bagi yang ingin membawa anak kecil. Fasilitas yg disediakan juga lengkap. Thank you Manca Villa",5
26, Manca Villa Canggu by Ini VIe Hospitality,"Haii jadi disini, saya mau merekomendasikan tempat yang cocok untuk liburan, yaps di manca villa. Di sini tuh villa nya comfortable bgt, trs staff nya juga baik dan ramah, villanya bersih, trs ad privat poolny juga.🥰😍",5
27, Manca Villa Canggu by Ini VIe Hospitality,"Best villa ini Canggu, private villa yang luas, ada private kitchen juga disini. Design villa klasik banget terasa banget kalau stay di Bali. Staff nya juga ramah. Tempat strategis banget Deket dengan tempat wisata yang ada di canggu. Highly recommended.",5
28, Manca Villa Canggu by Ini VIe Hospitality,manca villa sangat nyaman dan cocok banget buat  healing/liburan bersama keluarga untuk pelyannnya juga sangat ramah dan kebersihan villanya juga bersih dan poolnya juga recommended banget buat kalian yang pengen liburan,5
29, Manca Villa Canggu by Ini VIe Hospitality,"Menginap di Manca Villa bersama pasangan tercintaa😍😍 lokasi di Canggu dekat dengan banyak Pantai dan sangat strategis sekaliii, staff nya ramah dan sangat membantu selama stay,, next time bakalan balik lagii 😁😁",5
30, Manca Villa Canggu by Ini VIe Hospitality,"Tempat yg bagus, wangi, pelayanan bagus.. Cocok untuk bulan madu, sarapannya enak semuanya baik.. Gak akan menyesal jika anda menginap disini.. Kolamnya jernih, tv nya sudah internet tv, all good for this place.. Saya akan kembali ketempat ini lagi jika kebali..",5
31, Manca Villa Canggu by Ini VIe Hospitality,Villanya oke banget dan luas. kamar dilengkapi dengan netflix jadi bisa nonton film aja di villa terus ada dapurnya juga jadi bisa masak masak atau hanya menghangatkan makanan saja. overall villanya very recomended ditambah staffnya super ramah-ramah banget ,5
32, Manca Villa Canggu by Ini VIe Hospitality,Stay di Manca Villa lokasinya sangt strategis sangat dekat dengan bnayak restayrant dan cafe kemudian dekat dengan pantai dan beachclub juga. kamarnya bersih dan sangat nyaman dan hening. brekafast goid kita bisa breakfast di pool juga. staff sangat ramah dan membantu :),5
33, Manca Villa Canggu by Ini VIe Hospitality,"Sangat senang sekalaii liburan disini, ada breakfast juga 😍😍 nginep di tempat yg sangat private di daerah Canggu Bali bersama keluarga tercinta☺☺☺nanti bakalan balik lagi kapan kapan. Love service love the villa",5
34, Manca Villa Canggu by Ini VIe Hospitality,Villanya sangat amat bersih dan nyaman luas juga tempatnya. Ada peivate pollnya juga dan ada dapurnya juga super duper happy kita juga bisa sewa floating tray jadinya bisa brekafast di poolnya. Staffnya sangat humble dan ramah ramah bangett,5
35, Manca Villa Canggu by Ini VIe Hospitality,"Manca villa sangat nyaman, dan cocok x buat untuk honeymoon/sekedar healing, karna suasnnya sangat nyaman, dan dekat mau ke central canggu, untuk pelynan juga sangat ramah, dan kebrshaan villanya juga bersh dan poolnya juga, recomend bngt pokoknya",5
36, Manca Villa Canggu by Ini VIe Hospitality,Good servis and happy  Tempatnya nyaman  Bagus untuk honeymoon Stafnya ramah Bahagia  Pelayanan super cepat Membuat nyaman di villa Tidak ada kerusakan pada barang barang membuat bahagia Terimakasih manca villa 🙏,5
