,hotel,review,stars
0, Mason Elephant Park  & Lodge,Wow. Saat saya datang kesini tidak ada pengunjung orang dari negara kita selain saya dan istri. Padahal ini adalah tempat yg bagus untuk liburan. Hanya saja biayanya memang mahal 380rb untuk sekali masuk dan naik gajah.,5
1, Mason Elephant Park  & Lodge,"Perjalanan ini benar-benar sepadan dengan 2 jam berkendara - saya sungguh menikmati setiap menitnya! Gajah-gajah itu sangat menarik dan dipelihara dengan baik & mereka memiliki kepribadian yang luar biasa. Kami membayar $86 USD dan ini termasuk menunggangi gajah, pertunjukan, makan siang bufet yang menakjubkan, dan perjalanan dari dan menuju resort kami di Nusa Dua (ini adalah nilai yang istimewa)! Perjalanannya panjang namun kamu benar-benar akan melihat jantung dari Ubud, perkampungan, sawah, dan orang-orang lokal. Secara keseluruhan, itu adalah hari yang istimewa :D",5
2, Mason Elephant Park  & Lodge,"Saya adalah pencinta gajah dan orang-orang harus menyadari bahwa hewan-hewan ini dirantai untuk suatu alasan. Semua ulasan negatif dari orang-orang harus dicek realitasnya, gajah-gajah ini ada di taman, bukan di Afrika. Ya mereka dirantai namun setiap gajah memiliki pelatih tersendiri yang peduli akan sang gajah. Satu pelatih bahkan menyebutkan bahwa gajahnya merupakan istri keduanya dan telah melatihnya selama lebih dari 12 tahun. Para staf, makanan, pengalaman, kamar, semuanya luar biasa. Terima kasih untuk semua orang di safari lodge park untuk dua hari terbaik dalam hidup saya.",5
3, Mason Elephant Park  & Lodge,"Kami mencoba elephant safari ride & tour sebelum kami pergi ke Bali -- kami diperhatikan dengan sangat baik -- dari transportasi hotel, makan siang, dan menunggangi gajah yang merupakan suatu pengalaman yang merendahkan hati kami. Gajah-gajah luar biasa ini telah melalui banyak hal sebelum mereka menemukan surga yang layak ini dan berada di sekitar mereka merupakan pengalaman yang merendahkan hati bagi saya",5
4, Mason Elephant Park  & Lodge,"Pengalaman yang sangat bagus. Faktanya, hanya satu dari sedikit tempat yang kami kunjungi yang tidak memiliki pengemis. Itu tidak terlalu ramai sehingga kami dapat berinteraksi dan melakukan banyak trik pada gajah. Saya juga memesan putri saya mandi gajah yang bagus. Bali adalah pengalaman yang luar biasa bagi kami! Saya merekam video SELURUH perjalanan kami langkah demi langkah; . Jika Anda ingin melihat pengalaman saya di setiap langkah, itu ada dalam sorotan saya di Instagram saya (@ethnicmilkshake) di bawah highlight saya berjudul ""Bali"" dan ""Bali. “Kami melakukan SEMUANYA. Terakhir, saya memberi mereka nilai 4 bc. Saya sangat merekomendasikan Anda untuk tidak makan di sini.",4
5, Mason Elephant Park  & Lodge,"Tempat tinggal yang indah dan pengaturan menakjubkan tetapi gajah tidak diperlakukan dengan baik! Gajah dirantai, beli 1 kaki semalaman untuk berdiri dan bergoyang mundur dan maju sehingga mereka tidak bisa duduk untuk tidur! Saya pikir itu adalah tempat perlindungan yang saya tinggalkan dengan perasaan bersalah karena memberikan uang saya ke tempat ini, gajah tidak senang! Mereka hanya hewan sirkus untuk mendapat untung dan seseorang akan terluka parah jika penyalahgunaan raksasa lembut ini berlanjut?",3
6, Mason Elephant Park  & Lodge,"Saya bahkan tidak bisa mulai mengungkapkan betapa luar biasanya tempat ini! ! Kami memesan cuci jumbo dengan makan siang dan memiliki waktu yang luar biasa! ! ! ! sangat indah bisa dekat dengan gajah dan melihat mereka di dekat habitat alami mereka. Di sana pelatih ada mengambil foto di ponsel saya untuk saya dan berinteraksi dengan gajah. Prasmanan makan siang sangat baik, pilihan sangat minim tapi cukup. Salad pasta bisa memiliki lebih banyak rasa seperti itu cukup hambar tetapi kue pisang ???! ! Taman memiliki bayi gajah baru dan dia adalah hal kecil yang lucu! !  Jika Anda khawatir tentang ""membuang-buang uang"", ""apakah itu layak"", dll. Ini bernilai 110%! ! ! ! Mereka juga menawarkan layanan pengembalian dan penjemputan.",5
7, Mason Elephant Park  & Lodge,"Fasilitas di Mason Elephant Lodge di Taro tidak ada duanya. Staf hangat, ramah dan sangat ramah, mereka berbicara bahasa inggris dengan sangat baik dan sangat berpengetahuan tentang gajah. Pasti akan merekomendasikan tinggal untuk mendapatkan sebagian besar pengalaman Anda. Properti ini sangat bersih dan gajah sangat terpelihara. Cucu perempuan saya belajar banyak tentang Gajah Sumartrin yang cantik dan lembut, sungguh menyenangkan melihat dia berinteraksi dengan mereka. Ini adalah pengalaman seumur hidup dengannya, kami menikmati setiap menit dan ingin kembali lagi. Ini benar-benar layak menempatkan secangkir dolar tambahan ke kamar untuk menginap daripada hanya kunjungan sehari karena Anda mendapatkan akses ke taman setelah berjam-jam. Kami makan dari menu a la carte untuk…",5
8, Mason Elephant Park  & Lodge,"Gajah-gajah ini diambil dari alam liar di Sumatra karena alasan yang mengerikan (penebangan, Gading dll) Mason telah menyelamatkan mereka dari nasib ini di mana harapan angkat mereka pendek dan kemudian membawa mereka ke perawatan mereka di Bali dan telah memberi mereka kualitas hidup yang jauh lebih baik. Penangan (berseragam biru) yang telah melatih gajah dan merawat mereka tampak sangat hebat. Mereka ramah dan menjawab setiap pertanyaan yang kami miliki. Pada malam pertama kami di sini, kami bertemu Brad yang berkebangsaan Australia dan melakukan pemasaran untuk taman ini. Dia memiliki begitu banyak gairah dan kepedulian terhadap tempat ini dan gajah. Dia memberi kami begitu banyak informasi tentang masa lalu gajah dan perhatian mereka sangat bagus. Dia menunjukkan kami…",4
9, Mason Elephant Park  & Lodge,"Kami mengambil paket ""sarapan dengan gajah"". Mereka menjemput kami dari hotel kami, dan kemudian berhenti di hotel lain untuk menjemput pasangan Australia yang ramah dan kami sedang dalam perjalanan ke taman gajah.  Kami pada dasarnya melakukan semua kegiatan yang ditawarkan. Berenang dengan gajah, safari gajah, memberi makan gajah (biaya tambahan kecil per mangkuk makanan / buah-buahan), dan mencuci gajah. Harus melihat bayi (tidur), dan menghadiri pembicaraan kecil yang mereka lakukan pada gajah (kebutuhan sistem PA yang lebih baik karena saya hampir tidak bisa memahami wanita itu). Semua yang kami lakukan disambut dengan antusiasme dari anak-anak saya. Istri saya sedikit lebih berhati-hati tetapi dia menikmatinya.  Stafnya sopan dan profesional. Senang menjawab pertanyaan…",5
10, Mason Elephant Park  & Lodge,"Jangan disesatkan, tempat ini bukan tempat perlindungan dan gajah diperlakukan seperti binatang sirkus. Bagaimana mereka memiliki ulasan yang baik ada di luar saya cara gajah diperlakukan. Sama sekali tidak ada kebebasan ketika mereka tidak digunakan untuk 'trik' mereka karena diikat dengan rantai. Sangat menyedihkan",1
