,hotel,review,stars
0," Matahari Tulamben Resort, Dive & SPA","Service yang memuaskan tempatnya bersih dan kariawanya baik,bagi para pengunjung wisatawan yg mau bermalam di tulamben,jangan ragu untuk memilih tulamben matahari.....yang mempunyai harga relatif bersaing sama yg lain tentunya terjangkau......",4
1," Matahari Tulamben Resort, Dive & SPA","Pengalaman yang luar biasa menginap di Matahari Tulamben Dive resort, selain bisa nginep langsung berhadapan dengan pantai, bisa belajar diving juga (sertifikasi openwater),, suasana tenang, nyaman,, pelayan penginapan sangat ramah.. nice adventure.. patut dicoba..",5
2," Matahari Tulamben Resort, Dive & SPA",Penginapan hotel murah bagi para penyelam. Hotel ini memiliki sebuah restoran di laut dengan pemandangan. Jika menyelam anda tidak perlu datang ke sini tidak perlu. Kamar bagus dan pusat menyelam. Anda dapat menyelam di dekat hotel.,5
3," Matahari Tulamben Resort, Dive & SPA","Saya tinggal di Matahari selama empat hari. It's a perfect place to stay. Untuk mencapai tempat ini dari Bandara butuh waktu sekitar 3-4 jam. Saat datang, saya disambut dengan welcome drink yang menyenangkan. Kamarnya walau tidak ada televisi tapi sangat nyaman juga bersih. Restaurannya menyediakan makanan yang variatif dengan pelayanan yang cepat. Letaknya yang sangat strategis, di pinggir pantai membuat suasana liburan makin menyenangkan. Saran saya sebaiknya kolam renangnya diperluas agar lebih leluasa berenang.",4
4," Matahari Tulamben Resort, Dive & SPA","Matahari resort memiliki paket all in one yang memuaskan untuk para penyelam. Dari saat anda tiba tidak ada perlutetapkan kaki sebagai segala sesuatu adalah di luar sana, semua di sekitar anda cukup nyaman dan luas dari kamar ber-ac, fasilitas spa dan layanan penata rambut, sebuah restoran yang menghadap laut di mana anda harus menyaksikan matahari terbit setidaknya sekali selama anda tinggal. Makanan lezat dan bervariasi dan kami mudah berjalan ke australia dan suka menyelam. Anda hanya perlu berjalan kaki beberapa meter dari restoran kecil toko di mana anda akan dibuat segar siap segera setelah anda muncul, dan kemudian anda memiliki hanya beberapa meter ke bawah langkah-langkah ke dalam air anda akan dihadapkan dengan ribuan ikan berbagai warna segera setelah anda memasukkan…",5
5," Matahari Tulamben Resort, Dive & SPA","Diving time, dan lokasi yang dipilih adalah Tulamben dan menginap di Matahari Tulamben. Para staf sangat gesit memberikan layanan ketika dibutuhkan dan sangat bersahabat. Kamar bersih dan ada kursi dan meja di dalam kamar ataupun di teras sehingga ada pilihan untuk santai di kamar. Pemesanan makanan dan rasa makanan di restaurant cepat dan cukup memuaskan, dan tentu saja lokasi restaurant adalah tempat terbaik untuk melihat pemandangan laut yang ada di depan kita. Aktifitas para diver  cukup ramai di hotel ini, dan tentu saja saya termasuk yang ikut Terlibat di dalamnya.",4
6," Matahari Tulamben Resort, Dive & SPA","Menginap selama seminggu, memilih kamar yang lebih bagus, lega kami melakukannya karena beberapa akomodasi yang ditawarkan kelihatannya agak kecil..Satu dan yang terutama, ini adalah destinasi menyelam ke situs bangkai kapal yang luar biasa. Masuk dan keluar dari laut bisa cukup rumit sebab ada tumpukan batu dan ombak selancar yang moderat, tetapi begitu Anda masuk .... The Matahari dikelola oleh staf muda yang antusias, sering tersenyum, dan memberikan layanan kelas satu, tidak ada kendala berarti. Kamarnya bersih, makanannya enak (supnya luar biasa). Pemiliknya, Komang Suci, terus-menerus meningkatkan fasilitas dan sangat detail. Tahun ini perombakan besar-besaran dilakukan pada toko alat selam. Nitrox sekarang sudah tersedia, pemandunya juga sangat direkomendasikan, terutama…",5
7," Matahari Tulamben Resort, Dive & SPA","Letaknya benar-benar dipinggir pantai sangat sesuai untuk diving. Ada beberapa paket yang tersedia. Kamar sederhana dan tidak ada televisi, tapi nyaman. Agak bau dengan obat nyamuk sedikit ketika saya masuk. Ada juga fasilitas spa, kolam renang dan restoran. Tempat yang baik untuk bersantai, menjauh dari kebisingan kota dan menikmati laut.",4
8," Matahari Tulamben Resort, Dive & SPA","Ini merupakan yang pertama kalinya saya ke Bali, sebelum mengobrol lama dengan Suci (pemilik hotel)  tentang aliran air terbuka tinggi, dia selalu membalas lebih dulu. Saat kami sampai disana saya merasa lebih baik lebih dari yang saya bayangkan, hotelnya terletak dekat laut, kamarnya nyaman, pegawainya sangat ramah. Disana ada tempat luar biasa untuk bersantai, juga pusat menyelam terbaik.",5
9," Matahari Tulamben Resort, Dive & SPA","Menginap selama seminggu, memilih kamar yang lebih bagus, lega kami melakukannya karena beberapa akomodasi yang ditawarkan kelihatannya agak kecil, tapi kalau Anda hanya butuh tempat untuk tidur maka tidak jadi masalah. Kami memilih bungalo dengan dua lantai, sangat luas tapi anak tangganya sangat curam. Tempat yang unik untuk ditinggali. Para staffnya luar biasa, makanannya mengesankan. Tempat menyelam dan pantai hanya dua menit melangkah dari tempat tidur. Panduan menyelamnya sangat memuaskan. Taman kecilnya sempurna. Maaf, saya tidak berkesempatan untuk mencoba spanya, ada begitu banyak kegiatan menyelam yang dapat dilakukan. Sempurna dan berkualitas tinggi.",5
