,hotel,review,stars
0, Mondo Lifestyle Resort,"Kami telah menghabiskan 9 Hari di Mondo Surfcamp, yang berjarak sekitar satu jam dari Bandara Denpasar dekat dengan pusat Canggu.  Kamp itu seperti sebuah oasis di tengah-tengah dari mana. Taman itu sangat bagus dan hijau. Ada kolam renang besar, kursi berjemur, dan bar yang sangat nyaman untuk bersantai. Terima kasih banyak untuk Gotut penjaga bar yang luar biasa.  Apartemen nyaman juga, hanya air hangat yang terkadang menjadi masalah. Semua orang yang bekerja di Mondo sangat ramah. Suasana kamp luar biasa. Sangat mudah untuk terhubung ke orang lain dengan sangat cepat.  The Days selalu dimulai dengan sesi yoga opsional di tempat yoga yang bagus di tengah pepohonan dan hijau. Setelah 1. 5 jam ada sarapan yang luar biasa, di mana Anda dapat memilih di antara berbagai makanan.…",5
1, Mondo Lifestyle Resort,"Selain menjadi tempat paling indah yang pernah saya tinggali, karena seperti mimpi orang Bali, desa yang indah dan damai, staf di sana sangat menakjubkan.  Saya merasa seperti dirawat, dan menikmati selancar, yoga dan suasana yang belum pernah saya lakukan sebelumnya.  Tidak sabar untuk kembali! !",5
2, Mondo Lifestyle Resort,"Saya akan mulai dengan mengatakan bahwa kami benar-benar menyukai minggu kami di Mondo.  Tata letak indah dan santai dan kamar luas bersih. Kamar dibersihkan setiap hari untuk standar yang sangat bagus. Ada area kolam renang dan bar yang indah.  Kegiatan Kami melakukan sesi selancar dan yoga, dan pergi ke semua kecuali satu sesi yoga. Keduanya sangat bagus. Kami adalah pemula di keduanya, tetapi telah melakukan sedikit dari keduanya sebelumnya. Kelas-kelas ini diperuntukkan bagi semua tingkatan. Para instruktur selancar adalah peselancar yang sangat baik tetapi sangat memahami dan mendukung semua siswa yang membuat pengalaman itu menyenangkan. Bahkan ketika kondisi selancar tidak bagus selama sehari, kami memiliki pelajaran teori selancar yang sangat berguna di kamp di tepi…",5
3, Mondo Lifestyle Resort,"The 'desa' memiliki getaran yang indah, baik untuk pelancong solo dan orang-orang dengan perusahaan. Saya berselancar untuk pertama kalinya dan instruktur benar-benar memperhatikan Anda, mengajar dengan baik dan mendukung sepenuhnya. Untuk peselancar yang lebih berpengalaman, ada umpan balik video untuk terus ditingkatkan. Yoga adalah cara yang baik untuk memulai dan mengakhiri hari dan kolam renang sempurna untuk bir dan terjun setelah berselancar atau hari yang malas. Terletak dengan baik - mudah untuk masuk ke Canggu dan bebas menggunakan skuter jika Anda naik satu - tapi pengaturan yang benar-benar damai jika Anda hanya ingin malam yang cukup. Makanannya lezat dan sarapan awal yang sehat sangat baik. Saya melakukan perjalanan solo, berbagi kamar, membuat teman baru,…",5
4, Mondo Lifestyle Resort,"Saya pergi sebagai wisatawan dan semuanya di sana luar biasa! Staf, kegiatan, fasilitas, makanan dan pelayanannya, semua itu.  Anda dapat bertemu dengan orang-orang dari berbagai negara dan bersosialisasi. Selancar dan para instruktur yoga yang menyenangkan juga. Sangat merekomendasikan tempat ini!",5
5, Mondo Lifestyle Resort,"Semuanya sempurna di perkemahan, Mondo Pizzeria, tempat ini Tim begitu damai, vila ini sempurna, kolam renang, sepeda motor, makanan gratis. Guru-boxe sangat bagus juga. Saya pasti akan kembali.",5
6, Mondo Lifestyle Resort,Staf yang sangat ramah dan suasana yang hebat di perkemahan. Terima kasih khusus untuk Antonio sehari-hari. dan untuk membantu tips dan untuk Klement untuk sesi Boxing Day! Makanan di perkemahan yang bagus dan murah! Akan kembali untuk yakin 🙌,5
7, Mondo Lifestyle Resort,Apa waktu yang luar biasa di Mondo Pizzeria! Saya bepergian sendiri dan baru saja yang paling mengagumkan dan pengalaman yang damai! Instruktur yoga keduanya luar biasa! Pemandu selancar yang sangat lucu! Semua staf sangat membantu dan kebanyakan ramah! Kamarnya bagus dan apa yang akan saya katakan tentang sarapan dan makanan! ! ! Semua bintang 5! Tempat yang tepat untuk pergi di Bali! ! ; ),5
8, Mondo Lifestyle Resort,"Saya menikmati waktu yang paling luar biasa selama saya menginap di Mondo Pizzeria, itu benar-benar adalah tempat yang spesial. Para staf sangat baik dan membantu, dan resor itu sendiri sangat memukau. Yang sangat menyenangkan dan berselancar yoga luar biasa - semuanya luar biasa. Para Instruktur Saya menginap di kamar dan saya menyukai Merapi ini, tempat yang indah dan kamar yang nyaman. Lokasinya juga bagus, sekitar 10 / 15 menit berkendara dari area Canguu utama. Dan makanan dan kopi adalah semua sangat bagus!  Saya melakukan perjalanan solo dan apa yang benar-benar luar biasa adalah bagaimana resor mendorong bersosialisasi di antara para tamu. Kelompok kami (sekitar 15 atau jadi) adalah kebanyakan wisatawan solo dan lain kita semua dapat mengenal satu sama lain dengan sangat…",5
9, Mondo Lifestyle Resort,"Saya bepergian sendiri dan Mondo Pizzeria yang sempurna! Tempat yang bagus untuk bertemu dengan orang-orang dan bersenang-senang. Benar-benar santai, ramah, membantu aura staf dan tempat yang indah. Sarapannya enak dan berselancar dan yoga adalah kombinasi yang bagus. Setiap hari adalah hari yang baik di sana, tidak bisa merekomendasikan lebih!",5
10, Mondo Lifestyle Resort,"Di mana saya harus mulai! Makanan sangat lezat, sarapan memiliki pilihan yang sangat bagus dan sangat mengenyangkan saya menyukainya!  Kebersihan adalah di luar harapan.  Meskipun lokasi besar, itu bagus dan tenang, tapi tidak terlalu jauh dari daerah di mana Anda bisa pergi keluar dan menikmati berjalan di sekitar Canggu.  Itu adalah tempat yang sempurna untuk pelancong solo, pasangan, teman-teman. Semua orang dari para tamu untuk staf yang sangat ramah, ramah, menarik, lucu, dan membantu.  Apa yang saya suka paling tentang Mondo adalah, ya kami semua mengambil bagian dalam kegiatan yang sama untuk sebagian besar, tapi kami semua pulang dengan pengalaman yang berbeda juga.   Sangat sulit meninggalkan Mondo. Tapi saya lebih coulnt memberkati dan berterima kasih untuk pengalaman.…",5
11, Mondo Lifestyle Resort,Mondo adalah benar-benar sebuah tempat magis dan salah satu pengalaman terbaik kami. Aku menyukainya begitu banyak yang saya memperpanjang perjalanan saya untuk beberapa hari lagi. Saya menginap di Rinjani bungalow yang indah dan tempat tidur yang sangat nyaman. Seluruh properti sangat bersih dan terawat dengan baik. Antonio dan staf yang sangat ramah dan benar-benar melebihi harapan saya dengan pergi di atas dan di luar. Sarapan yang lezat. Surfing instruktur sangat menghibur dan sangat sinergi dengan satu sama lain. Mereka menghabiskan waktu untuk membantu saya belajar bagaimana untuk berselancar dan yang sangat sabar dan penuh perhatian. Mereka melakukan pekerjaan yang baik menjaga kelompok secara umum dan memastikan semua orang adalah diurus. Saya tidak mencoba Muay Thai…,5
