,hotel,review,stars
0, Monolocale Resort Seminyak by Ini Vie Hospitality,"Pengalaman menginap yang bagus, nyaman dan menyenangkan. Dapat menjadi destinasi menginap yg cocok untuk pasangan keluarga dan kerabat kerja hingga kumpul keluarga besar. Ruangan nyaman dan private pool yang sangat nyaman",5
1, Monolocale Resort Seminyak by Ini Vie Hospitality,"Saya menginap disini selama 3 hari dan bener” menyenangkan , privatnya terjaga , semua staf ramah dan Ada ALEXA Yang gak bikin saya capek kalo mau idupin lampu , nyalain tv dan putar musik semua tinggal suruh alexa … resort ini luar biasa 😍😍 saya akan kembali lagi kesini",5
2, Monolocale Resort Seminyak by Ini Vie Hospitality,"Puas banget 😍😍villanya nyaman banget, staff nya juga ramah dan helpful banget. Property maintenance nya juga oke banget, sejauhini gaada kendala sama sekali. Thankyouuu monolocale resort. Will be back soon ❤️❤️",5
3, Monolocale Resort Seminyak by Ini Vie Hospitality,"Pelayanan ramah, tempat nyaman dan bersih.. cocok untuk honeymoon, fasilitas lengkap, sarapannya enak dan bisa request untuk floating breakfast juga,lokasi strategis , nyaman banget deh , thnak you monolocale ",5
4, Monolocale Resort Seminyak by Ini Vie Hospitality,"mantap, gak serem hehehe, terakhir trip kali ini di sinj merasa senanggg sekali 😍 kamarnya gak serem, modern, gak mempersulit customer, overall good. bakalan balik lagi kesini someday! Thanks monolocale 😊",5
5, Monolocale Resort Seminyak by Ini Vie Hospitality,"pertama kali menginap di Monolocale by Inivie, kesan pertama sangat baik. Pelayanan oke, villa sangat bersih, pelayan ramah, harga sangat affordable, lokasi juga strategis. Pelayan sangat informatif, memberikan rekomendasi mengenai sewa kendaraan dan makanan yg ada di sekitar",5
6, Monolocale Resort Seminyak by Ini Vie Hospitality,"Happy banget stay disini,fasilitas sangat lengkap dan kamarnya sangat nyaman , ada netflix dan alexa nya juga jadi betah banget deh, sarapannya enak enak, stafnya ramah banget ,next akan balik stay disni terimaksih monolocale❤️❤️❤️",5
7, Monolocale Resort Seminyak by Ini Vie Hospitality,"Happy banget stay dimonopocale ,pelayanan sangat ramah dari semua staff,fasilitas lengkap,kamar bersih dengan kolam renang pribadi, sarapnnya juga enak bisa eequest dengan floating breakfast juga, next akan balik stay disini thanks❤️",5
8, Monolocale Resort Seminyak by Ini Vie Hospitality,"Villanya sejuk banget, staffnya juga ramah ramah dan helpful. Nyaman stay disini sama pasangan, cocok buat honeymoon atau babymoon, breakfastnya juga enak, apalagi chorizo omletenya thankyou monolocale, will be back soon!",5
9, Monolocale Resort Seminyak by Ini Vie Hospitality,"good ambience, nice place, pelayanan nya baik, sangat mengutamakan kenyamanan customer. kamar masih under maintenance jadi di upgrade tanpa additional charge. sangat recommend untuk hotel di daerah seminyak",5
10, Monolocale Resort Seminyak by Ini Vie Hospitality,"Sangat menyenangkan menginap dimonolocale,pelayanan sangat ramah dari semua staff dan juga manager pak alit ,fasilitas lengkap,kamar bersih ,ada alexa dan netflix juga ,makanan enak enak juga ,disamping itu di monolocale ada restaurannta juga jadi makin betah stay disini",5
11, Monolocale Resort Seminyak by Ini Vie Hospitality,"Pelayanan baik, ramah, lingkungan bersih, spanya enak bgt, breakfast enak, aminities lengkap, room service spa bisa juga jd enak tidak perlu keluar villa,respon cepat tanggap, pokoknya bagus bgt, recommended, dekat dari pantai, tempat makan juga dekat, ada restoran di tengah villa ini🫶😘",5
12, Monolocale Resort Seminyak by Ini Vie Hospitality,Enak banget bisa liburan lagi ke bali apalagi nginap disini monolocale punya tempat yang strategis banget deket kemana mana mereka juga ada restaurantnya jadi gak susah kalau mau pesen makan di kamar juga bisa apalgi staff mereka ramah dan helpfull banget terima kasih mba dina dan mba risna ,5
13, Monolocale Resort Seminyak by Ini Vie Hospitality,"Villa bersih dan nyaman, lokasi strategis dekat ke arah seminyak . Kamar sudah pakai fitur alexa, kolam renang bersih . Amenities lengkap. kekurangannya hanya tempat parkir mobil tapi tersedia valet yang tidak terlalu jauh jd tidak menunggu lama",5
14, Monolocale Resort Seminyak by Ini Vie Hospitality,"First time nginap di villa di bali. Seneng banget. Suasananya itu bikin nyaman bangeet, ditambah staff nya yang super helpfull. Selalu nyapa kalau ketemu. Thankyou monolocale. Will be back soon. See you",5
15, Monolocale Resort Seminyak by Ini Vie Hospitality,"Puas banget nginap disini. Kamarnya sesuai picture, suasananya juga adem banget karna banyak tanaman. Lokasinya strategis deket sama restaurant hits hehe. Apalagi staffnya ramah ramah banget, bikin betah pas stay 🥰",5
16, Monolocale Resort Seminyak by Ini Vie Hospitality,"Fasilitas, service & kondisi kamar semuanya oke! Lokasi strategis banget deket tempat2 hits. Semua staff sangat ramah & very helpful. Kondisi tempat sesuai gambar. Thank you monolocale for the stay! Recommended!",5
17, Monolocale Resort Seminyak by Ini Vie Hospitality,"Lokasi strategis, tenang, kamar bersih, ambiencenya luar biasa dan seluruh staf ramah banget! Worth to stay! Tempatnya nyaman bangett ada alexa dan netflix juga jadi berah banget dikamarb, thanks monolocale super best",5
18, Monolocale Resort Seminyak by Ini Vie Hospitality,"Seneng banget menginap di monolocale resort!! Staffnya super ramah, fasilitasnya juga lengkap. Bakal balik ke monolocale lagi kalau ke bali. Best stay ever!! Thankyou so much monolocale resort and team!",5
19, Monolocale Resort Seminyak by Ini Vie Hospitality,"sangat menyenangkan bisa stay di monolocale resort ,dengan fasilitas yang lengkap, pelayanan yang sangat ramah dari smua staff , lokasi yang strategis , kamar yang bersih dan sangat nyaman sekali , next semoga bisa balik lagi stay disini 💜💜",5
