,hotel,review,stars
0, Mote Surfstay,"Kami tinggal di sini selama lebih dari seminggu setelah cedera surfing. Sangat nyaman dan ramah di lokasi yang besar di surfstay Canggu. Besar, modern kamar dengan kamar mandi terbuka yang bagus di cuaca panas. Kolam renang besar untuk bersantai dan area lounge dengan dapur jika Anda merasa perlu untuk memasak.   Lokasi Strategis - perihal: jalan Batu Bolong di daerah yang sangat bagus dengan banyak baik restoran dan bar dan mudah dijangkau dari Pantai Batu Bolong.   Fasilitas untuk menyewa Skuter - yang tak ternilai untuk berkeliling dan menikmati Bali - meskipun melakukannya dengan hati-hati karena lalu lintas dapat menjadi berbahaya di kali.   Akhirnya, hal terbaik tentang hotel ini adalah pemilik & staf surfstay. Txintxe adalah di tangan untuk surfing pelajaran dan guru yang…",5
1, Mote Surfstay,"Sangat mudah, bagus dan bersih. Anda dapat menyewa sepeda motor langsung dan juga memiliki surfing pelajaran dengan pelatih yang tinggal di sana! sangat menyenangkan dan ramah! 2 menit dengan sepeda motor ke Pantai Echo banyak vegetarian dan kedai kopi di sekitar!",5
2, Mote Surfstay,"Taman yang indah dengan kolam renang yang nyaman untuk membuat anda bersantai di tempat yang tersembunyi dari keramaian jalan! Kamar yang luas dengan pribadi atas rak, pencahayaan di kamar mandi yang natural yang cocok dengan suasana pulau, bersih dan dengan kamar mandi hangat yang kuat untuk mengisi ulang energi anda.  Merasa sangat welcome dengan staf yang sangat ramah, berbagi saran yang baik, tersenyum dan membuat teman baru!  Terima kasih kumit Surf tinggal, seperti energi yang besar! Marta dan Txintxe, tidak bisa terima kasih cukup. Saya tidak bisa meminta untuk host terbaik! Tidak sabar untuk kembali! ",5
3, Mote Surfstay,"Lokasi yang sempurna, tenang dan masih dekat dengan pusat Canggu.   Super staf yang ramah dan membantu. Selalu siap untuk membantu  swimingpool dan daerah luar ruangan yang menyegarkan.   Tidak perlu mencari yang lain!   Terima kasih tim noda kecil  Akan kembali lagi segera",5
4, Mote Surfstay,"Tanpa diragukan lagi tempat yang sempurna untuk tinggal, jika Anda ingin berselancar atau lewat! staf yang sangat baik dan orang-orang di sekitar. Mereka berbicara bahasa Spanyol, bahasa Inggris dan Indonesio. Kolam renang yang luar biasa untuk bersantai dan fasilitas untuk menginap jika ada hujan hari. Disarankan! ",5
5, Mote Surfstay,"Mencintai, mencintai, mencintai segala sesuatu tentang hotel butik ini. Dari manis lokal resepsionis, pembersih dan landscapers yang selalu menyapa kita dengan senyuman yang terbesar untuk Manajer Spanyol yang indah, wifi, yang membuat Anda merasa di rumah. Penginapan adalah sangat rapi dan kamar dibersihkan setiap hari. Dapur dan area sosial yang sangat bagus untuk bersantai dan bertemu wisatawan lain dan kolam renang adalah tempat yang ketika itu menjadi panas. Untuk tidak menyebutkan bagaimana terjangkau itu adalah bagaimana trendi dan modern terletak di Canguu. Berhenti mencari dan buku di sini, Anda tidak akan menyesal.",5
6, Mote Surfstay,Noda kecil Surfstay adalah di lokasi yang besar. Cukup jauh dari bar jadi itu tenang tapi cukup dekat untuk restoran dan pantai sangat nyaman. Staf adalah sangat ramah dan membantu. Kamar luas dan bersih. Harga yang sangat wajar.,4
7, Mote Surfstay,"Bahkan jika Anda tidak mempertimbangkan harga yang sangat baik di tempat, noda kecil adalah hanya Surfstay tempat terbaik untuk tinggal di. Tenang, sangat baik terletak (tidak jauh sekali dari Pantai Canggu ini mewah dan seluruh daerah dan dekat dengan banyak warung dan toko lokal) dan tempat yang akan Anda ingat karena orang-orang yang mengelola itu (Marta, Spanyol manajer, adalah seorang profesional surfer Dan Terbaik Dan gadis termanis yang pernah yang akan selalu siap membantu anda dengan senyuman di wajahnya matahari bersinar) dan juga karena wisatawan yang Anda akan bertemu dan mengobrol dengan kolam renang atau memiliki kopi atau makanan ringan Anda sendiri di dapur bersama yang sangat luas dan hangat. Saya menginap beberapa malam di tempat ini dan tidak bisa meninggalkan…",5
8, Mote Surfstay,"Permata tersembunyi dari jalan yang sibuk di Canggu adalah sebuah surga di dalam dirinya sendiri. Set di sekitar kolam renang dengan pintu masuk sebuah kuil yang sangat luar biasa. Tata letak bagus dan alasan yang sangat bersih. Kolam renang yang sangat santai kembali suasana Keindahan Bali seutuhnya. Terbuka ruang sosial yang sangat ramah dan manajer/meja depan sangat sangat membantu. Saya sangat merekomendasikan siapa pun yang mengunjungi Bali untuk tinggal di tempat ini. Ia terletak di pusat kota dan sangat terjangkau. Sebenarnya di kamar sempurna, sangat bersih, baik tempat tidur, kamar mandi modern dan nuansa bali. Saya telah melihat ke depan untuk tinggal berikutnya saya di sini. Getaran yang baik segera setelah Anda tiba.",5
9, Mote Surfstay,"Kedua kalinya di noda kecil, memperpanjang setelah hari besar pada bulan Oktober. 2015. Kunjungan kali ini telah simoly besar lagi. Hotel ini luar biasa dengan semua staf. Marta (manajer) selalu siap untuk membantu setiap tamu dan membuat perjalanan anda lebih baik. Kamarnya sangat bersih serta nyaman, kolam renang adalah seperti sebuah oasis di mana Anda dapat bersantai setelah hari berselancar atau hanya bersantai di penginapan ketika Anda lelah setelah petualangan di Pulau. Bali selalu menjadi keputusan yang cemerlang dan tinggal di noda kecil adalah dengan bayangan yang tidak diragukan lagi pilihan terbaik untuk membuat perjalanan yang bahkan lebih baik. Tempat yang bagus + orang-orang luar biasa. Menghitung hari untuk datang kembali lagi. Terima kasih untuk Wifi dan semua…",5
