,hotel,review,stars
0, My Capsule Bali,"Asrama adalah hostel pihak yang sangat. Seluruh tempat itu penuh sukacita dan mereka mengadakan pesta biliar dengan banyak kesenangan. bar menjual bir dan minuman keras dengan harga terjangkau dan tempat yang baik untuk bertemu dengan wisatawan lain, pasti akan kembali",5
1, My Capsule Bali,"Asrama luar biasa, saya suka suasana dan pasti staf luar biasa di sini seperti staf di asrama adik mereka di jakarta, tidak mengeluh sama sekali. Suasana pesta hebat dan ini adalah hostel yang sangat baik untuk bertemu orang-orang baru.",5
2, My Capsule Bali,"Hostel yang cukup bagus dan terletak dengan baik. makanannya enak. hostel favorit saya setiap kali saya di bali staf yang tak tertandingi, mangga membantu saya dengan hampir semua yang saya butuhkan. Tempat yang sangat direkomendasikan untuk dikunjungi.",5
3, My Capsule Bali,"Saya sangat menikmati seluruh perjalanan saya di bali. Tiba di asrama tanpa harapan, meledakkan saya di playlist musik yang bagus, taman alam dan bertemu teman baik di sana. Rara sangat ramah kepada semua orang, membantu saya dalam banyak hal. Dua jempol!",5
4, My Capsule Bali,"Asrama terbaik yang pernah saya, - staf sangat membantu exo mangga, asrama sangat bersih, kolam renang luar biasa, akan menilai 10 lebih dari 10. Sangat dekat dengan apa pun yang Anda butuhkan di seminyak. . ingin pergi dengan keras tetapi mengakhiri chilin di kolam sepanjang hari",5
5, My Capsule Bali,Menghabiskan dua malam pertama saya di sini di kamar pribadi. Itu memiliki energi besar dan merupakan tempat yang hebat untuk bertemu orang-orang baru. Cara yang bagus untuk memulai atau menyelesaikan perjalanan. Kamar-kamar asrama tampak bagus tetapi jika Anda seorang pemuda tidur bawa sangkutan telinga,5
6, My Capsule Bali,"Kami senang tinggal di sini di Capsule. Stafnya bagus (khusus disebutkan untuk Rara), makanannya luar biasa, juga mudah untuk bertemu orang baru. Kamar cukup luas, tempat tidur dan kamar mandi yang bagus. Kolamnya cukup besar. Saya merekomendasikan +++",5
7, My Capsule Bali,"Di mana untuk memulai. Kehidupan malam di Kapsul adalah 10/10. Backpacker Solo atau bukan, dijamin Anda mendapat beberapa teman baru. Minuman kurang dari setengah harga dari sebagian besar tempat lain dan berat pada minuman keras. Makanan adalah suatu keharusan, dan murah. Tidak pernah tinggal di tempat tidur kapsul sebelumnya tetapi mereka nyaman dan tempat tidur yang sebenarnya sangat nyaman. Staf juga luar biasa. Letti tahu bagaimana memulai pesta, dan Iker memiliki senyuman yang bisa mengubah lelaki lurus menjadi penasaran. Legenda.  Teman-teman saya dan saya tinggal selama 3 malam dan akan tinggal lebih lama jika kami punya waktu.",5
8, My Capsule Bali,"Saya adalah pelancong solo yang menjelajahi Bali selama 2 bulan. . Saya telah menghabiskan total 23 hari di hostel kapsul, rusak dalam mantra. Untuk pelancong solo, ini adalah tempat yang ideal untuk bertemu orang-orang. Itu selalu pesta di kapsul. Makanannya enak. Staf sangat membantu. Saya suka pengaturan kapsul. Bar, pantai, dan restoran berada dalam jarak berjalan kaki. La favela adalah di atas jalan dan pesta dijamin untuk keluar malam.  Sangat merekomendasikannya dan saya akan mengatakan itu adalah hostel terbaik di Bali. . terima kasih kapsul untuk semua kenangan",5
9, My Capsule Bali,"Ini adalah salah satu hostel terbaik yang pernah saya tinggali di Bali! ! staf, vibe semuanya sempurna. Tidak ada keluhan sama sekali. Kolam renang, atap menambah lebih banyak titik tambahan di sini. Waktu happy hour mereka menjadikan mereka salah satu yang termurah di kota. Jempol ke Rara, Didi, dan banyak lagi. Keramahan mereka sempurna dan apa yang Anda butuhkan saat Anda bepergian.",5
