,hotel,review,stars
0, Natya Hotel Kuta,"Ketika saya tiba di sore hari tidak ada petugas yang membantu untuk menurunkan barang dari mobil. Pelayanan resepsionis pria cukup baik walaupun tidak begitu ramah. Suasana lobby agak gelap karena lampu tidak dinyalakan. Saya menempati kamar deluxe yang luasnya cukup lumayan untuk 2 orang. AC kurang dingin dan ada sedikit bocor tetesan air. Kamar mandi cukup luas dengan bathtub, namun tidak ada tirai untuk menutupi bathtub ketika mandi, alhasil lantai kamar mandi jadi becek setelah mandi. Debit air yang keluar dari shower juga sangat kecil sehingga mandi menjadi lama. Untuk kebersihan kurang baik karena saya banyak menemukan spot2 yang berdebu, terutama pada ornamen dinding pembatas ruangan kamar dengan kamar mandi, debunya tebal sekali dan terlihat seperti tidak pernah…",3
1, Natya Hotel Kuta,"Hotelnya nyaman , pelayanan baguss , staff ramah dan baik-baik bngt next bakalan nginep disini lagi kalo ke bali , kamar bersih dan ac dingin , bisa request view dan lantai atas on thr spot langsung di cariin , fasilitas semua ada dan makanannya enak-enak , thankyou natya hotel",5
2, Natya Hotel Kuta,Staff tidak ada response.  Saya mau reservasi kamar katanya nanti akan dihubungi kembali tetapi hingga kini ga ada kabar apa2 dari staff nya. Saya datngin hotelnya dibilang full dan tidak ada reservasi saya.  Padahal di traveloka masih tersedia kamarnya. ,1
3, Natya Hotel Kuta,"Stay 2 malam bersama rombongan dari solo.Saat sampai dihotel dan check in, petugas reception dalam pelayanan kurang memuaskan dan tidak teliti dalam memberikan kunci kamar.  Saat sampai dikamar saya bersama rombongan tidak tersedia untuk Guest supplies (sleeper, tea cup,tea&coffee sachet). Saat saya menelfon ke reception respon nya tidak provide.Akhirnya kami complain ke sales marketing dan akhirnya baru di up dan dikasih. Untuk sarapan enak, untuk pelayanan baik dan ramah  ",3
4, Natya Hotel Kuta,"Dekat airport dan pusat perbelanjaan. Sangat cocok untuk perjalanan bisnis, maupun grup komunitas/ jumlah besar. Kamar superior yang kami tempati cukup nyaman, namun pencahayaan di dalam kamar kurang terang, lebih condong temaram, terutama di area kamar mandi.  Overall, recommended banget buat yang vacation on budget  ",4
5, Natya Hotel Kuta,"Hotel yg nyaman,breakfast enak,tempat yg strategis untuk liburan,karena dekat dengan kuta dan jimbaran,dsini saya sangat suka dengan pelayanan dari staff hotel yg ramah dan cekatan ketika ada komplain,tidak harus menunggu lama masalah cpt d atasi oleh staff dsna,sangat recoment untuk tmpat beristirhat,ttp d pertahankan untuk natya hotel kuta pelayanannya dan keramahannya",5
6, Natya Hotel Kuta,Saat checkin disuguhkan welcome drink yang sangat segar. Proses checkin sangat cepat. Staff ramah. Kamar harum bersih nyaman ac dingin sudah dua kali menginap di natya sangat rekomen untuk menginap disini,5
7, Natya Hotel Kuta,"Hotel ini sangat strategis lokasinya dekat dengan airport dan juga pusat perbelanjaan.  Pelayanan sangat bagus hangat dan ramah juga tersedia mini market yg cukup lengkap di dekat lobby kebersihan bagus fasilitas pool juga baik. Secara keseluruhan hotel ini sdh cukup baik dan membuat kami betah dan nyaman. Harga juga sangat terjangkau..kami sangat puaasss dan berharap bisa datang dan menginap lagi.  Regards,  Neddy Adam Valentino Jakarta.",5
8, Natya Hotel Kuta,"hotel yang sangat nyaman ditambah pelayanannya sangat ramah dan baik. untuk breakfastnya juga juara, ditambah lokasinya yang sangat strategis. tidak salah saya pilih hotel Natya selama saya bertugas di Bali",5
9, Natya Hotel Kuta,Lokasi strategis dekat dengan pusat oleh-oleh. Kamar bersih dan luas. Kolam renang bersih. Menu sarapan lumayan. Staff sangat ramah dan sangat membantu. Toilet untuk umum mohon ditingkatkan kebersihannya.,3
10, Natya Hotel Kuta,"Pertama kali nginep disini dan overall good 👌 Mulai dr staff2 nya yg ramah bgt,kamar rapih,kamar mandi bersih,room service nya oke bgt,lokasi strategis..dket dr airport,pantai dan mall .. kolam renang nya juga bersih,thanks natya hotel 😊🙏 next lebih lama lg nginepnya 😁",4
11, Natya Hotel Kuta,"lokasi nya sangat strategis di pusat kota Bali namun tidak bising, AC nya juga dingin, kamar bersih dan wangi, sangat mudah untuk pergi kemana2, resepsionis juga helpfull dan baik, ada pengalaman sarapan terapung juga",4
12, Natya Hotel Kuta,"Hotel Yang pelayanan, fasilitas, lokasi, breakfast, kebersihan dan interior serasa bintang 5 😍 Serta bisa request minibar dan dekor kamar gratis 😍. Sangat worth it , very nice hotel. I love it 😍 . Hotel ini bisa juga bagi pendatang pertama di bali soalnya tepatnya di tengah Kota kuta jalan by pass ngurah Rai Bali  . Di sekitar hotel ini ada banyak outlet pakaian untuk shopping, belanja oleh2pun ada , Dan dekat dengan McDonald’s 👍🏻 ke joger pun nggak jauh2 amat krn ada jalan pintasnya. ",5
13, Natya Hotel Kuta,"Terima kasih Natya Hotel Pelayanan yang sangat baik, ramah, nyaman, aman. Namun kadang ada beberapa keributan yang sedikit mengganggu ketenangan dari para pengunjung hotel lainnya.  Secara garis besar Natya Hotel cukup recommended. Breakfast pelayanan ramah, sisi makanan cuku relatif nyaman.  Thanks Natya",4
14, Natya Hotel Kuta,"Hotel nya bersih,, letak strategis,, pelayanan oke disaat sekarang ini susah nyari hotel dgn harga murah dgn bathup, di natya hotel masih pakai bathup, anak2 suka.. Saya sampai malam hari, dan pelayan nya sangat ramah Puas sekali",5
15, Natya Hotel Kuta,"Pesan paket makan siang, rasanya enak dan dapat gratis berenang juga. Kolam nya bersih. Pelayanan dari waiternya juga baik dan ramah. Recommended untuk area Kuta dan nanti akan berkunjung lagi. Terimakasih banyak",5
16, Natya Hotel Kuta,"Hotelnya bersih, staffnya ramah dan sangat membantu. Harga dengan kenyamanannya sebanding. Kamarnya setiap hari dibersihkan. Lokasinya dekat pusat oleh-oleh dan bandara sehingga sangat memudahkan kami.",5
17, Natya Hotel Kuta,"Staff ramah dan sangat peduli terhadap tamu, makanan enak kamar bersih dan nyaman. Hanya saja lebih diatur untuk parkir pengguna kendaraan bermotor karena saat keluar aksesenya sangat susah karena ada mobil dan motor yg parkir tidak beraturan",5
18, Natya Hotel Kuta,"Hotel yang sangat nyaman, desain interior bagus, lokasi strategis dekat ke airport, di lobby tersedia minimarket 24 jam, kebersihan dan fasilitas oke, pelayanan staf sangat baik dan ramah. Akan menginap disini lagi kalau kami ke Bali 👍👍👍",5
