,hotel,review,stars
0, Pertiwi Bisma 2,"Kamar besar yang sangat bagus dan modern dengan balkon, kamar mandi bersih dengan bathtub besar, tempat tidur sangat nyaman dan besar, 2 kolam loutdoor salah satunya adalah infinity dengan pemandangan taman. . Buka sarapan prasmanan dengan varietas yang cocok untuk semua",5
1, Pertiwi Bisma 2,"Tempat yang bagus untuk menginap! Pacar saya dan saya telah memesan hotel lain dan tempat itu tidak seperti foto. Setelah kami tiba di Pertiwi Bisma, stafnya sangat baik dan kamarnya besar dan bersih dan memiliki AC yang bagus. Kolam renang tanpa batas indah dan sarapan di pagi hari luar biasa! Sangat dekat dengan pusat kota dan tempat kera yang sangat nyaman. Akan sangat merekomendasikan",5
2, Pertiwi Bisma 2,Saya sangat merekomendasikan untuk pelancong yang suka tenang dan hangat. personil sempurna jadi harga. tetapi untuk restoran mereka sedikit mahal daripada restoran dekat. . . pemandangan kolam renang yang sempurna untuk bersantai! Saya sangat senang waktu saya di sini!,5
3, Pertiwi Bisma 2,"Pertiwi bisma 2 adalah surga tropis di kota Ubud. Ada banyak tanaman hijau yang berbeda, pohon kamboja dan bunga. Anda pasti terkesan dengan wilayah yang bersih, tenang, nyaman ini dengan kolam renang tanpa batas yang luar biasa ?? Ada staf yang sopan dan ramah. Kami memiliki kamar exellent dengan brankas dan lemari es. Kamar kami sudah dibersihkan dengan sempurna setiap hari. Handuk juga diganti. Lokasi ini cukup nyaman untuk sampai ke pusat Ubud. Dibutuhkan sekitar 7 menit dengan sepeda. Harga tidak mahal untuk semua fasilitas ini. Sangat merekomendasikan.",5
4, Pertiwi Bisma 2,"Kolam renang dan taman yang bagus. Akses ke 2 kolam (satu adalah kolam infinity) karena Pertiwi Bisma 1 & 2 terhubung. Kamar besar, tapi tidak terawat dengan baik. Ada piring buah-buahan dan sisa tabir surya di lemari es. Sisa air dalam panci termal. jelas staf rumah tangga tidak membersihkan kamar dengan benar.  Lokasi bijaksana dapat diterima. Tetapi tidak cocok untuk anak kecil karena Anda harus berjalan jauh ke pasar kecuali Anda menyewa mobil.",3
5, Pertiwi Bisma 2,"Bersenang-senang di Pertiwi 2! Kami hanya tinggal 4 hari, tetapi bisa dengan mudah tinggal lebih lama. Hotel ini bersih dan disajikan dengan sangat baik. Kami sering melihat orang-orang yang merawat taman / halaman dan memastikan kamar bersih. Presentasi semuanya juga sangat tinggi. Kamar sangat bagus dan kami memiliki semua yang kami butuhkan. Area kolam juga sangat baik disimpan dan santai dengan area spa dan bar kecil untuk memesan makanan dan minuman. Kolam renang tanpa batas sangat populer karena memiliki pemandangan yang indah. Saya akan mengatakan bagian terbaik dari hotel adalah staf yang sangat membantu. Kami membatalkan perjalanan beberapa kali dan staf sangat pengertian. Selain itu, mereka membantu hampir semua yang kami butuhkan dan orang-orang yang benar-benar baik…",5
6, Pertiwi Bisma 2,Hotel ini benar-benar indah! Kolam renang tanpa batas indah dengan hutan dan pohon-pohon palem di latar belakang. Tamannya terawat dengan baik dan indah. Staf sangat baik. Berjalan kaki ke pusat Ubud. Banyak restoran besar di jalan.,5
7, Pertiwi Bisma 2,"Kamarnya bersih dan sangat luas. Ini memiliki kolam renang infiniti baik yang bersih juga. Staf sangat sopan dan ramah. Terletak di jalan kecil di pusat Ubud, sangat dekat dengan Monkey Forest. Banyak tempat wisata yang dekat dengan hotel ini.",5
8, Pertiwi Bisma 2,Hotel ini murah keripik tetapi dengan layanan berkualitas tinggi - standar - dan kolam untuk mati untuk! ! Tidak dapat kesalahan hotel ini sangat direkomendasikan! ! Juga sarapan prasmanan dan brilian.  Ketenangan dan relaksasi adalah suatu keharusan di sini di kolam renang tanpa batas.  Sedikit terpencil tetapi 5 menit ke bar hutan monyet dan restoran.  Atau pesan layanan kamar dan nikmati malam yang lebih awal untuk mempersiapkan berbagai kegiatan yang ditawarkan Ubud.,5
9, Pertiwi Bisma 2,"Hotel itu sendiri di lokasi yang sempurna, 5 menit berjalan kaki ke hutan monyet, dan di lokasi yang besar untuk semua hal-hal lain termasuk bar, restoran dll. Dua kolam renang yang indah yang keduanya sangat bersih. Tepat di luar hotel terdapat banyak tur dan perjalanan berdiri di mana Anda dapat memesan kegiatan. Kamar mengecewakan tempat ini dan membutuhkan pembaruan besar-besaran, tetapi jika Anda hanya tinggal di sini selama beberapa malam, ia melakukan pekerjaan.",4
