,hotel,review,stars
0, Plataran Ubud Hotel & Spa,I am falling in love with this place. Terletak di ubud dan view nya very amazing. Hotel yang bersih dan nyaman . Kami datang ketika berlibur and this place is very perfect for holiday’s . Serta restaurant dengan view sawah yang cantik di tengah-tengah kota ubud. Staff sangat ramah dan tanggap.,5
1, Plataran Ubud Hotel & Spa,"Tempat yang sangat nyaman dan cock untuk berlibur dan view nya yang nggak kalah indah , dengan pelayanannya yang sangat luar biasa di tambah lagi makanan dan minumannya yang sangat memuaskan👍 I like this place🤍",5
2, Plataran Ubud Hotel & Spa,"Menginap disini selama 2 hari, dan sangat berkesan!! Staff nya ramah, fasilitasnya lengkap, kamarnya nyaman, makanannya enak, ditambahlagi view yang bagus. Liburan selanjutnya dipastikan akan kembali lagi🤍",5
3, Plataran Ubud Hotel & Spa,"Sangat senang stay di plataran ubud 😊 Pelayanan nya sangat ramah breakfast , lunch dinner nya enak sekali sama view nya sangat bagus,  Aktivity banyak sekali jdinya tidak bosen selama stay di plataran ubud",5
4, Plataran Ubud Hotel & Spa,"Tempat yang bagus untuk stay kalo lagi ke Bali , tempat nya nyaman , pemandangannya sangat bagus , fasilitasnya lengkap , sangat cocok bersama keluarga ataupun sendiri , makanan dan minumannya sangat2 enak , staff nya ramah ramah . Best place lah pokoknya ,  Pasti bakal stay disini lagi kalo ke Bali",5
5, Plataran Ubud Hotel & Spa,"View nya sangat bagus, kebersihan hotel sangat terjaga, protocol kesehatan nya juga bagus, nyaman untuk berlibur keluarga dan solo traveler, apalagi staff nya ramah ramah, dan murah senyum, the best lah Dan mkanan di restauran nya enak, Pkok nya recomend banget👍",5
6, Plataran Ubud Hotel & Spa,"Selama saya berkunjung di plataran ubud, saya merasa senang, selain pelayanan dan servicenya yang bagus, dan view nya yang sangat indah, membuat saya puas dan senang pada saat berada di sana.👍👍 Thank you very much👍",5
7, Plataran Ubud Hotel & Spa,"Hotelnya bagus dengan pemandangan sawah yang indah, kamarnya bersih dan nyaman... pelayanan sempurna dan staff yang ramah Kolam renang yg bagus, aktivitas yang sangat menarik membuat suasana menjadi lebih terkesan..",5
8, Plataran Ubud Hotel & Spa,"kamarnya bagus,view nya bagus,pengalaman yg tak terlupakan dengan staff yang ramah dan pelayanan yang sempurna,sapinya ramah,banyak activities nya,,lobby yang mewah,restaurant nya punya view yng bagus",5
9, Plataran Ubud Hotel & Spa,"kamar nyaman, staff yang sangat ramah dan sopan ,makanan juga enak ,banyak fasilitas dan viewnya juga bagus, sungguh berkesan sekali menginap disini Plataran Ubud Hotel... Kami pasti akan kembali 😊☺️",5
10, Plataran Ubud Hotel & Spa,"Kamar terlihat rapi dan bersih, suasana nyaman, staf sangat ramah fast respon melayani tamu yang meminta bantuan. Untuk makanan enak dan pelayan sangan sopan dalam berbicara. Keseluruhan sangat puas menginap di plataran ubud. Lain kali jika ada kesempatan ke ubud anak menginap disini lagi",5
11, Plataran Ubud Hotel & Spa,"Kami mengadakan acara kantor di Plataran ini, seluruh pegawai dan staff hotel support dan melayani dengan baik. Suasana enak, makanan juga enak. Mungkin untuk aula jika memungkinkan bisa diperluas lagi minimal untuk 100 orang. Tetapi untuk keseluruhan memuaskan. Terimakasih banyak atas bantuannya",5
12, Plataran Ubud Hotel & Spa,Mengunjungi Plataran Ubud beberapa kali Hotel yang luas dan tertata rapi bagus untuk spot foto banyak aktifitas yang bisa dilakukan gratis dipandu staff pelayanan yang sangat ramah pasti akan kembali lagi,5
13, Plataran Ubud Hotel & Spa,Staff nya sangat ramah dan pelayanan yang luar biasa. View kamarnya juga indah bangett. Lokasinya juga strategis. Sangat recommended untuk tempat menginap di Ubud. Pasti akan balik lagi kesini......😁,5
14, Plataran Ubud Hotel & Spa,Pelayanannya sangat baik dan ramah Mba Riska Front Office menemani keliling hotel dgn memakai baju adat bali dan memperkenalkan tata cara bersembahyang Hindu Bali Semua staffnya sangat ramah dan membantu  Good job guys....,5
15, Plataran Ubud Hotel & Spa,"Plataran Ubud Hotel & Spa bener"" nyaman & cocok banget buat liburan bareng keluarga  Pemadangan sawahnya indah banget bikin sejuk 🤍😍 highly recommend pokoknya Staffnya super ramah & frindly.akan datang lagi next time",5
16, Plataran Ubud Hotel & Spa,"mengunjungi Plataran untuk makan di Teras Ubud. staff ramah, makanan enak dan harga terjangkau. lokasi sangat dekat dengan tempat tempat wisata sekitar. mereka juga memeiliki promo yang menarik. akan datang lagi suatu saat",5
17, Plataran Ubud Hotel & Spa,"Waah seneng banget bisa stay di Plataran Ubud Hotel & SPA. Hotelnya bagus dengan pemandangan hamparan sawahnya yang luas dan hotelnya banyak tanaman yang bikin suasana jadi tambah asri dan sejuk, jadi liburannya bener"" bisa manjain mata dan bikin tenang",5
18, Plataran Ubud Hotel & Spa,Pengalaman menginap yang luar biasa di plataran ubud dengan view sawah yang indah. Serta ada akitivitas hotel yang bisa diikuti seperti morning walk dan animal feeding jadi tidak bosan selama stay disana😁. Serta fasilitas yang lengkap dan staff yang ramah menjadikan pengalaman yang sempurna selama saya di ubud.,5
19, Plataran Ubud Hotel & Spa,"Pegawai sangat ramah. Hanya perlu jalan kaki untuk mencapai tempat makan terkenal di ubud. Kamar bersih dan semua kamar memiliki view yang indah. Renang di pagi hari enak karna disamping sawah, ada 2 pool juga disini.  Banyak spot foto bagus jugaaaaaa.",5
20, Plataran Ubud Hotel & Spa,"Kami sangat merasakan kehangatan dari semua staff plataran ubud, tempat yang nyaman untuk dikunjungi. Makanan yang sangat enak dan sangat rekomen untuk dibagikan Fasilitas yang sangat bagus   Over all sangat rekomen untuk tinggal di plataran canggu",5
21, Plataran Ubud Hotel & Spa,"Kebetulan ulang tahun kemarin saya merayakan ulang tahun di pl ubud bener bener gak nyangka 😍dekor romantic dinnernya sebagus itu men  sampai dikasih suprise dadakan dari staff/karyawan pl ubud, untuk makanan dinner kita semua pastinya enak hahaha jangan raguin lagi deh soal makanan   Thank you so much pl ubud ! soon i'll be back 😘",5
22, Plataran Ubud Hotel & Spa,"Pergi bersama keluarga diakhir pekan. Tmpat nya asri dan sejuk. Letak sngt bagus, dekat dngn pusat Ubud. Hotel memiliki mini farm yg unik dan lucu. Will come back when we have time. Thank you plataran Ubud",5
23, Plataran Ubud Hotel & Spa,Hotel yang pertama kali saya temukan yang sangat memuaskan saya hotel yang memiliki berbagai activity yang bisa diikuti dan semua staffnya sangat friendly dengan suasana yang hening tidak terlalu ramai bisa dijadikan tempat istirahat thanks you plataran ubud🤘,5
24, Plataran Ubud Hotel & Spa,"Hotel nya bagus di central kota Ubud dan pemandangan sawah nya, kamar bagus dan staffnya nya ramah sekali, ada 2 kolam renang yang sangat bagus, yoga activity dan morning walk bagus sekali, cocok untuk keluarga",5
25, Plataran Ubud Hotel & Spa,"Temaptnya dekat dengan Monkey Forest. Dan dekat dengan keramaian. Akan tetapi, lokasi kamar jauh terletak dibelakang sehingga tidak terlalu bising. Band di Bar juga bagus.  Will be back if any occasion. Thank you",5
26, Plataran Ubud Hotel & Spa,"Hotel nya bagus dan sejuk pemandangan sawah di tengah kota dekat dengan banyak obyek wisata. Sangat cocok untuk libutan keluarga dan pasangan,  kamar nya nyaman dan restaurant nya bagus staff ramah sekali",5
27, Plataran Ubud Hotel & Spa,"Saya mengunjungi plataran ubud bersama teman. Good location, dekat dengan monkey forest dan bnyk temPt makan dan minum. Lokasi sngt bagus,asri dan hijau. Will come back again if any chance. Thank you all",5
28, Plataran Ubud Hotel & Spa,"Kami mampir ke Plataran untuk nongkrong sebentar sembari ngobrol dan mendengarkan live musik mereka. Staffnya ramah, harga minumannya juga tidak mahal (jika dibandingkan dengan sanur dan seminyak atau kuta), dan lokasinyya kebetulan dekat dengan tempat kami menginap (evitel). Lain kali saya pasti akan mampir lagi.",5
29, Plataran Ubud Hotel & Spa,Dari pertama saya datang saya sempat bertanya-tanya. Lobby hotelnya kecil dan semua itu terjawab begitu memasuki halaman hotel begitu memukau wow.. Mulai pool pertama dan kemudian memasuki area restaurant saya terpukau dengan pemandangan yang cukup membuat tenang. Hotel manager mr agus susanto dan mr fisson menyambut ramah kami hingga breakfast yang cukup lengkap mata kami kenyang akan variasi makanan chef eduardus dan chef anton cukup ramah melayani kami dan waiter dan waitress juga cukup ramah kamar yang cozy dan cukup nyaman two tumb deh,5
30, Plataran Ubud Hotel & Spa,"Hotel ini memberikan kesan hangat, bahkan ketika kaki kami baru menginjakkan pertama kali di lobby hotel. Kunci mobil kami pun dengan ramah diminta oleh staff hotel untuk dibantu memarkirkan di tempat parkir khusus tidak jauh dari hotel. Para staff front line pun sangat hangat dan ramah menyambut kami ketika check in serasa di rumah sendiri. Dengan cepat dan disuguhkannya welcome drink kepada kami. Barang - barang bawaan kami yang cukup banyak pun langsung dibantu dibawakan dengan menggunakan kendaraan boogie/ Golf Car sehingga kami dengan nyaman sampai di kamar kami yang terletak di belakang di sisi sawah. Kamarnya bersih dan memiliki pemandangan sawah dan view kolam yang bagus dari terasnya. Makanan yang disajikan pada saat sarapan pun sempurna enaknya sesuai dengan lidah kami…",5
31, Plataran Ubud Hotel & Spa,"Saya baru 3x menginap di Plataran karena lokasi strategis, dan dekat dengan Yoga Barn!  Kebersihan kamar dan pelayanan memuaskan. Untuk breakfast nya kurang enak. Swimming pool-nya cukup besar dan quite dan saya menyukai-nya.",4
32, Plataran Ubud Hotel & Spa,"Hotelnya bagus dan nyaman Poolnya juga keren, breakfast nya enak  Recomended untuk liburan Next akan kesini lagi... Suasana yg nyaman dan sejuk... Hrg terjangkau dan lobby nya enak u bersantai Para pelayan yg ramah",5
33, Plataran Ubud Hotel & Spa," Setelah melakukan beberapa penjelajahan Online hotel, kami memutuskan mencoba plataran Ubud Hotel. Walaupun ada beberapa hotel di Ubud yang menurut kami sangat nyaman untuk istirahat' oleh karena kami selalu ingin mencoba dan membandingkan kualitas hotel2 di Bali hingga kami jarang mengunakan hotel yang sama.  Untuk Hotel Plataran sendiri menurut kami pelayanan dan staff sudah sangat maksimal dan sangat membantu sertah ramah dengan tamu2 Hotel. Lingkungan didalam hotel sendiripun bisa membuat seolah olah kita benar2 ada di desa terpencil, dimana kolam renangnya pas sebelah sawah serta restoran yang langsung menghadap tebing dan hutan, itu menurut saya menjadi salah satu nilai plus untuk tamu yang mencari ketenangan dari hiruk pikuk kota besar.  Hanya...desain kamarnya yang…",3
34, Plataran Ubud Hotel & Spa,"Tempat pengasingan diri yang tepat. Luas halamannya, sepi dari kitaran publik, yet di pinggir jalan besar (khas hotel di Ubud yang pada berlokasi menjorok ke dalam). Agenda kegiatan untuk guests juga tertata rapi. ",5
35, Plataran Ubud Hotel & Spa,"Saya bersama keluarga besar pergi menginap di Plataran Ubud bulan Juli 2015. Karena salah satu keponakan saya takut dengan cicak, jadi kami memilh hotel ini, karena hotelnya tidak berbentuk bungalow jd kemungkinannnya agak steril dari creepy crawler. Hotel terletak di dekat dengan ""peradaban Ubud"" BIsa berjalan kaki ke Restoran Bebek Bengil dan dekat dengan Monkey Forest. Kalau dari jalan raya, hotelnya tampak kecil, namun ternyata hotelnya memanjang ke belakang. Anda disuguhi dengan pemandangan ladang sawah yg menenangkan jiwa. Kamarnya mewah dan bersih. Kami dapat kamar dengan pemandangan menghadap Kolam renang dan Banyan deck. Di dalam kamar banyak terdapat colokan listrik. Overall: kami sekeluarga senang tinggal di hotel ini. lokasinya bagus, suasananya tenang dan damai,…",4
36, Plataran Ubud Hotel & Spa,"Patio Resto, itu alasan kami kemari. Suguhan makanan yang menggugah selera makan menjadikan resto ini layak untuk dikunjungi di Ubud. Lokasi yang berada di city centre of Ubud ini sangat strategis buat anda yang ingin merasakan sensasi makanan khas indonesia. Paling recommended adalah Dendeng Sapi dengan sambel ulek yang luarrr biasa enaknya. Dilanjutkan dengan Mahi Mahi Pepes yang membuat kombinasi makanan ini begitu nikmat. Atmosfir resto juga sungguh menarik hati dengan sentuhan art yang indah. Staff juga yang ramah dan well communication. Kamarnya yang lucu dalam arti kata mempesona, prefer balcony dengan Pool View yah. Hotelnya menyejukkan hati dengan konsep Eco-Friendly. Pokoknya Amazing deh.",5
37, Plataran Ubud Hotel & Spa,"Kedatangan sempat batal karena ketidak-jelasan agenda kerja. Tetapi memang terbayar ketika datang. Suasana yang sangaaat cozy, lokasi yang menjamin ketenangan, tempatnya dikelilingi resto2 yang qualified buat dinner. Program pagi buat Guests juga menarik. Lokasi ideal buat menarik diri dari kesibukan rutinitas harian.",5
38, Plataran Ubud Hotel & Spa,Hotel ini terletak di jalan yg sangat startegis dengan ubud. Anda dapat berjalan kaki ke yoga barn dan menemukan banyak restoran di sekitar daerah ini. Hotel ini terlihat kecil dari depan tetapi ternyata di dalamnya sangat luas dan nyaman. Anda dapat menikmati pemandangan sawah di kolam renang. Kolam renangnya pun sangat indah. Saya sangat menikmatinya. Kamarnya diatur dengan rapi dan bergaya bali. Sangat nyaman dan tenang. Pelayanannya pun sangat ramah. Saya merekomendasikan tempat ini dan dipastikan akan kembali lagi.,5
39, Plataran Ubud Hotel & Spa,"Hotel ini memiliki kamar yang bagus dan nyaman, kami mendapatkan tipe dan view sesuai dengan pesanan. Suasana hotel sangat tenang, cocok untuk liburan. Lokasi dekat dengan kafe, restauran dan tempat wisata dengan cukup berjalan kaki. Makanan yang disajikan juga berkualitas dan enak. Pelayanan yang bagus dan staf yang ramah namun sayang permintaan late check out tidak dapat diberikan karena kondisi hotel yang sedang penuh.",4
40, Plataran Ubud Hotel & Spa,"Staf hotel adalah yang terbaik yang pernah saya lihat. Mereka selalu tersenyum, bertanya apakah Anda butuh sesuatu, mencoba yang terbaik untuk mengakomodasi permintaan Anda. Mereka semua sangat baik, penuh perhatian dan ramah, saya tidak punya satu pengalaman negatif selama 3 hari - menginap. Sarapan cukup baik, mereka melayani omelet, panekuk, dll selain prasmanan terbuka yang bagus. Sarapan disajikan di View Restaurant yang sangat damai dengan pemandangan indah ke sawah dan kolam renang tanpa batas yang dimiliki hotel. Lokasi sempurna, di jalan utama yang ramai penuh dengan kafe dan restoran, dekat dengan Hutan Monyet tetapi area hotel ini sangat tenang, Anda merasa seperti berada di tengah alam yang jauh dari pusat kota. Itu juga di sebelah Gudang Yoga di mana Anda dapat…",5
41, Plataran Ubud Hotel & Spa,"Tim ubud Plataran yang terhormat, GUYS kamu luar biasa. Kami memiliki waktu terbaik dan Anda memiliki tim terbaik. Jika Anda pergi ke ubud, kunjungi Plataran ubud yang dapat Anda minum juga banyak. Kami dan Greetz merindukan rumah kedua Bima.",5
42, Plataran Ubud Hotel & Spa,"Hotel indah, alasan yang indah, kesenangan di sisi jalan, dan ketenangan sisi kebun, sarapan sangat baik, staf ramah dan membantu. Kami akan kehilangan pemandangan halaman saat sarapan. Kolam renangnya luar biasa, kita bisa menghabiskan hari di hotel dengan mudah, jika tidak ada tempat yang bagus untuk dikunjungi. Sangat dianjurkan.",4
43, Plataran Ubud Hotel & Spa,"Saya baru-baru ini tinggal di hotel Plataran. Itu adalah pengalaman yang paling menakjubkan. Saya seorang solo traveler dan tidak pernah merasa sendirian. Selalu ada yang tersenyum atau menyapa saya. Bahkan dengan sukarela mengambil foto untuk saya di properti mereka yang indah. Layanannya fantastis. Pijat spa tidak dapat dipercaya Anda harus memilikinya. Saya merasa seperti seorang putri. Saya pernah tinggal di hotel lain di Ubud yang saya pikir sangat baik, tetapi ini adalah satu di atas semuanya. Dan terletak sangat baik di kota, untuk semua kegiatan kota dan bagus untuk akses ke lumbung Yoga juga. Saya akan kembali!",5
44, Plataran Ubud Hotel & Spa,"Hotel yang benar-benar indah di pusat Desa Ubud. Semua staf sangat membantu dan ramah. Sarapan setiap pagi juga luar biasa! ! Banyak restoran, toko, dan hutan monyet di dekatnya. Terima kasih Plataran Ubud. Kami akan segera kembali.",5
45, Plataran Ubud Hotel & Spa,"Sangat direkomendasikan. Ini adalah tempat terbaik untuk menginap. Depan hotel terletak di jalan perbelanjaan jadi nyaman dan mudah untuk berbelanja. Tengah dan belakang resort sangat damai. Sawah, lansekap indah. . . 2 kolam renang tanpa batas. Banyak acara yang menyenangkan termasuk dalam harga kamar. Perjamuan sarapan TERBAIK termasuk setiap pagi. Staf terasa seperti keluarga. Begitu hormat dan menyenangkan. Berbahasa Inggris dengan sangat baik. Waktu minum teh di sore hari dengan camilan lezat! ! ! Fasilitas spa yang luar biasa dengan wanita pijat berpengalaman. Nilai luar biasa. Akan tinggal lagi dan lagi. Jadikan liburan pengalaman yang lebih baik di fasilitas ini. Dek yoga luar ruangan yang luar biasa di bawah pohon yang sangat besar! ! !",5
46, Plataran Ubud Hotel & Spa,"Ini adalah hotel yang luar biasa. Saya tidak bisa memuji itu cukup! Segala sesuatu tentang itu sangat baik dari saat kami tiba. Kamar kami yang indah menghadap ke sawah dan salah satu kolam renang, berada di lantai paling atas di atas restoran dan diakses oleh lift kaca. Tempat tidur sangat nyaman dan kamar bersih. Restoran memiliki makanan yang paling luar biasa, pilihan yang luar biasa untuk sarapan di mana saya bisa memanjakan diri dengan hidangan lokal. Staf selalu siap untuk memberi nasihat dan sangat ramah, bahkan mempelajari nama kami dan selalu menyapa kami dengan senyum. Saya tahu ini pelatihan, tetapi tidak ada yang pernah muncul dipaksakan dan pergi ke manajemen untuk staf yang luar biasa! Taman-taman berisi 2 kolam renang yang indah dan memisahkan blok kamar tidur…",5
47, Plataran Ubud Hotel & Spa,"Saya baru-baru ini menghabiskan seluruh minggu di Plataran dan dapat mengatakan bahwa saya memiliki pengalaman yang sangat baik. Staf hotel sangat profesional, ditunjuk, dan berorientasi pada detail. Manajer Fisi dan asisten Eni dan Ayu sangat profesional. Rekomendasi saya adalah pastikan untuk mengunjungi lobi untuk minum teh sore (4 sore) dan menikmati kegiatan musik live setiap malam.  Alasan hotel cantik. Kehidupan tanaman sangat tenang dan sawahnya damai. Pastikan untuk sarapan setiap pagi. Nopi dan stafnya akan memastikan Anda dirawat dengan baik.  Dari semua tempat di Ubud, pastikan untuk menginap satu atau dua malam di Plataran. - Namaste.",5
48, Plataran Ubud Hotel & Spa,"Segala sesuatu tentang kami menginap di Plataran adalah sempurna. Sangat senang kami membuat keputusan untuk menginap di resor yang indah & damai ini.  Hotel ini memiliki semua yang kami butuhkan. Dua restoran lezat - tepat di depan hotel yang menghadap ke jalur utama yang menyajikan makanan lezat, memainkan musik yang indah, koktail yang luar biasa, hookah & merupakan lokasi utama bagi orang-orang yang menonton. Restoran lain di belakang lebih damai, menghadap ke kolam renang & sawah. Dua getaran yang sama sekali berbeda di hotel yang sama yang bagus untuk perubahan kecepatan. Sarapan gratis yang lezat disajikan setiap hari dan itu mengejutkan luas dengan banyak pilihan lezat, yang merupakan nilai tambah.  Lokasi hotel juga merupakan kejutan yang menyenangkan. Lapangan hotel…",5
49, Plataran Ubud Hotel & Spa,"Great lokasi dekat toko-toko dan restoran, sementara properti ini besar sehingga akomodasi diatur kembali dari jalan. Staf yang sangat membantu, kami kehilangan headphone kami dan mereka sangat membantu dalam mencari mereka. Spa juga sangat bagus. Kami tidak mencoba restoran tetapi memiliki pemandangan yang indah.",5
50, Plataran Ubud Hotel & Spa,Ini adalah hotel kecil dan kami diberi kamar di mana tidak ada lift yang disediakan. Itu agak menjengkelkan untuk turun dan memanjat terutama ketika hujan tetapi staf sangat baik sopan dan membantu dibuat untuk setiap kekurangan yang kami alami.,3
51, Plataran Ubud Hotel & Spa,"Kami memiliki pengalaman menginap yang luar biasa di sini untuk bulan madu kami. Kami menginap 4 malam di salah satu kolam renang suites dan benar-benar luar biasa. Para staf sangat manis dan membantu dan membuat pengalaman menginap kami di sini sangat berkesan!  Pro: - pusat kota/Super (tergantung pada apa yang anda cari, tetapi bagi kami yang sangat penting) - staf yang luar biasa! ! Semua orang sangat bagus! - Jam senang dengan 2 untuk 1 minuman - makanan yang baik dengan sarapan setiap hari yang sudah termasuk dalam harga - dua kolam renang sangat indah - menyenangkan menambahkan - ons - kami melakukan mengambang di kolam renang dan sarapan yang sangat luar biasa dan benar-benar menyenangkan (dan dengan harga sangat terjangkau) - botol air setiap hari - jadi bagus untuk…",5
52, Plataran Ubud Hotel & Spa,"Hotel yang sangat bagus dengan pemandangan yang bagus ke sawah, makanan enak, dan staff yang menyenangkan. Setelah memasuki area hotel anda lupa lalu lintas dan hanya masuk ke sebuah surga kecil penuh ketenangan dan tempat yang sangat bagus sekitarnya. juga kelas yoga yang sudah termasuk adalah pengalaman yang sangat bagus. Saya dapat merekomendasikan hotel ini sangat bagus dan hotel yang nyaman untuk tamu yang mencari ketenangan, kenyamanan dan juga spa yang baik di tengah-tengah Ubud, dalam 5 menit berjalan kaki ke Monkey Forest, royal palace, dan tempat-tempat lain untuk dikunjungi di Ubud.",5
53, Plataran Ubud Hotel & Spa,"Anda dapat dengan mudah berjalan ke kanan melewati tempat ini dan yang akan menjadi kehilangan untuk anda! Tempat ini terletak di belakang toko kopi yang indah/sajian es krim dan setelah anda berjalan melalui, anda berada di sebuah oase tenang yang luar biasa tenang dan taman yang rimbun, dan kolam renang. Benar-benar nasi Kamarnya luas dan terang. Makanan yang luar biasa. Spa yang luar biasa dan anda tidak akan menyadari bahwa anda berada di jalan utama dari Ubud. Ini adalah tempat yang sempurna di tengah kesibukan kota.",5
54, Plataran Ubud Hotel & Spa,"Anda akan berjalan melewati hotel ini tepat dan tidak pernah tahu ada tapi anda harus menginap di sini saat di Ubud! Bagian depan adalah kopi/toko es krim. Ketika anda masuk anda berjalan kembali dan kembali lagi untuk cara lama dan anda berada di sebuah surga sebuah hotel bagus dengan kolam renang, makanan yang enak, dikelilingi oleh sawah. . . sebuah dunia yang benar-benar berbeda dari jalan. Jangan lewatkan ini! !",5
55, Plataran Ubud Hotel & Spa,"Semuanya sempurna. Lokasinya cukup jauh dari kebisingan dan lalu lintas tapi berjalan kaki ke atraksi utama seperti Istana Ubud, pasar dan monkey forest. Setelah anda berjalan melalui lobi Anda akan tenggelam di sawah dengan 2 kolam renang infinity luar biasa. Kamar yang bersih dan nyaman dan makanannya lezat dan kaya. Tetapi yang paling penting, orang-orang yang bekerja di sana luar biasa, dari concierge untuk staf restoran dan spa: tersenyum, wanita yang baik dan membantu. Saya melakukan sesi yoga juga di pagi hari dan itu benar-benar pro. Pergi saja!",5
56, Plataran Ubud Hotel & Spa,"Hotel yang bagus, lokasi yang bagus, orang-orang baik di meja depan. Ini adalah hotel yang sangat terawat dengan baik di pusat Bali. Properti ini terletak hanya dalam jarak berjalan kaki dari monkey bait suci. Hotel ini bagus yang menghadap ke kolam renang fitur sawah. Sarapan disajikan di lantai dua melihat kolam renang utama. Kamarnya bersih dan luas. Hotel ini adalah hotel yang bagus dengan staf yang lebih besar.",5
57, Plataran Ubud Hotel & Spa,"Plataran Ubud adalah kedua kalinya kami berhenti pada perjalanan kami di Bali. Hotel yang lain yang pernah kami menginap di Plataran adalah dua hotel di Pulau Menjangan dan Canguu. Kami mendapatkan kamar dengan balkon yang menghadap ke sawah dan kolam renang.  Tentang hotel ini terletak di jalanan yang sangat sibuk dengan banyak restoran dan toko-toko, Monkey Forest atau Istana Ubud dapat dicapai dalam waktu sekitar 15 menit dengan berjalan kaki. Jadi sangat sentral. Di bagian depan hotel terdapat bar dan resepsionis, kemudian tidak jauh dari bangunan dengan kamar-kamar, restoran dan spa. Di sini juga dua kolam renang dan gym. Di jalan sangat berisik, sulit untuk percaya bahwa jika anda berjalan 100 meter anda dapat menemukan oasis yang damai di tengah-tengah persawahan. Dari…",5
58, Plataran Ubud Hotel & Spa,"Pacar saya dan saya menginap di Plataran Ubud bulan lalu dan memiliki waktu yang menyenangkan di sana. Kami menginap di Plataran Resort selama tiga perjalanan kami ke Bali dan masing-masing memiliki staf yang luar biasa indah, dan memfasilitasi tetapi staf di Ubud yang luar biasa. Mereka sangat ramah dan secara rutin memeriksa jika ada yang bisa mereka lakukan untuk membuat pengalaman menginap kami lebih nyaman dan menyenangkan, dan benar-benar pergi keluar dari jalan mereka untuk memastikan bahwa kami memiliki waktu yang menyenangkan. Ubud adalah menakjubkan dan hotel ini bagus, tapi sejujurnya saya bisa katakan bahwa ini adalah layanan pelanggan yang luar biasa yang kami terima dari staf yang benar-benar membuat waktu kami di sana sangat mengesankan.",5
59, Plataran Ubud Hotel & Spa,"Saya memilih hotel ini karena benar-benar nyaman untuk pergi ke Yoga Barn. Ini adalah hotel yang mewah dan staf yang sangat membantu, khususnya shanti dan Widi. Saya akan merekomendasikan hotel ini untuk wisatawan solo dan pasangan.  Pro: - dekat ke Yoga Barn - laundry di dekatnya - banyak tempat makan yang bagus di dekat kolam renang dan gym - fantastis di situs - properti yang indah - kamarnya luas - di rumah spa yang benar-benar bagus - staf sangat membantu dan ramah - memberikan rekomendasi benar-benar baik penjaga pintu. - dikelilingi oleh sawah.  Kekurangan: - Cukup jauh dari semua area turis yang, setidaknya 20 menit berjalan kaki - cukup mahal tapi anda mendapatkan kemewahan, jika anda hanya butuh tempat untuk tidur banyak kurang guest house di dekatnya mahal.",5
60, Plataran Ubud Hotel & Spa,"Kami honeymooned di Plataran Bali Resort: empat hari di Plataran Ubud, empat hari di Plataran Menjangan dan empat hari terakhir di Plataran Canggu, pada bulan Agustus 1596.  Secara keseluruhan, kami menginap di Ubud hotel ini sangat baik. Fasilitasnya sangat bagus. Kamar dengan balkon (double) sangat bersih, luas, dan - disajikan dengan baik, dan kamar mandinya - dipelihara. Kami disambut di hotel dengan mawar merah yang mana adalah sikap yang baik.  Pemandangan dari kamar dan jendela di sekitar hotel yang luar biasa - hijau dan hijau, tetapi pemandangan dari restoran utama yang benar-benar spektakuler. Ia tidak memiliki dinding, jadi anda di luar mencari langsung menghadap sawah. Cara yang indah untuk menikmati sarapan dan rencana untuk hari di depan.  Makanannya enak - banyak…",5
