,hotel,review,stars
0, Poinciana Oceanside Resort & Retreat Centre,"Segala sesuatu dan semua orang di Poinciana luar biasa. Kami menerima perhatian dan perawatan pribadi, ditambah semua orang mengenal kami dengan nama. Itu adalah tempat yang sempurna untuk menjauh dari keramaian dan menikmati ketenangan damai dari lingkungan yang luar biasa.",5
1, Poinciana Oceanside Resort & Retreat Centre,"Ini adalah kunjungan kami yang ketiga dalam enam tahun di Poinciana, dan pastinya tidak akan menjadi yang terakhir! Kami tinggal selama sembilan malam.  Dua setengah hingga tiga jam dari Denpasar, wilayah Tejakula di Bali tidak bisa jauh berbeda dengan “di selatan”, kecepatannya lebih lambat, penduduk lokal lebih tertarik ke mana Anda pergi, apa yang Anda lakukan, dan ke mana Anda tinggal daripada mencoba menjual apa pun kepada Anda dan mereka sopan, ramah, dan membantu kesalahan. Poinciana sendiri adalah permata sejati. Ini adalah resor kecil dengan pilihan dari vila satu kamar kecil hingga vila keluarga besar. Staf sangat membantu dan ramah, dan pelanggan yang benar-benar ingat kembali. Satu-satunya kelemahan kecil adalah jangkauan terbatas makan di daerah (berjalan kaki)…",5
2, Poinciana Oceanside Resort & Retreat Centre,"Begitu indah untuk kembali ke ketenangan kecil ini di utara Bali. Sekali lagi, staf cantik yang tersenyum melayani setiap kebutuhan kami tanpa kami bahkan harus bertanya, mereka memikirkan segalanya! Dan tidak ada terlalu banyak upaya untuk mereka. Setiap pagi, meja sarapan kami diatur di beranda villa kami, dan kami menikmati semua makan malam kami di laut Bali. Kali ini kami pergi untuk snorkeling dan saya kagum dengan berbagai kehidupan laut yang penuh warna!  Jika Anda ingin menjauhkan diri dari buku Anda di samping kolam renang dan pina colada yang cantik atau jus segar, ikuti tur kecil ke pasar Singarajah atau Git Git jatuh, sopir Anda Boling menanti!  Terima kasih lagi Nyoman untuk pelarian yang bahagia dan bahagia lainnya ke Poinciana Anda yang cantik dan indah.",5
3, Poinciana Oceanside Resort & Retreat Centre,"Kami telah ke Bali berkali-kali tetapi ini adalah usaha pertama kami ke utara. Resor itu indah dan staf sangat ramah, kami memiliki sebuah villa kecil di tepi pantai. Kami melayani sarapan dan makan malam di mana pun kami suka, sisi kolam renang, pantai, restoran. Ketika para tamu rendah, Manajemen membawa kami semua bersama-sama untuk makan malam khusus di tepi pantai, itu luar biasa. Pasti akan kembali Resort ini.",5
4, Poinciana Oceanside Resort & Retreat Centre,"Lokasi yang indah. Sangat terpencil yang sangat bagus, tetapi juga berarti anda perlu makan dan minum di restoran yang dapat menjadi resor cukup mahal. Ada toko kecil di seberang jalan tapi tidak ada warung di dekatnya dengan makanan murah. Staf yang ramah, sarapan yang lezat. Yang berusia 6 tahun, kami sangat menyukai pilihan dua kolam renang. Vila kami sangat besar. Kami mendapat dua kamar tidur, dua kamar mandi juga satu. TV akan lebih baik untuk istirahat dari matahari. Makan di teras yang menghadap ke laut yang cukup istimewa. Saya akan menginap di sini lagi tapi hanya untuk dua malam, hanya menjadi terlalu mahal.",4
5, Poinciana Oceanside Resort & Retreat Centre,"Kami diundang untuk menghadiri pernikahan di sini dan sejujurnya saya tidak pernah benar ingin pergi ke Bali. Ketika kami tiba di resort, saya tidak dapat berkata apa-apa hanya betapa menakjubkan itu. Kami berada di villa dan pantai dari balkon kami memiliki area rumput yang kecil dengan tempat tidur matahari dan tempat tidur gantung dan kemudian dibuka ke laut.  Vila-vila yang sangat bersih dan memiliki banyak ruang. Dua kolam renang sangat baik terutama yang di tepi pantai. Seluruh properti sangat rapi.  Staf yang begitu menakjubkan, yang paling ramah staf resort, saya kira saya menginap dengan. Mereka tidak bisa lebih membantu, selalu ada untuk membantu dan tidak ada yang terlalu besar untuk mereka tugas.  Khusus untuk yang berteriak di Desa dan karena mereka terlihat setelah…",5
6, Poinciana Oceanside Resort & Retreat Centre,"Tempat yang luar biasa, taman yang bagus hanya di depan laut. Makanan dan bagus. pribadi Anda juga dapat memiliki pijat tapi kami tidak mencobanya. Satu hal yang tidak kami sukai adalah banyak kamar yang terlihat sedikit oldy dan shower yang hampir tidak berfungsi. Secara keseluruhan resort yang bagus, saya akan kembali lagi.",4
7, Poinciana Oceanside Resort & Retreat Centre,"Dari saat Anda tiba staf menyambut anda seperti rumah Anda sendiri!  Tanahnya hanya cantik dengan banyak kamar mandi frangapinis. Seperti yang Anda masukkan akomodasi Anda Anda akan disambut dengan bunga diletakkan di kamar yang rapi. Dengan 4 kamar tidur besar, kamarnya sangat besar, dengan shower terpisah & toilet.  Resor ini memiliki 2 kolam renang yang sering berjemur di air yang sangat hangat, Anda dapat bersantai di kolam renang di bawah naungan pepohonan - cara yang sempurna untuk bersantai!  Anda dapat menikmati makanan yang tepat di pantai dengan deburan air yang lembut dengan angin laut.  Layanan ini cepat dan staf yang sangat penuh perhatian untuk kebutuhan anda.  Snorkeling dan pantai ski tersedia gratis.  Yoga juga tersedia.  Sangat direkomendasikan untuk siapa pun…",5
8, Poinciana Oceanside Resort & Retreat Centre,"Pacar saya dan saya memiliki 3 minggu menikmati makan dan belanja di tengah hiruk pikuk Seminyak Bali kami dan memutuskan untuk menyelesaikan pengalaman dengan beberapa relaksasi dan itulah yang kami dapatkan di Poinciana! Terletak di sebelah timur laut Bali di area yang tidak banyak dikunjungi oleh para wisatawan, di sini anda mendapatkan nuansa sejati Bali. Poinciana ini memiliki taman yang indah, berbagai vila berfasilitas lengkap, 2 kolam renang yang indah dan baik staf yang penuh perhatian dan pemilik yang anda dapat bermimpi. Kami sangat dimanjakan dengan pijat di Heavenly Oceanside, lezat makanan yang dimakan oleh laut dan keramahan dan pesona yang Poinciana menawarkan. Ada pilihan beberapa tur, kami melakukan ""tersesat di Bali"" salah satu atau snorkeling atau menyelam di…",5
9, Poinciana Oceanside Resort & Retreat Centre,"Hanya tinggal satu malam di sini dan kami menyukainya. Baik tanda diposting dan mudah untuk menemukan, kamar kami sudah siap pada saat kedatangan. Kamar tidak besar tapi cukup untuk kebutuhan kami, besar mandi dan penyimpanan. Kecuali untuk satu pasangan lain kami memiliki tempat untuk diri kita sendiri. Mengambil berenang di kolam renang dekat kamar kami harus pergi dan mencari tempat untuk menunggu staf untuk mendapatkan beberapa minuman di tepi kolam renang. Rupanya pemilik adalah sehingga staf mengambil sedikit keuntungan dari itu. Untungnya makanan di restoran cukup baik, anda sedikit di tengah tempat di sini, tidak ada pilihan tempat makan. Tapi suasana di sini sangat menyenangkan karena ada perusahaan lain beberapa tinggal di Australia.   Hari berikutnya setelah sarapan…",4
