,hotel,review,stars
0, Pullman Bali Legian Beach,"Maaf saya pakai Bahasa Indonesia yaaa ...  walaupun sempet dapet kamar yang wastafle-nya bocor, pelayanannya tetep best ... langsung diproses untuk siap-siap pindah kamar ... dikasih free tropical fruit sebagai tanda permintaan maafnya dari manajemen hotel ... daaaaaaan ini nih yang penting juga ... makan malamnya the best best best best best ...",5
1, Pullman Bali Legian Beach,"Pullman Hotel adalah salah satu Hotel yang sangat rekomendasikan jika ingin mencari Hotel dengan pemandangan pantai Legian dan Kuta yang sangat indah Dengan sunset di sore hari yang bisa kita nikmati dari Infinity Pool. Makanan yang di miliki Hotel sangatlah bervariasi dan tentunya enak dengan harga yang terjangkau. Staff dan karyawannya sangat ramah, khususnya Aldo. Dia selalu menyapa saya dan membantu saya untuk mencari tempat destinasi liburan yang ada di Bali. Terimakasih Pullman Bali, semoga di lain kesempatan saya bisa kembali ke Bali lagi.",5
2, Pullman Bali Legian Beach,"Stay pullman untuk 2 malam, pelayanannya duh luar biasalah pokoknya top bgt, aware bgt, care bgt. Saat checkin dilayani oleh mbak Dewi. She so so so nice. Bener2 helpful bgt. Mulai dari kasih saya welcoming drink sampai dikasih kunci kamar. Tas saya dibawakan oleh mas bagas, dia bener2 aware sekali dan menawarkan banyak promo hihi. Dan ternyata kamar sy diupgrade ke suite room. Kamarnya bersih bgt, nyaman bgt, walopun memang keliatannya tua gitu tapi ttp bs ngerasain luxurynya. Bingung ga tuh?!?!?! I Made Parwata and team, good job untuk kamarnya. Dan saat dinner sempat nanya2 ke mas tomi, dia bener2 helpful jg, informasinya lengkap bgt, ngejelasinnya ramah bgt. Mantap lah pullman dan team2nya. See u soon👍🏼👍🏼👍🏼",5
3, Pullman Bali Legian Beach,"Seneng banget dapet yang seperti ini, pastinya Ramah. Ontime cepet banget datangnya terus sopan banget. Seru sih, bawa motornya juga good lah. ga bikin aku ketar ketir uji nyali kek dibayangan aku sebelumnya @aldo",5
4, Pullman Bali Legian Beach,"Pengalaman yang sangat berharga ketika saya tinggal di Pullman Hotel, staff dan karyawannya sangat ramah. Khususnya Aldo, dia selalu tersenyum dan juga ramah dan ketika saya membeli Ice Cream, dia tau Ice Cream kesukaan saya. Saya selalu bertemu Aldo di restauran ataupun pada saat memesan makanan dengan Room Dining. Terimakasih banyak Aldo dan Pulman Hotel. Semoga di lain waktu saya bisa kembali lagi ke Pullman. ",4
5, Pullman Bali Legian Beach,"Hotel Pullman Bali lokasi hotel yang strategis, pemandangan yang indah, fasilitas yang lengkap, dan staf yang ramah, terutama staf bernama Aldo sangat membantu dan responsif. Secara keseluruhan, hotel Pullman Bali dapat menjadi pilihan yang bagus untuk akomodasi selama berlibur di Bali.",5
6, Pullman Bali Legian Beach,"Pelayanannya sangat bagus, lokasinya juga dekat dengan pantai jadi kemana mana bisa enak, apalagi ada live musicnya bisa bikin betah. Emang rekomendasi Aldo gak pernah gagal. Dijamin betah dan bakalan balik lagi kesini",5
7, Pullman Bali Legian Beach,"big thanks utk ibu astiti little surprise for us,komunikatif, helpfull, utk fasilitas hotel layaknya bintang 5  kamar luas,variasi sarapan banyak untuk dpt terus dipertahankan dan tingkatkan  best regrads",5
8, Pullman Bali Legian Beach,"Pertama  saya sampai di hotel pullman legian saya di sambut dengan sangat baik dan ramah oleh resepsionis bernama ibu ayik.  Lalu saya di bantu proses check in dan sedikit ngobrol dengan beliau, beliau ramah sekali dan lembut dalam memberikan informasi perihal fasilitas hotel. Tidak lupa beliau juga memberikan saran dan rekomendasi untuk tempat wisata dan makanan yang enak 😬✌🏻  Untuk review kamar hotel nya : 1. Kamar nya luas dan bersih 2. Toilet nya luas, bagus dan bersih 3. Fasilitas nya lengkap sekali 4. Pemandangan kamar nya menghadap ke kolam renang, kebetulan saya dapat kamar di lantai 3 nomor 1336. Jadi view nya indah sekali dan sangat berkesan. 5.  Pokoknya rekomen sekali untuk stay di pullman legian ini jika sedang vacation atau urusan bisnis di bali.  Semoga dengan…",5
9, Pullman Bali Legian Beach,"Tempat sangat nyaman, service sangat cepat, informatif, karyawannya pun sangat ramah semua dan makanan sangat enak  Terimakasih untuk BPK Faisal dan BPK Dodi sudah memberikan pelayanan terbaik untuk kami",5
10, Pullman Bali Legian Beach,"Hotel with superb service ever!!! Terima kasih Pullman Bali Legian untuk tim manajemen dan service yg luar biasa. Terutama dari segi service restoran yang sangat ramah dan responsif. Bener2 gak pernah menyesal memilih makan di Pullman Legian. Ada Bu Arie sebagai FB coordinator yg super responsif dan sangat ramah dan saat dinner juga bertemu dengan Bu Seini dan Mang Ayu yg sangat ramah dan sigap apabila kita membutuhkan sesuatu.  Sedikit sharing pengalaman teman2..Saya pernah dinner di Pullman Bali Legian saat tahun baru 2022 dan kembali merayakan CNY 2023 di Pullman Bali Legian krn mengingat pelayanan luar biasa + makan yang bervariasi dan enak. Suprisingly Bu Arie masih mengingat saya, Makasih Bu Arie..benar2 terharu dan senang sekali rasanya. Saya beserta keluarga disambut…",5
11, Pullman Bali Legian Beach,"Lokasi yg sangat bagus, menghadap pantai. Kamar bagus dengan fasilitas dan kelengakapan yg sangat baik. Kamar bersih. Kolam renang sangat menyenangkan terutama yg di lt 3. Hanya saja ac di kamar tidak bisa kita atur suhunya, sudah di tetapkan di 22°c. Makanan di resto untuk sarapan uenak, dan banyak pilihan. Namun menu khas makanan Bali tidak ada saya temui. Spt kalau di Medan, ada lontong Medan.  Yang SANGATMEMBUAT SAYA SENANG DAN PUAS, KERAMAHAN DAN PELAYANAN STAFF NYA, KHUSUSNYA DI RESTAURANT, TERIMA KASIH BUAT MS. HAITY, MS. LISTIA, MS. ANNI, MS. SENI. MR. DEPA DAN MR. KRISNA yang begitu HANGAT dan BERSAHABAT, MELAYANI DENGAN SANGAT RAMAH setiap kel kami sarapan mulai dari tgl 19 sd 21 Jan 2023. Terima kasih juga buat Mr. Darmawan dan Mr. Andre, dan team room attendant, yg…",5
12, Pullman Bali Legian Beach,"pengalaman yang sangat buruk sekali😡 Saya baru pertama kali menginap di hotel pulman legian bali begitu check in masuk kamar kondisi lantai kamar basah kemungkinan karena lantainya berbahan kayu dan mingkin lembab. suami ada komplain lantai kok basah, pihak reseption hotel mengatakan kalo suhu ac diubah maka lantai akan basah. jadi suhu ac ruangan kamar tidak dibisa diubah, anak saya sampai kedinginan tidur menggunakan baju double padahal Bali yah. Bali kan panas suhu udaranya. saya terbangun pukul 4 pagi dengan kondisi badan gatal gatal, kedinginan karena suhu ac ruangan tidak bisa diubah seperti kata pihak reseption hotel. Handuk yang disediakan di dalam kamar bau apek, sampai saya menyuruh suami meminta handuk yang baru. kalo handuk baru tidak bau apek, ya pasti karena…",1
13, Pullman Bali Legian Beach,"Pelayanan yang sangat ramah dan hotelnya yang sangat nyaman dan bersih dan sangat di rekomendasikan untuk keluarga yang ingin berlibur dan untuk pasangan, pemandangan syang sangat bagus dan indah sangat bagus",5
14, Pullman Bali Legian Beach,"Good services and nice view 😍 Tempat ternyaman selama menginap di hotel. Staff ramah, kamar bersih, makanan enak. Lokasi mudah dijangkau dan dimudahkan kemana mana. Dan yang paling bagus, kebersihan sangat terjaga 😍",5
15, Pullman Bali Legian Beach,"kami menginap 3 mlm sangat menyenangkan, dengan IP pool yg pemandangan kelaut, kids clubnya yg bagus untuk anak” dan pelayanan yang ramah, lokasi hotel juga sangat strategis ke pantai hanya tinggal nyebrang jalan saja. terimakasih pullman bali. ",5
16, Pullman Bali Legian Beach,"Menginap 4 malam di pullman legian begitu menyenangkan.. walaupun sy tdk dpt kamar yg view laut krn full tp tdk apa apa mungkin next bisa dpt kamar yg view laut.. sambutan dr staff begitu sangat baikndan ramah mba diah dan satu lagi mba lastri kalo tdk salah menejer pullman hotel legian.. terima kasih banyak atas pelayanan nya yg begitu sangat sempurna.. kamar di berikan yg luas suka sekali lg ruangannya yg sdh di renovasi keren dan sangat lengkap,, utk sarapannya sangat lengkap dan kolam renangnya keren..",5
17, Pullman Bali Legian Beach,"2 kali ada bikin acara kantor di pullman ini...yang pertama ketika covid sedang merajalela dan kedua adalah di bulan september yaitu tanggal 18-20 Sept 2022.  kamar mendapatkan kamar yang baik, yaitu dikamar 3438. fasilitasnya sesuai dengan yang disampaikan. menunggu kamar agak sedikit lama, karena sedang disiapkan, tapi hal tersebut diobati dengan welcome drink dan keramahan staff hotel terutama Pak Faisal di FnB.  keramahan staff bukan hanya di kedatangan saja, tapi sampai check outnya juga.  kekurangannya sih dikit aja, lampu dikamar kurang terang saja...tp klo untuk yang honeymoon atau vacation mungkin sih cukup.",5
