,hotel,review,stars
0, Puri Garden Hotel & Restaurant,"Puri Garden lebih dari sekadar sebuah asrama yang baru saja Anda bangkit dari satu ke yang berikutnya. Asrama membuat saya merasa seperti saya adalah bagian dari keluarga. Terima kasih kepada staf khususnya, yang benar-benar bekerja keras untuk membuat Anda merasa diterima. Mereka tidak hanya mengingat nama saya, tetapi mereka memastikan untuk check-in dan mengobrol. Staf yang sangat ramah. Asrama menawarkan yoga gratis, mani pedis, film malam, perjalanan sehari, terapi anak anjing, pijat. Pengaturan asrama juga indah, kolam renang yang indah, restoran, kamar asrama. Secara keseluruhan, saya memiliki pengalaman yang luar biasa, dan itu membuat perjalanan Ubud saya sedikit lebih ajaib. Terima kasih khusus untuk SEMUA staf. Sayangnya saya tidak ingat nama semua orang tetapi Wisnu,…",5
1, Puri Garden Hotel & Restaurant,"Tiba di sini beberapa hari yang lalu sebagai Pelancong tunggal dan terkejut. Kamarnya sangat bersih dan stafnya sangat sopan. Saya sudah sarapan, makan siang, dan makan malam di restoran dan semua makanannya luar biasa.  Saya terutama menyukai mangkuk buah naga dengan kelapa dan sereal. Saya telah kecanduan selama 3 hari LOL. Saya sangat merekomendasikan saya tinggal di sini dan menikmati makanan yang luar biasa.",5
2, Puri Garden Hotel & Restaurant,"Restorannya luar biasa. Makanannya lezat, dengan banyak variasi dan banyak pilihan bebas gluten. Restoran menyajikan makanan sampai jam 10 malam. Ini jelas tempat favorit saya untuk makan sejak saya sampai di Bali. 100% merekomendasikannya!",5
3, Puri Garden Hotel & Restaurant,"Ketika saya tiba di Puri Garden Hotel saya merasa sangat disambut. Personil hotel dan restoran sangat baik dan bersedia membantu Anda. Ini adalah tempat yang bagus untuk seorang pelancong untuk bertemu orang-orang. Ada getaran yang sangat santai. Kamarnya agak noisey, tapi semuanya sunyi sekitar jam 10 malam. Saya suka bahwa ranjang susun di asrama bersama memiliki tirai. Ini memberi Anda sedikit lebih banyak privasi. Lokasi sangat bagus. Dekat dengan hutan monyet, toko-toko, restoran, dll. Pasar Ubud berjarak sekitar 25 menit berjalan kaki. Semua bersama-sama: tempat yang bagus dan nilai terbaik untuk uang Anda.",4
4, Puri Garden Hotel & Restaurant,"Setelah tinggal di Seminyak / Canggu selama 3 malam, datang ke Ubud tentu berbeda, tetapi tidak terlalu berbeda. Ubud memiliki getaran yang sangat berbeda, jauh lebih dingin dan semua orang senang melakukan hal mereka sendiri. Asrama mudah ditemukan dan memiliki ATM di luar, yang sangat berguna. Staf penerimaan sangat ramah dan Ursula, yang membawa saya ke kamar saya, sangat ramah! Proses check in yang cepat dan mudah, dan saya dibantu dengan tas saya ke kamar saya (tinggal di asrama wanita 4 tempat tidur). Kamarnya bersih dan nyaman, dan ada loker dengan kunci, cukup besar untuk tas ransel, serta laci yang bisa Anda kunci dengan gembok Anda sendiri. Ruangan itu sejuk, pada siang hari mereka membuka jendela dan terus menyalakan kipas angin, sementara pada malam hari, mereka…",4
5, Puri Garden Hotel & Restaurant,"Kami menyukainya! Lokasi bagus, kamar asrama dan area shower sangat bagus dan bersih, staf yang sangat ramah (Arista merindukanmu), pijat punggung yang sangat bagus dan kelas yoga pagi di tepi kolam renang (gratis). . dan BBQ dan film malam! Akan merekomendasikan hal ini kepada siapa pun, terutama wisatawan tunggal!",5
6, Puri Garden Hotel & Restaurant,Puri Garden adalah hostel yang indah dengan staf yang luar biasa. Saya tinggal di sini selama 7 malam. Area luar biasa. Staf terus membersihkan sehingga semuanya sangat bersih. Loker luas. Tempat tidur yang nyaman dengan bantal yang bagus (dua!). Selimut tebal yang bagus. Aktivitas setiap hari seperti malam film dan malam bbq. Makanan yang enak di restoran. Kontra air gratis adalah wifi yang buruk (mereka menyalahkan ini pada wifi yang buruk di Bali tapi itu bohong - saya pergi ke banyak tempat dengan wifi yang baik) dan biaya tersembunyi di restoran jadi itu cukup mahal.,4
7, Puri Garden Hotel & Restaurant,"Staf Puri terus membersihkan dan mengepel setiap tetes air yang menetes ke lantai. Sejauh ini, ini adalah asrama terbaik yang pernah saya kunjungi, dengan staf yang ramah dan pekerja keras, pilihan sarapan yang luar biasa yang tidak seperti asrama lainnya. Asrama 4-tempat tidur dilengkapi loker besar untuk masing-masing (mereka juga menyediakan kuncinya), dan laci yang luas untuk barang-barang pribadi. Tempat tidur itu sendiri adalah tempat tidur ukuran penuh, cukup besar untuk tidur dua orang. Satu-satunya keluhan saya adalah air menjadi sedikit lemah selama saya tinggal, dan pembuangan kamar mandi kadang-kadang lambat. Namun, saya mengerti ini lebih merupakan drainase dan tekanan air di Bali, daripada masalah Puri Garden itu sendiri.",5
8, Puri Garden Hotel & Restaurant,"Pengalaman saya di sini sangat mengagumkan. Staf, makanan, dan getaran umum di sekitar tempat ini luar biasa. Ini mungkin tampak agak mahal tetapi itu benar-benar sepadan dengan harganya. Sarapan termasuk luar biasa. Saya selamanya bersyukur bahwa saya pergi ke sini. Saya merekomendasikan semua orang untuk mencoba yoga di pagi hari (maksud saya GRATIS?). Tur kami pergi ke juga sangat hebat!  DAN mereka mengatur ""TERAPI PUPPY"". Bagaimana Anda bisa menolaknya? ??  Puri Garden terima kasih. Aku akan kembali! ?",5
9, Puri Garden Hotel & Restaurant,"Puri Garden adalah bagian terbaik dari saya tinggal di Ubud. Saya sangat menyukai tempat itu.  Kamarnya bagus.  Staf - terutama Arista yang bekerja di kafe - sangat ramah, membantu, dan akomodatif.  Area tepi kolam renang (yang memiliki beanbag dan tempat tidur gantung) adalah tempat yang bagus untuk bersantai. Saya menghadiri malam barbeque pada hari Rabu, dan selain dari makanan tanpa batas ada juga penari Bali dan live band.  Yoga pagi ditawarkan setiap hari.  Kafenya juga enak. Saya mencoba salah satu mangkuk smoothie mereka, dan itu sangat lezat. Saya meminta meja depan untuk memesan perjalanan matahari terbit Gunung Batur untuk saya. Setelah perjalanan, saya tiba di Puri Garden sekitar 10:15, dan masih diizinkan untuk mengklaim sarapan saya walaupun biasanya hanya sampai…",5
