,hotel,review,stars
0, Puri Sebali Resort,Saya suka sekali tinggal di puri sebali resort ini. kamarnya bersih dan nyaman .dan kamar mandinya besar dan bersih cukup nyaman. saya sangat puas . pelayanannya bagus dan ramah-ramah pelatannya  . keindahan pemandangan yg keren dan segar uadaranya . senang saya tinggal di Puri Sebali Resort ini . kolammya air nya bersih saya suka berenang di tempat ini. sarapan pagi sangat enak dan bergizi . dan saya juga dapat jalan pagi utk keliling sawah untuk menyehatkan badan dan menghirup udara segar. senang saya bisa berjalan di tepi sawah yg sangat indah. Terima kasih kepada management Puri Sebali Resort atas pelayanan yg sangat baik dan luar biasa  ini. .,5
1, Puri Sebali Resort,Tempat peristirahatan yg nyaman tenang dgn pelayanan yg profesional ramah.kamar yg serba lengkap bersih tertata rapi lengkap. Benar-benar tempat yg cocok untuk bersantai dgn pemandangan yg indah dpt sarapan pula,5
2, Puri Sebali Resort,"Suasana kamar nyaman dan bersih, pelayananan ramah dan cepat. Kolam renangnya jg bersih. Fasilitasnya lengkap. Suasana diluar villa jg asri dan tenang. Tempat yg layak utk liburan bersama keluarga dan teman2. Pemandangan disekitar villa yg indah dengan sawah2.  Kami dan teman2 akan kembali kesini lagi",5
3, Puri Sebali Resort,"Saya berlibur bersama teman2 ke labuhan bajo n bali. Di bali kami memilih hotel Puri Sebali resort, saat  tiba di hotel saya merasa nyaman n sejuk. Kami si sambut oleh staff yg sangat ramah n bersahabat,  kami di layani dengan baik. Kamar yg luas bersih n view yang sangat bagus belum lagi dengan kolam renang pribadi tiap kamar yang bersih dengan taman n gasebo yang bersih n nyaman nikmat sekali untuk relax. Saya sangat rekomen banget betlibur n menghilangjan stress di Puri Sebali bersama teman atau keluarga. Terima kasih Puri Sebali …….",5
4, Puri Sebali Resort,"Kamarnya bagus fasilitas nya lengkap dan pelayanannya ramah, serta pemandangannya sangat indah depan kamar ada padi field. Suasana nya sangat nyaman dan tenang sangat cocok untuk liburan bersama sama keluarga dan temen-temen. Saya sangat rekomendasi untuk tinggal disini. Tak luma juga staff yg bernama adik suka sangat membantu sekali dalam memberikan informasi",5
5, Puri Sebali Resort,"Tidak salah dalam memilih Puri Sebali..pelayanan, fasilitas dan pemandangan yang ada di sini benar benar luar biasa. Seluruh staff benar benar melayani dengn tulus dan responsif, khususnya mba Hastari di front desk yang sangat komunikatif dan helpful.   Pemandangan yang diberikan di Puri Sebali benar benar wow dan sangat cocok untuk menenangkan pikiran di suasana alam yang hijau dan otentik.  Puri Sebali juga cocok untuk keluarga, khususnya untuk tipe Villa seperti yang kami gunakan, dengan provate pool dan pemandangan sawah membuat anak anak bisa menikmati liburannya dengan maksimal.  Lokasinya juga sangat strategis, dekat dengan spot spot menarik di Ubud seperti Tegalalang dan Ubud Art Market dimana bisa dikunjungi dalam waktu 15 menitan dengan mobil.  Saran untuk perbaikan…",5
6, Puri Sebali Resort,Terima Kasih Puri Sebali Resort sebagai tempat istirahat dan honeymoon. Kamarnya sudah didekorasi dengan bunga. Bu Hastari sebagai receptionist sangat ramah dan membantu. Jika ke Ubud selanjutnya akan menginap disini lagi.,5
7, Puri Sebali Resort,"secara keseluruhan ini adalah tempat yang benar benar sangat bagus. Villa ini merupakan pilihan yang bagus jika orang orang ingin berlibur di sekitar  ubud bali. . pemandangan sawah yang ditawarkan di bagian kolam renang utama sangat indah dan tenang. selain itu mulai dari pelayanan kamar, para staff dan berbagai fasilitas yang ada semuanya benar benar bagus",5
8, Puri Sebali Resort,"Puri sebali sangat memuaskan, walau posisinya jauh tapi ambiencenya mantap, terima kasih bu hastari, resepsionisnya ramah.. Soal parkiran mobil memang agak sempit ya, tapi utk parkiran motor sih masih cukup luas..",5
9, Puri Sebali Resort,"bagus pokoknya tempatnya, pelayanannya juga sangat baik dan menyenangkan bisa tau tempat ini, tenang dan view sawahnya dapet. fasilitas kamarnya juga lengkap hanya untuk air mineralnya sedikit ada rasa apeknya, but so far so good👍",5
