,hotel,review,stars
0, Royal Casa Ganesha Ubud,"Pengalaman menginap yg sangat luar biasa. Kamar yang cukup luas , bersih dan sangat nyaman , kolam renang yg sangat luas, staff yang sangat ramah dan makan yang enak2 ; bebek timbungan, gado gado , sop brokoli dan pepes ikan sangat direkomendasikan! Terima kasih ARG sudah membuat liburan akhir minggu kami sangat berkesan, terima kasih Bu Tiya yang sudah menyambut kami dengan hangat 🙏🏻",5
1, Royal Casa Ganesha Ubud,"Jl.Raya Lodtunduh No.88, Br. Kelingkung No.Ds, Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571  Overlooking rice paddies, this polished hotel is 5 km from Ubud Monkey Forest and 3 km from the Agung Rai Museum of Art.",5
2, Royal Casa Ganesha Ubud,"Lokasi hotel nya enak, berada di lokasi yg kanan kirinya hamparan hijau  Ada bbrp yg perlu diperhatikan yaitu: - air di bathup menetes - remote ac tidak berfungsi - house keeping tdk mengangkat tilp ketika ditilp - lift tidak dapat digunakan di hari trakhir ketika akan check out - tidak tersedia live cooking di bamboe kuning",5
3, Royal Casa Ganesha Ubud,"Hotel Royal Casa Ganesha adalah hotel dengan lingkungan dan pemandangan yg masih asri dan indah, dikelilingi sawah dan pelayanan yg sangat baik. Berlokasi di Ubud yang masih memiliki udara sejuk. Sangat recomended.",5
4, Royal Casa Ganesha Ubud,"Kamar bersih dan luas, pemandangan juga bagus dari depan kamar. Kolam renangnya luas dan view di depan kolam renang langsung menghadap ke sawah. Menu breakfast cukup bervariasi dan ada menu khas Bali.",5
5, Royal Casa Ganesha Ubud,Hotelnya nyaman…..bersih….. pelayanan ramah dan cepat…. Pemandangannya indah….. Makanannya terutama sop dan sambal-sambalnya enak….. Spot foto-foto banyak yang bagus…. Tamannya asri dan sejuk… 👍👍👍👍,5
6, Royal Casa Ganesha Ubud,"Memiliki staff yang ramah, makanannya semua enak,  Memiliki kamar yang bersih, Kolam renang tidak terlalu dalam dan airnya juga bersih, sangat rekomendasi untuk berlibur bersama teman, keluarga dan lain-lain",5
7, Royal Casa Ganesha Ubud,"Sangat menyenangkan, staff ramah, pelayanan baik, kamar bersih, kolam renang luas, sarapan enak, spot foto banyak dan bagus.  Specially, Terimakasih untuk Andika, untuk informasi dan penjelasan destinasi yang memudahkan saya&sekeluarga.   Saya sgt rekomendasi untuk liburan menginap disini.",5
8, Royal Casa Ganesha Ubud,"Sangat Berkesan dan Sangat Menarik, Kamar yang sangat bagus dan sangat bersih memiliki view yang sangat menarik dengan pool view dan langsung menghadap dengan pemandangan sawah dan lembah. Staff hotel yang sangat ramah, sangat di REKOMENDASIKAN oleh kami untuk liburan bersama keluarga maupun bersama dengan pasangan",5
9, Royal Casa Ganesha Ubud,"Best facilities, friendly staff, and the best foot massage❤️ Excellent food, Very clean and comfort .. Pelayanan oke kebersihan juga maximal  Kolam renang yang indah dan lingkungan hotel yang asri sangat memukau❤️",5
10, Royal Casa Ganesha Ubud,"untuk kamar baik ,, saya suka sama kolam renang view ya oke , adem , sama baik pelayanan ya .. breakfast ya enak , pemandangan ya oke view langsing ke sawah ...........   area ya luas banget , bangunan ya bali banget . thx u ...",5
11, Royal Casa Ganesha Ubud,"Fasilitasnya dan layanan bagus banget , dan breakfastnya enak enak ,ada banyak pilihan .suasanan disini nyaman ,bersih dan tenang . Ada kolam berenang tambah lagi yg suka spa pasti suka banget spa disini ,rekomend banget deh nginap disini bisa sama teman ,pacar dan keluarga",5
12, Royal Casa Ganesha Ubud,"Pelayanan yang baik, kamar besar dan bersih, sarapan ala carte dengan menu bervariasi. Rotinya enak, selainya punya rasa yang unik. Stafnya sangat baik dan responsif. Cocok untuk berlibur dan menenangkan diri.",5
13, Royal Casa Ganesha Ubud,"Terima kasih amatara , hotelnya menyenangkan, stafnya juga ramah, kolam renang bagus. Makanannya juga enak. Acnya dingin, air panas cepet panasnya. Overall semua menyenangkan . See you in another time.",5
14, Royal Casa Ganesha Ubud,"Kamarnya bersih, akses mudah, staffnya juga ramah dan informatif sekali. Sarapannya juga enak sekali….. Nyaman menginap disini, pasti next holiday bakal kesini lagi. Terimakasih Amatara Royal Ganesha.",5
15, Royal Casa Ganesha Ubud,"sudah baik. pelayanan ramah dan cepat.kamar besar dan nyaman, suasana sepi dan comfy, cocok untuk penginapan saat liburan ke bali, terutama di daerah ubud. kolam bagus, dapat view alam.Pelayanan makanan enak dan harga murah terjangkau. 👍👍",5
16, Royal Casa Ganesha Ubud,"Hotel yg luas ,pelayanan nya ok  ,pemandangan nya bagus ,instagram mabel restorannya unik  spa nya bagus  staf nya sangat membantu kolam renang nya bagus sekali ,kebersihan bagus ,kamarnya luas dan bersih",5
17, Royal Casa Ganesha Ubud,"Untuk kamar hotelnya nyaman, bersih, untuk ac dan pemanas air semua berfungsi dengan baik. Ada kulkas juga jdi lumayan untuk simpan beberapa ole2,  Semoga sukses dan maju terus Amantara Royal Ganesha …",5
