,hotel,review,stars
0, Rumah Luwih,"Tempatnya elegant bangett 😍 view pantainya baguss, suasana hotel bintang lima memang benar-benar keren. The best for rumah luwih senang bisa berkunjung dan dinner disana ✨😊. Buat kalian yg kepo?!  Cuss ajaa ke rumahluwih",5
1, Rumah Luwih,"Awal masuk terlihat jelas gedung yang luar biasa yang memiliki banyak spot foto dan banyak tempat untuk di jadikan acara, tempat yang sangat luar biasa dan tentunya memiliki makanan yang super enak, dan tentunya juga memiliki gedung yang sangat mewah dan elegant dan ini cocok banget di gunakan pertemuan bahkan untuk sejenisnya,   Pelayanan yang luar biasa ramah dan sangat memuaskan, intinya kalian semua harus coba ke sini, harus banget 😍😍",5
2, Rumah Luwih,"Rumah Luwih Bali, merupakan resor mewah yang terletak di kawasa Gianyar.Rumah Luwih memiliki pemandangan tiada duanya dari salah satu pantai terbaik Bali.  Sangat luar biasa bisa berkunjung ke Rumah Luwih. Tempat yang sangat nyaman, staff yang sangat friendly. RUMAH luwih adalah salah satu tempat yang sangat recommended buat keluarga atau teman yang ingin berlibur ke bali.",5
3, Rumah Luwih,"Hotelnya punya design yg unik...seperti bngunan penjajahan belanda...dan memiliki view yang bagus sama kamar yang sangat bagus dan luas bnget,,,meskipun jauh dari bandara dikit tapi hotelnya tidak kecewa",5
4, Rumah Luwih,"tempat nya keren banget bagus. kolonial style. buat yg mau menghilangkan stress ini tempat nya. serius keren banget tempat nya. buat honeymoon keren deh, begitu masuk aja lobby nya keren. kamarnya bagus, yg view beach nya keren. staff nya ramah banget ",5
5, Rumah Luwih,"Tempatnya sangat menyenangkan, akomodasi sangat bersih dan bagus. Sangat cocok untuk berlibur dan bersantai bersama keluarga. Kalau ke Bali lagi, pasti akan menginap di sini. Arsitekturnya unik sekali, gaya kolonial ",5
6, Rumah Luwih,"Kami makan ber 4 Kira Kira jam 13 lewat...tidak staff yang menyambut..setelah ditunggu Ada yg menyambut..itupun orag front office katanya sedang Ada wedding..jadi staff banyak yg urus wedding...harus nya dg sekelas rumah luwih resort Hal ini tidak terjadi, banyak meja YG belom di clean up, untuk pelayanannya juga lambat .banyak makanan juga tidak terpantau ..Ada yg kosong .  Kalao untuk makanan rasanya enak.  Kami akan balik lagi untuk melihat pelayanannya lagi.",2
7, Rumah Luwih,"Pengalaman menyenangkan untuk stay disini, fasilitas yang lengkap menjadikan tidak ingin keluar dari kawasan hotel yang super luas ini, mulai dari pool yang sangat besar, hingga fasilitas lain yang sangat lengkap, dan juga pemandangan sunrise di pagi harinya yang membuat ingin berlama lama menatap matahari terbit dari balkon / teras kamar. Pelayanan yang bagus..!!",4
8, Rumah Luwih,"Pelayanan sangat bagus, kamarnya juga mewah dan fasilitas lengkap. Slippernya  juga nyaman dan enak dipakai.  Sarapannya enak dan bermacam macam jenis makanan tersedia. Makanan di restoranpun juga enak sekalipun cuma nasi goreng ataupun mie goreng.  Kolam renangnya lumayan panjang dan menghadap ke pantai. Sepeda juga tersedia dng gratis bagi yg mau berpetualangan.  Pengalaman yg luar biasa",5
9, Rumah Luwih,"Saya menginap disini 3 hari 2 malam, kesannya sangat memuaskan. View hotel yang indah, lingkungan yang tidak terlalu ramai, akses ke pantai yang mudah, makanan juga enak hanya saja menurut saya saat sarapan kurang banyak pilihan menunya, kamar yang bersih dan luas. Yang saya sukai dari hotel ini tiap sudutnya fotogenik, jadi bagus untuk foto- foto. Ah dan yang terakhir, staff sangat ramah dan sangat membantu. ",5
