,hotel,review,stars
0, Samsara Inn by Lingga Murti,"Saya mengunjungi pada bulan Februari 2013 untuk satu minggu pada perjalanan pertama saya ke Bali dan tempat itu cocok untuk saya: desain kolonial yang cerdik dan bersarang secara simpatetik ke lingkungan desa sekitarnya dan hanya perlu berjalan 15 detik ke jalan utama Kuta (tetapi Anda tidak akan tahu itu). Pemandangan indah ke lingkungan sekitarnya, tidak terputus dari kehidupan Bali seperti banyak resor berdinding lainnya. Semua yang Anda butuhkan ada di ujung jari Anda, Memorial 2002 hanya lima menit dengan berjalan kaki, dan jarak ke pantai Kuta kurang dari sepuluh menit lewat arah lain. Kafe internet di seberang jalan sangat murah , kamar modern dan bersih, staf yang ramah dan santai (tidak berlebihan ataupun tegang), kolam renang pusat yang besar yang merupakan fitur bagus…",5
1, Samsara Inn by Lingga Murti,"Oasis indah di kegilaan Kuta. Pertama kali di Bali dan kami benar-benar mencintai tempat ini. Tempat ini baru, sangat bersih, kamar dihiasi dengan baik, layanan fantastis. Semua staf sangat ramah dan membantu. Sarapan mengenyangkan, dan mereka memasak telur segar sesuka Anda. Jus semangka lezat! Saya merekomendasikan tempat ini kepada siapa pun yang akan ke Bali, karena kita tidak akan bisa meminta tempat yang lebih baik untuk menginap.",5
2, Samsara Inn by Lingga Murti,"Saya sangat terkesan dengan tingkat layanan di penginapan Samsara juga dengan keramahan staf. Semua orang selalu tersenyum dan menyapa kita yang membuat kunjungan kami begitu hangat dan menyenangkan! Kamar selalu dibersihkan dan sangat modern dan nyaman. Tempat ini indah dan benar-benar berlokasi bagus, tidak terlalu berisik dan mudah berjalan ke pusat kota dan pantai.  Layanan sangat baik! 10/10 dari saya!  Terima kasih atas keramahan dan layanan kelas satu Anda!  Saya akan kembali dalam waktu dekat!  Dean Goddard",5
3, Samsara Inn by Lingga Murti,Pendingin udara mungkin perlu diservis. Suhu di dalam ruangan itu lumayan. Lokasi hotel sangat bagus. Dihiasi dengan selera tinggi. Sarapan dasar sangat baik. Makanan tambahan dapat dipesan dari kafe di seberang jalan. Hotel tidak menyediakan fasilitas shower jika ada penerbangan yang terlambat. Kecuali jika seseorang membayar untuk hak istimewa.,4
4, Samsara Inn by Lingga Murti,"Lokasi yang sangat baik, tepat di samping jalan Legian, namun tidak terlalu berisik karena berada di gang sempit. Barang sangat bagus. Kolam renangnya bagus dan terawat dengan baik. Kamarnya juga sangat bersih. Banyak yang menyebutkan bahwa kamar-kamar tidak memiliki pintu di antara kamar mandi. Tapi di kamar kami memiliki kamar mandi terpisah. Khususnya tanyakan kepada mereka jika ini merupakan masalah. Satunya downside adalah sarapan. Tidak terlalu banyak pilihan, tidak apa-apa jika Anda hanya ingin mengisi perut Anda, tetapi tidak dengan kepuasan. Saya juga benci dilayani jus buatan saat sarapan. Kami memiliki penjemputan di pagi hari pada hari terakhir dan mereka siap melayani kami bahkan pada jam 6 pagi. Sangat baik dari mereka. Sangat direkomendasikan!",5
5, Samsara Inn by Lingga Murti,"Samsara menawarkan lokasi yang baik dengan harga yang wajar.  Positif  - kolam renang yang bagus  - lokasi bagus  - Warung luar biasa di sebelah  - tempat sarapan yang bagus di tepi kolam renang  Negatif  - AC tidak bekerja dengan baik, jika sama sekali (mencoba beberapa kamar)  - Tidak ada pintu di kamar mandi",4
6, Samsara Inn by Lingga Murti,Tempat bagus desain bagus - Ini adalah hotel bebas rokok yang bagus.  Area kolam bagus dan cukup masuk akal untuk harga.  Jalan kecil di luar hotel penuh dengan sepeda motor dan waktu malam mereka mengemudi dengan cepat dan Anda memiliki anjing yang berkeliaran di jalan kecil.  Tempat tidur sangat tidak nyaman dan kipas langit-langit sangat bising dan pendingin udara tidak terlalu efektif untuk beberapa alasan tetapi Anda mendapatkan apa yang Anda bayar.  Semua dalam Semua baik untuk 1 malam jika Anda ingin dekat dengan Bandara.,3
7, Samsara Inn by Lingga Murti,"Sebuah hotel yang indah - suasana kolonial dan dekorasi Natal yang ditambahkan benar-benar memberikan nuansa rumahan ke tempat itu. Sedang mencari hotel yang tenang tapi nyaman di daerah Kuta / Legian dan ini adalah tempat yang tepat untuk menghabiskan hari-hari kami di.  Pendingin ruangan di kamar 209 tidak sedingin yang kita duga, dan kami terkejut bahwa kamar mandi tidak memiliki pintu - kaca buram masih agak tipis. Kamar mandi juga tidak memiliki pipa air jet di dekat kursi toilet, yang aneh. Akan lebih bersih dengan itu, bersama dengan pintu.  Reservasi kami ditangani oleh Yuni, yang membantu dengan banyak pertanyaan, dan permintaan untuk memastikan bahwa kami merasa nyaman. Mereka bahkan memiliki catatan sambutan dengan nama kami, sangat personal!  Staf sangat sangat…",4
8, Samsara Inn by Lingga Murti,"Kamar mandi bocor ke kamar tidur dan mengelilingi tempat tidur. Tidak ada pintu di kamar mandi. Tidak merasa nyaman berjemur di tepi kolam renang karena sedang diabaikan oleh area sarapan dan meja. Dompet dan telepon kami dicuri selama kami tinggal dan staf tidak mungkin lebih tidak membantu. Menuntut agar kami membayar 50, 000 untuk kartu kunci kami yang ada di dompet curian sebelum mereka membiarkan kami kembali ke kamar kami dan masih bertahan pada hari berikutnya ketika kami mencoba memilah-milah mendapatkan uang darurat dari bank dan membatalkan semua kartu kami. Menolak untuk membiarkan kami menggunakan telepon mereka untuk mencoba dan menghubungi bank kami, atau untuk membantu kami dengan cara apa pun. Secara keseluruhan sangat kecewa.",1
9, Samsara Inn by Lingga Murti,"Saya tinggal satu minggu di hotel, kamar sangat bersih dan terlihat baru dari dalam dan luar, makanan segar dan sangat lezat, lokasi 7 - 10 menit berjalan jauh dari pantai, semua toko dan pasar dan restoran di sekitar hotel, staf sangat ramah dan membantu dan setiap kali merekomendasikan saya untuk tur dan informasi umum Terima kasih untuk semua tim khususnya Ranty, Widia, Ary dan Inta mereka sangat ramah dan selalu tersenyum",5
10, Samsara Inn by Lingga Murti,"Punya waktu yang menyenangkan di tempat ini, staf fantastis, interior yang indah, sarapan kontinental yang baik dengan pilihan untuk dimasak, staf mengubah kamar kami ke sisi kolam renang lantai dasar karena tangga curam tanpa biaya Terima kasih lagi Ranty, Wydia, dan semua staf lainnya, sangat dianjurkan",5
11, Samsara Inn by Lingga Murti,"Hotel ini terletak di kuta, kolam sangat bagus di depan lobi. . memiliki staf yang sangat baik dan ramah. . kamar yang bagus tapi toilet tidak memiliki pintu dan terhubung langsung dengan kamar. . hotel road infront sangat kecil tetapi dapat mengakses dengan mobil. . Pantai kuta berjarak berjalan kaki dari hotel. .",5
12, Samsara Inn by Lingga Murti,"Ini adalah pertama kalinya kami di Kuta dan saya senang kami memilih hotel ini untuk kunjungan kami. Lokasi sangat bagus, hanya beberapa meter dari ujung Jalan Legian (bar dan restoran dll) yang kurang sibuk dan di sisi lain, Anda memiliki jalan yang lebih tenang yang menyatu dengan lingkungan lokal dengan banyak pilihan untuk makanan lokal (warung) dan banyak toko serba ada. Kamarnya bersih dan memiliki AC. Suasana area komunal sangat santai dan kami menikmati sarapan di tepi kolam renang dengan fitur air.  Terakhir tetapi tentu saja, stafnya luar biasa - sangat ramah dan membantu. Ada spa dan restoran yang berjarak hanya beberapa langkah dari hotel - mereka adalah bagian dari hotel. Tur yang disediakan oleh hotel juga dengan harga yang layak, setelah membandingkan ini dengan…",5
13, Samsara Inn by Lingga Murti,"Masih hotel butik yang indah dengan staf berbahasa Inggris yang ramah, kamar bersih, kolam renang yang bagus, sarapan kontinental tapi restoran 10 meter jauhnya untuk makanan yang dimasak, hanya kekurangannya adalah banyak kamar tidak memiliki bar kulkas di dalamnya dan properti tidak memiliki lift jadi jika Anda mengalami kesulitan naik tangga Anda harus meminta kamar di lantai bawah, saya telah tinggal di hotel ini berkali-kali dan selalu tinggal yang menyenangkan",5
14, Samsara Inn by Lingga Murti,"Tempat ini sederhana, bergaya dan sangat tenang. Hanya beberapa menit dari keramaian dan hiruk pikuk semua itu, namun rasanya seperti Anda berada di dunia yang berbeda begitu Anda berada di dalam.  Ada suara aneh dari skuter yang lewat dan ayam jago sesekali, tapi hanya itu.  Hotel ini hanya untuk orang dewasa dan benar-benar bebas rokok. Anda dapat merokok di kafe yang berada di luar hotel. Mereka melakukan sarapan besar yang luar biasa jika sarapan gratis standar bukan yang Anda cari.  Staf sangat profesional dan tidak ada yang terlalu banyak kesulitan!  Mereka menggunakan sopir Sana, yang terletak di toko tur tepat di seberang pintu masuk hotel! Saya sangat merekomendasikannya. Dia adalah kapal pengetahuan dan tahu semua tempat turis biasa serta yang lebih sepi.",5
