,hotel,review,stars
0, Santana Bali Home Stay,Homestay indah di Ubud. Santana dan istrinya Putu benar-benar orang baik yang memperlakukan Anda seperti keluarga. Sepertinya Anda memiliki rumah yang bisa Anda datangi kapan pun Anda berada di Bali. Tempat ini memiliki fasilitas dasar tidak seperti di hotel tetapi sangat nyaman. Mereka memiliki sarapan yang luar biasa yang disiapkan oleh Putu. Saya telah belajar banyak dari kunjungan singkat saya di tempat mereka. Saya ingin kembali lagi di Bali dan tinggal di tempat Santana ketika saya merasa kewalahan lagi dalam hidup.,5
1, Santana Bali Home Stay,"Ini adalah kunjungan pertama saya ke Bali dan kunjungan rumah ini direkomendasikan kepada saya oleh seorang teman. Itu semua yang saya butuhkan dan banyak lagi. Harga sangat terjangkau dan sarapan dimasak di rumah yang luar biasa oleh keluarga yang menjalankannya. Ini sangat banyak tempat bagi orang-orang di Ubud untuk mengeksplorasi apa yang mereka tawarkan. Pemilik Santana juga seorang seniman sehingga ada banyak lukisan indah untuk dilihat dengan alasan. Mereka juga memiliki layanan pengemudi pribadi yang sering saya gunakan jika Anda tidak yakin tentang menyewa sepeda motor lokal. Orang-orang ini menjadi bagian dari keluarga saya dan ketika akhirnya tiba, sangat sulit untuk mengucapkan selamat tinggal. Saya pasti akan kembali lagi!",5
2, Santana Bali Home Stay,"Hotel milik keluarga yang luar biasa di jantung Ubud.  Berjalan 30 m di gang yang tenang menuju Santana Homestay dan kebisingan lalu lintas Ubud diganti dengan kicau burung dan ketenangan yang damai.  Ini adalah hotel tanpa embel-embel. Namun kami memiliki 4 malam tidur yang luar biasa, bangun setiap hari dengan perasaan segar dan sarapan buatan sendiri yang lezat.  Setelah kedatangan dan keberangkatan, kami disambut dengan hangat oleh Bapak Santana dan keluarganya (meskipun keduanya merupakan jam antisosial). Itu benar-benar merasa seperti mereka senang memiliki kita.  Jangan datang ke sini mengharapkan 5 * hotel. Tetapi merangkul budaya Ubud dan ini adalah tempat untuk Anda.  Terima kasih Pak Santana!",5
3, Santana Bali Home Stay,"Santana dan keluarganya sangat luar biasa. Saya diberkati untuk diperkenalkan ke tempat ini oleh seorang teman saya. Saya akhirnya tinggal di sana selama hampir 2 minggu yang tidak direncanakan, tetapi suasana di sini sangat menenangkan. Tamannya sangat indah dan mengelilingi dapur tempat Putu membuat sarapan paling indah. Hidangan Indonesia yang berbeda setiap hari dan semangkuk buah. Cara yang bagus untuk memulai hari. Membersihkan kamar lebih baik daripada baik! Saya tidak pernah tinggal di tempat yang lebih bersih. Saya tinggal di kamar yang berbeda dan mereka berdua luar biasa - Saya sangat menyukai kamar dengan tempat tidur bambu. Di sekitar tempat itu ada lukisan indah menggantung yang dibuat oleh Santana sendiri. Saya hampir tidak pergi ke sini karena tidak ada kolam…",5
4, Santana Bali Home Stay,"Ini adalah salah satu tempat terbaik yang pernah saya tinggal. Santana dan keluarganya benar-benar tidak bisa berbuat cukup untuk membuat kunjungan Anda sebaik mungkin.  Itu mulai hampir saat kami meninggalkan pesawat, Santana sedang menunggu dirinya untuk menjemput kami dari bandara (mudah diatur dengannya melalui email). Santana juga menyediakan layanan pengemudi untuk pemandangan populer di sekitar Ubud dan mengatur tur matahari terbit ke Gunung Batur juga.  Sarapan disiapkan segar setiap pagi dan dibawa kepada kami untuk dinikmati di balkon chalet pribadi kami. Kamarnya sendiri besar, tempat tidurnya nyaman dan sangat tenang. Anda berjalan menyusuri lorong dari jalan utama dan rasanya seperti diangkut ke dunia lain. Tidak ada suara jalanan, hanya suara burung.  Kami…",5
5, Santana Bali Home Stay,Santana dan keluarganya sangat ramah. Kami diperlakukan seperti kita adalah bagian dari keluarga mereka. Homestay ini juga memiliki lokasi yang baik karena dekat dengan area Ubud Center. Saya pasti akan merekomendasikan ini kepada teman-teman saya yang ingin tinggal di Ubud.,5
6, Santana Bali Home Stay,"Homestay ini sangat fantastis. Kami awalnya memesan dua malam, kemudian diperpanjang untuk dua malam lagi, pergi dan kemudian kembali seminggu kemudian untuk lima malam lagi! Itu bersih, Santana dan keluarganya indah, dan sarapan yang luar biasa - kita rindu memulai hari kita dengan semangkuk buah yang indah! Kamarnya sederhana, tapi cukup. Sangat disarankan.",5
7, Santana Bali Home Stay,"Menginap di rumah terbaik yang pernah ada. Santana dan keluarganya sangat hangat dan ramah - keramahan mereka membuat Anda merasa diterima dan nyaman. Mereka selalu peduli dengan semua yang Anda butuhkan dan dengan senang hati membantu mengatur perjalanan atau transportasi. Ruangan itu sederhana - tapi sarapan sangat bersih, menunggu Anda di teras setiap pagi - selalu lezat! Teh, kopi, dan air panas selalu ada untuk Anda. Semuanya dikelilingi oleh taman yang indah. Lokasi sangat tenang, tapi dekat dengan banyak restoran dan toko-toko. Pasti favorit saya menginap di bali! Terimakasih untuk semuanya!",5
8, Santana Bali Home Stay,"Kami selama 3 hari di Ubud dan kami benar-benar menikmati homestay santana! Dia dan keluarganya sangat baik, membantu dan ingin anda untuk memiliki pengalaman menginap yang luar biasa di homestay yang sederhana tapi indah mereka dikelilingi oleh seni yang dibuat oleh santana ( yang indah! ) kamar-kamarnya bagus dan bersih, kamar mandi yang hangat. Setiap pagi mereka membawa sarapan ke kamar anda pada waktu yang Anda inginkan dan mereka memastikan ada air hangat selalu di balkon anda untuk secangkir teh! Kami pasti akan kembali lagi ke-nya dan ramah keluarga santana!",5
9, Santana Bali Home Stay,"Ini bukan hotel yang khas seperti Hilton, Marriott tetapi rumah tinggal yang fantastis. Dikelola oleh keluarga yang terdiri dari empat (ayah, ibu, anak perempuan dan anak) . Mereka semua sangat bagus dan benar-benar bekerja keras untuk menjaga semuanya dalam kondisi yang baik dan memberikan layanan yang sangat baik. Anda mendapatkan diperlakukan seperti anggota keluarga di sana.  Memesan untuk 6 malam kemudian diperpanjang untuk 4 malam lagi.  - kamar Super bersih dan tempat tidur yang nyaman. Bahkan jika saya mengatakan tidak ada rumah tangga yang dibutuhkan mereka melakukannya ketika saya keluar :) Kebersihan tujuan mereka saya rasa. - tempat yang tenang. - Setiap pagi dengan menu sarapan yang mewah yang berbeda. Istri Santana adalah koki yang istimewa dan mencoba berbagai…",5
10, Santana Bali Home Stay,"Homestay yang sempurna, sangat direkomendasikan! Bukannya 3 malam saya menginap 9 .  Dan keluarganya Santana tuan rumah yang sempurna, sangat ramah dan bersahabat. Sebagai wisatawan tunggal, khususnya, sangat menyenangkan untuk berkeliling. Mereka benar-benar membuat anda merasa seperti di rumah sendiri. Sorot adalah bahwa saya Putu membawa saya ke pasar makanan di pagi hari. :)  Sarapan pagi sangat baik, disajikan di teras anda sendiri dan disesuaikan dengan kebutuhan dan preferensi kuliner anda. Teh dan kopi gratis yang selalu tersedia.  Kamar saya bagus, tenang dan bersih, memiliki teras sendiri dan dilengkapi dengan kulkas kecil dan penyejuk udara. Tempat tidur yang sangat nyaman. : )  Homestay ini terletak beberapa meter dari jalan, yang membuat kejutan menyenangkan dan…",5
11, Santana Bali Home Stay,"Kami (mister aku dan anak perempuan saya yang berusia 4 tahun) mulai di sini untuk 2 malam. Pro: 1. Lokasi yang bagus. Dekat dengan pasar utama di ubud (5 menit berjalan kaki atau 1 - 2 menit naik sepeda) dengan banyak tempat makan dan spa, dekat dengan 2 . Kamar yang bersih dan rapi (termasuk kamar mandi dan seluruh kawasan) 3 . Sarapan pagi di sepanjang dengan mangkuk buah yang sangat bagus untuk memulai hari. Tidak ada air panas untuk membuat teh atau kopi anda sendiri. Makanan yang lezat, dan sehat lokal! Dimasak oleh Bapak isteri Santana 4 . Sangat ramah dan membantu keluarga! !  Jangan diingat, ini bukan hotel, tapi homestay. Memberikan kesan yang luar biasa budaya lokal. Sangat direkomendasikan.",5
