,hotel,review,stars
0, Sapulidi Resort Spa & Gallery Ubud,Hotel ini cocok untuk anda yg mau honeymoon..  Tempatnya tenang dengan private pool..  Staf ramah.. Makanannya enak.. Kamar mandinya terpisah dari room.. Tapi tetep nyaman..  Ada free shuttle juga buat ke coco mart..                                                        ,5
1, Sapulidi Resort Spa & Gallery Ubud,"Pada Tgl29-30 maret sy menginap di villa 201-202, dibelakang villa sy terdapat kolam ikan yg sdh kosong dan ada bangkai ikan yg mati, sy meminta utk berganti kamar,namun tdk di tanggapi oleh staff hotel",5
2, Sapulidi Resort Spa & Gallery Ubud,Hotelnya mantap banget terutama buat kita yg butuh kenyamanan yang jauh dr keramaian pokonya suasananya bikin hilang stress ... terutama buat aku dan suami .. yg lagi honeymoon disini tenang bgt suasananya 😍bersih dan pelayanan ramah,5
3, Sapulidi Resort Spa & Gallery Ubud,"Saya booking untuk tinggal disini hanya 1 malam karena ini hanya weekend get away. Mungkin karena long week end, sehingga ketika kami tiba jam 13.00 kami masih harus menunggu 1 jam lagi untuk check in. Check in time 14.00. Kamar nya bagus, menghadap langsung ke sawah dan dekat dengan resto untuk breakfast dan pool. Sayangnya kamar agak kotor. sarang laba2 terlihat jelas menempel pada lampu ketika lampu dinyalakan. saya harap ke depannya semua lebih concern, karena sayang sekali dengan property yang bagus tetapi perawatan nya kurang.",3
4, Sapulidi Resort Spa & Gallery Ubud,"Tempat terbaik untuk menghindar dari keramaian kota untuk menenangkan diri 👌🏻 Perjalanan dari pintu masuk menuju kamar, mata disuguhi dengan pemandangan sawah yg hijau dengan pepohonan yg rimbun sehingga tidak terasa panas meskipun sedang tengah hari bolong. Kamar luas lengkap dengan kelambu, semua staff sangat ramah, terutama staff di restaurant sangat sangat ramah 👌🏻 Jangan lupa juga untuk mencoba nasi goreng di restaurant, rasanya enak banget! Perfect!",5
5, Sapulidi Resort Spa & Gallery Ubud,"Kami baru saja menghabiskan akhir pekan kami ditempat yang menakjubkan ini. Sebuah surga tersembunyi di tengah keramaian Ubud. Kami disambut hangat oleh staff saat tiba, proses check-in nya pun mudah dan tidak ribet. Kami langsung diantar menuju kamar Deluxe Double Villa yang sudah kami pesan sebelumnya. Kamar kami jauh diujung dekat dengan main pool, tapi meski jauh kami tidak masalah karena sepanjang perjalanan menuju kamar, mata kami disuguhi pemandangan dan lanscape yang indah. melewati jembatan kayu dengan pembatas bambu dengan banyak pepohonan rimbun, lalu ada semacam danau buatan yang dipenuhi lotus, lalu ada sawah dengan bebeknya , benar-benar menakjubkan. Kamar nya pun luas sekali, dengan 1 extra-large bed dilengkapi dengan kelambu, dan 1 sofa bed untuk wisatawan yang…",5
6, Sapulidi Resort Spa & Gallery Ubud,"Saya menginap di sapu lidi ubud selama 2 malam pada september 2014 Sudah lama tapi selalu berkesan Saya ambil kamar deluxe booking lewat agoda disitu saya cantumkan kalau saya honeymoon Lalu ketika saya datang saya senang sekali karena kamar saya di upgrade menjadi private pool dan ditempat tidur dihias dengan bunga kamboja Romantis Kamar seperti gubuk2 dengan kamar mandi terpisah Dan kolam renang didepannya Langsung hamparan sawah  Klo siang seru Klo malem lumayan serem si soale langsung gabung ke desa sawahnya Dan jarak dr gubuk2 jauh Tp cocok untuk yg mau honeymoon atau yoga Saya minta tolong disewakan motor dan dibantu oleh respsionis Ketika saya jalan kaki cari makanan juga pulangnya ada anjing, saya dan suami takut anjing lalu saya telpon pihak hotel minta dijemput, stoff…",4
7, Sapulidi Resort Spa & Gallery Ubud,"Tempatnya sejuk dan luas sekali.. Kamarnya sangat cozy dan mewah.. Private pool nya bersih.. Staff nya sangat amat ramah.. Sangat ingin kembali lagi ke Sapu Lidi resort.. Makanannya juga enak, dan pemandangannya sangat alami..",5
8, Sapulidi Resort Spa & Gallery Ubud,"Kami mendapat kamar yang menghadap langsung ke rice field. tidak jauh juga dari swimming pool. Benar benar nyaman untuk bersantai. apalagi untuk honeymoon Namun untuk sarapan pagi nya tidak buffet, kami disuguhkan beberapa menu untuk sarapan nya.  tapi tidak menyesal untuk menginap disini dan kami ingin kembali ke sini kalau ke Ubud lagi",5
9, Sapulidi Resort Spa & Gallery Ubud,"Resort nya termasuk murah,, harga sangat terjangkau dengan view persawahan yg bagus dan suasana sangat tenang..kolam renang kami bersih, dan kebetulan share dengan kamar tetangga.. Cocok utk pasangan atau keluarga yg ingin menghabiskan waktu jauh dr hiruk pikuk keramaian kota.. Sangat recommended.. Malam hari hanya terdengar suara kodok, jangkrik, dan anjing dr warga kampung sekitar.. Utk lokasi,, agak jauh dr ubud centre.. Tp untungnya ada shuttle bus yg disediakan oleh sapulidi.",3
