,hotel,review,stars
0, Serela Legian Hotel,"Overall aman semua, kamar nyaman, kamar mandi cukup bersih, akses ke pusat keramaian dekat. Terimakasih serela legian ... Hanya saja kalau bisa perlengkapan di toilet dilengkapi untuk sikat gigi dll... ",4
1, Serela Legian Hotel,"Hotel nya sangat nyaman meski parkiran kecil. Hotel nya bersih dan staff nya ramah ramah Saya sudah sering menginap disini, tapi tetap tidak berubah, tetap nyaman dan tenang menginap disini. Mungkin wifi bisa ditingkatkan kembLi agar lebih kencang",5
2, Serela Legian Hotel,"Kamar bagus ,ada di pusat kota harga lumayan murah ,tapi sayang tidak dapat alat mandi padahal udah telfon resepsionisnya alasannya emang tidak dapat karna kepotong apa gitu kata dia . Kecewa banget sih padahal hotel bintang 3 mana bawa keluarga kesana aga malu sama keluarga soalnya ortuku ga tak bolehin bawa alat mandi karna di hotel di sediakan ,eh taunya ga di kasi ,terus bantalnya aga bau apek gitu udah aga abu2 ,ga di kasi tissue wajah ,cuma ada tissue toilet doang.btw aku udah sering banget liburan tidur hotel. Jadi tau dan bisa kasi review jujur",2
3, Serela Legian Hotel,"Lokasi hotel sangat strategis, sangat dekat dengan pantai dekat ke pusat keramaian.   Pelayanan sangat baik & ramah  Fasilitas lengkap dan bersih, disertai kolam renang juga.   Harga sangat bersaing sesuai dengan fasilitas dan layanan.",5
4, Serela Legian Hotel,"Untuk budget 300 ribuan ,worth it sekali,ada kolam renang outdoor bersih dan open space yang luas,staf nya juga ramah dan tanggap ,sayang resto dan bar nya belum buka tapi di sekitar mudah cari makanan enak , nice",5
5, Serela Legian Hotel,"Kamar bagus, wc bagus, kasur empuk, rapi dan design yg sangat bagus untuk ditempati beristirahat dan staf ramah terutama bu ari, bu henny dan gus siwa pokoknya the best lah hotel serela legian. Ke bali butuh penginapan saya rekomendasikan hotel dengan harga terjangkau",5
6, Serela Legian Hotel,"Overall aman semua, kamar nyaman, kamar mandi cukup bersih, akses ke pusat keramaian dekat, hanya saja kekurangan karyawan mungkin efek pandemi, saran saya sih pihak serelanya sudah harus menambahkan karyawan lg.",5
7, Serela Legian Hotel,"Hotel di bawah 200k tapi rasanya kyk nginep di hotel mewah , kamarnya lega, ac nya dingin, air hangat nya juga berfungsi, dan yang paling enak ini bersih banget dan fasilitasnya bagus banget pelayanannya ramah” bgt orang” nya 🥰",5
8, Serela Legian Hotel,"Yang berkunjung ke sini akan dilayani dengan baik. Bahkan minta make up room ketika sudah sore dan housekeeping sudah pulanh, tryta ttp bisa. Resepsionis ramah, security juga ramah dan membantu sekali. Semoga semakin baik dan ramai",5
9, Serela Legian Hotel,"Fasilitas ok, kamar bersih, harga super murah booking via OTA. Bakalan rutin jadi tempat nginep disini. Pelayanan juga dari staff nya super ramah hanya kamar mandinya aja lumayan sempit, tapi untuk booking senidiri ini worth it banget! Dekat dengan pantai👍🏻👍🏻",5
10, Serela Legian Hotel,"hotelnya bersih, nyaman dan lengkap. hanya kmren saat menginap untuk perlengkapan mandi seperti sabun kmren tidak ada di kamar saya,tapi untuk hotel dan karyawan hotel ramah semua🙏🏻next kekurangannya tolong segera di benahi thankyou😊",4
11, Serela Legian Hotel,"pelayanannya baik,fasilitas ada air panas, tv, kasurnya besar, bersih, dan keperluan lainnya sudah ada. lokasinya dekat dengan pantai kuta jadi bisa lgsg jalan sekalian cari kuliner, lingkungannya juga aman dan tenang",5
12, Serela Legian Hotel,"Secara garis besar hotelnya bagus, harga bersahabat untuk staycation istirahat dari kerjaan kantor, pelayanan di receptionist juga ramah dan cepat, ruangan nyaman dan bersih plus keamanan juga baik dan aman",5
13, Serela Legian Hotel,"Nginep di serela itu nyaman dan enak..tapi dengan harga yang value for moneey its worth it. Lokasi yang berdekatan dengan pantai kuta dan legian serta berbagai sentra oleh-oleh yang terdapat pada lokasi hotel tersebut. terima kasih untuk  Mba Arik yang sudah banyak membantu, terimakasih pelayanan nya  . ",5
14, Serela Legian Hotel,"Sangat baik, dng harga under 150k, hotel ini sangat baik..kamar bersih, kasurnya nyaman, stafff ramah.. Sangat membantu.. ada perununjuk arah kiblat👍🏻 Mungkin akan lebih baik lagi klo dpt kamar yg viewnya kolam renang..",5
15, Serela Legian Hotel,"Saya sering ke Bali untuk sekedar healing, dan ini hotel yang saya pilih untuk stay selama di Bali. Karna kamarnya bersih, area hotel juga, pelayanan nya juga bagus , selalu di sapa dan security 24 jam. Saya pilih hotel ini juga karena dekat dengan tempat hiburan akan stay di sini lagu kalau ke Bali.",5
16, Serela Legian Hotel,"Nginap di hotel serela untuk 2 malam bener2 happy banget, bareng pasangan jadi makin romantis, dekat pantai Kuta, Legian dan beachwalk mall juga.soal harga juga bener2 worth it banget, kamar nya cukup untuk kita yang datang liburan ke Bali. Bakal jadi langganan disini . ",5
17, Serela Legian Hotel,"Hotel yg nyaman , bersih, strategis Ke pantai kuta hanya 2 menit jalan kaki,  kemana2 dekat,  pelayanannya  sangat bagus, mantap , staff sangat ramah & helpful , , betah banget stay di hotel ini..liburan saya dan keluarga jadi tambah menyenangkan.. saya akan merekomendasikan kepada  keluarga & kerabat saya.  Saya akan balik lagi ke serela legian.. terimakasih serela legian hotel",5
18, Serela Legian Hotel,"Nice hotel , staff ramah , poolnya keren , dekat ke pantai dan beach walk shopping center pokoknya recommended .. walaupun agak sepi tapi bersih , tenang tempatnya ... Harganyapun gak bikin jebol kantong kok  Pokoknya kalau ke Bali ke sini aja dah ",5
19, Serela Legian Hotel,"Saya lagi liburan di bali di masa pandemi di awal agustus, sangat susah memcari hotel yang buka dan bersih dna dekat dengan pantai. Tapi saya lihat dari facebook market place ada promo di hotel ini dan saya coba hubungi di no WA ini: 081338142502. Mungkin bisa jadi referensi untuk temen temen yg akan ke bali.  Pelayanannya ramah dan hotel nya pun bersih, tapi sayangnya belum teraedia sarapan pagi karena restaurant masih tutup. Tapi kita bisa pesan lewat receptionnya, saya coba pesan dan rasanya sama seperti di hotel.   Saya sangat merekendasikan hotel ini dengan pelayanan yang bagus dan ramah.   Staff nya pelayanannya bagus, terimakasih untuk mas indra yang ada di reception nya.  Security dan staff wanita yang selalu membersihkan kamar saya.  I’ll be back soon",5
20, Serela Legian Hotel,"Di saat pertama saya check in, kartu kamar yang diberikan kepada saya memang sudah tidak layak (sudah sangat tipis, tinta print di kartu sudah sangat pudar, dan rapuh), namun tetap diberikan kepada saya. Saya menginap 4 malam, di malam terakhir saat setelah bekerja saya kembali ke kamar, ternyata kartu tidak berfungsi, namun kondisi kartu masih baik baik saja. Tiba saat saya ke resepsionis, di proses, ternyata tiba-tiba kartu saya dibilang patah dan saya perlu mengganti biaya kartu YANG SUDAH SANGAT JELEK itu sebesar 100 rb atau saya tidak bisa masuk kamar. Jujur saya kecewa karena tidak pernah mengalami hal ini sebelumnya. Jika saya mematahkan atau merusak kartu tsb saya bisa menerima, namun kartu YANG SUDAH SANGAT JELEK itu tidak patah di tangan saya, saya hanya menanyakan…",3
21, Serela Legian Hotel,"Saya bikin bookingan sambil telepon dijalan krn sudah hampir tengah malam dan hanya butuh 1 malam utk transit sebelum besok paginya rencana Ke Singaraja, Receptionist mas Agung sangat membantu dengan cepat hanya dlm 39 menit dr perjalanan saya menuju ke serela, saya sudah didalam kamar sesuai yg saya inginkan. Harga menurut saya normal karena high season dan sebagai tamu Walk in guest , reasonable. Sedikit review dg in room service saya telepon , diangkat tapi tak dijawab di extension 2,hanya terdengar suara orang mengobrol tanpa menjawab , tapi kalau langsung ke Receptionist ditanggapi dengan cepat. Terima kasih Mas Agung utk pelayanannya.",4
