,hotel,review,stars
0, Sudiana House,"Suami saya dan saya telah menghabiskan 11 hari di bulan Februari/Maret di Ubud, di Sudiana Rumah. Ini benar-benar sebuah pengalaman menginap yang luar biasa! Tuan rumah kami Ketut Sudiana dan isterinya Kadek sangat baik, membantu, orang yang indah, kami merasa disambut oleh mereka dan perbuatlah dengan segenap hatimu keluarga yang baik. Mereka Kamar besar kami sangat bersih dan rapi, kamar mandi sendiri dengan pancuran air panas, wifi gratis di kamar dan sarapan. yang kaya Kami bisa memilih menu sarapan, setiap hari itu hanya lezat dan disajikan di teras kami. Tempat ini seperti sebuah kuil di taman yang bagus. Rumah adalah sebuah oase Sudiana yang damai di pusat kota, lokasi sangat baik, hanya beberapa menit berjalan kaki ke semua tempat-tempat menarik. Ada juga banyak pilihan…",5
1, Sudiana House,"Kami senang menginap di sini! Kamarnya cantik dan bersih. Kami menginap di salah satu kamar di lantai bawah dengan beranda kecil yang sempurna. Pemiliknya (sayangnya saya lupa namanya) membuat sarapan terbaik dari hijau pancake pisang dengan kelapa dan cokelat () atau telur dadar dengan roti panggang dan diantarkan ke kamar kami di pagi hari (waktu kami meminta apapun) . Panekuknya dan telur dadar yang sangat bagus! Lokasinya sempurna untuk kami. Ubud adalah cukup kecil sehingga berjalan kaki ke restoran dan monkey forest sangat mudah. Lebih dari sebulan kemudian dan menginap di hostel lainnya, tempat tidur dan sarapan, dan hotel di seluruh laut, ini masih menjadi favorit. Terima kasih untuk membuat perjalanan kami ke Ubud begitu berkesan!",5
2, Sudiana House,"Ketut dan Kadek sangat bagus. Mereka memberi Anda ruang tetapi memastikan anda merasa nyaman. Sarapan bagus dengan mangkuk buah, internet yang bagus, lokasi yang bagus. Bagus untuk menjelajahi Ubud, dan kamarnya bagus dan selalu bersih dan terawat.",5
3, Sudiana House,"Pertama kali saya menginap di ubud dan saya tidak bisa merekomendasikan tempat ini lagi! Saya telah menunda penerbangan saya tiba di malam hari ke Ubud, Ketut menunggu di jalan yang sangat menyenangkan bagi saya karena saya tidak tahu di mana rumahnya.   Sangat bersih kamar dengan kamar besar, tempat tidur yang sangat nyaman dan kekuatan mandi! Aman dan nyaman!   Ketut dan istri dan keluarga yang luar biasa! sangat membantu dan sopan dengan hangat menyambut Ke bali!   Sarapan di sini telah menjadi favorit saya! Pancake hijau (yang saya lihat mereka terkenal) adalah benar-benar luar biasa! Disajikan dengan mangkuk besar dari campuran buah dan teh atau kopi!   Hostel ini terletak di pusat untuk segala sesuatu di Desa Ubud dengan binatu, kopi, makanan dan Yoga semua hanya sekitar…",5
4, Sudiana House,"Tinggal di sini selama dua malam, itu adalah di lokasi yang sangat baik. Berjalan jarak ke kuil, Monkey Forest, Teater Palace dan banyak tempat untuk makan.   Kami memiliki gratis sarapan setiap pagi adalah buah yang memiliki ukuran yang bagus dan baik gaya potongan buah naga, pisang, mangga, nanas dan semangka yang semua lezat.   Kamar yang besar; kami tinggal di sebuah kamar di lantai atas dan memiliki balkon kecil. Mandi sangat baik dan tempat tidur yang sangat nyaman. Pemilik yang indah.   Jika saya harus memilih sesuatu yang buruk tentang hotel ini akan bahwa ada beberapa semut yang menempati kamar mandi yang besar tetapi mereka tidak benar-benar apapun yang mengganggu.   Semua dalam semua memiliki tinggal yang sangat baik di sini, layak uang dan akan merekomendasikan.",5
5, Sudiana House,"Kami tinggal di sini selama 5 malam saat bepergian melalui Bali. Lokasi Guest House sangat bagus dan segala sesuatu adalah dalam jarak berjalan kaki. Di sepanjang jalan terdapat banyak warung yang menawarkan, makanan lokal yang murah.  Guest House ini disajikan dengan sangat baik dan bersih, sebagai sebuah keluarga yang menjalankan bisnis dan Anda dapat menyewa seseorang sebagai sopir pribadi yang nyaman. Sarapan sangat baik setiap pagi, dengan segar irisan buah dan kopi/teh dengan crepe. Lokasi yang luar biasa dan ada merasa benar-benar baik tempat.  Sekarang saya untuk alasan saya tidak memberikan 5 bintang untuk; semut, semut api yang tepat. Kami digigit, gigitan jahat. Bukan masalah besar hanya hati-hati merangkak melalui pakaian dll. Juga, untuk 5 malam menginap kamar kami…",4
6, Sudiana House,"Saya akan mulai dengan yang baik, itu adalah di lokasi yang sangat baik, kamar bersih dan bagus tempat tidur sangat nyaman dan sarapan sangat baik (meskipun kami hanya mendapat satu ini dua malam) di hari kedua sarapan kami check in kami di 6:30 jadi saya sebutkan ini kepada pemilik dan dia setuju mereka akan tidur jadi kami tidak punya sarapan tapi ketika kami bangun mereka sudah bangun dan di luar sehingga saya merasa seperti kami harus telah menawarkan sarapan bahkan jika itu adalah sepotong buah. Saya memesan kamar ini mengetahui bahwa itu tidak memiliki udara con tapi ruangan itu seperti sauna dan itu terlalu panas untuk tidur, bahkan ketika itu dingin di luar. Kami memiliki kamar yang asli tidak memiliki nyamuk menghubungkan di jendela sehingga kami tidak bisa meninggalkan…",3
7, Sudiana House,"Ini adalah tempat yang luar biasa! Ruangan itu bagus dan bersih, tempat tidur besar dan nyaman. Sarapan yang baik dan pemilik yang sangat ramah keluarga.  Homestay ini sangat populer, dan saya tidak heran mengapa. Saya akan merekomendasikan pemesanan kamar di muka.",5
8, Sudiana House,"Tinggal selama seminggu. Sarapan adalah luar biasa. keluarga yang sangat baik. sangat membantu dengan pemesanan yang dilakukan. Lokasi yang luar biasa - berbagai restoran dan SPA dalam 100 meter, binatu di seberang jalan, mini mart di seberang jalan, dll. Penjemputan di bandara adalah pelayanan yang baik. Tempat tidur yang nyaman. Merasa menyambut kami seluruh tinggal. Terima kasih banyak untuk memiliki kita!",5
9, Sudiana House,keluarga yang sangat baik. Saya merasa seperti di rumah.  Sangat bersih dan hotel ini memiliki lokasi terbaik.  Harga yang benar untuk penjemputan di bandara atau hari perjalanan.  Oh dan jangan lupa sarapan yang luar biasa.  Hanya meminta Ketut semuanya dan mereka dapat membantu Anda.,5
10, Sudiana House,"Sebuah istana kerajaan! Kami mencintai Arsitektur rumah tinggal. Patung di atas pintu gerbang dan sangat indah dilakukan! Taman ini sangat asri dan dalam kondisi bagus! Saya harap saya dapat menginap lebih lama lagi Sudiana. Untuk menikmati alam dan ketenangan di pusat Ubud. Tuan rumah kami telah sangat membantu dan penuh perhatian. Ketika kami perlu untuk mengubah jadwal kami tentang toko pijat, ia membuat beberapa panggilan telepon bagi kita untuk memastikan kami mendapatkan pilihan terbaik. Selain itu, omelet dan pancake buatan sendiri yang sangat enak! Ketut layak di tuan rumah terbaik dari semua waktu!",5
11, Sudiana House,"Saya hanya memiliki hal-hal yang baik untuk mengatakan tentang tempat ini;   - pemilik/staf yang ramah   - lokasi yang sangat bagus (dekat dengan restoran dan kafe, berjalan kaki untuk hutan monyet dll)   - sarapan yang lezat dengan buah segar  - kamar bagus dan besar dengan mandi air panas, tempat tidur yang nyaman.   Saya hanya dapat merekomendasikan homestay ini! :)",5
12, Sudiana House,"Tepat di pusat Ubud terletak sudiana House. sangat tenang, tidur di kuil seperti akomodasi Anda sendiri. Tuan rumah yang luar biasa, dan begitu juga sarapannya! Pastikan Anda mencoba Pancake Pisang Hijau nya. sangat menampung untuk kebutuhan anda. Sangat direkomendasikan!",5
13, Sudiana House,"Kami tinggal di sini selama tiga malam. Benar-benar mengesankan untuk tuan rumah Ketut. Dia sangat baik, membantu dan kuat. Dia membuat sarapan yang sangat lezat! Kamarnya juga nyaman dan khusus. Jika kami memiliki kesempatan untuk datang ke Ubud lagi, Sudiana House akan menjadi pilihan pertama.",5
