,hotel,review,stars
0, Sunset Hill,Saya telah tinggal di sini berkali-kali dan menyukai kolam renang tanpa batas ini dan pemandangan sungai dan pepohonan. Sunset Hill menawarkan kamar individu yang luas dan sarapan sederhana dan merupakan tempat yang sempurna untuk melihat kehidupan desa dan sawah yang tersisa. Hanya berjalan kaki singkat ke Ubud melalui kuil Champuan yang mengesankan atau naik kartu 20 menit (tergantung pada setiap peningkatan lalu lintas). Kafe dan galeri seni terdekat ditambah spa pijat berarti Anda bisa tinggal jauh dari Ubud dan memiliki waktu yang damai dikelilingi oleh pohon-pohon dan bunga-bunga yang subur.,4
1, Sunset Hill,Saya menginap di vila ini selama 2 malam. Kamarnya luas dan pemandangan di luar villa indah! Staf juga rendah hati dan sarapan yang enak. Akan lebih baik jika anda menyewa sepeda motor jika anda ingin pergi ke pusat Ubud.  Terima kasih! Saya akan kembali lagi.,5
2, Sunset Hill,Terima kasih tumpukan untuk tempat menginap yang besar di tempat yang luar biasa dengan staf yang ramah yang bagus dan pemandangan dari kolam renang! Saya dan pacar saya pasti akan datang kembali untuk menikmati matahari terbenam dan sangat merekomendasikan hotel ini ke bukit semua orang.,5
3, Sunset Hill,"Tempat kecil yang lucu, tapi stafnya kurang ramah. Ada sekitar 6 orang dewasa muda yang bekerja di sana dan mereka tidak benar-benar tahu apa yang sedang mereka lakukan mereka juga tidak bisa berbicara Bahasa Inggris. Ketika kami memesan makan siang satu hari yang berteriak dan tertawa di dapur dan memakan waktu sekitar 30 menit untuk membuat kami beberapa kentang goreng. Tampak cukup matang, tetapi yang hanya bisa menjadi budaya. Kamar mandi kami handuk bernoda, jadi kami meminta yang baru dan diberi beberapa orang yang bernoda baru. Seprai tempat tidur bersih walaupun terima kasih Tuhan. Lokasi yang bagus. 30 menit berjalan kaki yang indah di Ubud. Kolam renangnya juga luar biasa. Baik untuk beberapa malam menginap.",3
4, Sunset Hill,"sangat nyaman dan baik hati & di Ubud. Pemandangan hutan yang luar biasa! staf yang sangat ramah! Harga/kualitas yang sangat baik! Sarapan standar tapi sangat segar dan enak! Mencoba maharajan Suite, yang sangat luas dan pemandangan terbaik dari lokasi. X",5
5, Sunset Hill,"Sunset Hill  Alasan dan fasilitas:  Matahari terbenam di atas bukit di luar taman benar-benar indah. Arsitektur dan Lansekap adalah benar-benar sempurna. Kolam renang adalah jelas titik penjualan. Sayangnya, tidak ada banyak fasilitas di lokasi ini. Kamar memiliki minimal jadi pastikan bahwa Anda membawa semua yang Anda butuhkan. Saya bahkan membuat tanda ""jangan diganggu"" karena kamar saya tidak punya.   Restoran:  Saya hanya makan sarapan di sini dan itu cukup bagus. Saya mengharapkan sedikit lebih banyak daripada yang saya terima tetapi sesungguhnya itu bukan masalah besar.   Staf:  Staf sangat muda dan tampak seperti anak remaja. Ketika saya tiba sekitar pukul 6 sore, tidak ada satu di mana saja di jalan jadi saya akhirnya berdiri di depan gerbang untuk 20 menit sampai…",4
6, Sunset Hill,"Kami memesan hotel ini melalui udara BnB dan diberitahukan bahwa matahari terbenam Hill adalah sebuah hotel dan tidak menyediakan layanan penuh Hotel. Kami tahu ini sebelum pemesanan tapi jika Anda memesan melalui pemesanan. Com hati!   Pertama tempat ini indah. Hotel ini di lokasi yang luar biasa dengan pemandangan indah dari kolam renang. Hotel ini 15/20 menit berjalan hanya di Ridgeway ke pusat Ubud yang sangat baik di pagi hari sebelum matahari terbenam/gelap.   Satu-satunya masalah yang kami alami adalah layanan (meskipun kami tahu itu bukan sebuah hotel, itu terdaftar sebagai masih membuktikan pelayanan dasar). Pemilik villa kami kembali ke rumah dan tidak adanya kesulitan dalam komunikasi. Mereka memiliki seorang manajer di situs selama beberapa hari dan ketika dia sedang…",3
7, Sunset Hill,"Saya pikir pujian terbaik saya dapat memberikan sunset Hill adalah bahwa saya akan tinggal di sini lagi!   Bagi Anda yang mempertimbangkan untuk menginap di sini, ada satu hal yang patut diingat: Jika Anda mengharapkan penuh - pelayanan Resort, ini bukan tempat untuk Anda.   Saya memesan hotel ini karena saya ingin perdamaian, tenang, dan cukup banyak akan pergi ke perangkat sendiri. Dengan bantuan pemilik Marrianne perencanaan di bandara, sopir, dan aktivitas sebelum kedatangan kami, dan manajer, Kevin konfirmasi saat check ini - dan saran selama kami menginap, kami lima hari di Bali berjalan lancar.   Saya juga tidak ingin tinggal di dekat strip wisata utama desa Ubud, tapi, Sunset Hill terletak pada jarak yang aman dan pusat desa ini mudah dicapai dengan taksi atau 15 menit…",5
8, Sunset Hill,"Saya telah tinggal di Ubud beberapa kali dan tidak pernah kecewa. Kali ini, saya telah tinggal di sunset Hill dan tempat ini luar biasa!   Dikelilingi oleh bukit, hutan dan sawah, tempat ini sangat tenang. Sunset Hill, Bangkiang Sidem berada di, desa yang terkenal di Ubud dan jika anda berjalan 10 menit dari Villa seperti, Anda dapat pergi ke bukit campuhan adalah salah satu tempat yang terkenal di Ubud.   Kembali ke vila, mereka punya banyak kamar dan vila ini cukup besar. Kamar saya sangat bersih dan besar dan juga mereka memiliki staf yang sangat baik. Jangan lupa untuk melihat atau bahkan berenang di kolam renang dengan pemandangan hutan! Bahkan saya duduk di teras untuk satu jam hanya untuk melihat hutan yang indah.   Jika Anda ingin melihat lebih banyak di area ini hanya…",5
9, Sunset Hill,Saya sudah 2 minggu santai yang paling menakjubkan dalam hidup saya!  Saya tidak bisa merekomendasikan hal ini cukup indah surga!  Tempat ini memancarkan ketenangan!  Lokasi yang bagus dengan pemandangan yang menakjubkan.  Saya tidak sabar untuk kembali! ,5
10, Sunset Hill,"Aku ada di sana dengan beberapa teman untuk bersantai dan beristirahat. Daerah di tengah hutan Ubud :) dan hal yang luar biasa, makanan yang lezat dan minuman. Saya merekomendasikan resor ini. Dan saya berharap dapat melihat Anda lagi segera! Terima kasih sangat banyak untuk semuanya.",5
11, Sunset Hill,Ini tak terlupakan. Pemandangan dari kolam renang adalah luar biasa. Ini adalah pemandangan matahari terbenam yang terbaik saya di Bali. Membunuh saya. Tempat yang bagus untuk mengambil istirahat dari hari keramaian dan menikmati pemandangan indah. HARUS COBA,5
12, Sunset Hill,"Saya telah tinggal di Ubud sebelum tetapi di Jalan Raya Ubud (jalan utama) dekat dengan Monkey Forest, tapi setelah tinggal di sunset Hill dan daerah ini. Saya menyesal tidak menginap di sini!   Pusat Ubud adalah jauh lebih berisik dan ramai dibandingkan dengan di sini. Ubud memang penuh dengan restoran dan toko-toko, tapi setelah hari yang panjang dari sopir taksi membunyikan klakson dan lalu lintas, pulang ke rumah untuk beristirahat dan menikmati pemandangan spektakuler hutan dengan kolam renang yang dilengkapi dengan lingkungan yang tenang tentu saja adalah cara terbaik untuk menghabiskan hari Anda. Dan tentu saja pandangan seperti ini tidak mungkin jika Anda tidak tinggal di bukit!   Sunset Hill terletak hanya 2 menit dengan berjalan kaki dari bukit Campuhan yang tercantum…",5
13, Sunset Hill,"Apa tinggal di hostel ini untuk 2 malam dan kami sangat senang!  Hostel ini benar-benar indah dan benar-benar terasa seperti villa. Kami memiliki ruang yang sangat besar, dihiasi di gaya khas Bali.  Untuk sampai ke kamar anda anda memiliki sedikit jalan terasa seperti di alam liar yang mana sangat luar biasa! Setiap kamar adalah benar-benar terpisah sehingga anda tidak mendengar kebisingan - rasanya seperti Anda sendiri!  Di kolam renang yang luar biasa. Saya tidak bisa cukup dari tempat ini!  Staf adalah sangat bagus tapi tidak berbicara bahasa Inggris - mengharapkan beberapa percakapan yang sulit dan membawa dictionnary Ahah! Ini adalah benar-benar lucu, dan kami ingin menikmati Bali dengan cara lokal jadi fakta bahwa kami harus mencoba untuk berbicara dalam bahasa Indonesia…",5
14, Sunset Hill,"OK saya pria jadi kami pergi beberapa kata. Lokasi lokasi lokasi yang fantastis dan pengalaman Bali yang sebenarnya. Kolam Renang staf yang hebat makanan dasar yang baik, kamar rata-rata dan tidak ada TV. Akan saya tinggal lagi ya tapi saya tidak terpesona.",4
15, Sunset Hill,"Pacar saya dan saya tinggal di sunset Hill selama 3 malam kami 2 minggu perjalanan ke Indonesia setelah rekomendasi dari teman-teman, dan kami pasti akan merekomendasikan tempat ini untuk orang lain.   Hotel ini terletak sedikit di luar pusat Ubud, di atas Campuhan Ridge walk (sekitar 20 menit dengan taksi/4), tapi itu layak untuk lokasi - infinity kolam yang menghadap hutan rimbun adalah hanya surga! Di salah satu hari kami bangun di matahari terbit dan berjalan di jembatan ke pusat Ubud dan berjalan kaki melalui hutan monyet, yang indah dan hanya memakan waktu sekitar 30 menit.   Ketika kami tiba di hotel (Manajer) adalah Ketut menunggu di pintu masuk. Kami mendapat hangat selamat datang dan indah menyambut minuman dan ditunjukkan ke kamar di Maharani. Kamar adalah…",4
16, Sunset Hill,"Kami tinggal di sini dua tahun yang lalu dan itu sempurna, tapi terakhir kami tinggal adalah tidak sama. Fasilitas (kabin, restoran, kolam renang, view) adalah semua sangat baik masih, tapi itu benar-benar dibawa turun oleh layanan yang buruk dan buruk makanan. Mungkin fakta bahwa pemilik tidak memiliki sesuatu untuk dilakukan dengan itu.   Pengalaman kami cepat rusak:   Saya tidak mengharapkan orang untuk duduk di depan pintu sepanjang hari melakukan apa-apa, jadi saya seperti ada solusi meletakkan telepon dengan nomor untuk menelepon. Tapi ini hanya bekerja jika seseorang benar-benar jawaban telepon.   Saat memasuki kabin ada handuk kotor di lantai, beberapa tidak selesai minuman dan makanan di dalam kulkas, dan sepotong makanan di lantai yang tampak menikmati semut. Jamur di…",2
17, Sunset Hill,Berjalan kaki dari hotel ke pusat Ubud (25 - 35 menit) adalah menakjubkan seperti pemandangan dari area kolam renang yang indah. Kolam renang baik untuk uang dari mana saja yang pernah saya tinggal. nyonya rumah sangat ramah dan dasar tetapi bersih dan kamar yang luas. Area luar ruang komunal yang bagus. Wifinya benar-benar senang tetapi ada banyak hal untuk melakukan yang lebih baik daripada melakukan check out terbaru di Inggris runtuh (Referensi kriket). Layak tinggal.,4
18, Sunset Hill,"Kami menginap 2 malam di sunset Hill.    5 bintang untuk pemandangan yang indah!   5 bintang yang hebat untuk tempat tidur (sangat nyaman) dan kamar yang bagus.   Anda juga dapat berjalan kaki ke jalur yang benar-benar indah di pusat kota (25 menit berjalan tentang).   Karsa spa di sebelah hotel.    2 bintang untuk sarapan (untuk buah mereka hanya memiliki pisang dan pepaya kiri) dan pilihan yang sangat baik. Dan saya mendapatkan omelett pertama dan kemudian harus menunggu 10 menit untuk juga roti bakar.   Layanan ini ramah tetapi tidak berbahasa Inggris dengan baik.   Negatif poin: sarapan, toilet pembilasan tidak bekerja sepanjang hari, satu handuk memiliki noda cokelat, hari pertama ada pekerjaan pembangunan (sangat mengganggu).",4
