,hotel,review,stars
0," Tanah Gajah, a Resort by Hadiprana","Sangat bagus, fasilitas baik, staf ramah, semua dibantu dengan sangat profesional, stay 4 hari terasa kurang, cocok buat keluarga, ramah anak, puas banget 😁 Pasti balik lagi kesini, thanks Tanah Gajah 👍🏻👍🏻👍🏻",5
1," Tanah Gajah, a Resort by Hadiprana","Ini adalah pengalaman pertama kami sekeluarga menginap di Tanah Gajah Ubud. Penginapan yang tenang, asri ,dan nyaman. Pemandangannya cantik dan pelayanan pun luar biasa ramah. Sangat cocok bagi yang mencari suasana tenang dan udara bersih. Jauh dari keramaian. Dan satu-satunya yang memiliki fasilitas Balon Udara di penginapan Bali  Semoga next time bisa menginap kembali 😊🙏  Sukses dan jaya selalu Tanah Gajah Ubud.",5
2," Tanah Gajah, a Resort by Hadiprana","Super puas sama segalanya di Tanah Gajah.. mulai dari fasilitasnya, pelayanannya dan yang paling top gak ada yang bisa ngalahin itu makanan yang disiapin sama Chef Dean.. It's definitely better than those Michelin Stars Restaurant I've been to.. The best culinary experience in one place.. makanan dari berbagai macam negara dalam satu atap.. simply AMAZING!",5
3," Tanah Gajah, a Resort by Hadiprana","Aku sangat terkesan dan honeymoon yang romantis saat menginap di Tanah Gajah Ubud,a Resort by Hadiprana. Untuk sarapan sangat enak dan privasi sekali bisa dinikmati dengan pasangan. Dan kami sangat senang saat piknik dan naik Hot Air Ballon. Sangat rekomended untuk yang ingin honeymoon atau melepas penat dengan kekasih atau keluarga. So lovely place❣️❣️",5
4," Tanah Gajah, a Resort by Hadiprana","Saya menginap bulan Oktober 2021 di 2 Bedroom Hadiprana Estate dimana ini adalah kategori tertinggi di resort Tanah Gajah. Seluruh keluarga saya sangat terkesima begitu memasuki kamar, benar-benar Beyond Our Expectation kami, karena setelah melihat kondisi aslinya jauh lebih bagus dari gambar yang kami lihat di website/internet. Awalnya saya pikir konsepnya bakal tradisional Bali sekali, tapi ternyata konsepnya Fusion dengan konsep Bali yang lebih modern dan terasa sangat homey sekali selama stay disini.  Setiap sudut ruangan bahkan sampai detail terkecil semua mengandung nilai seni yang sangat tinggi, saya sebagai orang awam dalam dunia seni saja bisa menyukai setiap ornamen yang ada dari lukisan, patung, plafon, furniture, amenities dan banyak lainnya. Selain itu, daily…",5
5," Tanah Gajah, a Resort by Hadiprana","Pelayanan di tanah gajah excellent. Semua staff berusaha utk memberikan pelayanan yg terbaik buat kami sekeluarga. Kami tinggal di villa Hadiprana 2 bedroom yg adalah villa terbesar dan satu satunya d properti ini dan sangat memuaskan. Private pool nya besar, akses ke restoran hanya melalui pintu belakang vila membuat kami nyaman berada di villa.. anak anak sgt senang dengan complimentary daily minibar. Pemandangan sawah pada saat afternoon tea nya luar biasa... relaxing vibes..once again villa ini benar benar rekomended.",5
6," Tanah Gajah, a Resort by Hadiprana","Stay di one bedroom villa. Pelayanannya sangat bagus, tempatnya bagus, luas, tenang, dan asri. Hot air balon menjadi daya tarik utama di resort ini. Untuk Afternoon tea kue nya enak. Buttler service dan laundry nya berguna sekali.",5
7," Tanah Gajah, a Resort by Hadiprana","Hotel yg benar2 diluar ekspektasi. Penyambutan secara personal oleh GM langsung membuat kami sebagai tamu sangat dihargai Untuk keseluruhan benar2 sesuai bintang. Makanan ala carte , afternoon tea yg benar2 berasa piknik, sunset cocktail juga tidak lupa Suasana sawah, kolam angsa yang cantik, area hijau yang luas membuat mood liburan menyenangkan Naik hot balon merupakan pertama dan benar2 membuat anak2 antusias Untuk free wine didalam kamar juga cukup unik dan spesial Jika mendapat harga promo kami pasti akan kembali Karena benar benar recomended",5
8," Tanah Gajah, a Resort by Hadiprana","Suka banget sama tempatnya bener2 alam banget, meskipun banyak nyamuk tp anak2 bener2 suka.. bisa kasi makan bebek dan mancing ikan juga.. pelayanannya juga ok banget, ramah & friendly banget.. mobil kita juga dibikin bersih alias dicuci juga.. salut sama pelayanannya 👍👍👍👍 sukses selalu ya",5
9," Tanah Gajah, a Resort by Hadiprana","Luxury Resort yg memberikan suasana dan pemandangan yg sangat luar biasa, ketenangan dari keramaian, sentuhan pelayanan personal yg sangat ramah dan sangat membantu dalam segala hal selama menginap dan membuat keluarga saya HAPPY HOLIDAY...  Salam",5
10," Tanah Gajah, a Resort by Hadiprana","Liburan ke pulau Bali tidak lengkap rasanya jika saya tidak pergi ke Ubud. Menghabiskan liburan 3hari 2 malam di tanah gajah, a resort by hadiprana ini benar benar dimanjakan hari liburan saya.  Protokol kesehatan yang benar benar dijaga di resort ini membuat saya dan teman teman merasa nyaman dan aman selama liburan dimasa pandemic covid 19.  Dimulai dari saat check in didalam villa, butler memberikan informasi yang lengkap mengenai fasilitas dan benefit yang saya dapatkan selama menginap di tanah gajah, a resort by hadiprana. Mulai dari 3menu ala carte sarapan pagi yang bisa saya dapatkan di tempayan restaurant atau di dalam villa, afternoon tea dengan pilihan kue kue traditional dan cocktail di sore hari dan juga ada beberapa menu pilihan makanan dari restaurant lokal…",5
11," Tanah Gajah, a Resort by Hadiprana","1st impression yg saya dapatkan di tanah gajah ini, suasana nya homie sekali. Serasa di rumah sendiri. Staff nya sangat ramah dan helpful.  Untuk liburan dimasa pandemi, tanah gajah ini salah satu best best choice. Karena luasss sekali dan hanya ada 20 an villa. Saya hampir tidak pernah berpapasan dengan tamu lain. Pool nya juga banyak. Ada pool khusus anak dan ada yang untuk dewasa. Tempat sarapan juga besar sekali. View nya bagussss banget dan jika beruntung, bisa sekalian lihat hot air baloon. Banyak fasilitas yg bisa dipakai juga disini seperti gym dan tennis.  Bagian yg saya juga suka, karena saya bawa anak, ada private pool dan feeding animal. Anak saya senang sekali  Terimakasih tanah gajah ubud",5
12," Tanah Gajah, a Resort by Hadiprana",Sangat senang dan puas dengan pelayanan di Tanah Gajah.. anak2 pun senang karena mereka bisa naik hotballoon dan memberi makan angsa dan burung.. pemandangan sangat indah dan relax.. Tanah Gajah Ubud the best..👍,5
13," Tanah Gajah, a Resort by Hadiprana","Luar biasa. Fantastic. Feel like my second home, kehangatan pelayanan mereka, bikin hati meleleh. Staff begitu bersemangat dan memberikan segala sesuatu dengan begitu detail. Dan begitu terasa kehangatan yang diberikan, dari dalam hati. Terima kasih banyak ya.  Tempat yang luar biasa bagus ya, sentuhan yang sangat berkelas dan tidak ternilai. Perpaduan alam dan bangunan nya juga smua ornament dipikirkan dengan begitu detail. Kenyamanan, ketenangan yang sangat perlu dibanggakan. Sangat berkelas.  Sukses untuk tanah gajah. Luar biasa.",5
14," Tanah Gajah, a Resort by Hadiprana","Villa yang sangat menyenangkan dengan kolam renang dan bathup besar di sampingnya. Kamar anak dan kamar utama bersih dan nyaman. Banyak aktivitas yang bisa dilakukan anak anak seperti memancing, memberi makan angsa dan bermain layangan. Ditemani oleh butler yang bertugas saat itu Pak Nik membuat anak-anak merasa betah disana. Mini bar free dan lengkap, serta ada fasilitas laundry. Merupakan pengalaman yang sangat menyenangkan untuk liburan di sana.",5
15," Tanah Gajah, a Resort by Hadiprana","Tanah gajah ubud memberikan pelayanan yang sangat baik.. Fasilitas spa nya cukup nyaman dan membuat kami relax, Breaksfast nya juga cukup banyak pilihan.. Anak anak juga sangat bahagia berada di tanah gajah selain dapat melihat angsa mereka bisa berenang dan bermain disawah",5
16," Tanah Gajah, a Resort by Hadiprana","Dear ibu deasy,  Terimakasih buat pelayanan yang baik kepada saya dan ibu agnes. Ac kamar dan ac gym sudah dingin dengan baik. Juga saya melihat karyawan2 yang melayani kami menggunakan masker dan di restaurant ketika kami having breakfast menggunakan face shield. Ini sangat bagus karena keamanan dan kesehatan baik kami sebagai customer dan pekerja di hotel penting dimasa pandemi ini. Pak hendra selalu cekatan dan melayani kami dengan baik. Ada incident kecil yaitu sewaktu brerakfast hari terakhir kami menginap ibu agnes pesan bubur yang tidak dilangkapi dengan kecap asin dan kondimen standard serta kita pesan american breakfast dengan telur setengah matang tetapi yang datang hanya telur saja. Team ibu memasak bubur baru dengan kondiment yang lengkap dan american breakfast…",5
17," Tanah Gajah, a Resort by Hadiprana","Seluruh pegawai di Tanah Gajah Ubud luar biasa servicenya, protokol covid sangat diterapkan sehingga aman dan nyaman menginap disana, bersih banget kamarnya, makanannya enak2, benar2 staycation yg mengesankan",5
18," Tanah Gajah, a Resort by Hadiprana","Disambut dengan penuh keramahan dan mendapatkan pelayanan yang begitu baik, memberikan pengalaman yang sangat berbeda. Meskipun menginap di tengah kondisi pandemi, tetapi nampak sekali semua tim di Tanah Gajah begitu siap dengan protokol kesehatan yang ada dengan tetap memastikan kami merasa nyaman dan tenang.   Seluruh kebutuhan kami selama menginap dipastikan terpenuhi dengan sangat baik. Belum lagi dengan fasilitas dan lingkungan hotel yang begitu asri, menunjukkan alam dan budaya lokal bali yang indah.   Sungguh menjadi tempat persinggahan yang tak terlupakan. Diluar ekspektasi kami. Sangat menyenangkan.",5
19," Tanah Gajah, a Resort by Hadiprana","viewnya kerenn, pemandangan desa dan sawah dan bukit yang indah sekali.. lokasinya pun strategis di daerah ubud yang banyak wisatanya. servicenya hotelnya pun bintang 5 banget.. bawalah keluarga anda ke sini. rekomen banget thanks",5
